,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,14.0,,132.0,,3603620223005055,"We are Prince George's County Public Schools, whether teaching and learning at home or in classrooms. The 2020-2021 school year is starting off like no other, but as CEO Dr. Monica Goldson reminds us, we are up to the challenge. #PGCPSProud #PlugInPGCPS",,,0.0,"We are Prince George's County Public Schools, whether teaching and learning at home or in classrooms. The 2020-2021 school year is starting off like no other, but as CEO Dr. Monica Goldson reminds us, we are up to the challenge. #PGCPSProud #PlugInPGCPS",2020-08-30 12:44:23,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118063766_2770105616640167_5300354151248442738_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=4UD_lVCGmDUAX_Dq3_C&_nc_ht=video-atl3-1.xx&oh=3b7923d02fce1f7b13d859558b11c6e4&oe=5F5DB53E,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118935410_364085034988975_6138026277777434923_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=EzzmUGYh-g8AX9BZG1f&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a458422e22bd21064de6c8849efc19d1&oe=5F83DB6F,15.0,https://docs.google.com/forms/d/e/1FAIpQLSegl5cX1EcoVCmneoZ9MD4gDkMnbsg8yJ5ZCeg48eYmL2tfCg/viewform,3641395295894214,"RSVP for our Spanish telephone town hall on Tuesday, September 15 with CEO Dr. Monica Goldson.
https://docs.google.com/forms/d/e/1FAIpQLSegl5cX1EcoVCmneoZ9MD4gDkMnbsg8yJ5ZCeg48eYmL2tfCg/viewform",https://facebook.com/story.php?story_fbid=3641395295894214&id=189563801077398,"PGCPS en español
September 10 at 1:12 PM ·

El martes, 15 de septiembre, la Dra. Monica Goldson, directora ejecutiva, presentará un foro público telefónico en español para celebrar el Mes de la Herencia Hispana. También brindará actualizaciones y responderá a preguntas e inquietudes. El foro público se presentará de 6:00 p. m. a 7:00 p. m.

Haga clic aquí para inscribirse: https://docs.google.com/forms/d/e/1FAIpQLSegl5cX1EcoVCmneoZ9MD4gDkMnbsg8yJ5ZCeg48eYmL2tfCg/viewform

Cómo conectarse: 855-756-7520 Ext. 66393#",10.0,"RSVP for our Spanish telephone town hall on Tuesday, September 15 with CEO Dr. Monica Goldson.
https://docs.google.com/forms/d/e/1FAIpQLSegl5cX1EcoVCmneoZ9MD4gDkMnbsg8yJ5ZCeg48eYmL2tfCg/viewform

PGCPS en español
September 10 at 1:12 PM ·

El martes, 15 de septiembre, la Dra. Monica Goldson, directora ejecutiva, presentará un foro público telefónico en español para celebrar el Mes de la Herencia Hispana. También brindará actualizaciones y responderá a preguntas e inquietudes. El foro público se presentará de 6:00 p. m. a 7:00 p. m.

Haga clic aquí para inscribirse: https://docs.google.com/forms/d/e/1FAIpQLSegl5cX1EcoVCmneoZ9MD4gDkMnbsg8yJ5ZCeg48eYmL2tfCg/viewform

Cómo conectarse: 855-756-7520 Ext. 66393#",2020-09-11 09:42:28,,
2,7.0,,59.0,,3641377982562612,"NEWS | See how PGCPS has worked to close the distance learning digital divide by providing computers and internet to students, plus thoughts from system and local leaders on what more can be done.",,,0.0,"NEWS | See how PGCPS has worked to close the distance learning digital divide by providing computers and internet to students, plus thoughts from system and local leaders on what more can be done.",2020-09-11 09:35:37,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119210551_684282615499098_6836624911426394583_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=whPJsL-1ResAX83pxeJ&_nc_ht=video-atl3-1.xx&oh=4a10e41082b66c3d5e0007a9dcd771cc&oe=5F5DAD43,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118958747_3641368355896908_7640462119815438576_o.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=H-19TYhoRXcAX93iWYx&_nc_ht=scontent-atl3-1.xx&oh=fd64ddcd8d14dfaa2d448afc48def009&oe=5F835BC5,53.0,,3641368685896875,Today we remember the victims of the Sept. 11th terror attacks and the heroes who risked their lives to save so many others. #NeverForget911 #911Anniversary,https://facebook.com/story.php?story_fbid=3641368685896875&id=189563801077398,,0.0,Today we remember the victims of the Sept. 11th terror attacks and the heroes who risked their lives to save so many others. #NeverForget911 #911Anniversary,2020-09-11 09:31:53,,
4,1.0,,19.0,https://content.govdelivery.com/accounts/PGCPS/bulletins/29cd016#.X1k4Bu1xUd8.facebook,3636018379765239,"In this week's Engage newsletter: helpful distance learning resources for families, how to get assistance with tech and WiFi, student meals, testing at home and more.",https://facebook.com/story.php?story_fbid=3636018379765239&id=189563801077398,"CONTENT.GOVDELIVERY.COM
Engage PGCPS: Get into the Virtual Groove!",9.0,"In this week's Engage newsletter: helpful distance learning resources for families, how to get assistance with tech and WiFi, student meals, testing at home and more.

CONTENT.GOVDELIVERY.COM
Engage PGCPS: Get into the Virtual Groove!",2020-09-09 16:17:12,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118711549_3632405543459856_7069582184067263872_n.png?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=bHq8-ki6ImkAX-2m86L&_nc_ht=scontent-atl3-1.xx&oh=d2e1d0402c53d47441e7d2752ec29fa4&oe=5F832B98,21.0,http://my2020census.gov/,3632405896793154,"The Census self-response deadline is Wednesday, September 30! Census funding is more important than ever as communities recover from the impacts of COVID-19. Take 10 minutes today to help shape your future. Visit my2020census.gov or call 844-330-2020.",https://facebook.com/story.php?story_fbid=3632405896793154&id=189563801077398,,0.0,"The Census self-response deadline is Wednesday, September 30! Census funding is more important than ever as communities recover from the impacts of COVID-19. Take 10 minutes today to help shape your future. Visit my2020census.gov or call 844-330-2020.",2020-09-08 13:49:34,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119063293_3632126400154437_7022343831963657492_o.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=MAAYwSD_96wAX8v8JmQ&_nc_ht=scontent-atl3-1.xx&oh=720e96ccbfae2cd24fb10ddbc610788b&oe=5F844E23,12.0,https://docs.google.com/forms/d/e/1FAIpQLScTF0mc90flNwO4PFft9arCz5KLnx95hLLGZeHHAReL9KKhuw/viewform,3632126686821075,"The Board of Education welcomes members of the community to provide comment at the Capital Improvement Program (CIP) Public Hearing on Thursday, Sept. 10 at 6 p.m.

▶️ Register to Comment: https://docs.google.com/forms/d/e/1FAIpQLScTF0mc90flNwO4PFft9arCz5KLnx95hLLGZeHHAReL9KKhuw/viewform

▶️ Dial in: (855) 756-7520 Ext. 66118#",https://facebook.com/story.php?story_fbid=3632126686821075&id=189563801077398,,0.0,"The Board of Education welcomes members of the community to provide comment at the Capital Improvement Program (CIP) Public Hearing on Thursday, Sept. 10 at 6 p.m.

▶️ Register to Comment: https://docs.google.com/forms/d/e/1FAIpQLScTF0mc90flNwO4PFft9arCz5KLnx95hLLGZeHHAReL9KKhuw/viewform

▶️ Dial in: (855) 756-7520 Ext. 66118#",2020-09-08 11:54:33,,
7,0.0,,64.0,,3628702120496865,"All schools and offices are closed Monday, Sept. 7 in observance of Labor Day. Wishing everyone a safe and relaxing holiday!",https://facebook.com/story.php?story_fbid=3628702120496865&id=189563801077398,,0.0,"All schools and offices are closed Monday, Sept. 7 in observance of Labor Day. Wishing everyone a safe and relaxing holiday!",2020-09-07 09:58:16,,
8,0.0,,15.0,http://pgcmls.info/school,3616509995049411,,https://facebook.com/story.php?story_fbid=3616509995049411&id=189563801077398,"Prince George's County Memorial Library System
September 2 at 3:54 PM ·

PGCMLS is honored to support students, families, and educators this fall with online learning resources. Visit pgcmls.info/school for access to resources for elementary, middle, and high school students. #VirtualSchool #PGCPSProud Prince George's County Public Schools",3.0,"Prince George's County Memorial Library System
September 2 at 3:54 PM ·

PGCMLS is honored to support students, families, and educators this fall with online learning resources. Visit pgcmls.info/school for access to resources for elementary, middle, and high school students. #VirtualSchool #PGCPSProud Prince George's County Public Schools",2020-09-03 12:09:05,,
9,0.0,,70.0,,3613401488693595,"Parkdale High School student leaders share a message to help students get into the groove of at-home learning. ""Even from different homes, we're in this together."" #PlugInPGCPS",,,0.0,"Parkdale High School student leaders share a message to help students get into the groove of at-home learning. ""Even from different homes, we're in this together."" #PlugInPGCPS",2020-09-02 13:02:22,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118690550_327865345124307_352311753058874639_n.mp4?_nc_cat=105&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=XtiVj2LBNt8AX-3yV7y&_nc_ht=video-atl3-1.xx&oh=5a15dd2eb4c9f5376a8402dfca81aeff&oe=5F5DB2DB,
