,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118883529_3633952233296105_6260640757209363444_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=DZu68ETzKxEAX9hXuG5&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c6de8688b788a77be0e6ec3e0eb35533&oe=5F83BCF2,6.0,http://www.reachingallminds.com/,3633989449959050,"📚Announcement📣
Registration is NOW OPEN!!
Register Now for 2020-2021 After-School Programs
Please visit our school website for more information:
www.reachingallminds.com",https://facebook.com/story.php?story_fbid=3633989449959050&id=661610440530314,,0.0,"📚Announcement📣
Registration is NOW OPEN!!
Register Now for 2020-2021 After-School Programs
Please visit our school website for more information:
www.reachingallminds.com",2020-09-08 12:36:40,,
1,0.0,,9.0,https://donate.ncgreenpower.org/team/303083,3454845097873487,"RAM Academy is fundraising to get an educational solar package from NC GreenPower – a nonprofit that provides grants to NC K-12 schools. We need to raise a portion of the total cost in order to receive their grant. Please donate today to help support our cause!

Students and faculty would be truly grateful for any support you can provide to this terrific, hands-on learning opportunity to our school.

Here is the RAM Academy fundraising website that we've put together for our solar panel:

https://donate.ncgreenpower.org/team/303083

To make a donation via check, please make payable to “NC GreenPower” and be sure to note Reaching All Minds Academy in the “memo” section of the check. Mail to NC GreenPower, Attn: Solar Schools, 909 Capability Drive, Suite 2100, Raleigh, NC 27606",https://facebook.com/story.php?story_fbid=3454845097873487&id=661610440530314,"DONATE.NCGREENPOWER.ORG
Check out Reaching All Minds Academy's team fundraising page for NC GreenPower",3.0,"RAM Academy is fundraising to get an educational solar package from NC GreenPower – a nonprofit that provides grants to NC K-12 schools. We need to raise a portion of the total cost in order to receive their grant. Please donate today to help support our cause!

Students and faculty would be truly grateful for any support you can provide to this terrific, hands-on learning opportunity to our school.

Here is the RAM Academy fundraising website that we've put together for our solar panel:

https://donate.ncgreenpower.org/team/303083

To make a donation via check, please make payable to “NC GreenPower” and be sure to note Reaching All Minds Academy in the “memo” section of the check. Mail to NC GreenPower, Attn: Solar Schools, 909 Capability Drive, Suite 2100, Raleigh, NC 27606

DONATE.NCGREENPOWER.ORG
Check out Reaching All Minds Academy's team fundraising page for NC GreenPower",2020-07-09 14:00:24,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/101541777_3364385583586106_5712575010338249025_o.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=nfIw2Qg5AV8AX_QQIbz&_nc_ht=scontent-atl3-1.xx&tp=14&oh=55734c405cea8f26016af0f4b0dea054&oe=5F841405,5.0,http://www.reachingallminds.com/,3364388540252477,"[Announcement]📣
Reaching All Minds Academy Summer Camp Update
Summer camp applications will be available later in June.
This year’s camp will be completely virtual, and for rising 1st through 8th grade students who are currently enrolled at RAMA.
We will be providing more information on summer camp later this month.
-
www.reachingallminds.com",https://facebook.com/story.php?story_fbid=3364388540252477&id=661610440530314,,0.0,"[Announcement]📣
Reaching All Minds Academy Summer Camp Update
Summer camp applications will be available later in June.
This year’s camp will be completely virtual, and for rising 1st through 8th grade students who are currently enrolled at RAMA.
We will be providing more information on summer camp later this month.
-
www.reachingallminds.com",2020-06-06 13:10:09,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/101848173_3364322406925757_7137432457749750094_o.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=aXTR5QsrY90AX_m-1tF&_nc_oc=AQl1TppAlWb2ntsM57vIc2oxDbgDXb1Fojf0XLktJGiYqsNXyQP5IpS7rGcmWD5Hc8c&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cc316e1e8c5f1fe8c9f897e64e0a19f1&oe=5F830DB4,8.0,http://www.reachingallminds.com/,3364325400258791,"[Announcement]📣
Reaching All Minds Academy Device Return Update
Student device return will NOT take place on June 8th 2020.
-
www.reachingallminds.com",https://facebook.com/story.php?story_fbid=3364325400258791&id=661610440530314,,0.0,"[Announcement]📣
Reaching All Minds Academy Device Return Update
Student device return will NOT take place on June 8th 2020.
-
www.reachingallminds.com",2020-06-06 12:37:18,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91625236_3195204777170855_8054633069639892992_o.jpg?_nc_cat=110&_nc_sid=0be424&_nc_ohc=EEQtYTZiJZYAX-KWI8Q&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9fdcfa6f38a75035f64f3f25d98b60e2&oe=5F829A5B,11.0,,3195207103837289,,https://facebook.com/story.php?story_fbid=3195207103837289&id=661610440530314,"Reaching All Minds Academy added a new photo.
April 1 at 1:55 PM ·

THANK YOU!!🎉
2019 Reaching All Minds Academy | Staff Award
#thankyou #staffaward #reachingallmindsacademy",0.0,"Reaching All Minds Academy added a new photo.
April 1 at 1:55 PM ·

THANK YOU!!🎉
2019 Reaching All Minds Academy | Staff Award
#thankyou #staffaward #reachingallmindsacademy",2020-04-01 13:55:30,,
5,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91770447_3195190850505581_632823144272363520_o.jpg?_nc_cat=108&_nc_sid=0be424&_nc_ohc=C_mTh3xnPLMAX_F0VYy&_nc_oc=AQl39HU0Sz4Y5qK5JGdeh5YXMkd9j83gT66TUsK-TbmbesP0dVg9B1T6kZ7FttRY1_A&_nc_ht=scontent-atl3-1.xx&tp=14&oh=531b4e72efa33c954a535b993a3ab754&oe=5F857E33,17.0,,3195197777171555,,https://facebook.com/story.php?story_fbid=3195197777171555&id=661610440530314,"Reaching All Minds Academy added 8 new photos.
April 1 at 1:50 PM ·

Cheese!📸
Group Photos | Reaching All Minds Academy | 2019-20 #reachingallmindsacademy",0.0,"Reaching All Minds Academy added 8 new photos.
April 1 at 1:50 PM ·

Cheese!📸
Group Photos | Reaching All Minds Academy | 2019-20 #reachingallmindsacademy",2020-04-01 13:50:12,,
6,0.0,,3.0,https://www.instagram.com/p/B9kOH4HhZBA/?igshid=gf6qxam3me9d,3159261217431878,"WATCH THIS!!!
Learning about the importance of washing our hands!! 🧼 🧼

https://www.instagram.com/p/B9kOH4HhZBA/?igshid=gf6qxam3me9d",https://facebook.com/story.php?story_fbid=3159261217431878&id=661610440530314,,0.0,"WATCH THIS!!!
Learning about the importance of washing our hands!! 🧼 🧼

https://www.instagram.com/p/B9kOH4HhZBA/?igshid=gf6qxam3me9d",2020-03-17 13:38:29,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/90008394_3159200617437938_5429922780608987136_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=Y5vD_emMEg0AX8eu6ea&_nc_oc=AQlFIoCk7b6Tajm0uJ6V8z8q76z7dVImt9-PE0tjegPpLOS-PXsQP6-bw8Q9BBNy16g&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4e161670c78d03a1bf8361ad5981fda8&oe=5F838FED,14.0,,3159200880771245,,https://facebook.com/story.php?story_fbid=3159200880771245&id=661610440530314,,0.0,,2020-03-17 13:04:28,,
8,0.0,,7.0,,3101931139831553,"[Announcement]📣
REACHING ALL MINDS ACADEMY WEATHER ALERT UPDATE
❄️🌧❄️
Due to continued inclement weather and hazardous roads, RAM Academy will be closed Friday, February 21, 2020.
Continue to stay warm and stay safe.",https://facebook.com/story.php?story_fbid=3101931139831553&id=661610440530314,,0.0,"[Announcement]📣
REACHING ALL MINDS ACADEMY WEATHER ALERT UPDATE
❄️🌧❄️
Due to continued inclement weather and hazardous roads, RAM Academy will be closed Friday, February 21, 2020.
Continue to stay warm and stay safe.",2020-02-20 22:14:58,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/86621806_3099726936718640_5120151038933860352_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=BLIxlP2ylL4AX_zyRyt&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f1128af394fb97e1cf08d8e55830d0fc&oe=5F85CB0F,17.0,,3099731163384884,"[Announcement]📣
REACHING ALL MINDS ACADEMY WEATHER ALERT UPDATE

RAM Academy will be closed Thursday, February 20, 2020.
Reaching All Minds Academy will evaluate weather conditions again for Friday morning.
Continue to stay warm and stay safe.
-
BUENAS TARDES FAMILIAS DE RAM ACADEMY ACTUALIZACION DEL ALERTA
RAM Academy estará cerrada el jueves 20 de febrero de 2020.
Reaching All Minds Academy evaluará nuevamente las condiciones climáticas para el viernes por la mañana. Continúa manteniéndote salvo y calientitos.",https://facebook.com/story.php?story_fbid=3099731163384884&id=661610440530314,,0.0,"[Announcement]📣
REACHING ALL MINDS ACADEMY WEATHER ALERT UPDATE

RAM Academy will be closed Thursday, February 20, 2020.
Reaching All Minds Academy will evaluate weather conditions again for Friday morning.
Continue to stay warm and stay safe.
-
BUENAS TARDES FAMILIAS DE RAM ACADEMY ACTUALIZACION DEL ALERTA
RAM Academy estará cerrada el jueves 20 de febrero de 2020.
Reaching All Minds Academy evaluará nuevamente las condiciones climáticas para el viernes por la mañana. Continúa manteniéndote salvo y calientitos.",2020-02-19 22:38:14,,
10,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/86351829_3081609245197076_313903483034009600_o.jpg?_nc_cat=111&_nc_sid=dd9801&_nc_ohc=oUryMPqEz0wAX_exdRq&_nc_ht=scontent-atl3-1.xx&tp=14&oh=917e6889228694169180735d9cd7eaa3&oe=5F835C79,10.0,,3081609688530365,,,,0.0,,2020-02-11 17:51:25,,
11,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/86389024_3081562158535118_3796631328795918336_o.png?_nc_cat=103&_nc_sid=85a577&_nc_ohc=rgZGQIqOQFIAX_C-BIe&_nc_ht=scontent-atl3-1.xx&oh=90ced38441f370c3d19eb04d78708e22&oe=5F851C8D,13.0,,3081562211868446,,,,0.0,,2020-02-11 17:18:14,,
12,0.0,,12.0,,3081513235206677,"[Announcement]📣

No School Tomorrow - Teacher Work Day📝
Wednesday, February 12, 2020
Enjoy your day off!",https://facebook.com/story.php?story_fbid=3081513235206677&id=661610440530314,,0.0,"[Announcement]📣

No School Tomorrow - Teacher Work Day📝
Wednesday, February 12, 2020
Enjoy your day off!",2020-02-11 16:57:33,,
13,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/80334646_2955010791190256_2876394453453504512_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=sG0lx0fgxIwAX8Pt3oK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ac7dc7ccda69d44f83ff8e6c4c2dfe31&oe=5F83BEDF,5.0,,2955060567851945,,https://facebook.com/story.php?story_fbid=2955060567851945&id=661610440530314,"Reaching All Minds Academy
December 18, 2019 at 5:22 PM ·

📣Come join us for our Holiday Special!

🎉Friday, December 20, 2019 6:00 p.m.
📍Holton Career and Resource Center",0.0,"Reaching All Minds Academy
December 18, 2019 at 5:22 PM ·

📣Come join us for our Holiday Special!

🎉Friday, December 20, 2019 6:00 p.m.
📍Holton Career and Resource Center",2019-12-18 16:58:11,,
14,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/80334646_2955010791190256_2876394453453504512_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=sG0lx0fgxIwAX8Pt3oK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ac7dc7ccda69d44f83ff8e6c4c2dfe31&oe=5F83BEDF,8.0,,2955012297856772,"📣Come join us for our Holiday Special!

🎉Friday, December 20, 2019 6:00 p.m.
📍Holton Career and Resource Center",https://facebook.com/story.php?story_fbid=2955012297856772&id=661610440530314,,0.0,"📣Come join us for our Holiday Special!

🎉Friday, December 20, 2019 6:00 p.m.
📍Holton Career and Resource Center",2019-12-18 16:22:19,,
15,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/80796327_2954971844527484_7089271953625710592_o.jpg?_nc_cat=105&_nc_sid=7aed08&_nc_ohc=ja_dj3PmXZ8AX9na2kC&_nc_ht=scontent-atl3-1.xx&tp=14&oh=956c3ff4416052cc886c384128f9c392&oe=5F836687,17.0,,2954963377861664,,,,0.0,,2019-12-18 15:54:14,,
16,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/76957356_2892683280756341_6697410102590177280_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=mu032tmbXpgAX_xcOlA&_nc_ht=scontent-atl3-1.xx&tp=14&oh=366872b168c8ba20711d03e725b8cb9b&oe=5F84BA89,11.0,,2892689497422386,"[Announcement]📣✨
Thanksgiving holiday will take place Monday, November 25 through Friday, November 29.

Have a great thanksgiving!🍁",https://facebook.com/story.php?story_fbid=2892689497422386&id=661610440530314,,0.0,"[Announcement]📣✨
Thanksgiving holiday will take place Monday, November 25 through Friday, November 29.

Have a great thanksgiving!🍁",2019-11-22 18:53:24,,
17,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/77189599_2885272448164091_3984030321107533824_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=Xl9wiqvYT80AX80JL8D&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8d9ee0ad71f0d49dcc7b6f1a95b79f09&oe=5F850CDC,6.0,,2885275141497155,"[Announcement]📢✨

Parent meetings will be held for students in grades 3 through 8 during the week of November 18. We will be discussing our new curriculum and sharing information on upcoming testing. All meetings will take place from 4:30 p.m. to 5:30 p.m. in the cafeteria.
-
3rd grade’s meeting will be Monday, November 18
4th grade’s meeting will be Tuesday, November 19
5th & 6th grades’ meeting will be Wednesday, November 20
7th & 8th grades’ meeting will be Thursday, November 21
#reachingallmindsacademy",https://facebook.com/story.php?story_fbid=2885275141497155&id=661610440530314,,0.0,"[Announcement]📢✨

Parent meetings will be held for students in grades 3 through 8 during the week of November 18. We will be discussing our new curriculum and sharing information on upcoming testing. All meetings will take place from 4:30 p.m. to 5:30 p.m. in the cafeteria.
-
3rd grade’s meeting will be Monday, November 18
4th grade’s meeting will be Tuesday, November 19
5th & 6th grades’ meeting will be Wednesday, November 20
7th & 8th grades’ meeting will be Thursday, November 21
#reachingallmindsacademy",2019-11-19 17:04:51,,
18,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/75481802_2882578808433455_2246782931106267136_o.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=I_lIrX8neKQAX9gE-2g&_nc_ht=scontent-atl3-1.xx&tp=14&oh=47eab96fdb588473dabbac6e10bdad84&oe=5F85BB16,1.0,,2882586271766042,"[Field Trip Announcement]📢✨

Time for a Field Trip! 🚌💨💨

Grades: Fourth Grade
Date: Friday, November 22, 2019
Time: Depart 9:15 AM- Return 2:30 PM
Location: NC Museum of History - American Indian Heritage
Transportation: School Bus

***
Grados: Estudiantes de Cuarto Grado
Fecha: Viernes, 22 de Noviembre 2019
Hora: Salida 9:15 AM - Regreso 2:30 PM
Transportacion: Bus de la Escuela

🔎For more information, please contact us.
#reachingallmindsacademy #charterschool #durhamnc #fieldtrip",https://facebook.com/story.php?story_fbid=2882586271766042&id=661610440530314,,0.0,"[Field Trip Announcement]📢✨

Time for a Field Trip! 🚌💨💨

Grades: Fourth Grade
Date: Friday, November 22, 2019
Time: Depart 9:15 AM- Return 2:30 PM
Location: NC Museum of History - American Indian Heritage
Transportation: School Bus

***
Grados: Estudiantes de Cuarto Grado
Fecha: Viernes, 22 de Noviembre 2019
Hora: Salida 9:15 AM - Regreso 2:30 PM
Transportacion: Bus de la Escuela

🔎For more information, please contact us.
#reachingallmindsacademy #charterschool #durhamnc #fieldtrip",2019-11-18 13:09:38,,
19,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/76647964_2882537101770959_2000740940666372096_o.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=pN0LP01KMhUAX8oYo1E&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3dde3e3ef18b230deaf0b7e2f825a727&oe=5F84C570,7.0,,2882555241769145,"📢[Field Trip Announcement]

Time for a Field Trip! 🚌💨💨✨
We’re going on a field trip to Old Salem, in Winston-Salem, North Carolina. -Fourth Grade

Date: Thursday, November 21, 2019
Time: Depart 8:00 AM- 5:00 PM
Location: Old Salem Museum and Gardens
900 old Salem Road, Winston-Salem, NC 27101
Transportation: School Bus

***
Grados: Estudiantes de Cuarto Grado
Fecha: Jueves, 21 de Noviembre 2019
Hora: Salida 8:00 AM - 5:00 PM
Transportacion: Bus de la Escuela

🔎For more information, please contact us.
#reachingallmindsacademy #charterschool #durhamnc #fieldtrip",https://facebook.com/story.php?story_fbid=2882555241769145&id=661610440530314,,0.0,"📢[Field Trip Announcement]

Time for a Field Trip! 🚌💨💨✨
We’re going on a field trip to Old Salem, in Winston-Salem, North Carolina. -Fourth Grade

Date: Thursday, November 21, 2019
Time: Depart 8:00 AM- 5:00 PM
Location: Old Salem Museum and Gardens
900 old Salem Road, Winston-Salem, NC 27101
Transportation: School Bus

***
Grados: Estudiantes de Cuarto Grado
Fecha: Jueves, 21 de Noviembre 2019
Hora: Salida 8:00 AM - 5:00 PM
Transportacion: Bus de la Escuela

🔎For more information, please contact us.
#reachingallmindsacademy #charterschool #durhamnc #fieldtrip",2019-11-18 12:51:02,,
20,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/73274983_2840229176001752_1834367101758865408_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=vHdQnSqIMhIAX_Dn5YM&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cc9d39e5e68e8b63988b014cc9ca0041&oe=5F8460EF,6.0,http://www.reachingallminds.com/,2840231952668141,"Well hello there!🥳I’m so happy you’ve chosen to follow us and check out all the wonderful happenings here at Reaching All Minds Academy. I’m certain you will be captivated by the authentic and exciting experiences you encounter! If you have any questions, please feel free to comment or learn more by visiting our website: www.reachingallminds.com

We’re on Instagram as reachingallminds_academy.
https://www.instagram.com/invites/contact/?i=rxzimahr9y8z&utm_content=aik442r

#reachingallmindsacademy
#reachingallminds
#academy
#charterschoolnc
#durhamnc",https://facebook.com/story.php?story_fbid=2840231952668141&id=661610440530314,,0.0,"Well hello there!🥳I’m so happy you’ve chosen to follow us and check out all the wonderful happenings here at Reaching All Minds Academy. I’m certain you will be captivated by the authentic and exciting experiences you encounter! If you have any questions, please feel free to comment or learn more by visiting our website: www.reachingallminds.com

We’re on Instagram as reachingallminds_academy.
https://www.instagram.com/invites/contact/?i=rxzimahr9y8z&utm_content=aik442r

#reachingallmindsacademy
#reachingallminds
#academy
#charterschoolnc
#durhamnc",2019-10-31 14:22:09,,
21,0.0,,10.0,,2821067587917911,,,,0.0,,2019-10-22 17:28:28,,
22,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/73113867_2821036911254312_4709419163184005120_n.png?_nc_cat=102&_nc_sid=7aed08&_nc_ohc=IKtAIV5XElwAX9ROR7w&_nc_ht=scontent-atl3-1.xx&oh=8cec64ebdd062eae433e8f3cfd6fc39d&oe=5F8415C6,21.0,,2821024321255571,,,,0.0,,2019-10-22 17:05:54,,
23,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/74620857_2821024227922247_168004444716269568_n.png?_nc_cat=102&_nc_sid=7aed08&_nc_ohc=dGNjLPAllk4AX_8Nlr_&_nc_ht=scontent-atl3-1.xx&oh=64c3713776527f69cc315ece9c3e48fe&oe=5F8642F2,3.0,,2821024321255571,,,,0.0,,2019-10-22 16:56:44,,
