,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119200617_10158727224281798_1539593142701772762_o.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=8KpiNrfawxUAX863rL5&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b274896031a1bad23aabbd591ddd3429&oe=5F816AE3,165.0,,3285436934880885,❤️❤️❤️,https://facebook.com/story.php?story_fbid=3285436934880885&id=653811798043425,"Rapid City Police Department
17 hrs ·

A Black Hawk Elementary staff member passed along this candid shot of Captain Johns making sure a student was 100% ready for school yesterday morning. We recognize that even the smallest act is worth doing if it leaves the world even just a slightly better place. #ServiceAboveSelf",8.0,"❤️❤️❤️

Rapid City Police Department
17 hrs ·

A Black Hawk Elementary staff member passed along this candid shot of Captain Johns making sure a student was 100% ready for school yesterday morning. We recognize that even the smallest act is worth doing if it leaves the world even just a slightly better place. #ServiceAboveSelf",2020-09-11 11:58:29,,
1,15.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118947321_3282977948460117_5399968716299350139_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=4kT6GQSiResAX_yvk6Y&_nc_ht=scontent-atl3-1.xx&tp=14&oh=84c202a00a6d11a64393c39992aa752d&oe=5F82D7E6,119.0,,3282980011793244,"More first day pics! Welcome back!
#RCASTogetherAgain",https://facebook.com/story.php?story_fbid=3282980011793244&id=653811798043425,,0.0,"More first day pics! Welcome back!
#RCASTogetherAgain",2020-09-10 16:55:34,,
2,0.0,,21.0,https://vimeo.com/453441947,3280003018757610,"This week is National Suicide Prevention Week. Pain isn’t always obvious. Most suicidal people show some signs that they are thinking about suicide. If you see even one warning sign, step in or speak up. Take the time to learn what to do now, so you’re ready to be there for a friend or loved one when it matters most.

Text4Hope is also available to support students who are struggling. Learn more here: https://vimeo.com/453441947",https://facebook.com/story.php?story_fbid=3280003018757610&id=653811798043425,"SUICIDEISPREVENTABLE.ORG
Suicide Prevention Awareness | Know the Warning Signs of Suicidal Behavior",12.0,"This week is National Suicide Prevention Week. Pain isn’t always obvious. Most suicidal people show some signs that they are thinking about suicide. If you see even one warning sign, step in or speak up. Take the time to learn what to do now, so you’re ready to be there for a friend or loved one when it matters most.

Text4Hope is also available to support students who are struggling. Learn more here: https://vimeo.com/453441947

SUICIDEISPREVENTABLE.ORG
Suicide Prevention Awareness | Know the Warning Signs of Suicidal Behavior",2020-09-09 16:50:47,,
3,0.0,,6.0,https://zoom.us/webinar/register/WN_ofcr8GWnRkCkN7ywXMxoBw?utm_medium=email&_hsmi=94450337&_hsenc=p2ANqtz-9uYkQNK1r8SJonj-aataYeVMsr9ly-Z632B0LOI_6wrUXf2P6llvpeMKD8UGKx6TD9vQi6jQeIMalZARKEswWdCITEaw&utm_content=94450337&utm_source=hs_email,3279978995426679,"This is a great, free opportunity. Register here: https://zoom.us/webinar/register/WN_ofcr8GWnRkCkN7ywXMxoBw?utm_medium=email&_hsmi=94450337&_hsenc=p2ANqtz-9uYkQNK1r8SJonj-aataYeVMsr9ly-Z632B0LOI_6wrUXf2P6llvpeMKD8UGKx6TD9vQi6jQeIMalZARKEswWdCITEaw&utm_content=94450337&utm_source=hs_email",https://facebook.com/story.php?story_fbid=3279978995426679&id=653811798043425,"MON, SEP 14 AT 12:00 PM MDT
Understanding Trauma and Trauma-Sensitive Schools in the midst of COVID-19",0.0,"This is a great, free opportunity. Register here: https://zoom.us/webinar/register/WN_ofcr8GWnRkCkN7ywXMxoBw?utm_medium=email&_hsmi=94450337&_hsenc=p2ANqtz-9uYkQNK1r8SJonj-aataYeVMsr9ly-Z632B0LOI_6wrUXf2P6llvpeMKD8UGKx6TD9vQi6jQeIMalZARKEswWdCITEaw&utm_content=94450337&utm_source=hs_email

MON, SEP 14 AT 12:00 PM MDT
Understanding Trauma and Trauma-Sensitive Schools in the midst of COVID-19",2020-09-09 16:38:07,,
4,1.0,,62.0,,3276670702424175,,https://facebook.com/story.php?story_fbid=3276670702424175&id=653811798043425,"Anne-Marie Chante DeMarrias‎Rapid City Area Schools- Title VI Indian Education
September 8 at 9:46 AM ·

She was super tired/nervous/excited for the first day of school #rcasribbons",0.0,"Anne-Marie Chante DeMarrias‎Rapid City Area Schools- Title VI Indian Education
September 8 at 9:46 AM ·

She was super tired/nervous/excited for the first day of school #rcasribbons",2020-09-08 14:24:45,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119049173_10158719457816798_8836434973163104508_o.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=sJectSWhxOQAX9NY_GG&_nc_ht=scontent-atl3-1.xx&tp=14&oh=91a187989a5ddc18b0063f8e1998cd47&oe=5F80A1CF,92.0,,3276635489094363,Thanks Rapid City Police Department!,https://facebook.com/story.php?story_fbid=3276635489094363&id=653811798043425,"Rapid City Police Department
September 8 at 10:41 AM ·

We'd like to wish all of our returning students a happy first day of school. Members of our command team were on hand this morning to make sure everyone got a safe and warm welcome back!",0.0,"Thanks Rapid City Police Department!

Rapid City Police Department
September 8 at 10:41 AM ·

We'd like to wish all of our returning students a happy first day of school. Members of our command team were on hand this morning to make sure everyone got a safe and warm welcome back!",2020-09-08 14:08:43,,
6,10.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119004442_3276388479119064_6412182212826795927_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=s8rAR-Voru8AX_-m3rO&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c41b802d3c837b02ca4c67d37eb491ab&oe=5F82B119,187.0,,3276390152452230,"Between the snow, the later than usual start date and being at half capacity - today’s #firstdayofschool felt very different. Nonetheless, we are so excited to see students again! #RCASTogetherAgain",https://facebook.com/story.php?story_fbid=3276390152452230&id=653811798043425,,0.0,"Between the snow, the later than usual start date and being at half capacity - today’s #firstdayofschool felt very different. Nonetheless, we are so excited to see students again! #RCASTogetherAgain",2020-09-08 12:25:55,,
7,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118801016_3265045156920063_992974515497802794_o.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=CTCCsUyZLRcAX9j3aEV&_nc_ht=scontent-atl3-1.xx&oh=fd06893a262e899cd98e58d531707f03&oe=5F8156C3,32.0,,3265047556919823,See below poster for information regarding meals for on campus learners in Level 2.,https://facebook.com/story.php?story_fbid=3265047556919823&id=653811798043425,,0.0,See below poster for information regarding meals for on campus learners in Level 2.,2020-09-04 16:09:45,,
8,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118765773_3264620956962483_4716643703669399114_o.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=qcJtWX2YW5cAX8HIH5Q&_nc_ht=scontent-atl3-1.xx&oh=9bd69783880de6731cfa407fa44ec552&oe=5F826F48,24.0,https://zoom.us/webinar/register/WN_p58rEdEuQry1CDE9Qj462w?utm_medium=email&_hsmi=94450337&_hsenc=p2ANqtz-9nY5C3E986b1Rx_eIWo76mr395UAAeTi6HVXPeB1LfjziPf1emQ4Zx-BcXHnFjlM_2GU6MO6FtuRlKPSseeMkCy2TP_A&utm_content=94450337&utm_source=hs_email,3264624293628816,"How would you respond if your child told you their friend might be thinking about suicide? Join the SOS Signs of Suicide team on World Suicide Prevention Day to learn about parents' important role in youth suicide prevention. This 30-minute webinar for middle school and high school parents will educate on the risk factors and warning signs of depression and suicide and how to ACT (Acknowledge, Care, Tell) if you are concerned about a young person in your life. The webinar will also discuss the SOS program and the basics of school-based suicide prevention. At the end, participants will have the opportunity to ask questions during a Q&A session.

Copy and paste this link to register:

https://zoom.us/webinar/register/WN_p58rEdEuQry1CDE9Qj462w?utm_medium=email&_hsmi=94450337&_hsenc=p2ANqtz-9nY5C3E986b1Rx_eIWo76mr395UAAeTi6HVXPeB1LfjziPf1emQ4Zx-BcXHnFjlM_2GU6MO6FtuRlKPSseeMkCy2TP_A&utm_content=94450337&utm_source=hs_email",https://facebook.com/story.php?story_fbid=3264624293628816&id=653811798043425,,0.0,"How would you respond if your child told you their friend might be thinking about suicide? Join the SOS Signs of Suicide team on World Suicide Prevention Day to learn about parents' important role in youth suicide prevention. This 30-minute webinar for middle school and high school parents will educate on the risk factors and warning signs of depression and suicide and how to ACT (Acknowledge, Care, Tell) if you are concerned about a young person in your life. The webinar will also discuss the SOS program and the basics of school-based suicide prevention. At the end, participants will have the opportunity to ask questions during a Q&A session.

Copy and paste this link to register:

https://zoom.us/webinar/register/WN_p58rEdEuQry1CDE9Qj462w?utm_medium=email&_hsmi=94450337&_hsenc=p2ANqtz-9nY5C3E986b1Rx_eIWo76mr395UAAeTi6HVXPeB1LfjziPf1emQ4Zx-BcXHnFjlM_2GU6MO6FtuRlKPSseeMkCy2TP_A&utm_content=94450337&utm_source=hs_email",2020-09-04 12:50:34,,
9,22.0,,107.0,https://vimeo.com/454809565,3264605993630646,"We can't wait to see you!!
#RCASTogetherAgain",https://facebook.com/story.php?story_fbid=3264605993630646&id=653811798043425,"VIMEO.COM
Rapid City Back to School 2020 Final - Revised",31.0,"We can't wait to see you!!
#RCASTogetherAgain

VIMEO.COM
Rapid City Back to School 2020 Final - Revised",2020-09-04 12:42:19,,
