,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118906551_2148968888581408_6714502647975911016_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=4WD3XSd5B1EAX_84BQL&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dc194085239769b7ff655d52efcc55c5&oe=5F85C8ED,47.0,,2148971731914457,"A wonderful opening! This week, we welcomed back our K, 1, and Gold cohorts of students in 6th and 9th grades. The 6th grade team was sensational, introducing our new middle school students to the building, and providing on site introduction to remote learning for our remote students and families. We welcome our K, 1, 2 and Purple cohorts in 6th and 9th grade on Monday.",https://facebook.com/story.php?story_fbid=2148971731914457&id=497593290385651,,0.0,"A wonderful opening! This week, we welcomed back our K, 1, and Gold cohorts of students in 6th and 9th grades. The 6th grade team was sensational, introducing our new middle school students to the building, and providing on site introduction to remote learning for our remote students and families. We welcome our K, 1, 2 and Purple cohorts in 6th and 9th grade on Monday.",2020-09-11 17:06:11,,
1,0.0,,43.0,,2146628708815426,Sanitizing stations poised for deployment as part of our comprehensive arrival procedures as we welcome back students to our schools tomorrow morning.,https://facebook.com/story.php?story_fbid=2146628708815426&id=497593290385651,,0.0,Sanitizing stations poised for deployment as part of our comprehensive arrival procedures as we welcome back students to our schools tomorrow morning.,2020-09-09 10:48:24,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118728121_2141918802619750_8979193366186203488_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=M68OmDjgJRkAX-nIgon&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c09ee591f8e90ce9c6ed653c9e137bc5&oe=5F8382F3,15.0,http://rhinebeckcsd.org/rhinebeckreturns,2141919522619678,"ATTENTION MS & HS STUDENTS - Join us for a Town Hall to discuss the hybrid model, phase-in schedule, and remote learning. Tuesday, 9/8 MS: 4PM; HS: 5PM. Links on the district website and Rhinebeck Returns: http://rhinebeckcsd.org/rhinebeckreturns
We are very excited to welcome each of you back to a new school year.",https://facebook.com/story.php?story_fbid=2141919522619678&id=497593290385651,,0.0,"ATTENTION MS & HS STUDENTS - Join us for a Town Hall to discuss the hybrid model, phase-in schedule, and remote learning. Tuesday, 9/8 MS: 4PM; HS: 5PM. Links on the district website and Rhinebeck Returns: http://rhinebeckcsd.org/rhinebeckreturns
We are very excited to welcome each of you back to a new school year.",2020-09-04 16:22:08,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118140233_2130059553805675_890096561320975735_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=pi8UEOaX_UkAX_bVc0u&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7b81c616905bc5a18152ca35a2d5b96a&oe=5F84807B,13.0,https://E2CCB-GST.zoom.us/j/95402571034,2130060143805616,"Town Hall #4 tonight via Zoom. Capacity at 300, the meeting will be recorded and posted tomorrow. Be well! https://E2CCB-GST.zoom.us/j/95402571034",https://facebook.com/story.php?story_fbid=2130060143805616&id=497593290385651,,0.0,"Town Hall #4 tonight via Zoom. Capacity at 300, the meeting will be recorded and posted tomorrow. Be well! https://E2CCB-GST.zoom.us/j/95402571034",2020-08-24 12:07:04,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117135154_2115281781950119_2750766291591202221_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=f-sUk-FADWgAX9IMvg2&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3961d5f2fa3946e3ee2db2739eb801fe&oe=5F8521FF,19.0,https://E2CCB-GST.zoom.us/j/95347243015,2115286755282955,"Join RCSD Superintendent, Albert Cousins, for our next Virtual Town Hall meeting - this Tuesday at 7 PM via Zoom. We will start with a presentation and follow with a question/comment period. Due to a capacity cap of 300, the meeting will be recorded and posted on our Rhinebeck Returns website the following day. Town Hall #2 is posted there now. Here is the invite for tomorrow night:
https://E2CCB-GST.zoom.us/j/95347243015",https://facebook.com/story.php?story_fbid=2115286755282955&id=497593290385651,,0.0,"Join RCSD Superintendent, Albert Cousins, for our next Virtual Town Hall meeting - this Tuesday at 7 PM via Zoom. We will start with a presentation and follow with a question/comment period. Due to a capacity cap of 300, the meeting will be recorded and posted on our Rhinebeck Returns website the following day. Town Hall #2 is posted there now. Here is the invite for tomorrow night:
https://E2CCB-GST.zoom.us/j/95347243015",2020-08-10 12:11:47,,
5,0.0,,11.0,https://www.rhinebeckcsd.org/portal/returns/index.php,2102146189930345,"Some updates tonight, take a look: https://www.rhinebeckcsd.org/portal/returns/index.php More to come throughout the week.",https://facebook.com/story.php?story_fbid=2102146189930345&id=497593290385651,"RHINEBECKCSD.ORG
Rhinebeck Returns",7.0,"Some updates tonight, take a look: https://www.rhinebeckcsd.org/portal/returns/index.php More to come throughout the week.

RHINEBECKCSD.ORG
Rhinebeck Returns",2020-07-28 20:38:54,,
6,0.0,,17.0,http://www.rhinebeckcsd.org/rhinebeckreturns,2098225403655757,"Launching the central communications platform for our reopening efforts, Rhinebeck Returns. Check here for the latest updates over as we begin to finalize plans next week and beyond. www.rhinebeckcsd.org/rhinebeckreturns",https://facebook.com/story.php?story_fbid=2098225403655757&id=497593290385651,"RHINEBECKCSD.ORG
Rhinebeck Returns",8.0,"Launching the central communications platform for our reopening efforts, Rhinebeck Returns. Check here for the latest updates over as we begin to finalize plans next week and beyond. www.rhinebeckcsd.org/rhinebeckreturns

RHINEBECKCSD.ORG
Rhinebeck Returns",2020-07-24 18:54:18,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/105583089_2073127472832217_3913844674056761900_o.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=MiLhP8w_OgYAX_BYueK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e1842c49877ab15aef575f9116571e96&oe=5F83C8EA,34.0,,2073127469498884,"Congrats to RHS Class of 2020, wonderful young people who accomplished much thru unprecedented adversity. Thanks to our Rbk Village leaders & community for allowing us to surprise & honor our grads with 10 mins of fireworks this Saturday at the close of their special evening.",,,0.0,"Congrats to RHS Class of 2020, wonderful young people who accomplished much thru unprecedented adversity. Thanks to our Rbk Village leaders & community for allowing us to surprise & honor our grads with 10 mins of fireworks this Saturday at the close of their special evening.",2020-06-29 15:58:40,,
8,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/82151176_2071954529616178_258608392393801117_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=zFuyjUk_Y4kAX9CwzPF&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4920abc11e10f7099094941735595687&oe=5F82D071,78.0,,2071954586282839,"Picture-perfect evening on Sat, June 27 for the Class of 2020 Commencement at the Dutchess County Fairgrounds. Thanks to so many, too numerous to mention, for making this special evening happen for our grads. Special thanks to Roger Rosenbaum for these two great shots last night!",https://facebook.com/story.php?story_fbid=2071954586282839&id=497593290385651,,0.0,"Picture-perfect evening on Sat, June 27 for the Class of 2020 Commencement at the Dutchess County Fairgrounds. Thanks to so many, too numerous to mention, for making this special evening happen for our grads. Special thanks to Roger Rosenbaum for these two great shots last night!",2020-06-28 13:25:14,,
9,0.0,,1.0,https://www.lohud.com/story/news/politics/albany/2020/06/28/cuomo-schools-covid-rates-u-s-could-keep-kids-home-long-time/3274347001/,2071950419616589,Cuomo on schools: COVID rates in U.S. could keep kids 'home for a long time' https://www.lohud.com/story/news/politics/albany/2020/06/28/cuomo-schools-covid-rates-u-s-could-keep-kids-home-long-time/3274347001/ via @lohud,https://facebook.com/story.php?story_fbid=2071950419616589&id=497593290385651,"LOHUD.COM
Cuomo on schools: COVID rates in U.S. could keep kids 'home for a long time'",4.0,"Cuomo on schools: COVID rates in U.S. could keep kids 'home for a long time' https://www.lohud.com/story/news/politics/albany/2020/06/28/cuomo-schools-covid-rates-u-s-could-keep-kids-home-long-time/3274347001/ via @lohud

LOHUD.COM
Cuomo on schools: COVID rates in U.S. could keep kids 'home for a long time'",2020-06-28 13:19:16,,
