,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,2.0,https://www.smore.com/d35pk-launch-into-the-week,3330907506999947,,https://facebook.com/story.php?story_fbid=3330907506999947&id=687205848036806,"SMORE.COM
Launch into the Week!",0.0,"SMORE.COM
Launch into the Week!",2020-09-11 16:07:39,,
1,0.0,,7.0,,3329800407110657,Fairview School just called and they WILL have concessions at the games today.,https://facebook.com/story.php?story_fbid=3329800407110657&id=687205848036806,,0.0,Fairview School just called and they WILL have concessions at the games today.,2020-09-11 08:42:55,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118933493_3327335220690509_8463073723567987428_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=VIr905aOwksAX-hPKgp&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9af4a056866234fa91852bba200dec4e&oe=5F852222,5.0,https://tinyurl.com/y2a28zkk,3327335677357130,"Fall Pictures will be Thursday, September 17. You may view or download order form using the following link: https://tinyurl.com/y2a28zkk",https://facebook.com/story.php?story_fbid=3327335677357130&id=687205848036806,,0.0,"Fall Pictures will be Thursday, September 17. You may view or download order form using the following link: https://tinyurl.com/y2a28zkk",2020-09-10 13:07:38,,
3,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118961757_3324746690949362_4646565854827208921_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=vKo7Lj2qhqEAX9XmIQZ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7552d926b6ce3bccad1fab0d5b22bb95&oe=5F83CBE5,35.0,https://tinyurl.com/yyol2ys3,3324747684282596,We are so proud of our board member Ray Murphy for being appointed Missouri School Boards Association Vice President. Mr. Murphy is currently also Vice President of our school board at Richards! Press Release: https://tinyurl.com/yyol2ys3,https://facebook.com/story.php?story_fbid=3324747684282596&id=687205848036806,,0.0,We are so proud of our board member Ray Murphy for being appointed Missouri School Boards Association Vice President. Mr. Murphy is currently also Vice President of our school board at Richards! Press Release: https://tinyurl.com/yyol2ys3,2020-09-09 16:37:50,,
4,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118879683_3324098781014153_4582581969119698967_n.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=h_9OBZuNmdcAX_xblvQ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4089b348f11ac6dc74ee9704eab2dea9&oe=5F83476A,24.0,,3324099994347365,"We are happy to inform you that the USDA has extended the summer food program through December! That means that from Wednesday, Sept. 9th, ALL Richards School Students will receive free breakfast and lunch through December of 2020. Lunch bills will still go out every two weeks but only to those who have an outstanding balance which was accumulated last school year.",https://facebook.com/story.php?story_fbid=3324099994347365&id=687205848036806,,0.0,"We are happy to inform you that the USDA has extended the summer food program through December! That means that from Wednesday, Sept. 9th, ALL Richards School Students will receive free breakfast and lunch through December of 2020. Lunch bills will still go out every two weeks but only to those who have an outstanding balance which was accumulated last school year.",2020-09-09 11:51:17,,
5,0.0,,3.0,,3315158321908199,"Richards Softball: Tues 9/8-Thurs 9/10 practice until 5:30. Friday, games at Fairview starting at 1:00.",https://facebook.com/story.php?story_fbid=3315158321908199&id=687205848036806,,0.0,"Richards Softball: Tues 9/8-Thurs 9/10 practice until 5:30. Friday, games at Fairview starting at 1:00.",2020-09-06 14:00:15,,
6,0.0,,0.0,,3315158265241538,Richards Baseball: Tues 9/8-Thurs 9/10 Practice until 5:30/ Friday 9/11 Games at Fairview beginning at 1:00,https://facebook.com/story.php?story_fbid=3315158265241538&id=687205848036806,,0.0,Richards Baseball: Tues 9/8-Thurs 9/10 Practice until 5:30/ Friday 9/11 Games at Fairview beginning at 1:00,2020-09-06 14:00:13,,
7,0.0,,4.0,https://www.smore.com/29dvn-launch-into-the-week,3309220219168676,,https://facebook.com/story.php?story_fbid=3309220219168676&id=687205848036806,"SMORE.COM
Launch into the Week!",0.0,"SMORE.COM
Launch into the Week!",2020-09-04 16:01:07,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118823011_3306156482808383_7030954114806238298_n.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=dMYNteirZBAAX9w_gGm&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9a50979f5305903513cbb72b27a8a661&oe=5F820918,12.0,,3306158292808202,"No school Monday, September 7 in honor of Labor Day.",https://facebook.com/story.php?story_fbid=3306158292808202&id=687205848036806,,0.0,"No school Monday, September 7 in honor of Labor Day.",2020-09-04 10:05:43,,
9,0.0,,5.0,http://richardsschool.k12.mo.us/,3305782729512425,"Richards R-V School District is actively seeking applicants for the following position: Custodian. This individual will need to be available to work between the hours of 4:30-8:30 p.m. daily M-F. Please obtain an application at http://richardsschool.k12.mo.us. You can send applications to Adam Wiggs, Richards R-V School District, 3461 CR 1710, West Plains, Mo. 65775. EOE",https://facebook.com/story.php?story_fbid=3305782729512425&id=687205848036806,"RICHARDSSCHOOL.K12.MO.US
Richards R-V School District / Homepage",11.0,"Richards R-V School District is actively seeking applicants for the following position: Custodian. This individual will need to be available to work between the hours of 4:30-8:30 p.m. daily M-F. Please obtain an application at http://richardsschool.k12.mo.us. You can send applications to Adam Wiggs, Richards R-V School District, 3461 CR 1710, West Plains, Mo. 65775. EOE

RICHARDSSCHOOL.K12.MO.US
Richards R-V School District / Homepage",2020-09-03 14:14:40,,
10,0.0,,4.0,,3302124983211533,There will be NO Softball/Baseball Practices due to the wet conditions of the fields.,https://facebook.com/story.php?story_fbid=3302124983211533&id=687205848036806,,0.0,There will be NO Softball/Baseball Practices due to the wet conditions of the fields.,2020-09-02 11:22:45,,
11,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118651852_3299037290186969_1052785658115212223_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=Aw2cD58BHGwAX9DKRel&_nc_ht=scontent-atl3-1.xx&tp=14&oh=94f27954ea21456d878f2107382893f9&oe=5F815F53,30.0,http://www.westplainsbank.com/,3299041930186505,Richards would like to thank West Plains Bank & Trust Company for their support. Their sponsorship of the Community Debit Card Drive provides valuable funds to support our school. http://www.westplainsbank.com/,https://facebook.com/story.php?story_fbid=3299041930186505&id=687205848036806,,0.0,Richards would like to thank West Plains Bank & Trust Company for their support. Their sponsorship of the Community Debit Card Drive provides valuable funds to support our school. http://www.westplainsbank.com/,2020-09-01 12:13:52,,
12,0.0,,12.0,https://f1q.co/3hHA34P,3299028950187803,"Richards School gives three ""Cheers"" to West Plains Bank & Trust for their Community Debit Card Drive.",https://facebook.com/story.php?story_fbid=3299028950187803&id=687205848036806,"YOUTUBE.COM
2020 Debit Card Presentations",0.0,"Richards School gives three ""Cheers"" to West Plains Bank & Trust for their Community Debit Card Drive.

YOUTUBE.COM
2020 Debit Card Presentations",2020-09-01 12:08:29,,
13,0.0,,2.0,,3298321633591868,The ballgames for today are cancelled because the fields are rain soaked. The games are rescheduled to September 16.,https://facebook.com/story.php?story_fbid=3298321633591868&id=687205848036806,,0.0,The ballgames for today are cancelled because the fields are rain soaked. The games are rescheduled to September 16.,2020-09-01 07:35:58,,
14,0.0,,3.0,,3295943267163038,"Richards - Baseball & Softball Practice for TODAY, AUG. 31ST has been cancelled.",https://facebook.com/story.php?story_fbid=3295943267163038&id=687205848036806,,0.0,"Richards - Baseball & Softball Practice for TODAY, AUG. 31ST has been cancelled.",2020-08-31 12:38:56,,
15,0.0,,2.0,,3295905257166839,There will be NO SOFTBALL/BASEBALL practice this afternoon due to already wet conditions as well as the chance of more rain today. Games scheduled for tomorrow will be dependent on the the weather this evening.,https://facebook.com/story.php?story_fbid=3295905257166839&id=687205848036806,,0.0,There will be NO SOFTBALL/BASEBALL practice this afternoon due to already wet conditions as well as the chance of more rain today. Games scheduled for tomorrow will be dependent on the the weather this evening.,2020-08-31 12:23:59,,
16,1.0,,4.0,,3295612923862739,"Baseball and Softball for this week (8/31-9/4):
Mon & Wed pract. until 5:30.
Tues- Rain make up games from Fri. here vs Junc Hill @ 1:00
No Practice on Thurs or Fri",https://facebook.com/story.php?story_fbid=3295612923862739&id=687205848036806,,0.0,"Baseball and Softball for this week (8/31-9/4):
Mon & Wed pract. until 5:30.
Tues- Rain make up games from Fri. here vs Junc Hill @ 1:00
No Practice on Thurs or Fri",2020-08-31 10:23:39,,
17,0.0,,3.0,https://www.smore.com/1y8kc-launch-into-the-week,3287102184713813,,https://facebook.com/story.php?story_fbid=3287102184713813&id=687205848036806,"SMORE.COM
Launch into the Week!",0.0,"SMORE.COM
Launch into the Week!",2020-08-28 16:34:57,,
18,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118383092_3286951501395548_4965731147985348303_n.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=GrMUxzucNX4AX-ckv_N&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cadff631cd53c52f0512a21257ab58e6&oe=5F8522BE,46.0,,3286955084728523,"Monitoring temperatures is an important step in identifying students, personnel, and visitors who may have an infection and need to be sent home. Richards has installed Thermal Imaging Cameras in our school buildings to scan for elevated body temperature. A Smart Alert is transmitted to our school nurses and appropriate personnel. This technology is designed to be an unobtrusive, safe, and efficient means to scan multiple people at one time. Cameras are located in multiple locations that provide monitoring throughout the school day. Most students are not even aware that their temperature is being monitored. This is just one of many safety measures the district has taken to help protect students and the Richards community.",https://facebook.com/story.php?story_fbid=3286955084728523&id=687205848036806,,0.0,"Monitoring temperatures is an important step in identifying students, personnel, and visitors who may have an infection and need to be sent home. Richards has installed Thermal Imaging Cameras in our school buildings to scan for elevated body temperature. A Smart Alert is transmitted to our school nurses and appropriate personnel. This technology is designed to be an unobtrusive, safe, and efficient means to scan multiple people at one time. Cameras are located in multiple locations that provide monitoring throughout the school day. Most students are not even aware that their temperature is being monitored. This is just one of many safety measures the district has taken to help protect students and the Richards community.",2020-08-28 15:26:51,,
