,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119238403_184709513169364_7311656803083416769_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=AT9vyvAl6DEAX9MvgBD&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a4a715955d256eb8822adaf6cdc572db&oe=5F857122,1.0,,2655829424670646,,https://facebook.com/story.php?story_fbid=2655829424670646&id=1472526443000956,"Rock Hills Grizzlies Volleyball
Yesterday at 10:28 AM ·

The Lady Grizz will take on Tescott and Southern Cloud at Tescott on Tuesday. Below is the order of games.",0.0,"Rock Hills Grizzlies Volleyball
Yesterday at 10:28 AM ·

The Lady Grizz will take on Tescott and Southern Cloud at Tescott on Tuesday. Below is the order of games.",2020-09-13 16:08:04,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119435990_184540189852963_8568466942510586066_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=RSEOkpK04pAAX-RBjvV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0620449f21f5cb1d10930239c3adb242&oe=5F854B8F,17.0,,2655829321337323,,https://facebook.com/story.php?story_fbid=2655829321337323&id=1472526443000956,"Rock Hills Grizzlies Volleyball
September 12 at 6:13 PM ·

I couldn’t be more proud of this group of girls. They fought hard and walked away with second place!!",0.0,"Rock Hills Grizzlies Volleyball
September 12 at 6:13 PM ·

I couldn’t be more proud of this group of girls. They fought hard and walked away with second place!!",2020-09-13 16:07:58,,
2,0.0,,5.0,,2655829244670664,,https://facebook.com/story.php?story_fbid=2655829244670664&id=1472526443000956,"Rock Hills Grizzlies Volleyball was live.
September 12 at 2:13 PM ·

Championship game",0.0,"Rock Hills Grizzlies Volleyball was live.
September 12 at 2:13 PM ·

Championship game",2020-09-13 16:07:51,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_956185151545561_7194352092852824224_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=U3JqUAozRrkAX-ryKgG&_nc_ht=scontent-atl3-1.xx&oh=b9f315fe029999973d69ef9ecf6d9a34&oe=5F846F04,
3,0.0,,3.0,,2655824374671151,"Good Afternoon,
Below is a list of activities for the upcoming week. Have a Great Week!!
--
Thanks
Sam

Tuesday
High School Volleyball at Tescott (see attachments)

Wednesday
FFA Greenhand Conference

Thursday
Junior High Volleyball/Football vs. Pike Valley at Scandia (4:00 Volleyball 6:00 Football)
Dane Hansen Testing in Salina

Friday
High School Football at Axtell

Saturday
Youth Football at Clifton Clyde
High School Volleyball at Tescott
Cross Country at El Dorado",https://facebook.com/story.php?story_fbid=2655824374671151&id=1472526443000956,,0.0,"Good Afternoon,
Below is a list of activities for the upcoming week. Have a Great Week!!
--
Thanks
Sam

Tuesday
High School Volleyball at Tescott (see attachments)

Wednesday
FFA Greenhand Conference

Thursday
Junior High Volleyball/Football vs. Pike Valley at Scandia (4:00 Volleyball 6:00 Football)
Dane Hansen Testing in Salina

Friday
High School Football at Axtell

Saturday
Youth Football at Clifton Clyde
High School Volleyball at Tescott
Cross Country at El Dorado",2020-09-13 15:58:54,,
4,0.0,,1.0,,2655622738024648,"Notification of Games
Rock Hills, Southern Cloud & Tescott

Attention: Principal, Athletic Director, Coaches, Secretary

Activity: High School Volleyball

Date: September 15, 2020

Times: 4:00 p.m.

Location: Tescott

Order of Games: Court 1
Tescott vs. Rock Hills (V)
Tescott vs. Rock Hills (JV)
Rock Hills vs. Southern Cloud(V)
Tescott vs. Southern Cloud (V)

Varsity – 20 minutes warm-up. (4-4-4-4-4)
Best of three games. (25 points – no cap)

Junior Varsity – 10 minute warm-up. (2-4-4)
2 sets. (21 points – 25 point cap)",https://facebook.com/story.php?story_fbid=2655622738024648&id=1472526443000956,,0.0,"Notification of Games
Rock Hills, Southern Cloud & Tescott

Attention: Principal, Athletic Director, Coaches, Secretary

Activity: High School Volleyball

Date: September 15, 2020

Times: 4:00 p.m.

Location: Tescott

Order of Games: Court 1
Tescott vs. Rock Hills (V)
Tescott vs. Rock Hills (JV)
Rock Hills vs. Southern Cloud(V)
Tescott vs. Southern Cloud (V)

Varsity – 20 minutes warm-up. (4-4-4-4-4)
Best of three games. (25 points – no cap)

Junior Varsity – 10 minute warm-up. (2-4-4)
2 sets. (21 points – 25 point cap)",2020-09-13 10:34:31,,
5,0.0,,3.0,,2654872658099656,,https://facebook.com/story.php?story_fbid=2654872658099656&id=1472526443000956,"Rock Hills Grizzlies Volleyball was live.
September 12 at 10:47 AM ·

Solomon Tournament
Rock Hills vs Wakefield",0.0,"Rock Hills Grizzlies Volleyball was live.
September 12 at 10:47 AM ·

Solomon Tournament
Rock Hills vs Wakefield",2020-09-12 12:04:55,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_1224241734597005_8283397032793580017_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=MnJof0o2KQkAX-TjVqv&_nc_ht=scontent-atl3-1.xx&oh=a55101064a9acc467300dd9ab06c9b49&oe=5F867A0E,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119079488_1399559436902734_5985959567375487444_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=b2GLRlKda04AX9Gsuwt&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1d6e396d4f90c49c935b9422b97caa9a&oe=5F863EF1,33.0,,2654051471515108,,https://facebook.com/story.php?story_fbid=2654051471515108&id=1472526443000956,"Jewell County Sheriff's Office
September 11 at 10:58 AM ·

Smith County Deputy Presbrey and K-9 Nico went through the high school this morning. We’re happy to report nothing was found!",0.0,"Jewell County Sheriff's Office
September 11 at 10:58 AM ·

Smith County Deputy Presbrey and K-9 Nico went through the high school this morning. We’re happy to report nothing was found!",2020-09-11 12:39:34,,
7,0.0,,3.0,,2653373428249579,,https://facebook.com/story.php?story_fbid=2653373428249579&id=1472526443000956,"Rock Hills Grizzlies Volleyball was live.
September 10 at 4:04 PM ·

Rock Hills Junior High vs Southern Cloud",0.0,"Rock Hills Grizzlies Volleyball was live.
September 10 at 4:04 PM ·

Rock Hills Junior High vs Southern Cloud",2020-09-10 17:55:19,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_138658701258648_5910243900828709839_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=-JHMSOZIKYMAX_do48g&_nc_ht=scontent-atl3-1.xx&oh=9286e4f707e3f05b95c6297a9b7eca22&oe=5F83D1A1,
8,0.0,,1.0,,2653230058263916,We need a scoreboard operator for tonight’s JH volleyball. Please cal the JH/Sr Hs to volunteer. We can not host quality events without your help.,https://facebook.com/story.php?story_fbid=2653230058263916&id=1472526443000956,,0.0,We need a scoreboard operator for tonight’s JH volleyball. Please cal the JH/Sr Hs to volunteer. We can not host quality events without your help.,2020-09-10 13:58:33,,
9,1.0,,7.0,,2653134978273424,Our JH kicks of their seasons tonight at home! Go Grizzlies!,https://facebook.com/story.php?story_fbid=2653134978273424&id=1472526443000956,,0.0,Our JH kicks of their seasons tonight at home! Go Grizzlies!,2020-09-10 11:24:24,,
10,0.0,,0.0,,2653120928274829,There will be no JH C team volleyball tonight.,https://facebook.com/story.php?story_fbid=2653120928274829&id=1472526443000956,,0.0,There will be no JH C team volleyball tonight.,2020-09-10 11:12:42,,
11,0.0,,3.0,,2651698781750377,,https://facebook.com/story.php?story_fbid=2651698781750377&id=1472526443000956,"Rock Hills Grizzlies Volleyball was live.
September 8 at 3:55 PM ·

Rock Hills vs Osborne (Varsity)
Rock Hills vs Osborne (JV)
Osborne vs Thunder Ridge
Rock Hills vs Thunder Ridge (Varsity)
Rock Hills vs Thunder Ridge (JV)",0.0,"Rock Hills Grizzlies Volleyball was live.
September 8 at 3:55 PM ·

Rock Hills vs Osborne (Varsity)
Rock Hills vs Osborne (JV)
Osborne vs Thunder Ridge
Rock Hills vs Thunder Ridge (Varsity)
Rock Hills vs Thunder Ridge (JV)",2020-09-08 18:58:35,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_178731320531632_5561351872982646869_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=zqrUBSvdWBAAX9vyQza&_nc_ht=scontent-atl3-1.xx&oh=5c7dbb20c63e488b59320dd87c583404&oe=5F84BEC5,
12,0.0,,0.0,"https://www.maxpreps.com/high-schools/rock-hills-grizzlies-(mankato,ks)/volleyball/home.htm",2650983431821912,"https://www.maxpreps.com/high-schools/rock-hills-grizzlies-(mankato,ks)/volleyball/home.htm",https://facebook.com/story.php?story_fbid=2650983431821912&id=1472526443000956,"MAXPREPS.COM
403 Geo-block",0.0,"https://www.maxpreps.com/high-schools/rock-hills-grizzlies-(mankato,ks)/volleyball/home.htm

MAXPREPS.COM
403 Geo-block",2020-09-07 20:52:46,,
13,0.0,,4.0,http://kpreps.com/kansas/teams/football/?id=258&t=mankato-rock-hills,2650970691823186,http://kpreps.com/kansas/teams/football/?id=258&t=mankato-rock-hills,https://facebook.com/story.php?story_fbid=2650970691823186&id=1472526443000956,"KPREPS.COM
Mankato-Rock Hills Grizzlies - Kansas High School Football - Kpreps.com",0.0,"http://kpreps.com/kansas/teams/football/?id=258&t=mankato-rock-hills

KPREPS.COM
Mankato-Rock Hills Grizzlies - Kansas High School Football - Kpreps.com",2020-09-07 20:32:31,,
14,0.0,,5.0,,2650797835173805,"Good Morning,
Below is a list of activities for the upcoming week. Have a great week.
--
Thanks
Sam Meyers

Tuesday
High School Volleyball at Rock Hills (see attachment)

Wednesday
Dental Screenings

Thursday
Junior High VB/FB at Rock Hills vs. Southern Cloud (see attachment)
Cross Country at Washington

Friday
High School Football vs. Lakeside at Downs
School Picture Day

Saturday
High School Volleyball at Solomon
Cross Country at Wamego",https://facebook.com/story.php?story_fbid=2650797835173805&id=1472526443000956,,0.0,"Good Morning,
Below is a list of activities for the upcoming week. Have a great week.
--
Thanks
Sam Meyers

Tuesday
High School Volleyball at Rock Hills (see attachment)

Wednesday
Dental Screenings

Thursday
Junior High VB/FB at Rock Hills vs. Southern Cloud (see attachment)
Cross Country at Washington

Friday
High School Football vs. Lakeside at Downs
School Picture Day

Saturday
High School Volleyball at Solomon
Cross Country at Wamego",2020-09-07 14:53:15,,
15,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119026308_2650658048521117_5110664827911642162_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=Mybf_xf87mEAX-bXGAW&_nc_ht=scontent-atl3-1.xx&tp=14&oh=47d0abfad731b953317e92a1f433525e&oe=5F83DD12,26.0,,2650660461854209,Thank you to our banner sponsors this year! We are still adding business partners to our banner program. If interested contact Mr. Meyers or Mr. Luedke at the Junior/Senior High. Community partnerships are important to the success of ALL of our activities for ALL OF OUR STUDENTS!,https://facebook.com/story.php?story_fbid=2650660461854209&id=1472526443000956,,0.0,Thank you to our banner sponsors this year! We are still adding business partners to our banner program. If interested contact Mr. Meyers or Mr. Luedke at the Junior/Senior High. Community partnerships are important to the success of ALL of our activities for ALL OF OUR STUDENTS!,2020-09-07 11:21:08,,
16,0.0,,4.0,,2650609811859274,,https://facebook.com/story.php?story_fbid=2650609811859274&id=1472526443000956,,0.0,,2020-09-07 10:06:06,,
17,1.0,,2.0,http://www.usd107.org/,2650608825192706,,https://facebook.com/story.php?story_fbid=2650608825192706&id=1472526443000956,,0.0,,2020-09-07 10:04:55,,
18,0.0,,2.0,,2650605498526372,"We need a gate worker and two line judges for Tuesday night. Please volunteer! If we don’t have workers the event won’t happen.

We need two line judges for Thursday JH volleyball as well.",https://facebook.com/story.php?story_fbid=2650605498526372&id=1472526443000956,,0.0,"We need a gate worker and two line judges for Tuesday night. Please volunteer! If we don’t have workers the event won’t happen.

We need two line judges for Thursday JH volleyball as well.",2020-09-07 10:00:26,,
19,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118842373_2648846612035594_7466346867736801571_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=rQLfoEeqCMIAX_8U5Bf&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ffc476f1b6aa9e265e7835211ec3e1f7&oe=5F85703F,25.0,,2648851675368421,"What a great night to be a GRIZZLIES! Great to do something normal again!
Grizzlies 52 vs Warriors 6
Enjoy the highlights of the game!",https://facebook.com/story.php?story_fbid=2648851675368421&id=1472526443000956,,0.0,"What a great night to be a GRIZZLIES! Great to do something normal again!
Grizzlies 52 vs Warriors 6
Enjoy the highlights of the game!",2020-09-05 10:13:36,,
20,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119064681_2428035314160843_3768770182971427200_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=R3ahFF4jkfkAX_rxqo0&_nc_ht=scontent-atl3-1.xx&tp=14&oh=75ee9d7899a7fba51b5c549cb4125648&oe=5F83F178,0.0,,2647821485471440,,https://facebook.com/story.php?story_fbid=2647821485471440&id=1472526443000956,"Rock Hills USD 107
September 3 at 6:14 PM ·",2.0,"Rock Hills USD 107
September 3 at 6:14 PM ·",2020-09-04 05:13:25,,
