,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,,759598288161152,,,"MON, SEP 14
Booster Club Meeting",0.0,"MON, SEP 14
Booster Club Meeting",2020-09-13 15:40:47,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119168673_3239522702812395_61437329098753145_n.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=6z8_lPjfYfsAX9KpDxM&_nc_ht=scontent-atl3-1.xx&oh=f747aaf8e9e83dde7582d7c211d3be1f&oe=5F89E8D5,19.0,,3239524702812195,Now accepting Credit/Debit cards for Concession stand and Black & Gold Spirit Wear!,https://facebook.com/story.php?story_fbid=3239524702812195&id=422283404536353,,0.0,Now accepting Credit/Debit cards for Concession stand and Black & Gold Spirit Wear!,2020-09-11 13:38:16,,
2,0.0,,1.0,,3203604459737553,"Forgot to order a Rogers shirt this year?

Well, you have a few hours left to order your Back and Gold or Cross Country t-shirts!

Seriously, order now. It's the best decision you'll make in 2020.",https://facebook.com/story.php?story_fbid=3203604459737553&id=422283404536353,,0.0,"Forgot to order a Rogers shirt this year?

Well, you have a few hours left to order your Back and Gold or Cross Country t-shirts!

Seriously, order now. It's the best decision you'll make in 2020.",2020-08-30 19:27:33,,
3,2.0,,10.0,,3196490540448945,"Are you ready for some football?!?!?!?

Well, if you didnt buy tickets earlier this week, there is a limited supply available at the gate. Tickets will be available at a first come, first served basis. All tickets are $4. Academy tickets are being sold at Academy ISD. There will be no visitor tickets sold at the gate. Masks must be worn while coming into the stadium and when not social distanced (per UIL guidelines). No Re-entry.",https://facebook.com/story.php?story_fbid=3196490540448945&id=422283404536353,,0.0,"Are you ready for some football?!?!?!?

Well, if you didnt buy tickets earlier this week, there is a limited supply available at the gate. Tickets will be available at a first come, first served basis. All tickets are $4. Academy tickets are being sold at Academy ISD. There will be no visitor tickets sold at the gate. Masks must be worn while coming into the stadium and when not social distanced (per UIL guidelines). No Re-entry.",2020-08-28 11:23:21,,
4,0.0,,6.0,,3193211380776861,,https://facebook.com/story.php?story_fbid=3193211380776861&id=422283404536353,"Trico Propane Coach Charlie Roten Rogers Show
August 24 at 11:45 AM ·

Don't forget - This week's opening season show will be on KMIL 105.1 The Ranch this Friday morning following the Cameron and Rosebud-Lott Coaches shows.

Anyone interested in sponsoring the show please call Misty Green at 254.482.0680 and she can give you information on some really affordable packages.",2.0,"Trico Propane Coach Charlie Roten Rogers Show
August 24 at 11:45 AM ·

Don't forget - This week's opening season show will be on KMIL 105.1 The Ranch this Friday morning following the Cameron and Rosebud-Lott Coaches shows.

Anyone interested in sponsoring the show please call Misty Green at 254.482.0680 and she can give you information on some really affordable packages.",2020-08-27 10:08:59,,
5,0.0,,0.0,,,"Don't forget - This week's opening season show will be on KMIL 105.1 The Ranch this Friday morning following the Cameron and Rosebud-Lott Coaches shows.

Anyone interested in sponsoring the show please call Misty Green at 254.482.0680 and she can give you information on some really affordable packages.",https://facebook.com/story.php?story_fbid=333446104704181&id=103303924385068,,0.0,"Don't forget - This week's opening season show will be on KMIL 105.1 The Ranch this Friday morning following the Cameron and Rosebud-Lott Coaches shows.

Anyone interested in sponsoring the show please call Misty Green at 254.482.0680 and she can give you information on some really affordable packages.",2020-09-18 02:39:42.501916,,
6,0.0,,4.0,https://tinyurl.com/y3s3fvma,3184163675014965,Here are the official Athletic Ticket guidelines.,https://facebook.com/story.php?story_fbid=3184163675014965&id=422283404536353,"4.FILES.EDL.IO
4.files.edl.io",2.0,"Here are the official Athletic Ticket guidelines.

4.FILES.EDL.IO
4.files.edl.io",2020-08-24 11:03:31,,
7,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118217129_3181643958600270_3551107391799510174_o.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=pNoFVz8Qb64AX_ThJYe&_nc_ht=scontent-atl3-1.xx&oh=91003597c1021712fc2c5e7f17aa372a&oe=5F8A4FC8,7.0,,3181644045266928,"If you haven't got your order in yet, here is the order form for Rogers Eagles Volleyball T-Shirts!
*** UPDATE ***
We can still accept orders for Volleyball T-shirts until the end of day today (SUNDAY 8/23). So if you forgot or were just waiting for the right time, order now!",https://facebook.com/story.php?story_fbid=3181644045266928&id=422283404536353,,0.0,"If you haven't got your order in yet, here is the order form for Rogers Eagles Volleyball T-Shirts!
*** UPDATE ***
We can still accept orders for Volleyball T-shirts until the end of day today (SUNDAY 8/23). So if you forgot or were just waiting for the right time, order now!",2020-08-23 14:10:51,,
8,0.0,,3.0,https://www.signupgenius.com/go/4090f49afac2fa0ff2-football,3181627311935268,"We need volunteers for the 1st shift for Friday's Varsity football game vs Academy.

Work the first half and watch the second half for free!
(Tickets to the game are presale only, and we are only allowed 45% capacity!)

Sign up here:
https://www.signupgenius.com/go/4090f49afac2fa0ff2-football",https://facebook.com/story.php?story_fbid=3181627311935268&id=422283404536353,"SIGNUPGENIUS.COM
Oops! An Error.",2.0,"We need volunteers for the 1st shift for Friday's Varsity football game vs Academy.

Work the first half and watch the second half for free!
(Tickets to the game are presale only, and we are only allowed 45% capacity!)

Sign up here:
https://www.signupgenius.com/go/4090f49afac2fa0ff2-football

SIGNUPGENIUS.COM
Oops! An Error.",2020-08-23 14:03:36,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117907583_3161720650592601_5511193377495330337_o.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=lRX1v30m2-8AX9WA9L-&_nc_ht=scontent-atl3-1.xx&oh=f0b6eb917809dba183ff1558dbe3e126&oe=5F8B02BF,6.0,,3161722920592374,"Not sure which sport to support? Or maybe you just want to support Eagles in general?

Here's the shirt for you!

Order by August 28th!",https://facebook.com/story.php?story_fbid=3161722920592374&id=422283404536353,,0.0,"Not sure which sport to support? Or maybe you just want to support Eagles in general?

Here's the shirt for you!

Order by August 28th!",2020-08-16 18:17:24,,
10,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117765939_3161717627259570_2548562319817991366_o.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=NvJ48YI845oAX-gVLGn&_nc_ht=scontent-atl3-1.xx&oh=a9f08f44a1afa3a38359d769ea05f71c&oe=5F8AD34B,7.0,,3161719467259386,"Rogers Eagles 2020 Spirit shirts in Women's cut!
Order by August 28th!",https://facebook.com/story.php?story_fbid=3161719467259386&id=422283404536353,,0.0,"Rogers Eagles 2020 Spirit shirts in Women's cut!
Order by August 28th!",2020-08-16 18:15:30,,
11,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117822946_3156051171159549_4845915634071262845_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=UrSxyaAFSZgAX9LJTw6&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8840a6c656be3668a208b1fc029a5773&oe=5F8B714A,4.0,,3156055234492476,Order your Rogers Football shirts here! Orders must be in by August 28th!,https://facebook.com/story.php?story_fbid=3156055234492476&id=422283404536353,,0.0,Order your Rogers Football shirts here! Orders must be in by August 28th!,2020-08-14 19:07:58,,
12,0.0,,9.0,,3155968094501190,"Have you put in your T-Shirt order already? Would you like free delivery? Rogers Athletics Booster Club members get FREE delivery on their T-Shirt orders.

Non-members will be given a day and time to pick up shirts.

JOIN NOW! Support Rogers Athletics!",https://facebook.com/story.php?story_fbid=3155968094501190&id=422283404536353,,0.0,"Have you put in your T-Shirt order already? Would you like free delivery? Rogers Athletics Booster Club members get FREE delivery on their T-Shirt orders.

Non-members will be given a day and time to pick up shirts.

JOIN NOW! Support Rogers Athletics!",2020-08-14 18:20:14,,
13,0.0,,4.0,,3155953097836023,"As you might have heard, tickets to Volleyball and Football games will be limited this year. Did you know that members of boosters club who volunteer for half the game (including half time), get to watch the other half of the game from the stands?

Support Rogers Athletics, become a Rogers Athletics Booster today!",https://facebook.com/story.php?story_fbid=3155953097836023&id=422283404536353,,0.0,"As you might have heard, tickets to Volleyball and Football games will be limited this year. Did you know that members of boosters club who volunteer for half the game (including half time), get to watch the other half of the game from the stands?

Support Rogers Athletics, become a Rogers Athletics Booster today!",2020-08-14 18:14:45,,
14,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117682509_3149553955142604_6785389455488447067_n.jpg?_nc_cat=111&_nc_sid=85a577&_nc_ohc=RyiW0Xt-Cj8AX9dALH5&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9a88c7de8edb5b68bdf423fa44cf0342&oe=5F886812,15.0,,3149554128475920,,,,0.0,,2020-08-12 12:33:16,,
