,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,,324961705601785,Pond Road Middle School's internet is up and running. Please log into your current class. Everyone should be able to join their classes at this time.,https://facebook.com/story.php?story_fbid=324961705601785&id=109842130447078,,0.0,Pond Road Middle School's internet is up and running. Please log into your current class. Everyone should be able to join their classes at this time.,2020-09-11 08:57:48,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119202437_324956325602323_7493670578651606958_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=2muoMRE2brwAX_7sBbX&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4729d2deff6843313ab60b106a459d39&oe=5F82D8B6,41.0,,324956515602304,"September 11, 2001 – a day we will never forget. Today, we honor those we lost on 9/11 and all the first responders and civilians who risked their lives to help their fellow citizens.",https://facebook.com/story.php?story_fbid=324956515602304&id=109842130447078,,0.0,"September 11, 2001 – a day we will never forget. Today, we honor those we lost on 9/11 and all the first responders and civilians who risked their lives to help their fellow citizens.",2020-09-11 08:50:53,,
2,0.0,,1.0,,324931965604759,Pond Road Middle School is currently experiencing internet issues. We are working on the problem. Please try to join your classes at 8:30 am. Further information will be provided if we are having the same issue at that time.,https://facebook.com/story.php?story_fbid=324931965604759&id=109842130447078,,0.0,Pond Road Middle School is currently experiencing internet issues. We are working on the problem. Please try to join your classes at 8:30 am. Further information will be provided if we are having the same issue at that time.,2020-09-11 08:13:05,,
3,3.0,,42.0,,324384358992853,,https://facebook.com/story.php?story_fbid=324384358992853&id=109842130447078,"Governor Phil Murphy
September 10 at 2:37 PM ·

Welcome back to school, New Jersey! This is a school year like no other – whether you are attending remotely or in the classroom. By committing to safety, equity, and high-quality education, we are demonstrating why we have the #1 schools in the nation.",8.0,"Governor Phil Murphy
September 10 at 2:37 PM ·

Welcome back to school, New Jersey! This is a school year like no other – whether you are attending remotely or in the classroom. By committing to safety, equity, and high-quality education, we are demonstrating why we have the #1 schools in the nation.",2020-09-10 14:43:08,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119172020_667905520828619_3546917842745243686_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=JNbyG5BhQdoAX98xOiQ&_nc_ht=video-atl3-1.xx&oh=a49ffbd9120bc8e39e994d7b97083e20&oe=5F5E63FC,
4,9.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119147365_3130091063783559_6502778376324081970_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=3Q4hVe-x3EYAX-UAcPA&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dc0fe90dd07c291d201663a4e00dcbb7&oe=5F839547,75.0,,324254102339212,"Thank you for visiting Sharon Elementary School, Governor Murphy!",https://facebook.com/story.php?story_fbid=324254102339212&id=109842130447078,"Governor Phil Murphy
September 10 at 10:39 AM ·

Great to visit Sharon Elementary School in Robbinsville today and see how our students are doing during their first week back at school. This is a school year unlike any other, but we're committed to keeping our students safe and our public schools the best in the nation.",8.0,"Thank you for visiting Sharon Elementary School, Governor Murphy!

Governor Phil Murphy
September 10 at 10:39 AM ·

Great to visit Sharon Elementary School in Robbinsville today and see how our students are doing during their first week back at school. This is a school year unlike any other, but we're committed to keeping our students safe and our public schools the best in the nation.",2020-09-10 11:06:30,,
5,13.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119202521_324251409006148_3710889400492944674_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=GPW2kdXOzwwAX_G9Dex&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c747b2c022a213945964b9607e589a97&oe=5F84A1B3,189.0,,324252442339378,Sharon Elementary School had a special visit this morning from Governor Murphy for a tour of the building and our safety protocols to provide a safe learning environment for our students and staff. We are proud to be the first district for Governor Murphy to visit under the “Road Back to School” guidelines. Be sure to check out news coverage from his visit tonight at 5pm on Channel 4 NBC and Channel 10 Philadelphia.,https://facebook.com/story.php?story_fbid=324252442339378&id=109842130447078,,0.0,Sharon Elementary School had a special visit this morning from Governor Murphy for a tour of the building and our safety protocols to provide a safe learning environment for our students and staff. We are proud to be the first district for Governor Murphy to visit under the “Road Back to School” guidelines. Be sure to check out news coverage from his visit tonight at 5pm on Channel 4 NBC and Channel 10 Philadelphia.,2020-09-10 11:04:05,,
6,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119129690_324184935679462_5021279519852425490_n.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=6Rs3VasaNzwAX-ZuRus&_nc_oc=AQlcgdLJahiV-lSU-8kc0hepsz6jYkpN10-5iE02rEssT0VgMkcmC7Er-LGUf2KbTJw&_nc_ht=scontent-atl3-1.xx&oh=dbf1ad328c4994a160a4e50f9cc39f4f&oe=5F824FC8,83.0,,324185082346114,Special guest checks in at Sharon School this morning as Gov. Murphy paid a visit #RvilleProud,https://facebook.com/story.php?story_fbid=324185082346114&id=109842130447078,,0.0,Special guest checks in at Sharon School this morning as Gov. Murphy paid a visit #RvilleProud,2020-09-10 09:16:43,,
7,0.0,,0.0,https://us02web.zoom.us/j/84141970268?pwd=UHUxMzRXcis2THRZUVFoZUUyLytWdz09,323328345765121,"RHS PTSA would like to welcome you to a new school year! We are having our first PTSA meeting on Thursday, September 10 on a Zoom call @ 7:00 p.m. All parents, guardians, teachers, staff, and students are welcome to attend.



Join Zoom Meeting

https://us02web.zoom.us/j/84141970268?pwd=UHUxMzRXcis2THRZUVFoZUUyLytWdz09



Meeting ID: 841 4197 0268

Passcode: 653024

Any questions, please contact the PTSA at RHSPTSANJ@gmail.com.",https://facebook.com/story.php?story_fbid=323328345765121&id=109842130447078,"US02WEB.ZOOM.US
Join our Cloud HD Video Meeting",0.0,"RHS PTSA would like to welcome you to a new school year! We are having our first PTSA meeting on Thursday, September 10 on a Zoom call @ 7:00 p.m. All parents, guardians, teachers, staff, and students are welcome to attend.



Join Zoom Meeting

https://us02web.zoom.us/j/84141970268?pwd=UHUxMzRXcis2THRZUVFoZUUyLytWdz09



Meeting ID: 841 4197 0268

Passcode: 653024

Any questions, please contact the PTSA at RHSPTSANJ@gmail.com.

US02WEB.ZOOM.US
Join our Cloud HD Video Meeting",2020-09-09 09:38:39,,
8,1.0,,12.0,,323250749106214,Never know who you may park next to at RHS...we present a new series...”Walkin’ In With...” #rvilleproud,,,0.0,Never know who you may park next to at RHS...we present a new series...”Walkin’ In With...” #rvilleproud,2020-09-09 07:24:04,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118970864_336839067551493_1464442575275522418_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=ADeshJ3-fV0AX-PFMgS&_nc_ht=video-atl3-1.xx&oh=fd818b9d7d7db8d6221068a8b2189207&oe=5F5E6FD5,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119100265_322830829148206_143593415215021730_n.png?_nc_cat=101&_nc_sid=85a577&_nc_ohc=qvQlA8QL-xIAX-3RoSv&_nc_ht=scontent-atl3-1.xx&oh=8302c6aeb572e873301822f431ea9347&oe=5F8532FE,15.0,,322830859148203,,,,0.0,,2020-09-08 16:30:57,,
