,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,5.0,https://www.smore.com/bjc9g,3781626595199191,"Welcome Back South Brunswick!!!

We have missed you!! Hope you all had an awesome first week of school...

Please click on the following link to view this week's District News...

https://www.smore.com/bjc9g",https://facebook.com/story.php?story_fbid=3781626595199191&id=922768937751652,"SMORE.COM
District News",0.0,"Welcome Back South Brunswick!!!

We have missed you!! Hope you all had an awesome first week of school...

Please click on the following link to view this week's District News...

https://www.smore.com/bjc9g

SMORE.COM
District News",2020-09-11 12:41:59,,
1,0.0,,5.0,http://nixle.us/C73BQ?fbclid=IwAR2jCXyC1QsuVfYC99pqoQjfuNRHmUpcNdbSgZxtey9EyVb2YA6f4h4hraM,3781390348556149,"Remembering our South Brunswick residents and alumni who we tragically lost on September 11th...You will never be forgotten...

http://nixle.us/C73BQ?fbclid=IwAR2jCXyC1QsuVfYC99pqoQjfuNRHmUpcNdbSgZxtey9EyVb2YA6f4h4hraM",https://facebook.com/story.php?story_fbid=3781390348556149&id=922768937751652,"NIXLE.US
Remember the South Brunswick Residents Lost on September 11th from South Brunswick Twp Police Department : Nixle",0.0,"Remembering our South Brunswick residents and alumni who we tragically lost on September 11th...You will never be forgotten...

http://nixle.us/C73BQ?fbclid=IwAR2jCXyC1QsuVfYC99pqoQjfuNRHmUpcNdbSgZxtey9EyVb2YA6f4h4hraM

NIXLE.US
Remember the South Brunswick Residents Lost on September 11th from South Brunswick Twp Police Department : Nixle",2020-09-11 11:16:34,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119217459_3780794645282386_9185782619065117460_n.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=KnRK1swHG4MAX9UHIA1&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d6b90ca61a55aea9063a886a5ad8b9e4&oe=5F84F58B,47.0,,3780794858615698,Remembering those lost on September 11th...,https://facebook.com/story.php?story_fbid=3780794858615698&id=922768937751652,,0.0,Remembering those lost on September 11th...,2020-09-11 07:51:58,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118877228_3774987662529751_656896993326625124_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=09_chG3-rO8AX-\-\Nkn1&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3b2b714e132736e380991e7baac9d17b&oe=5F832646,12.0,,3774987829196401,,https://facebook.com/story.php?story_fbid=3774987829196401&id=922768937751652,,0.0,,2020-09-09 15:02:18,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118989097_3774920662536451_7345503603525499734_o.jpg?_nc_cat=109&_nc_sid=dd9801&_nc_ohc=uAnZ_5vfNasAX9CAi_l&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4a6fd386898f1bd4a4dcb0f0f6243765&oe=5F852868,37.0,,3774920972536420,,,,0.0,,2020-09-09 14:34:48,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118961257_3771144886247362_3324855502848357770_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=gDRPgNySIb8AX9Ebm-C&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b01a73c065a321386369877cc563799a&oe=5F82276D,22.0,,3771147702913747,"Last year, student artwork was selected to be showcased in the upcoming 2020-2021 district calendar. These artists, and their art teachers, will be celebrated at a Board of Education Virtual Meeting on Sept.10, 2020. Please help us congratulate these students...",https://facebook.com/story.php?story_fbid=3771147702913747&id=922768937751652,,0.0,"Last year, student artwork was selected to be showcased in the upcoming 2020-2021 district calendar. These artists, and their art teachers, will be celebrated at a Board of Education Virtual Meeting on Sept.10, 2020. Please help us congratulate these students...",2020-09-08 12:28:58,,
6,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118626416_3753553688006482_5604615404975874905_n.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=M2hQXXjz05IAX_d6llH&_nc_ht=scontent-atl3-1.xx&tp=14&oh=fb2487c6b10aee581cfaa62e089821bc&oe=5F83B199,123.0,,3753553858006465,"SBHS students Arnavh Sinha (pictured left), 10th grade and Arushi Kashyap (pictured right), 10th grade deliver face shields to Black Horse Lane for students and staff that they made. Others who participated in the project are Anika Sinha (5th grade), and Anika Kashyap (6th grade).Both face mask and face shields initiative was from the non profit organization BJANA.",https://facebook.com/story.php?story_fbid=3753553858006465&id=922768937751652,,0.0,"SBHS students Arnavh Sinha (pictured left), 10th grade and Arushi Kashyap (pictured right), 10th grade deliver face shields to Black Horse Lane for students and staff that they made. Others who participated in the project are Anika Sinha (5th grade), and Anika Kashyap (6th grade).Both face mask and face shields initiative was from the non profit organization BJANA.",2020-09-03 09:16:04,,
7,0.0,,11.0,https://drive.google.com/file/d/1S28XvoRHuoQFrbrSSbRiwWKqitblQzKF/view?usp=sharing,3747464111948773,"Please click on the following link to view Scott Feder's back to school message:
https://drive.google.com/file/d/1S28XvoRHuoQFrbrSSbRiwWKqitblQzKF/view?usp=sharing",https://facebook.com/story.php?story_fbid=3747464111948773&id=922768937751652,"DRIVE.GOOGLE.COM
Welcome Back Letter to the Community 2020.pdf",4.0,"Please click on the following link to view Scott Feder's back to school message:
https://drive.google.com/file/d/1S28XvoRHuoQFrbrSSbRiwWKqitblQzKF/view?usp=sharing

DRIVE.GOOGLE.COM
Welcome Back Letter to the Community 2020.pdf",2020-09-01 15:12:23,,
8,0.0,,3.0,https://tinyurl.com/SBSDSOS,3746900422005142,,https://facebook.com/story.php?story_fbid=3746900422005142&id=922768937751652,,14.0,,2020-09-01 11:40:21,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118367930_3724972507531267_4945425836093114494_n.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=u6LEvT9tEcgAX_CzRy2&_nc_ht=scontent-atl3-1.xx&tp=14&oh=40e4a20676df5e97e160f6277b7e18e1&oe=5F838501,9.0,,3724972620864589,,https://facebook.com/story.php?story_fbid=3724972620864589&id=922768937751652,,0.0,,2020-08-26 09:25:26,,
