,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119192746_2966899560080853_4649781278949677800_n.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=Psuvwn70XkAAX-5_5Lh&_nc_ht=scontent-atl3-1.xx&tp=14&oh=21ca953e337c730b7d0791b89455e6ba&oe=5F829F15,8.0,,2966899650080844,Parents: This year Schiller School is able to offer new mental health services/counseling to all students. Consents that went home do not mean that they are required to see a counselor but it allows students extra support if needed in the future. We are very thankful for this partnership with Centralia Resource Center.,https://facebook.com/story.php?story_fbid=2966899650080844&id=283256398445196,,0.0,Parents: This year Schiller School is able to offer new mental health services/counseling to all students. Consents that went home do not mean that they are required to see a counselor but it allows students extra support if needed in the future. We are very thankful for this partnership with Centralia Resource Center.,2020-09-11 17:53:31,,
1,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119155036_2961400490630760_8991722387625968369_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=PVLh-w9B-9wAX8UI8o7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8a5229e092a412e550ebcd7d7386a188&oe=5F8264E5,4.0,http://Lifetouch.com/,2961400557297420,School pictures are September 15th at Schiller School! Packets have been sent home with students. Orders may also be placed online at Lifetouch.com. Remote learners may come between 3-4 p.m. to the gym door off the parking lot to have their pictures taken.,https://facebook.com/story.php?story_fbid=2961400557297420&id=283256398445196,,0.0,School pictures are September 15th at Schiller School! Packets have been sent home with students. Orders may also be placed online at Lifetouch.com. Remote learners may come between 3-4 p.m. to the gym door off the parking lot to have their pictures taken.,2020-09-10 00:38:50,,
2,2.0,,4.0,http://www.ccs135.com/,2957348294369313,The Schiller School Parent/Student Handbook may be viewed on the school website (www.ccs135.com). Today copies of the school handbook were sent home with students. Please sign the final page and return to school tomorrow. Students who return their signed sheet will receive a special treat from Mrs. Marshall!!!,https://facebook.com/story.php?story_fbid=2957348294369313&id=283256398445196,"CCS135.COM
Centralia City Schools",4.0,"The Schiller School Parent/Student Handbook may be viewed on the school website (www.ccs135.com). Today copies of the school handbook were sent home with students. Please sign the final page and return to school tomorrow. Students who return their signed sheet will receive a special treat from Mrs. Marshall!!!

CCS135.COM
Centralia City Schools",2020-09-08 16:25:51,,
3,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118886545_2956844794419663_5048452810960145756_o.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=da2K6qdtQk8AX9ZPSvC&_nc_ht=scontent-atl3-1.xx&tp=14&oh=080f5ad9af46d74556b4394b058a8c86&oe=5F83226C,9.0,,2956844831086326,All orders are online or call in only. Orders due September 17th.,https://facebook.com/story.php?story_fbid=2956844831086326&id=283256398445196,,0.0,All orders are online or call in only. Orders due September 17th.,2020-09-08 12:32:05,,
4,0.0,,3.0,https://www.youtube.com/watch?v=zLFrDMJRPjg,2956748741095935,"""Boys and girls grades K-5! There is an informational meeting for Centralia Cub Scout packs' 260 &446 Thursday, September 10th at Foundation Park in Centralia between 6pm and 8pm. You’ll find them in the park at Catfish Pond""
https://www.youtube.com/watch?v=zLFrDMJRPjg",https://facebook.com/story.php?story_fbid=2956748741095935&id=283256398445196,"YOUTUBE.COM
Centralia Cub Scout Recruitment video",4.0,"""Boys and girls grades K-5! There is an informational meeting for Centralia Cub Scout packs' 260 &446 Thursday, September 10th at Foundation Park in Centralia between 6pm and 8pm. You’ll find them in the park at Catfish Pond""
https://www.youtube.com/watch?v=zLFrDMJRPjg

YOUTUBE.COM
Centralia Cub Scout Recruitment video",2020-09-08 11:50:48,,
5,8.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118230071_2921580831279393_421719058323243462_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=D6gLvylW9xwAX9XM8tO&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0a54501edb7e45bf859b4c81f684ae9d&oe=5F8449D9,31.0,,2921581081279368,Our students have done a good job keeping their masks on and being responsible. Thank you parents for helping to teach them how important it is!,https://facebook.com/story.php?story_fbid=2921581081279368&id=283256398445196,,0.0,Our students have done a good job keeping their masks on and being responsible. Thank you parents for helping to teach them how important it is!,2020-08-27 17:01:40,,
6,6.0,,7.0,,2899056040198539,"Parent drop up will start at 8:45 at exit B on 4th Street. Please pull over off of the road and wait for staff. A staff member will scan your qr code which should be placed in the lower passenger side windshield. Your child should be on the right side as well for faster screening IF possible. Please roll down your child's window so we may ask the two screening questions and take your child's temperature. Upon clearance, they will enter exit/entrance B with their mask on.
IF THE SIDE OF THE ROAD NEXT TO THE BUILDING IS FULL, please go around ther parking lot circle and turn right to get in line for screening.
Student pick up will work the same way with students dismissed out exit B after scanning your posted qrcode. No child will be released to walk ups. Please remain in your car.
Thank you for your patience as we try our best to make everyone safe at Schiller Schools😊",https://facebook.com/story.php?story_fbid=2899056040198539&id=283256398445196,,0.0,"Parent drop up will start at 8:45 at exit B on 4th Street. Please pull over off of the road and wait for staff. A staff member will scan your qr code which should be placed in the lower passenger side windshield. Your child should be on the right side as well for faster screening IF possible. Please roll down your child's window so we may ask the two screening questions and take your child's temperature. Upon clearance, they will enter exit/entrance B with their mask on.
IF THE SIDE OF THE ROAD NEXT TO THE BUILDING IS FULL, please go around ther parking lot circle and turn right to get in line for screening.
Student pick up will work the same way with students dismissed out exit B after scanning your posted qrcode. No child will be released to walk ups. Please remain in your car.
Thank you for your patience as we try our best to make everyone safe at Schiller Schools😊",2020-08-19 22:45:14,,
7,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117595147_166448421610282_5376996882208368810_n.png?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=I20pIi4nogEAX_QSHTG&_nc_ht=scontent-atl3-1.xx&oh=b7865dd13a53ad54baf65916efca78fd&oe=5F8216EE,2.0,,2898921613545315,Don’t forget about our adjusted start and dismissal times! We can’t wait to get started tomorrow!,https://facebook.com/story.php?story_fbid=2898921613545315&id=283256398445196,"CCS District 135
August 13 at 8:00 AM ·

AUGUST 20, 2020 (In-Person and Remote)

Schiller and Jordan Elementary:
doors will open at 8:45 and dismiss at 2:45
Central Middle and Centralia Jr. High:
doors will open at 7:45 and dismiss at 1:45

Please make sure to start checking each school's Facebook page for specific information on pickup and drop-off procedures.",2.0,"Don’t forget about our adjusted start and dismissal times! We can’t wait to get started tomorrow!

CCS District 135
August 13 at 8:00 AM ·

AUGUST 20, 2020 (In-Person and Remote)

Schiller and Jordan Elementary:
doors will open at 8:45 and dismiss at 2:45
Central Middle and Centralia Jr. High:
doors will open at 7:45 and dismiss at 1:45

Please make sure to start checking each school's Facebook page for specific information on pickup and drop-off procedures.",2020-08-19 21:33:59,,
8,11.0,,4.0,https://forms.gle/sicCjigug8yJHGCz7,2898424920261651,,https://facebook.com/story.php?story_fbid=2898424920261651&id=283256398445196,,0.0,,2020-08-19 16:56:42,,
9,8.0,,14.0,,2895985777172232,"Bus students!!!
Students will hold up their issued QR Code for there bus monitor. They will be asked if they have any symptoms or fever and if they have been exposed to anyone with COVID. Their temperature will be taken and they will load the bus for school. Can't wait to see everyone Thursday!",,,0.0,"Bus students!!!
Students will hold up their issued QR Code for there bus monitor. They will be asked if they have any symptoms or fever and if they have been exposed to anyone with COVID. Their temperature will be taken and they will load the bus for school. Can't wait to see everyone Thursday!",2020-08-18 20:28:07,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/117617923_434670307465957_2245070954343705193_n.mp4?_nc_cat=105&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=EGIZR50ytZ4AX_BvFlE&_nc_ht=video-atl3-1.xx&oh=4f592c0e959099c5ef18a5a8e7e54672&oe=5F5D9819,
10,4.0,,7.0,https://docs.google.com/presentation/d/1zdVldIJddl_NOkuoiATueLLh-dI0GCfuXeKBpNCZtcM/edit?usp=sharing,2892950207475789,"Welcome to Schiller School!!!
https://docs.google.com/presentation/d/1zdVldIJddl_NOkuoiATueLLh-dI0GCfuXeKBpNCZtcM/edit?usp=sharing",https://facebook.com/story.php?story_fbid=2892950207475789&id=283256398445196,"DOCS.GOOGLE.COM
Bitmoji Back to School 2021 Locked",20.0,"Welcome to Schiller School!!!
https://docs.google.com/presentation/d/1zdVldIJddl_NOkuoiATueLLh-dI0GCfuXeKBpNCZtcM/edit?usp=sharing

DOCS.GOOGLE.COM
Bitmoji Back to School 2021 Locked",2020-08-17 18:23:41,,
11,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117721548_2892046387566171_5609244503493304336_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=pvbucKcKtkIAX_udhYz&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2db0e1673f8d279d09f0a357d44573ab&oe=5F81FB46,3.0,,2892046677566142,"‼️REMOTE LEARNING PLAN PICKUP‼️

Date: Tuesday, August 18, 2020
Time: 3:00-6:00PM
Location: At your student's school of attendance.
*Masks will be required.*

If you are signed up for Remote Learning, you should go to your student's school of attendance to pickup your Remote Learning informational packet. You will also be able to sign out a Chromebook at this time as well. These packets will have all the information you will need to get started with Remote Learning on the first day of school, August 20.

***You must be listed on the student's Skyward account in order to pick up the packet and sign out a Chromebook.***",https://facebook.com/story.php?story_fbid=2892046677566142&id=283256398445196,,0.0,"‼️REMOTE LEARNING PLAN PICKUP‼️

Date: Tuesday, August 18, 2020
Time: 3:00-6:00PM
Location: At your student's school of attendance.
*Masks will be required.*

If you are signed up for Remote Learning, you should go to your student's school of attendance to pickup your Remote Learning informational packet. You will also be able to sign out a Chromebook at this time as well. These packets will have all the information you will need to get started with Remote Learning on the first day of school, August 20.

***You must be listed on the student's Skyward account in order to pick up the packet and sign out a Chromebook.***",2020-08-17 11:03:22,,
