,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119226595_2841255226108937_3006207520510168730_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=A_rX-cOQ6cMAX830aoX&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cbf394e1864d3d0b666187b576783c09&oe=5F8375A0,9.0,,2841255852775541,"Friendly reminder that our Picture Day is Monday, September 14th. For those that are Distance Learners, we will schedule your pictures on our make up day on October 22nd. We will send out more information as we get closer to that date.",https://facebook.com/story.php?story_fbid=2841255852775541&id=1435137560054051,,0.0,"Friendly reminder that our Picture Day is Monday, September 14th. For those that are Distance Learners, we will schedule your pictures on our make up day on October 22nd. We will send out more information as we get closer to that date.",2020-09-11 20:12:37,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119088558_2838904963010630_7064162198980304272_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=s4aAqYHL3EEAX8TmLOl&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a2fd20a2cbaff8d0d23e6904e2d74fb8&oe=5F81FDA7,55.0,,2838905246343935,What is SAIL doing to keep everyone safe? Here are a few pictures illustrating some of the precautions we are taking.,https://facebook.com/story.php?story_fbid=2838905246343935&id=1435137560054051,,0.0,What is SAIL doing to keep everyone safe? Here are a few pictures illustrating some of the precautions we are taking.,2020-09-09 11:56:54,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118797368_2838054946428965_6916768947464407355_o.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=NIwq2QbqTWYAX_WyxQd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9946f97be1cd614479693a60f12cc8d8&oe=5F8202BB,68.0,,2838055649762228,SAIL is so happy to have our Scholars in the building! We had a great first day of school!!!!,https://facebook.com/story.php?story_fbid=2838055649762228&id=1435137560054051,,0.0,SAIL is so happy to have our Scholars in the building! We had a great first day of school!!!!,2020-09-08 15:42:53,,
3,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118445257_2830840483817078_1391171714400769651_o.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=XDKaSARDX08AX8FwsSz&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7d7f0873ac15d2e39ffd5bf4f56f4348&oe=5F842395,46.0,,2830840723817054,We had a great time today at our first Return to Learn Parade! We are very excited for school to finally get underway next week!!,https://facebook.com/story.php?story_fbid=2830840723817054&id=1435137560054051,,0.0,We had a great time today at our first Return to Learn Parade! We are very excited for school to finally get underway next week!!,2020-09-01 16:25:33,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118588416_2826271114274015_7111064930691640499_n.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=1dyjclyw0LoAX9JRRJ7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=adac067f698bddd8f39adafea5fee4ed&oe=5F813BE2,16.0,,2826271290940664,,https://facebook.com/story.php?story_fbid=2826271290940664&id=1435137560054051,,0.0,,2020-08-28 08:49:02,,
5,0.0,,11.0,https://youtu.be/cF9bI8nZkqw,2824106314490495,"It has come to our attention that the link to our ""Happy"" video is no longer working. We have moved the video to YouTube so you can click on the following link to view it. https://youtu.be/cF9bI8nZkqw",https://facebook.com/story.php?story_fbid=2824106314490495&id=1435137560054051,"YOUTUBE.COM
Happy at SAIL",4.0,"It has come to our attention that the link to our ""Happy"" video is no longer working. We have moved the video to YouTube so you can click on the following link to view it. https://youtu.be/cF9bI8nZkqw

YOUTUBE.COM
Happy at SAIL",2020-08-26 07:18:32,,
6,0.0,,11.0,https://sites.google.com/sailga.org/sailvirtualopenhouse/home,2823348417899618,"Virtual Meet and Greet!

https://sites.google.com/sailga.org/sailvirtualopenhouse/home",https://facebook.com/story.php?story_fbid=2823348417899618&id=1435137560054051,"SITES.GOOGLE.COM
Virtual Open House",5.0,"Virtual Meet and Greet!

https://sites.google.com/sailga.org/sailvirtualopenhouse/home

SITES.GOOGLE.COM
Virtual Open House",2020-08-25 12:58:20,,
7,4.0,,18.0,https://drive.google.com/file/d/1pjqAxsvhRsL-HK6ya4Upr0gQE644c4uu/view,2823348107899649,"We are happy!!
https://drive.google.com/file/d/1pjqAxsvhRsL-HK6ya4Upr0gQE644c4uu/view",https://facebook.com/story.php?story_fbid=2823348107899649&id=1435137560054051,"ACCOUNTS.GOOGLE.COM
Meet Google Drive – One place for all your files",0.0,"We are happy!!
https://drive.google.com/file/d/1pjqAxsvhRsL-HK6ya4Upr0gQE644c4uu/view

ACCOUNTS.GOOGLE.COM
Meet Google Drive – One place for all your files",2020-08-25 12:57:59,,
8,0.0,,12.0,https://sailga.org/apps/news/show_news.jsp?REC_ID=655849&id=1,2815976138636846,"Please review The Anchor and read about all we are doing to keep our Scholars safe. We will be sending more info soon!

https://sailga.org/apps/news/show_news.jsp?REC_ID=655849&id=1",https://facebook.com/story.php?story_fbid=2815976138636846&id=1435137560054051,"SAILGA.ORG
Serving our Scholars Safely at SAIL",4.0,"Please review The Anchor and read about all we are doing to keep our Scholars safe. We will be sending more info soon!

https://sailga.org/apps/news/show_news.jsp?REC_ID=655849&id=1

SAILGA.ORG
Serving our Scholars Safely at SAIL",2020-08-17 17:35:06,,
9,10.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117763863_2814777202090073_4622135562900032480_o.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=9aLj_84-Ru8AX-mbcxe&_nc_ht=scontent-atl3-1.xx&tp=14&oh=db12d54120742b2ba714eb2806470cf9&oe=5F829A6D,54.0,,2814778155423311,We are busy getting ready for our Scholars! These pictures are a “sneak peek” of things to come! We will be sending out more info soon!!!!,https://facebook.com/story.php?story_fbid=2814778155423311&id=1435137560054051,,0.0,We are busy getting ready for our Scholars! These pictures are a “sneak peek” of things to come! We will be sending out more info soon!!!!,2020-08-16 10:29:19,,
