,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,8.0,,20.0,https://www.upcloseaz.com/tag/self-development-academy/,2944998742492063,"How will you know if it's safe for students to return to school? Find out what to look for. 👀😳

**NOTE: Students are not required to return to campus at this time.",https://facebook.com/story.php?story_fbid=2944998742492063&id=1377603575898262,"UPCLOSEAZ.COM
self development academy | Up Close Publications",4.0,"How will you know if it's safe for students to return to school? Find out what to look for. 👀😳

**NOTE: Students are not required to return to campus at this time.

UPCLOSEAZ.COM
self development academy | Up Close Publications",2020-08-12 13:50:59,,
1,8.0,,57.0,,2939413686383902,🙏🏼✨Very honored for @selfdevphx to be one of only 18 recipients of a highly coveted grant from @aforarizona for our “innovative and effective” proposal to educate countless students without someone to supervise them at home and a closed school building. Thank you. ⭐️,,,0.0,🙏🏼✨Very honored for @selfdevphx to be one of only 18 recipients of a highly coveted grant from @aforarizona for our “innovative and effective” proposal to educate countless students without someone to supervise them at home and a closed school building. Thank you. ⭐️,2020-08-06 19:26:58,,
2,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117088612_2938228226502448_4502095278801571860_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=IKGdxcPyt04AX8pEcKS&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4941821875aaef1ed90beac90482dfe7&oe=5F838D57,42.0,,2938229089835695,"Thank you so much for the kind words! We appreciate your patience and understanding during this time. Together we will get through this.

Anjum Majeed Vernetta Madsen Greg Sarkissian

#sdpstrong #sdastrong",https://facebook.com/story.php?story_fbid=2938229089835695&id=1377603575898262,,0.0,"Thank you so much for the kind words! We appreciate your patience and understanding during this time. Together we will get through this.

Anjum Majeed Vernetta Madsen Greg Sarkissian

#sdpstrong #sdastrong",2020-08-05 13:45:34,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116800919_2936546836670587_8357904654947975912_o.jpg?_nc_cat=109&_nc_sid=2d5d41&_nc_ohc=yJySigbPLQcAX8hWMoY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4ae920e9dd41faef6c3c1d2b1deaa02a&oe=5F844DEC,15.0,,2936546833337254,"Yep. Big day tomorrow. Lots of changes. But change is inevitable, except from a vending machine. Welcome back, everyone. 🧠🕥 @selfdevglendale @selfdevglendale",,,0.0,"Yep. Big day tomorrow. Lots of changes. But change is inevitable, except from a vending machine. Welcome back, everyone. 🧠🕥 @selfdevglendale @selfdevglendale",2020-08-03 21:22:09,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116875800_2935313316793939_7235899225226907696_n.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=c8myg30rsJ8AX9ANlrp&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ef27a7e70bff60ee60b7138f679c5556&oe=5F847D17,16.0,,2935313390127265,"All Self Development Academy Campuses Open Tuesday, August 4th. All students are required to use google meets to view their teacher’s live instruction tomorrow.",https://facebook.com/story.php?story_fbid=2935313390127265&id=1377603575898262,,0.0,"All Self Development Academy Campuses Open Tuesday, August 4th. All students are required to use google meets to view their teacher’s live instruction tomorrow.",2020-08-02 14:05:45,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/107700893_2914031992255405_1857556984666082226_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=SOJ9wABJ-LcAX_efcDM&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a67a4942f17777492cd0dba43aac3299&oe=5F82C449,20.0,,2914032718921999,"🏫 Expect frequent updates regarding school reopening plans.
💻Please check your email.",https://facebook.com/story.php?story_fbid=2914032718921999&id=1377603575898262,,0.0,"🏫 Expect frequent updates regarding school reopening plans.
💻Please check your email.",2020-07-10 19:15:38,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/107322902_2911722462486358_7001031813067550884_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=AhFG0tDGyFYAX-qiQsN&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cd7687ef8859733def537d0f51d99ef5&oe=5F85785E,17.0,,2911725329152738,"Don’t forget about our community swaps at our Glendale campus today from 8a to 12p! Next week SDA-Phoenix will resume hosting them too!

What is our community swap?
#weareallinthistogether and the #sdafam means. Each week our community comes together to drop off or pick up whatever household items are needed. It’s way of taking care of each other when we can’t connect.

Wednesday’s
8a to 12p
SDA-Glendale
16635 N 51st Ave 85306

Wednesday’s
9a to 3p
1515 e Indian school rd 85014

There’s always toilet paper. And there’s always a smile.",https://facebook.com/story.php?story_fbid=2911725329152738&id=1377603575898262,,0.0,"Don’t forget about our community swaps at our Glendale campus today from 8a to 12p! Next week SDA-Phoenix will resume hosting them too!

What is our community swap?
#weareallinthistogether and the #sdafam means. Each week our community comes together to drop off or pick up whatever household items are needed. It’s way of taking care of each other when we can’t connect.

Wednesday’s
8a to 12p
SDA-Glendale
16635 N 51st Ave 85306

Wednesday’s
9a to 3p
1515 e Indian school rd 85014

There’s always toilet paper. And there’s always a smile.",2020-07-08 09:15:18,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/107287898_2907992266192711_4925873170178920055_o.jpg?_nc_cat=106&_nc_sid=2d5d41&_nc_ohc=412rj-wcdJcAX83_CRP&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2cb89facecef971f1d55bf0d4b98f1f9&oe=5F85D593,17.0,,2907992262859378,"Convo between Thomas Jefferson & George Washington in 1775. Happy Fourth Everyone! 🇺🇸 #selfdev, #sdaproud, #thesdaway, #sdafam, #sdamom, #selfdevelopmentacademy, #bestschoolinaz, #bestschoolinmesa, #bestschoolinphx, #bestschoolglendale, #advancededucation, #bestmiddleschool,
#charterschool, #azcharterschool, #topperformingschool, #topperformingcharter, #middleschool, #elementaryschool, #fourth, #freedomforall,",,,0.0,"Convo between Thomas Jefferson & George Washington in 1775. Happy Fourth Everyone! 🇺🇸 #selfdev, #sdaproud, #thesdaway, #sdafam, #sdamom, #selfdevelopmentacademy, #bestschoolinaz, #bestschoolinmesa, #bestschoolinphx, #bestschoolglendale, #advancededucation, #bestmiddleschool,
#charterschool, #azcharterschool, #topperformingschool, #topperformingcharter, #middleschool, #elementaryschool, #fourth, #freedomforall,",2020-07-04 09:50:29,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/105384844_2898366490488622_715723647130441399_o.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=YPaiDnd9GfIAX-T7mf3&_nc_ht=scontent-atl3-1.xx&tp=14&oh=72bb712e164bf95b3a196c508be3b2ac&oe=5F8452F7,7.0,,2898367963821808,"☝🏼🗣Psst! Phoenix and Glendale parents! Don’t forget today is the community swap day for Phoenix and Glendale! Pick up free household items and drop off whatever you don’t need! 😃

Phoenix 9a to 3p
1515 E Indian School Rd
Phoenix, AZ 85014

Glendale 8a to 12p
16636 N. 51st Ave
Glendale, AZ 85306

#sdafam #sdacommunity #allinittogether #phoenix #giving #glendale #toiletpaper #papertowels
🧻 🧻🧻 🧻 🧻 🧻🧻 🧻 🧻 🧻🧻 🧻 🧻",https://facebook.com/story.php?story_fbid=2898367963821808&id=1377603575898262,,0.0,"☝🏼🗣Psst! Phoenix and Glendale parents! Don’t forget today is the community swap day for Phoenix and Glendale! Pick up free household items and drop off whatever you don’t need! 😃

Phoenix 9a to 3p
1515 E Indian School Rd
Phoenix, AZ 85014

Glendale 8a to 12p
16636 N. 51st Ave
Glendale, AZ 85306

#sdafam #sdacommunity #allinittogether #phoenix #giving #glendale #toiletpaper #papertowels
🧻 🧻🧻 🧻 🧻 🧻🧻 🧻 🧻 🧻🧻 🧻 🧻",2020-06-24 12:03:55,,
9,13.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104379668_2895565287435409_88544167668893218_o.jpg?_nc_cat=101&_nc_sid=2d5d41&_nc_ohc=rRpBx0RQ3ngAX-puupe&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7e703669b48062b00f0b050b6702ea5b&oe=5F85152F,126.0,,2895565284102076,"👨‍👧🎈Happy Father’s Day to all the fathers out there, including co-founder of Self Development Academy and a father of two, Asif Majeed. Fathers (and mothers) are the original educators, teaching us not only what to know, but to know what’s right and to right our wrongs.✨",,,0.0,"👨‍👧🎈Happy Father’s Day to all the fathers out there, including co-founder of Self Development Academy and a father of two, Asif Majeed. Fathers (and mothers) are the original educators, teaching us not only what to know, but to know what’s right and to right our wrongs.✨",2020-06-21 14:57:47,,
10,5.0,,31.0,,2894632120862059,"Hear why SDA was the perfect K-8 Academy for poets and Princeton Math majors.
#bestcharterschoolsinaz #mathmajors #bestschoolinaz #bestglendaleschool #bestphoenixschool #bestmesaschool #math #criticalthinking #creativity",,,0.0,"Hear why SDA was the perfect K-8 Academy for poets and Princeton Math majors.
#bestcharterschoolsinaz #mathmajors #bestschoolinaz #bestglendaleschool #bestphoenixschool #bestmesaschool #math #criticalthinking #creativity",2020-06-20 17:25:01,https://scontent-atl3-1.xx.fbcdn.net/v/t42.9040-4/104255272_296954964681141_8004206859582745746_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=-F_33EhSKDEAX-mJ0fk&_nc_oc=AQlxpey1Lx-zMMakD6YdNd2LKn7OLdZfu2jccWxIoJPE1KN8IiWQS-OGCcUoUdJZRRA&_nc_ht=scontent-atl3-1.xx&oh=92f267ac0afd41ef5c59fdc0e56eed4a&oe=5F5EAA7F,
11,8.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104400955_2892656211059650_4992533859111300869_o.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=rMlJXpyTTwYAX91N6xb&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c0dd744579aa74fa7d0b8645ff8bbb7b&oe=5F835A58,89.0,,2892656207726317,"🗣 Wonderful news #sdafam! Mrs. Haschke, an early childhood expert, and all around favorite of parents, students, and staff alike, is returning this year! Every year she finds that spark in each kindergartener that excites a vigor for learning and yearning for art, science and, indeed, life itself. Welcome back, Mrs. Haschke😃❣️🙌🏼",,,0.0,"🗣 Wonderful news #sdafam! Mrs. Haschke, an early childhood expert, and all around favorite of parents, students, and staff alike, is returning this year! Every year she finds that spark in each kindergartener that excites a vigor for learning and yearning for art, science and, indeed, life itself. Welcome back, Mrs. Haschke😃❣️🙌🏼",2020-06-18 15:05:06,,
12,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/101527364_2878207819171156_7184937509715968000_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=EfnilOdfHpwAX8a5yxn&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9042d143a2173589f9186cffea360e68&oe=5F834C33,5.0,,2878211179170820,,https://facebook.com/story.php?story_fbid=2878211179170820&id=1377603575898262,,0.0,,2020-06-03 10:41:42,,
13,0.0,,7.0,https://youtu.be/qbWJooWgCdo,2870145863310685,"🎓🎉✨Click the link below for a special message for our former Grade 8 students by SDA - Mesa middle School Faculty Congrats Class of 2020! ✨🎉🎓

https://youtu.be/qbWJooWgCdo",https://facebook.com/story.php?story_fbid=2870145863310685&id=1377603575898262,"YOUTUBE.COM
8th Grade Graduates",3.0,"🎓🎉✨Click the link below for a special message for our former Grade 8 students by SDA - Mesa middle School Faculty Congrats Class of 2020! ✨🎉🎓

https://youtu.be/qbWJooWgCdo

YOUTUBE.COM
8th Grade Graduates",2020-05-25 21:20:34,,
14,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/99008581_2869958049996133_6917332674621210624_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=1e89WFAuA1wAX_dGkeX&_nc_ht=scontent-atl3-1.xx&tp=14&oh=869d87f958bece2f734d989e26a4b5e6&oe=5F823377,10.0,,2869958203329451,🇺🇸Thank you for your service.🇺🇸,https://facebook.com/story.php?story_fbid=2869958203329451&id=1377603575898262,,0.0,🇺🇸Thank you for your service.🇺🇸,2020-05-25 16:57:52,,
15,1.0,,12.0,,2869045960087342,"🎓🎈🎉Congratulations Self Development Academy - Mesa 8th graders! We are so proud of you! 🎉🎈🎓
#congratulations #selfdevelopmentacademymesa #sda",,,0.0,"🎓🎈🎉Congratulations Self Development Academy - Mesa 8th graders! We are so proud of you! 🎉🎈🎓
#congratulations #selfdevelopmentacademymesa #sda",2020-05-24 19:39:29,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/100736299_245161783402750_1074105075154026496_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=jOIpgJsfQs0AX9V53zk&_nc_ht=video-atl3-1.xx&oh=75beecdebb03e7fc5d159e375ac2543b&oe=5F5EAEBA,
16,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/98000438_2860314704293801_1143979979697029120_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=tiy8ygDu9JsAX_TD5cY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a3a41519179bedecaf082ec76caf52f5&oe=5F825E4E,20.0,,2860316644293607,"“I have over a thousand books. And that’s just for our middle school.” Author, teacher, and book collector Tici Lynn French Smith, who must have some serious plans for your kids, middle school parents.📚1️⃣0️⃣0️⃣0️⃣📈😬😬",https://facebook.com/story.php?story_fbid=2860316644293607&id=1377603575898262,,0.0,"“I have over a thousand books. And that’s just for our middle school.” Author, teacher, and book collector Tici Lynn French Smith, who must have some serious plans for your kids, middle school parents.📚1️⃣0️⃣0️⃣0️⃣📈😬😬",2020-05-15 22:39:07,,
17,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/96731262_2855176574807614_5763688743630274560_o.jpg?_nc_cat=110&_nc_sid=2d5d41&_nc_ohc=4CFiQw8VOccAX-I10t5&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0b9bf866abcfae439c34114d6d2f370c&oe=5F8608E4,10.0,,2855176568140948,"💫From all the mothers at Self Development Academy to all the mothers in the world, Happy Mother’s Day. 👩🏻‍🦱👩🏽‍🦰👩🏽‍🦳👵🏾👱🏼‍♀️",,,0.0,"💫From all the mothers at Self Development Academy to all the mothers in the world, Happy Mother’s Day. 👩🏻‍🦱👩🏽‍🦰👩🏽‍🦳👵🏾👱🏼‍♀️",2020-05-10 13:03:17,,
18,0.0,,8.0,,247211596521354,,,"WED, MAY 20
Mesa Campus 8th Grade Promotion",0.0,"WED, MAY 20
Mesa Campus 8th Grade Promotion",2020-05-08 15:52:30,,
19,0.0,,9.0,,270364727683973,,,"WED, MAY 20
Mrs. Cook’s PM Kindergarten Promotion",0.0,"WED, MAY 20
Mrs. Cook’s PM Kindergarten Promotion",2020-05-07 16:22:44,,
20,1.0,,9.0,,529769037706959,,,"WED, MAY 20
Mrs. Lauf’s Kindergarten Promotion",0.0,"WED, MAY 20
Mrs. Lauf’s Kindergarten Promotion",2020-05-07 16:20:46,,
21,1.0,,1.0,,2852073215117950,,https://facebook.com/story.php?story_fbid=2852073215117950&id=1377603575898262,"WED, MAY 20
Mrs. Cook’s AM Kindergarten Promotion",0.0,"WED, MAY 20
Mrs. Cook’s AM Kindergarten Promotion",2020-05-07 11:55:22,,
22,0.0,,7.0,,239589387150160,,,"WED, MAY 20
Mrs. Cook’s AM Kindergarten Promotion",0.0,"WED, MAY 20
Mrs. Cook’s AM Kindergarten Promotion",2020-05-07 11:54:55,,
23,5.0,,25.0,,2851346241857314,,https://facebook.com/story.php?story_fbid=2851346241857314&id=1377603575898262,,0.0,,2020-05-06 18:03:39,,
24,2.0,,4.0,,2851090521882886,A special thank you from one of our SDA's families!,https://facebook.com/story.php?story_fbid=2851090521882886&id=1377603575898262,,0.0,A special thank you from one of our SDA's families!,2020-05-06 11:27:51,,
25,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/96082597_2851084668550138_6671192591423242240_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=MFmNAE_5TGgAX8OkMLB&_nc_ht=scontent-atl3-1.xx&tp=14&oh=80517d4fdf8b45a81da9d1b6150734ba&oe=5F82C1F5,3.0,,2851085128550092,💥🎉And the Throwback Thursday winner is the Levaggi family!💥🎉,https://facebook.com/story.php?story_fbid=2851085128550092&id=1377603575898262,,0.0,💥🎉And the Throwback Thursday winner is the Levaggi family!💥🎉,2020-05-06 11:19:32,,
