,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/54516157_1206061086216232_2854176574746394624_o.jpg?_nc_cat=107&_nc_sid=2d5d41&_nc_ohc=lKmKLZRRR78AX_Bnnzr&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4892847255108fca0553c3800798de44&oe=5F8255CE,8.0,http://www.selmacityschools.org/,1206061082882899,Register today for the Selma City Schools Early Learning Program now located at Sophia P. Kingston Elementary! Registration information is also located on our website at www.selmacityschools.org #TeamSelma,,,0.0,Register today for the Selma City Schools Early Learning Program now located at Sophia P. Kingston Elementary! Registration information is also located on our website at www.selmacityschools.org #TeamSelma,2019-03-20 11:08:18,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119034899_1665913700230966_9089095137773816713_o.jpg?_nc_cat=107&_nc_sid=9e2e56&_nc_ohc=XJb3V9S2VjkAX-Sfz8s&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e8f307acfdf15a9c04aa358c3579d7e0&oe=5F8351F5,1.0,http://home.edweb.net/webinar/equity,1665913726897630,"Don’t miss this great presentation on leading for equity by our amazing leaders Superintendent Dr. Avis Williams, Clark Principal Ms. Dyphelia Thrash and R.B. Hudson STEAM Academy Principal Mrs. Cicely Curtis. Register at home.edweb.net/webinar/equity#TeamSelmaConnected #equity",https://facebook.com/story.php?story_fbid=1665913726897630&id=704804166341929,,0.0,"Don’t miss this great presentation on leading for equity by our amazing leaders Superintendent Dr. Avis Williams, Clark Principal Ms. Dyphelia Thrash and R.B. Hudson STEAM Academy Principal Mrs. Cicely Curtis. Register at home.edweb.net/webinar/equity#TeamSelmaConnected #equity",2020-09-10 10:44:06,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119027744_1665034100318926_4569478460614368365_o.jpg?_nc_cat=103&_nc_sid=9e2e56&_nc_ohc=ci050QcARYYAX8s_oOs&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e9951f597ff74bb5fff44e23b018cecc&oe=5F8271E7,2.0,http://www.my2020census.gov/,1665034153652254,"Make your voice heard! Complete the 2020 Census today and help Selma City Schools and Dallas County Schools win $65,000. Visit www.my2020census.gov to complete the Census. #TeamSelmaConnected",https://facebook.com/story.php?story_fbid=1665034153652254&id=704804166341929,,0.0,"Make your voice heard! Complete the 2020 Census today and help Selma City Schools and Dallas County Schools win $65,000. Visit www.my2020census.gov to complete the Census. #TeamSelmaConnected",2020-09-09 10:12:26,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118796959_1664177143737955_1553416010427235851_o.jpg?_nc_cat=100&_nc_sid=9e2e56&_nc_ohc=OEp3iQ7xNh8AX8L_nYX&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a9c3bfef001afe83ecdb3c246f73bd89&oe=5F80001F,4.0,http://www.selmacityschools.org/,1664177173737952,It's Attendance Awareness Month! Did you know that chronic absence is solved when the whole community plays a part? Help end chronic absenteeism. Partner with Team Selma today. Visit www.selmacityschools.org to learn more about our Adopt-A-School program! #PresentEngagedConnected,https://facebook.com/story.php?story_fbid=1664177173737952&id=704804166341929,,0.0,It's Attendance Awareness Month! Did you know that chronic absence is solved when the whole community plays a part? Help end chronic absenteeism. Partner with Team Selma today. Visit www.selmacityschools.org to learn more about our Adopt-A-School program! #PresentEngagedConnected,2020-09-08 11:49:31,,
4,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118825846_1660558877433115_4696810557029196572_n.jpg?_nc_cat=107&_nc_sid=9e2e56&_nc_ohc=8xSgQBYebTYAX9TiStn&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c3c14e4c4d435d8b7d184084ed4c4f11&oe=5F8262BE,3.0,,1660558950766441,"It is our mission to make sure that every student in Alabama is able to access their education. The Alabama Broadband Connectivity for Students Program is here to help get your household set up for distance learning. All you need to do is follow 4 steps.
Step 1: Once you receive your ABC voucher letter in the mail, call a participating internet service provider listed on your voucher letter.
Step 2: Tell the internet service provider: ""I have an Alabama ABC Voucher"" and provide the number on the top of your letter.
Step 3: Your internet service provider will provide any equipment or installation you may need. Don’t worry, they will talk you through the process and the costs are covered by the voucher.
Step 4: Once service begins, help your student get online so they can be ready to start learning.
Be on the lookout for this letter! Inside, your voucher letter will give you all the information you need to get set up with your free high speed internet.",https://facebook.com/story.php?story_fbid=1660558950766441&id=704804166341929,,0.0,"It is our mission to make sure that every student in Alabama is able to access their education. The Alabama Broadband Connectivity for Students Program is here to help get your household set up for distance learning. All you need to do is follow 4 steps.
Step 1: Once you receive your ABC voucher letter in the mail, call a participating internet service provider listed on your voucher letter.
Step 2: Tell the internet service provider: ""I have an Alabama ABC Voucher"" and provide the number on the top of your letter.
Step 3: Your internet service provider will provide any equipment or installation you may need. Don’t worry, they will talk you through the process and the costs are covered by the voucher.
Step 4: Once service begins, help your student get online so they can be ready to start learning.
Be on the lookout for this letter! Inside, your voucher letter will give you all the information you need to get set up with your free high speed internet.",2020-09-04 14:10:59,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118765205_1660517260770610_4172226067396262954_o.jpg?_nc_cat=104&_nc_sid=9e2e56&_nc_ohc=lYuHF4L4pXcAX8HMhCN&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4416d1492a6b4c755d2b44d1b20b88fc&oe=5F82E2CD,0.0,http://www.selmacityschools.org/,1660517297437273,Contact the Selma/Dallas County YMCA for more information about the Virtual Headquarters. Visit the Parent Information page on our website to access this flyer. www.selmacityschools.org #TeamSelmaConnected,https://facebook.com/story.php?story_fbid=1660517297437273&id=704804166341929,,0.0,Contact the Selma/Dallas County YMCA for more information about the Virtual Headquarters. Visit the Parent Information page on our website to access this flyer. www.selmacityschools.org #TeamSelmaConnected,2020-09-04 13:05:50,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118768821_1660451267443876_2196343013122319166_o.jpg?_nc_cat=107&_nc_sid=9e2e56&_nc_ohc=xrqa52i6qXYAX9LM8Cg&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1fcc20da1a3cd8d5df0e9f16e801f88d&oe=5F802C42,15.0,,1660451320777204,"Thank you to Alabama Power and the Alabama Power Foundation for their support of our teachers. Classroom grants were awarded to teachers from Edgewood Elementary, Meadowview Elementary, and Sophia P. Kingston Elementary. #TeamSelmaConnected",https://facebook.com/story.php?story_fbid=1660451320777204&id=704804166341929,,0.0,"Thank you to Alabama Power and the Alabama Power Foundation for their support of our teachers. Classroom grants were awarded to teachers from Edgewood Elementary, Meadowview Elementary, and Sophia P. Kingston Elementary. #TeamSelmaConnected",2020-09-04 11:31:47,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118510571_321817099163072_1221330748369730303_o.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=kG9KFXZ6_hQAX98svaN&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6c6591062eafcda7fbe57db20343541c&oe=5F813B71,3.0,,1657408534414816,Let’s go Saints! Season opener today at 5:00pm. Masks are required. #TeamSelmaConnected,https://facebook.com/story.php?story_fbid=1657408534414816&id=704804166341929,"Selma City Schools Athletic Dept.
September 1 at 6:47 AM ·

Lady Saints Season opener ..
Mask are required.",0.0,"Let’s go Saints! Season opener today at 5:00pm. Masks are required. #TeamSelmaConnected

Selma City Schools Athletic Dept.
September 1 at 6:47 AM ·

Lady Saints Season opener ..
Mask are required.",2020-09-01 09:28:53,,
8,0.0,,1.0,,1653050131517323,#TeamSelmaConnected,https://facebook.com/story.php?story_fbid=1653050131517323&id=704804166341929,"Selma City Schools Athletic Dept.
August 27 at 12:52 PM ·

🚨🚨🚨

All home games of Selma High School will be played at Memorial Stadium. We thank you for your support GOOOO SAINTS !",0.0,"#TeamSelmaConnected

Selma City Schools Athletic Dept.
August 27 at 12:52 PM ·

🚨🚨🚨

All home games of Selma High School will be played at Memorial Stadium. We thank you for your support GOOOO SAINTS !",2020-08-27 15:04:55,,
9,0.0,,0.0,,,"🚨🚨🚨

All home games of Selma High School will be played at Memorial Stadium. We thank you for your support GOOOO SAINTS !",https://facebook.com/story.php?story_fbid=318363136175135&id=106935993984518,,0.0,"🚨🚨🚨

All home games of Selma High School will be played at Memorial Stadium. We thank you for your support GOOOO SAINTS !",2020-09-11 21:43:58.851777,,
10,0.0,,0.0,,1652930391529297,,https://facebook.com/story.php?story_fbid=1652930391529297&id=704804166341929,"Selma City Schools Athletic Dept.
August 26 at 11:12 PM ·

🚨 🚨 🚨 Attention...Any young ladies that will be attending Selma High this year who are interested in playing girls varsity basketball, there will be a interest meeting Wednesday September 2, 2020 at 5pm in the gym. Please contact Coach Wil Morgan, Coach Jenni Rogers, or Coach Darell Davis if you have any questions or concerns. Thank you and Go Lady Saints!!! 🚨🚨🚨",0.0,"Selma City Schools Athletic Dept.
August 26 at 11:12 PM ·

🚨 🚨 🚨 Attention...Any young ladies that will be attending Selma High this year who are interested in playing girls varsity basketball, there will be a interest meeting Wednesday September 2, 2020 at 5pm in the gym. Please contact Coach Wil Morgan, Coach Jenni Rogers, or Coach Darell Davis if you have any questions or concerns. Thank you and Go Lady Saints!!! 🚨🚨🚨",2020-08-27 12:06:58,,
11,0.0,,0.0,,,"🚨 🚨 🚨 Attention...Any young ladies that will be attending Selma High this year who are interested in playing girls varsity basketball, there will be a interest meeting Wednesday September 2, 2020 at 5pm in the gym. Please contact Coach Wil Morgan, Coach Jenni Rogers, or Coach Darell Davis if you have any questions or concerns. Thank you and Go Lady Saints!!! 🚨🚨🚨",https://facebook.com/story.php?story_fbid=317915539553228&id=106935993984518,,0.0,"🚨 🚨 🚨 Attention...Any young ladies that will be attending Selma High this year who are interested in playing girls varsity basketball, there will be a interest meeting Wednesday September 2, 2020 at 5pm in the gym. Please contact Coach Wil Morgan, Coach Jenni Rogers, or Coach Darell Davis if you have any questions or concerns. Thank you and Go Lady Saints!!! 🚨🚨🚨",2020-09-11 21:43:58.851784,,
12,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118197614_1650296525126017_975006183132361940_o.jpg?_nc_cat=101&_nc_sid=9e2e56&_nc_ohc=HSKHRaqMIpMAX8uEuWL&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ab24de4b3c722e735f3c34e60d39ed16&oe=5F824DB8,22.0,,1650296788459324,We’re in this together! #TeamSelmaConnected,https://facebook.com/story.php?story_fbid=1650296788459324&id=704804166341929,,0.0,We’re in this together! #TeamSelmaConnected,2020-08-24 16:24:10,,
13,0.0,,9.0,,1650212085134461,Welcome to class scholars! #TeamSelmaConnected,,,0.0,Welcome to class scholars! #TeamSelmaConnected,2020-08-24 14:10:35,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118067463_1375272672676957_4864739541697440139_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=SFw3YtmNxo8AX-DvdQd&_nc_ht=video-atl3-1.xx&oh=9d4c381ee95e01942cc34ba661369082&oe=5F5C505A,
14,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118516361_1650102155145454_1651771100720254088_o.jpg?_nc_cat=106&_nc_sid=9e2e56&_nc_ohc=S6r9y6MhizwAX9XFZ0y&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1e15b074ffc48c4ec95be62c571f068d&oe=5F817134,13.0,,1650102708478732,First day of virtual learning with Team Selma! #TeamSelmaConnected,https://facebook.com/story.php?story_fbid=1650102708478732&id=704804166341929,,0.0,First day of virtual learning with Team Selma! #TeamSelmaConnected,2020-08-24 11:40:01,,
15,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118170982_1650035838485419_2424773878711150950_o.jpg?_nc_cat=107&_nc_sid=2d5d41&_nc_ohc=Qc_bTSBQ2GoAX-Yzlr3&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d2af8ee93f19340d4792098b688d225a&oe=5F8027AE,4.0,https://forms.gle/6e7FJfvVM7keQVss7,1650035835152086,"Please contact the Tech Support HelpDesk if you are having trouble with a device, need login assistance, password retrieval, or program support. We are here to assist you! #TeamSelmaConnected

Follow Link to submit a request: https://forms.gle/6e7FJfvVM7keQVss7",,,0.0,"Please contact the Tech Support HelpDesk if you are having trouble with a device, need login assistance, password retrieval, or program support. We are here to assist you! #TeamSelmaConnected

Follow Link to submit a request: https://forms.gle/6e7FJfvVM7keQVss7",2020-08-24 10:08:28,,
16,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117870048_1643791502443186_7545953149202012392_o.jpg?_nc_cat=104&_nc_sid=2d5d41&_nc_ohc=fs47yJnD8gcAX9ONva1&_nc_ht=scontent-atl3-1.xx&tp=14&oh=16cdf4273e028fec411d211281880adf&oe=5F816EF9,6.0,,1643791499109853,Selma City Schools Orientation and Device Pick-Up Schedule. Be sure to check with your scholar's school for specific details regarding orientation and instructions regarding device pick-up. #TeamSelmaConnected,,,0.0,Selma City Schools Orientation and Device Pick-Up Schedule. Be sure to check with your scholar's school for specific details regarding orientation and instructions regarding device pick-up. #TeamSelmaConnected,2020-08-17 12:25:51,,
17,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117948472_1641886172633719_9036248016026420638_o.jpg?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=7e9NisNC_tIAX_NsLSL&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5874d77fb5a4362c74ab113c8a2e8b98&oe=5F81DEDC,6.0,,1641886169300386,"Tune in today at 1:00p.m. for an Education Townhall Meeting. Featured guest panelists include State Superintendent Dr. Eric Mackey and SCS Superintendent Dr. Avis Williams along with superintendents from Bullock County, Dallas County, Greene County,Lowndes County, Perry County, Macon County, and Wilcox County. #TeamSelmaConnected",,,0.0,"Tune in today at 1:00p.m. for an Education Townhall Meeting. Featured guest panelists include State Superintendent Dr. Eric Mackey and SCS Superintendent Dr. Avis Williams along with superintendents from Bullock County, Dallas County, Greene County,Lowndes County, Perry County, Macon County, and Wilcox County. #TeamSelmaConnected",2020-08-15 12:37:03,,
18,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117768514_1639269012895435_7126810683881301026_n.jpg?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=WJFOMexIr3oAX8GYfjD&_nc_ht=scontent-atl3-1.xx&tp=14&oh=12a46674564adb963eb72f387bb5f7dd&oe=5F8099B3,2.0,https://candaid.salsalabs.org/rev-of-joy_selma/index.html,1639269009562102,"Join the cause! Can'd Aid has teamed up with Très Taylor to spark The Revolution of Joy by painting a series of murals throughout the Black Belt region in Alabama. The goal is to paint 20 murals inspired by his whimsical works on tarpaper folk art. Selma is the fourth stop on this tour de do-goodery and we want your help to beautify the community.

Sign up to participate. Follow the link below:
https://candaid.salsalabs.org/rev-of-joy_selma/index.html",,,0.0,"Join the cause! Can'd Aid has teamed up with Très Taylor to spark The Revolution of Joy by painting a series of murals throughout the Black Belt region in Alabama. The goal is to paint 20 murals inspired by his whimsical works on tarpaper folk art. Selma is the fourth stop on this tour de do-goodery and we want your help to beautify the community.

Sign up to participate. Follow the link below:
https://candaid.salsalabs.org/rev-of-joy_selma/index.html",2020-08-12 12:39:18,,
19,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117391324_1639170779571925_3018931094915053176_n.jpg?_nc_cat=109&_nc_sid=9e2e56&_nc_ohc=6tYwFTvJ84gAX-_kHxd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=68df97ec847343d40e335c8c70483939&oe=5F804BA8,2.0,http://www.selmacityschools.org/,1639170949571908,"Parent and Partner Professional Development begins this week! Visit www.selmacityschools.org to register for a session today! Simply select a session and follow the link to register. Every session will be recorded for future viewing. First session is Friday, August 14th. #TeamSelmaConnected",https://facebook.com/story.php?story_fbid=1639170949571908&id=704804166341929,,0.0,"Parent and Partner Professional Development begins this week! Visit www.selmacityschools.org to register for a session today! Simply select a session and follow the link to register. Every session will be recorded for future viewing. First session is Friday, August 14th. #TeamSelmaConnected",2020-08-12 10:25:52,,
