,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,11.0,,67.0,https://www.secsd.org/protected/ArticleView.aspx?iid=52GG22&dasi=3322,1718365524982393,"WELCOME BACK TO SCHOOL!
The Sherburne-Earlville Central School District officially opens the 2020-2021 school year today (Tuesday, September 8, 2020) for both blended and virtual-only students!

We can’t wait to see your children both on campus and online today. Thank you for your flexibility and patience as we navigate new systems for student safety and learning … and WELCOME BACK!

#WeAreSE #SEFamily #SEStrong #MaroonAndWhite #SchoolsReopening #BackToSchool #OpeningDay2020",https://facebook.com/story.php?story_fbid=1718365524982393&id=462867017198923,"SECSD.ORG
Welcome Back To School!",12.0,"WELCOME BACK TO SCHOOL!
The Sherburne-Earlville Central School District officially opens the 2020-2021 school year today (Tuesday, September 8, 2020) for both blended and virtual-only students!

We can’t wait to see your children both on campus and online today. Thank you for your flexibility and patience as we navigate new systems for student safety and learning … and WELCOME BACK!

#WeAreSE #SEFamily #SEStrong #MaroonAndWhite #SchoolsReopening #BackToSchool #OpeningDay2020

SECSD.ORG
Welcome Back To School!",2020-09-08 06:00:55,,
1,2.0,,23.0,https://www.secsd.org/protected/ArticleView.aspx?iid=52GIII&dasi=3322,1721533321332280,"NO COST MEALS FOR ALL STUDENTS!
All students enrolled in Sherburne-Earlville Central School are eligible for No Cost Meals, which includes breakfast and lunch when school is in session. Click below for more information!
#WeAreSE #SEFamily #SEStrong #MaroonAndWhite #SchoolsReopening #NoCostMeals2020",https://facebook.com/story.php?story_fbid=1721533321332280&id=462867017198923,"SECSD.ORG
Find out how to get No Cost Meals",7.0,"NO COST MEALS FOR ALL STUDENTS!
All students enrolled in Sherburne-Earlville Central School are eligible for No Cost Meals, which includes breakfast and lunch when school is in session. Click below for more information!
#WeAreSE #SEFamily #SEStrong #MaroonAndWhite #SchoolsReopening #NoCostMeals2020

SECSD.ORG
Find out how to get No Cost Meals",2020-09-11 16:06:14,,
2,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119156745_1720009814817964_33241162526284485_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=bLMFMrwmVRMAX_-qCgd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c4d204afc782c13eaeeab318d01c804c&oe=5F83ECE8,172.0,,1720013774817568,"OPENING DAY, PART II
We made it through both of our opening days for what's sure to be a memorable 2020-2021 school year at Sherburne-Earlville!
Thanks to all of our students, parents, teachers, support staff, community members and everyone in between for working together to make our reopening a safe, healthy and happy one!
#WeAreSE #SEFamily #SEStrong #MaroonAndWhite #SchoolsReopening #SecondFirstDayOfSchool2020",https://facebook.com/story.php?story_fbid=1720013774817568&id=462867017198923,,0.0,"OPENING DAY, PART II
We made it through both of our opening days for what's sure to be a memorable 2020-2021 school year at Sherburne-Earlville!
Thanks to all of our students, parents, teachers, support staff, community members and everyone in between for working together to make our reopening a safe, healthy and happy one!
#WeAreSE #SEFamily #SEStrong #MaroonAndWhite #SchoolsReopening #SecondFirstDayOfSchool2020",2020-09-09 21:30:25,,
3,5.0,,13.0,https://www.secsd.org/protected/ArticleView.aspx?iid=52G3BI&dasi=3322,1719873131498299,"MS VIRTUAL-ONLY STUDENTS: CHROMEBOOK PICKUP
Middle School full-time virtual students who have not yet received their Chromebooks should come to the SE Virtual Academy scheduled for 3-5 p.m. Monday, September 14, in the MS/HS Auditorium. Click below for more information!
#WeAreSE #SEFamily #SEStrong #MaroonAndWhite #SchoolsReopening #ChromebookPickup2020",https://facebook.com/story.php?story_fbid=1719873131498299&id=462867017198923,"SECSD.ORG
Chromebook pickup for FT virtual students",15.0,"MS VIRTUAL-ONLY STUDENTS: CHROMEBOOK PICKUP
Middle School full-time virtual students who have not yet received their Chromebooks should come to the SE Virtual Academy scheduled for 3-5 p.m. Monday, September 14, in the MS/HS Auditorium. Click below for more information!
#WeAreSE #SEFamily #SEStrong #MaroonAndWhite #SchoolsReopening #ChromebookPickup2020

SECSD.ORG
Chromebook pickup for FT virtual students",2020-09-09 16:31:10,,
4,32.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119069912_1719049564913989_105268175343904627_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=4wy3fF_r_6gAX_TP4NO&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0155bb74913c94270697bc87ab2f0165&oe=5F834CFE,272.0,,1719056521579960,"WE'RE BACK!
Even though they were wearing masks, we just know our kiddos were all smiles on the first day of school Tuesday!
Check out some of the scenes from our Reopening Day below and get ready for another great day at SECSD tomorrow!
#WeAreSE #SEFamily #SEStrong #MaroonAndWhite #SchoolsReopening #FirstDay2020",https://facebook.com/story.php?story_fbid=1719056521579960&id=462867017198923,,0.0,"WE'RE BACK!
Even though they were wearing masks, we just know our kiddos were all smiles on the first day of school Tuesday!
Check out some of the scenes from our Reopening Day below and get ready for another great day at SECSD tomorrow!
#WeAreSE #SEFamily #SEStrong #MaroonAndWhite #SchoolsReopening #FirstDay2020",2020-09-08 19:42:12,,
5,5.0,,101.0,,1718696294949316,"CHECK PLEASE!
Remember to check your student’s temperature before school every day during the 2020-2021 school year.

We’re doing our part, too, with temperature check stations at our building entrances.

Click the #video below to check out how it works, and check back later for photos from the first day of school!
#WeAreSE #SEFamily #SEStrong #MaroonAndWhite #SchoolsReopening #TemperatureChecks2020",,,0.0,"CHECK PLEASE!
Remember to check your student’s temperature before school every day during the 2020-2021 school year.

We’re doing our part, too, with temperature check stations at our building entrances.

Click the #video below to check out how it works, and check back later for photos from the first day of school!
#WeAreSE #SEFamily #SEStrong #MaroonAndWhite #SchoolsReopening #TemperatureChecks2020",2020-09-08 09:44:08,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118824019_599390230728904_3753133824152769235_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=jwthL-HSI-MAX8fWVO1&_nc_ht=video-atl3-1.xx&oh=702479ea235d6ba8a0829b61003d8875&oe=5F5E8A63,
6,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118768572_2065746633557237_5570489716569606313_n.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=CEtVBwYQVhcAX8zDnT0&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a247e1c3df13d2a5120c6232acac6c2f&oe=5F826A64,5.0,http://nysphsaa.org/Portals/0/COVID%2019/Return%20To%20Interscholastic%20Athletics%20FINAL%20090420.pdf,1715663128585966,,https://facebook.com/story.php?story_fbid=1715663128585966&id=462867017198923,"New York State Public High School Athletic Association
September 4 at 8:00 PM ·

#NYSPHSAA releases Return to Interscholastic Athletics Resource Document.

Click here to view the document.
http://nysphsaa.org/Portals/0/COVID%2019/Return%20To%20Interscholastic%20Athletics%20FINAL%20090420.pdf",2.0,"New York State Public High School Athletic Association
September 4 at 8:00 PM ·

#NYSPHSAA releases Return to Interscholastic Athletics Resource Document.

Click here to view the document.
http://nysphsaa.org/Portals/0/COVID%2019/Return%20To%20Interscholastic%20Athletics%20FINAL%20090420.pdf",2020-09-04 23:01:01,,
7,6.0,,17.0,https://www.secsd.org/protected/ArticleView.aspx?iid=52GGI0&dasi=3322,1715525118599767,"SCHOOL OPENS NEXT WEEK!
Click for a message from SECSD Superintendent Robert Berson regarding the first days of the 2020-2021 school year.
#WeAreSE #SEFamily #MaroonAndWhite #SchoolsReopening",https://facebook.com/story.php?story_fbid=1715525118599767&id=462867017198923,"SECSD.ORG
Reminders: First days of school",12.0,"SCHOOL OPENS NEXT WEEK!
Click for a message from SECSD Superintendent Robert Berson regarding the first days of the 2020-2021 school year.
#WeAreSE #SEFamily #MaroonAndWhite #SchoolsReopening

SECSD.ORG
Reminders: First days of school",2020-09-04 20:15:41,,
8,7.0,,26.0,https://www.secsd.org/protected/ArticleView.aspx?iid=52GGI2&dasi=3322,1715512861934326,"SCHOOL BUS INFORMATION!
Click for important information about school bus procedures for the 2020-2021 school year!
#WeAreSE #SEFamily #MaroonAndWhite #SchoolsReopening #SchoolBus2020",https://facebook.com/story.php?story_fbid=1715512861934326&id=462867017198923,"SECSD.ORG
School buses: What you need to know this year",24.0,"SCHOOL BUS INFORMATION!
Click for important information about school bus procedures for the 2020-2021 school year!
#WeAreSE #SEFamily #MaroonAndWhite #SchoolsReopening #SchoolBus2020

SECSD.ORG
School buses: What you need to know this year",2020-09-04 18:37:05,,
9,1.0,,34.0,https://forms.gle/84ddq8WdxVuYEJgK7,1714548348697444,"ALL STUDENTS ARE ELIGIBLE!
All Sherburne-Earlville Central School District students (UPK-12) are eligible to receive no-cost meals every day school is in session during the 2020-2021 academic year.

Blended and virtual-only students are entitled to one breakfast and one lunch per school day at no charge. The school will serve meals to blended students when they are on campus for in-person instruction. Pre-packaged meals will be available for both blended and virtual-only students to cover off-campus school days.

Parents/guardians must sign up to receive no-cost meals for virtual school days. Families with multiple SECSD students only need to complete one sign-up form. Please click on this link and fill out the form to sign up: https://forms.gle/84ddq8WdxVuYEJgK7.

This no-cost meals program is scheduled to begin September 14. Details regarding the distribution process of no-cost meals on virtual school days is forthcoming.
#WeAreSE #SEFamily #MaroonAndWhite #SchoolsReopening #NoCostMeals2020",https://facebook.com/story.php?story_fbid=1714548348697444&id=462867017198923,"SECSD.ORG
Students can receive no-cost meals all year!",31.0,"ALL STUDENTS ARE ELIGIBLE!
All Sherburne-Earlville Central School District students (UPK-12) are eligible to receive no-cost meals every day school is in session during the 2020-2021 academic year.

Blended and virtual-only students are entitled to one breakfast and one lunch per school day at no charge. The school will serve meals to blended students when they are on campus for in-person instruction. Pre-packaged meals will be available for both blended and virtual-only students to cover off-campus school days.

Parents/guardians must sign up to receive no-cost meals for virtual school days. Families with multiple SECSD students only need to complete one sign-up form. Please click on this link and fill out the form to sign up: https://forms.gle/84ddq8WdxVuYEJgK7.

This no-cost meals program is scheduled to begin September 14. Details regarding the distribution process of no-cost meals on virtual school days is forthcoming.
#WeAreSE #SEFamily #MaroonAndWhite #SchoolsReopening #NoCostMeals2020

SECSD.ORG
Students can receive no-cost meals all year!",2020-09-03 16:17:30,,
