,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,1.0,https://www.rschoolnorthdakota.org/public/genie/1266/school/1704/,3828799353801769,"https://www.rschoolnorthdakota.org/public/genie/1266/school/1704/

The weekly schedule can be found at the link above!

Tomorrow's Volleyball games vs. Dunseith will be senior night.",https://facebook.com/story.php?story_fbid=3828799353801769&id=563423080339429,"RSCHOOLNORTHDAKOTA.ORG
Westhope",0.0,"https://www.rschoolnorthdakota.org/public/genie/1266/school/1704/

The weekly schedule can be found at the link above!

Tomorrow's Volleyball games vs. Dunseith will be senior night.

RSCHOOLNORTHDAKOTA.ORG
Westhope",2020-09-13 20:35:22,,
1,74.0,,37.0,,3560358094017086,,,,10.0,,2020-09-11 20:00:15,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_2643846142531574_2131774490112781113_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=wxUoQJZ2nt8AX_L59SP&_nc_ht=scontent-atl3-1.xx&oh=c52233cdd51857a60fa7ed3e5d7efb75&oe=5F84980B,
2,0.0,,3.0,,3821349194546785,,https://facebook.com/story.php?story_fbid=3821349194546785&id=563423080339429,,0.0,,2020-09-11 14:23:10,,
3,0.0,,0.0,,,,https://facebook.com/story.php?story_fbid=993926791029676&id=291122744643421,,0.0,,2020-09-13 23:42:33.443917,,
4,2.0,,27.0,,3820821174599587,"Game Day!

Your WNG Sioux travel to Park River tonight to take on the Aggies in a Region 2 Match-Up!

Kickoff is at 7pm.

The game will be streamed on our Facebook page.

Go Sioux!",https://facebook.com/story.php?story_fbid=3820821174599587&id=563423080339429,,0.0,"Game Day!

Your WNG Sioux travel to Park River tonight to take on the Aggies in a Region 2 Match-Up!

Kickoff is at 7pm.

The game will be streamed on our Facebook page.

Go Sioux!",2020-09-11 11:02:02,,
5,0.0,,0.0,https://docs.google.com/document/d/1_GjRzcZjr_n_0EFzoM9EL7kMu4BvOjcVetLEOiSvcoA/edit,3820812127933825,"https://docs.google.com/document/d/1_GjRzcZjr_n_0EFzoM9EL7kMu4BvOjcVetLEOiSvcoA/edit

Here are the updated Event Guidelines for the football game in Park River tonight!",https://facebook.com/story.php?story_fbid=3820812127933825&id=563423080339429,"DOCS.GOOGLE.COM
PRAS Event Guidelines",0.0,"https://docs.google.com/document/d/1_GjRzcZjr_n_0EFzoM9EL7kMu4BvOjcVetLEOiSvcoA/edit

Here are the updated Event Guidelines for the football game in Park River tonight!

DOCS.GOOGLE.COM
PRAS Event Guidelines",2020-09-11 10:59:01,,
6,0.0,,6.0,,3818600744821630,,https://facebook.com/story.php?story_fbid=3818600744821630&id=563423080339429,"Glenburn Panthers Athletics was live.
September 10 at 5:27 PM ·",0.0,"Glenburn Panthers Athletics was live.
September 10 at 5:27 PM ·",2020-09-10 18:43:58,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_777471626320069_3969210951756137859_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=V2US64Q-YPIAX-mA4Yj&_nc_ht=scontent-atl3-1.xx&oh=c6bcd179cf0d5b5f912181ec36a70dc2&oe=5F8654F7,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119225413_3817384754943229_6748469576765454861_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=qmLAVIDSEA8AX-kzEDj&_nc_ht=scontent-atl3-1.xx&tp=14&oh=919781ecb298bbf852239951fc036805&oe=5F856DAA,11.0,,3817388758276162,"Game Day!

Your N-W Eagles travel to Glenburn tonight to take on the Panthers!

Start times:
7th - 4:30
8th - 5:30
JV - 6:30
V - 7:30

Go Eagles!",https://facebook.com/story.php?story_fbid=3817388758276162&id=563423080339429,,0.0,"Game Day!

Your N-W Eagles travel to Glenburn tonight to take on the Panthers!

Start times:
7th - 4:30
8th - 5:30
JV - 6:30
V - 7:30

Go Eagles!",2020-09-10 10:14:00,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119125939_3815067381841633_2414360914158031159_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=F3QzpcXfaucAX_ZA2Py&_nc_ht=scontent-atl3-1.xx&tp=14&oh=14ef17f282f29ddd007dc70ec929a4b9&oe=5F8424AD,0.0,,3815080675173637,"Lots of changes have occurred to schedules this season! Be sure to download the Activity Scheduler App to be kept up to date on all of your Sioux Athletics. The ""rST"" photo of a baseball cap is the app you want to use.

Steps for finding Westhope Public School on the app:

1. Once in the app, click ""Set Up"" at the bottom.
2. Scroll through the states until you find North Dakota.
3. Scroll through the conferences until you find the ""North Dakota"" list for conferences. There are 6 schools, and we are the bottom one.
4. Click on Westhope.

DO NOT use the Conference ""Westhope-Newburg Sioux"" as that isn't linked to the site we currently use.

Below is the most up to date schedule for JH FB. We have added games for September 14th & September 17th of next week.",https://facebook.com/story.php?story_fbid=3815080675173637&id=563423080339429,,0.0,"Lots of changes have occurred to schedules this season! Be sure to download the Activity Scheduler App to be kept up to date on all of your Sioux Athletics. The ""rST"" photo of a baseball cap is the app you want to use.

Steps for finding Westhope Public School on the app:

1. Once in the app, click ""Set Up"" at the bottom.
2. Scroll through the states until you find North Dakota.
3. Scroll through the conferences until you find the ""North Dakota"" list for conferences. There are 6 schools, and we are the bottom one.
4. Click on Westhope.

DO NOT use the Conference ""Westhope-Newburg Sioux"" as that isn't linked to the site we currently use.

Below is the most up to date schedule for JH FB. We have added games for September 14th & September 17th of next week.",2020-09-09 16:11:02,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119099247_3814276871920684_5808256025532517944_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=SCzeVD67XMAAX-6vh5l&_nc_ht=scontent-atl3-1.xx&tp=14&oh=73ba64d408dcc7c310ff4b917f3586f9&oe=5F8528A5,16.0,,3814285968586441,We have more Sioux Neck Gaiters in! $15 for one of these! Please contact Mr. Wible if interested. Checks can be made out to Sioux Athletics.,https://facebook.com/story.php?story_fbid=3814285968586441&id=563423080339429,,0.0,We have more Sioux Neck Gaiters in! $15 for one of these! Please contact Mr. Wible if interested. Checks can be made out to Sioux Athletics.,2020-09-09 10:56:42,,
