,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,75.0,,3504842282911997,"Great news! Effective Monday, September 14, all lunch meals will be available at NO CHARGE to all Southeast Dubois County students physically attending school. The USDA announced an emergency waiver which allows ALL students to receive a free breakfast and lunch each day at school. Due to limited breakfast supplies, we will begin offering free breakfast to all students on September 21.

The USDA waiver will be in effect until December 31, or until funds run out (whichever is first). Once the waiver or funds expire, breakfast and lunch will return to its normal price.

There will be no change to the menu or food items offered. Students may continue to purchase a la carte items at current pricing.

We are incredibly grateful for this support from the USDA. What a great benefit for all kids!!",https://facebook.com/story.php?story_fbid=3504842282911997&id=120537234675869,,0.0,"Great news! Effective Monday, September 14, all lunch meals will be available at NO CHARGE to all Southeast Dubois County students physically attending school. The USDA announced an emergency waiver which allows ALL students to receive a free breakfast and lunch each day at school. Due to limited breakfast supplies, we will begin offering free breakfast to all students on September 21.

The USDA waiver will be in effect until December 31, or until funds run out (whichever is first). Once the waiver or funds expire, breakfast and lunch will return to its normal price.

There will be no change to the menu or food items offered. Students may continue to purchase a la carte items at current pricing.

We are incredibly grateful for this support from the USDA. What a great benefit for all kids!!",2020-09-11 16:18:00,,
1,0.0,,15.0,http://www.sedubois.k12.in.us/,3389520087777551,"All Dubois County School Corporations, in collaboration with the Dubois County Health Department, have determined that the 2020-2021 school year will begin for all students on Wednesday, August 12, 2020. Students opting for in-person instruction should plan to be in attendance on campus. Increased safety precautions will be implemented in accordance with recommended reopening plan modifications. Modifications include daily screening of all students and staff prior to entering school facilities, the use of face coverings per order of the Governor and SED policy, and minimizing student contact where possible. All information pertaining to reopening school can be found at www.sedubois.k12.in.us under the Covid-19 tab.

Please keep your child home if they are ill, exhibiting symptoms of COVID-19 or are being tested or awaiting test results for COVID-19.

SED will continue to work closely with the Dubois County Health Department to monitor the situation. Any changes to our school status will be communicated promptly as they arise.",https://facebook.com/story.php?story_fbid=3389520087777551&id=120537234675869,"SEDUBOIS.K12.IN.US
Home - Southeast Dubois Co. School Corp.",10.0,"All Dubois County School Corporations, in collaboration with the Dubois County Health Department, have determined that the 2020-2021 school year will begin for all students on Wednesday, August 12, 2020. Students opting for in-person instruction should plan to be in attendance on campus. Increased safety precautions will be implemented in accordance with recommended reopening plan modifications. Modifications include daily screening of all students and staff prior to entering school facilities, the use of face coverings per order of the Governor and SED policy, and minimizing student contact where possible. All information pertaining to reopening school can be found at www.sedubois.k12.in.us under the Covid-19 tab.

Please keep your child home if they are ill, exhibiting symptoms of COVID-19 or are being tested or awaiting test results for COVID-19.

SED will continue to work closely with the Dubois County Health Department to monitor the situation. Any changes to our school status will be communicated promptly as they arise.

SEDUBOIS.K12.IN.US
Home - Southeast Dubois Co. School Corp.",2020-08-06 09:38:15,,
2,9.0,,122.0,,3348153055247588,We are excited about today's special delivery from Psi Iota Xi! They donated locally made face masks with a clear insert to better allow for visual communication.,https://facebook.com/story.php?story_fbid=3348153055247588&id=120537234675869,,0.0,We are excited about today's special delivery from Psi Iota Xi! They donated locally made face masks with a clear insert to better allow for visual communication.,2020-07-23 15:35:00,,
3,0.0,,14.0,,3213223695407192,"Today, the DOE released a document designed to assist schools as they plan to re-open in August. As a reminder, all Dubois County School Districts will be working collaboratively to plan to safely and appropriately reopen school for the 2020-2021 school year.

There is an immense amount of guidance and information from the Governor's Office, Department of Education, and Health Department that we will use to form a flexible plan that we will use to re-open.

Each county is unique and the solution to starting school in the fall will be just as unique. We recognize our part in providing for a safe learning environment and serving as a vital partner in our local economy. More information will be forthcoming as we await work through the process and vet the various resources.",https://facebook.com/story.php?story_fbid=3213223695407192&id=120537234675869,,0.0,"Today, the DOE released a document designed to assist schools as they plan to re-open in August. As a reminder, all Dubois County School Districts will be working collaboratively to plan to safely and appropriately reopen school for the 2020-2021 school year.

There is an immense amount of guidance and information from the Governor's Office, Department of Education, and Health Department that we will use to form a flexible plan that we will use to re-open.

Each county is unique and the solution to starting school in the fall will be just as unique. We recognize our part in providing for a safe learning environment and serving as a vital partner in our local economy. More information will be forthcoming as we await work through the process and vet the various resources.",2020-06-05 12:18:17,,
4,0.0,,11.0,,3213098682086360,"Southeast Dubois Schools are happy to share that we are extending our Grab & Go Meal service through summer. The pick-up location has changed to Cedar Crest Intermediate - every Tuesday from 3-6pm. Parents, please check your email to complete the participation survey so we can plan meals for the appropriate numbers. We start next week!",https://facebook.com/story.php?story_fbid=3213098682086360&id=120537234675869,,0.0,"Southeast Dubois Schools are happy to share that we are extending our Grab & Go Meal service through summer. The pick-up location has changed to Cedar Crest Intermediate - every Tuesday from 3-6pm. Parents, please check your email to complete the participation survey so we can plan meals for the appropriate numbers. We start next week!",2020-06-05 11:25:42,,
5,1.0,,3.0,,2965326470230346,,,,0.0,,2020-06-03 18:28:57,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_344467170028407_5048109258624690224_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=7Y2rXGs4DEYAX9H1cZQ&_nc_ht=scontent-atl3-1.xx&oh=11ee50429803d499a27d5dd5fd4846c5&oe=5F82567C,
6,1.0,,26.0,,3177035339026028,"All Dubois County School Districts will be working collaboratively to form a taskforce to plan to safely and appropriately reopen school for the 2020-2021 school year. There is an immense amount of guidance and information that must be used to inform our future decisions. Most importantly, we await guidance from the Governor’s office, Indiana Department of Education and state/local health departments. Each county is unique and the solution to starting school in the fall will be just as unique. We recognize our part in providing for a safe learning environment and serving as a vital partner in our local economy. More information will be forthcoming as we await clarification of the situation from various sources.",https://facebook.com/story.php?story_fbid=3177035339026028&id=120537234675869,,0.0,"All Dubois County School Districts will be working collaboratively to form a taskforce to plan to safely and appropriately reopen school for the 2020-2021 school year. There is an immense amount of guidance and information that must be used to inform our future decisions. Most importantly, we await guidance from the Governor’s office, Indiana Department of Education and state/local health departments. Each county is unique and the solution to starting school in the fall will be just as unique. We recognize our part in providing for a safe learning environment and serving as a vital partner in our local economy. More information will be forthcoming as we await clarification of the situation from various sources.",2020-05-22 07:43:33,,
7,1.0,,4.0,,1102213316830142,,,,0.0,,2020-05-06 18:27:57,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_657552624848020_3498788031577979279_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=rg5KClI8IMoAX-lUWIS&_nc_ht=video-atl3-1.xx&oh=678515ad601141d1c240d66eca59d3ab&oe=5F5E89FF,
8,1.0,,1.0,https://www.sedubois.k12.in.us/Employment,2596572840405617,Employment opportunities,https://facebook.com/story.php?story_fbid=2596572840405617&id=120537234675869,"SEDUBOIS.K12.IN.US
Employment - Southeast Dubois Co. School Corp.",2.0,"Employment opportunities

SEDUBOIS.K12.IN.US
Employment - Southeast Dubois Co. School Corp.",2019-09-09 11:27:58,,
9,0.0,,4.0,https://www.sedubois.k12.in.us/Employment,2498943346835234,"Check out our updated list of job postings.

https://www.sedubois.k12.in.us/Employment",https://facebook.com/story.php?story_fbid=2498943346835234&id=120537234675869,"SEDUBOIS.K12.IN.US
Employment - Southeast Dubois Co. School Corp.",11.0,"Check out our updated list of job postings.

https://www.sedubois.k12.in.us/Employment

SEDUBOIS.K12.IN.US
Employment - Southeast Dubois Co. School Corp.",2019-07-18 20:14:17,,
