,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119836589_4654698777881056_8987539572584792340_o.jpg?_nc_cat=105&_nc_sid=2d5d41&_nc_ohc=lkTFoj95IQAAX9OPBcF&_nc_ht=scontent-atl3-1.xx&tp=14&oh=324a7222fef83b49a0c4157cbc83b681&oe=5F88EC31,17.0,,4654698774547723,"STISD Parents: You've got Mail! Please take a few minutes to check your inboxes or Parent Portals to access second quarter parent selection form. Submission Deadline: Sept. 18 at noon. We want to hear from you! Thanks in advance.
.
.
.
South Texas ISD Health Professions
South Texas ISD Medical Professions
South Texas ISD Preparatory Academy
South Texas ISD Rising Scholars Academy
South Texas ISD Science Academy
South Texas ISD World Scholars",,,0.0,"STISD Parents: You've got Mail! Please take a few minutes to check your inboxes or Parent Portals to access second quarter parent selection form. Submission Deadline: Sept. 18 at noon. We want to hear from you! Thanks in advance.
.
.
.
South Texas ISD Health Professions
South Texas ISD Medical Professions
South Texas ISD Preparatory Academy
South Texas ISD Rising Scholars Academy
South Texas ISD Science Academy
South Texas ISD World Scholars",2020-09-17 20:00:03,,
1,0.0,,13.0,https://loom.ly/Q8alWr4,4639453219405612,📣📣📣 STISD Curbside Update: Free grab and go meals available for all STISD students + children 18 years and younger throughout the community. Meals available Monday-Friday from 10 a.m. - 1 p.m. at four STISD locations. View pick-up locations: https://loom.ly/Q8alWr4,https://facebook.com/story.php?story_fbid=4639453219405612&id=657803750903932,"STISD.NET
Free Curbside Meals Resume on Sept. 15",13.0,"📣📣📣 STISD Curbside Update: Free grab and go meals available for all STISD students + children 18 years and younger throughout the community. Meals available Monday-Friday from 10 a.m. - 1 p.m. at four STISD locations. View pick-up locations: https://loom.ly/Q8alWr4

STISD.NET
Free Curbside Meals Resume on Sept. 15",2020-09-14 21:00:01,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119505120_4637866982897569_2181466423045336027_o.jpg?_nc_cat=106&_nc_sid=2d5d41&_nc_ohc=7NMLZYvlWY4AX-i9nDh&_nc_oc=AQkhyN-tYbmK8tn49EnSnIPu8qp6qvz9MO4U_3NQG-IPEjJePXo8harpv6XWTDq-KYU&_nc_ht=scontent-atl3-1.xx&tp=14&oh=81cce1be747c5a0f45b73a6e9e99685a&oe=5F893E76,4.0,,4637866976230903,"Happy Monday, STISD! This week reflect on: Anything that tends to make you anxious is an opportunity for growth! How high are you willing to go? Let's make this a great week!

📸: districtwide Volleyball tournament this past school year",,,0.0,"Happy Monday, STISD! This week reflect on: Anything that tends to make you anxious is an opportunity for growth! How high are you willing to go? Let's make this a great week!

📸: districtwide Volleyball tournament this past school year",2020-09-14 13:00:15,,
3,0.0,,13.0,https://www.stisd.net/student-life/nutrition,4606284532722481,"On the STISD Curbside menu this week ⬇️ Grab-and-go breakfast and lunch packs available at all six campuses from 10 a.m. - 1 p.m
Full Menu: https://www.stisd.net/student-life/nutrition",,,0.0,"On the STISD Curbside menu this week ⬇️ Grab-and-go breakfast and lunch packs available at all six campuses from 10 a.m. - 1 p.m
Full Menu: https://www.stisd.net/student-life/nutrition",2020-09-08 09:48:34,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118986881_1650297811803277_1372554326018194140_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=5eZulHrKyxwAX_csBVL&_nc_ht=video-atl3-1.xx&oh=f306a77b39b49cdaf7f93417266c4343&oe=5F649C68,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118890704_4596974716986796_1368439982201804930_o.png?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=ov8C8_Z5TjsAX_XG_C7&_nc_ht=scontent-atl3-1.xx&oh=de437cbdef27d68a969496d158f7523b&oe=5F8ADA4D,15.0,,4596974713653463,"Happy Sunday, STISD! We hope everyone is enjoying their weekend. Reminder: we've got any extra day off tomorrow, Sept. 7. See you back online Sept. 8.
.
.
.",,,0.0,"Happy Sunday, STISD! We hope everyone is enjoying their weekend. Reminder: we've got any extra day off tomorrow, Sept. 7. See you back online Sept. 8.
.
.
.",2020-09-06 12:55:00,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118835511_4587497351267866_6650264764088407364_o.jpg?_nc_cat=104&_nc_sid=2d5d41&_nc_ohc=KZ_nhG8Bl6oAX9EMfdI&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b9ea8ac7e8df391670930d4de03dd04a&oe=5F88A4DD,26.0,,4587497347934533,"It’s Labor Day weekend, STISD! That means we’ve got a three-day holiday ahead of us. Ah, music to our ears! See you back online for virtual instruction, Tuesday, Sept. 8.

.
.
.",,,0.0,"It’s Labor Day weekend, STISD! That means we’ve got a three-day holiday ahead of us. Ah, music to our ears! See you back online for virtual instruction, Tuesday, Sept. 8.

.
.
.",2020-09-04 16:00:26,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118560360_4581847031832898_3165423149599297290_o.jpg?_nc_cat=105&_nc_sid=2d5d41&_nc_ohc=TXKrUrJPn8QAX969drt&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5c438d42b1ad9b2ea51c1b23bb8fd7d6&oe=5F8940B0,39.0,,4581847028499565,Who else is missing their STISD campuses? 🙋🏻‍♂️🙋🏻‍♀️ We know we miss seeing you.,,,0.0,Who else is missing their STISD campuses? 🙋🏻‍♂️🙋🏻‍♀️ We know we miss seeing you.,2020-09-03 13:00:03,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118498215_4571063246244610_7938020809954106596_o.jpg?_nc_cat=111&_nc_sid=2d5d41&_nc_ohc=Wloo9CLCSvoAX8tuXsN&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2d449164dc7bcaddb155dfb34f73038a&oe=5F8A3983,10.0,https://loom.ly/HrmQ29Q,4571063242911277,"We've got Chicken Teriyaki w/ Fried Rice on the STISD Curbside Menu this Tuesday, Sept. 1. Stop by any of our six campuses to pick-up your grab and go breakfast + lunch pack. Full menu: https://loom.ly/HrmQ29Q",,,0.0,"We've got Chicken Teriyaki w/ Fried Rice on the STISD Curbside Menu this Tuesday, Sept. 1. Stop by any of our six campuses to pick-up your grab and go breakfast + lunch pack. Full menu: https://loom.ly/HrmQ29Q",2020-09-01 12:00:04,,
8,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118438555_4565946516756283_7355481874030537661_o.jpg?_nc_cat=100&_nc_sid=2d5d41&_nc_ohc=Y1zZyV80pUoAX_GImdd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4614d3b43e41579b53100957b7ea2328&oe=5F8A79A5,11.0,https://loom.ly/HrmQ29Q,4565946513422950,"On the Monday STISD Curbside Menu: Baked Chicken, Mashed Potatoes and Carrots. Stop by any of our six campuses to pick up breakfast + lunch packs from 10 a.m. - 1 p.m., Monday-Friday. Full Menu: https://loom.ly/HrmQ29Q
.
.
.",,,0.0,"On the Monday STISD Curbside Menu: Baked Chicken, Mashed Potatoes and Carrots. Stop by any of our six campuses to pick up breakfast + lunch packs from 10 a.m. - 1 p.m., Monday-Friday. Full Menu: https://loom.ly/HrmQ29Q
.
.
.",2020-08-31 12:15:00,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118308346_4565468000137468_4436087995874602884_o.jpg?_nc_cat=101&_nc_sid=2d5d41&_nc_ohc=au6NziB0ETAAX9Qgzv8&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9fed87991c9df994549f7bd0f6588bd5&oe=5F8B9952,31.0,,4565467990137469,"Week three of virtual learning is underway. Let's get after it, STISD! Have a great week!
.
.
.",,,0.0,"Week three of virtual learning is underway. Let's get after it, STISD! Have a great week!
.
.
.",2020-08-31 10:15:01,,
