,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,22.0,,2382007535435732,"Southwest Dubois County School Corporation is pleased to announce that through a grant from the USDA, starting Monday September 14, all students who are attending school in person will receive free breakfast and lunch. The grant runs through December 31st or until the grant money runs out whichever comes first. The grant does not cover adult meals or a-la-carte items. The menu choices WILL NOT CHANGE. Current money will remain in student accounts to be used for a-al-carte items or to be used after the grant funding is exhausted, when normal pricing will resume.",https://facebook.com/story.php?story_fbid=2382007535435732&id=2038538689782620,,0.0,"Southwest Dubois County School Corporation is pleased to announce that through a grant from the USDA, starting Monday September 14, all students who are attending school in person will receive free breakfast and lunch. The grant runs through December 31st or until the grant money runs out whichever comes first. The grant does not cover adult meals or a-la-carte items. The menu choices WILL NOT CHANGE. Current money will remain in student accounts to be used for a-al-carte items or to be used after the grant funding is exhausted, when normal pricing will resume.",2020-09-12 10:00:36,,
1,1.0,,0.0,https://ecollect.accelaschool.com/SWDCSC,2352213975081755,"Student Enrollment 2020-21!

New to the District PowerSchool Enrollment:
https://ecollect.accelaschool.com/SWDCSC

Returning Southwest Dubois Students, Link PowerSchool Parent/Student Portal: https://swdubois.powerschool.com/public/

Instructions: https://docs.google.com/document/d/1DFfB0nb3njtf9nGO8avpw_-W6OMZPIcuCLRraDk3aMg/edit",https://facebook.com/story.php?story_fbid=2352213975081755&id=2038538689782620,"ECOLLECT.ACCELASCHOOL.COM
P Enrollment Express School: Southwest Dubois Co School Corporation",14.0,"Student Enrollment 2020-21!

New to the District PowerSchool Enrollment:
https://ecollect.accelaschool.com/SWDCSC

Returning Southwest Dubois Students, Link PowerSchool Parent/Student Portal: https://swdubois.powerschool.com/public/

Instructions: https://docs.google.com/document/d/1DFfB0nb3njtf9nGO8avpw_-W6OMZPIcuCLRraDk3aMg/edit

ECOLLECT.ACCELASCHOOL.COM
P Enrollment Express School: Southwest Dubois Co School Corporation",2020-08-04 11:05:14,,
2,0.0,,13.0,https://drive.google.com/file/d/1EL5dSUb49cAi-yqMj2eB5Hrn5eGpz1NS/view?usp=sharing,2350148041955015,Back to School Information 2020-21!,https://facebook.com/story.php?story_fbid=2350148041955015&id=2038538689782620,"DRIVE.GOOGLE.COM
SWDCS Back to School 2020-2021 rev 8.1.2020",23.0,"Back to School Information 2020-21!

DRIVE.GOOGLE.COM
SWDCS Back to School 2020-2021 rev 8.1.2020",2020-08-01 13:53:56,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/116401504_2666584153580242_7551866463060028612_n.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=TvMc7AWcPqcAX_FahJX&_nc_ht=scontent-atl3-1.xx&oh=727b5bd407667b046495155e7a50b60e&oe=5F826AF0,1.0,,2349327398703746,,https://facebook.com/story.php?story_fbid=2349327398703746&id=2038538689782620,"Southridge High School
July 31 at 9:42 AM ·

Please read the following information from our Nurse.",4.0,"Southridge High School
July 31 at 9:42 AM ·

Please read the following information from our Nurse.",2020-07-31 09:43:29,,
4,0.0,,1.0,https://docs.google.com/document/d/1dWA41XXuMG7msydaeQtCDnIUZNmKWCf5WHCZM2yeqmU/edit?usp=sharing,2348876742082145,SWDCS Online COVID Academy (EdOptions) Information 2020-21 School Year,https://facebook.com/story.php?story_fbid=2348876742082145&id=2038538689782620,"DOCS.GOOGLE.COM
COVID Online Academy Information",42.0,"SWDCS Online COVID Academy (EdOptions) Information 2020-21 School Year

DOCS.GOOGLE.COM
COVID Online Academy Information",2020-07-30 17:33:51,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/115807013_2344532009183285_2519423186118135616_o.png?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=RUyMiKWhe-0AX9nBVr0&_nc_ht=scontent-atl3-1.xx&oh=5622d93c706b5435c5c36eae91809ba7&oe=5F838671,4.0,,2344532049183281,,https://facebook.com/story.php?story_fbid=2344532049183281&id=2038538689782620,,0.0,,2020-07-24 11:13:03,,
6,0.0,,0.0,https://docs.google.com/document/d/10WdCFDLvdnwcX8Rkyt7RehPmctI419Z3472oX403An8/edit?usp=sharing,2343086655994487,,https://facebook.com/story.php?story_fbid=2343086655994487&id=2038538689782620,"DOCS.GOOGLE.COM
Driver Recruitment Program",19.0,"DOCS.GOOGLE.COM
Driver Recruitment Program",2020-07-22 10:34:21,,
7,0.0,,1.0,,2341604586142694,,https://facebook.com/story.php?story_fbid=2341604586142694&id=2038538689782620,"Huntingburg Elementary School
July 19 at 8:57 PM ·

Important message from the Cafeteria:

Attention parents and guardians. Please do not submit a 2020-2021 free and reduced application through Harmony. The corporation is transitioning to a new cafeteria program. Harmony will be deleted along with any applications that are submitted for this coming school year. The new program is called Heartland/Mosaic. The program will not be ready before August 1, 2020. If you have any questions, contact me at 82-683-2272 ext. 2607 or cottono@swdubois.k12.in.us Thank you for your help in this matter.",4.0,"Huntingburg Elementary School
July 19 at 8:57 PM ·

Important message from the Cafeteria:

Attention parents and guardians. Please do not submit a 2020-2021 free and reduced application through Harmony. The corporation is transitioning to a new cafeteria program. Harmony will be deleted along with any applications that are submitted for this coming school year. The new program is called Heartland/Mosaic. The program will not be ready before August 1, 2020. If you have any questions, contact me at 82-683-2272 ext. 2607 or cottono@swdubois.k12.in.us Thank you for your help in this matter.",2020-07-20 07:57:52,,
8,0.0,,0.0,,,"Important message from the Cafeteria:

Attention parents and guardians. Please do not submit a 2020-2021 free and reduced application through Harmony. The corporation is transitioning to a new cafeteria program. Harmony will be deleted along with any applications that are submitted for this coming school year. The new program is called Heartland/Mosaic. The program will not be ready before August 1, 2020. If you have any questions, contact me at 82-683-2272 ext. 2607 or cottono@swdubois.k12.in.us Thank you for your help in this matter.",https://facebook.com/story.php?story_fbid=2744814745842672&id=1456693497988143,,0.0,"Important message from the Cafeteria:

Attention parents and guardians. Please do not submit a 2020-2021 free and reduced application through Harmony. The corporation is transitioning to a new cafeteria program. Harmony will be deleted along with any applications that are submitted for this coming school year. The new program is called Heartland/Mosaic. The program will not be ready before August 1, 2020. If you have any questions, contact me at 82-683-2272 ext. 2607 or cottono@swdubois.k12.in.us Thank you for your help in this matter.",2020-09-13 14:10:53.474958,,
9,4.0,,3.0,https://bit.ly/backtoschool20survey,2338292893140530,"Dear Southwest Dubois Parents-

In order to gather information regarding the return to school, please take a few minutes to complete this survey by Monday, July 20th. The link to the survey is posted below. We value your feedback and appreciate you taking time to complete the survey.

https://bit.ly/backtoschool20survey",https://facebook.com/story.php?story_fbid=2338292893140530&id=2038538689782620,"DOCS.GOOGLE.COM
Return to School Survey",58.0,"Dear Southwest Dubois Parents-

In order to gather information regarding the return to school, please take a few minutes to complete this survey by Monday, July 20th. The link to the survey is posted below. We value your feedback and appreciate you taking time to complete the survey.

https://bit.ly/backtoschool20survey

DOCS.GOOGLE.COM
Return to School Survey",2020-07-15 12:54:01,,
