,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,,10.0,,2349447731937060,"Who are we? Let’s break it down…

Do you have a kid (or love a kid) that attends Spectrum Academy NSL Elementary? This is the group you want to be part of!

We have meetings, but you don’t have to come to all of them to be involved. We try to utilize all kinds of communication in order to be as efficient as we can be with everyone’s time and resources. This Facebook page is a big part of that communication.

We organize all kinds of events and activities for our kiddos, for the teachers and staff who support them, and we fundraise to get it all done.
-Welcome Back Playdates
-Class Parties
-Teacher and Staff Appreciation
-Autism Awareness
-Sensory Day
-Red Ribbon Week
-Field Day
-And so much more…

It takes a lot of organizing and a lot of volunteer hours… And none of it is possible without YOU!

We are all busy but, when we work together, we can accomplish great things!",https://facebook.com/story.php?story_fbid=2349447731937060&id=2345059139042586,,0.0,"Who are we? Let’s break it down…

Do you have a kid (or love a kid) that attends Spectrum Academy NSL Elementary? This is the group you want to be part of!

We have meetings, but you don’t have to come to all of them to be involved. We try to utilize all kinds of communication in order to be as efficient as we can be with everyone’s time and resources. This Facebook page is a big part of that communication.

We organize all kinds of events and activities for our kiddos, for the teachers and staff who support them, and we fundraise to get it all done.
-Welcome Back Playdates
-Class Parties
-Teacher and Staff Appreciation
-Autism Awareness
-Sensory Day
-Red Ribbon Week
-Field Day
-And so much more…

It takes a lot of organizing and a lot of volunteer hours… And none of it is possible without YOU!

We are all busy but, when we work together, we can accomplish great things!",2019-07-05 00:16:41,,
1,0.0,,0.0,,2711081182440378,1 hour late start on 9/9/2020,https://facebook.com/story.php?story_fbid=2711081182440378&id=2345059139042586,"Spectrum Academy Charter School
September 8 at 8:52 PM ·

Hello NSL Spectrum Families,
In light of the continued weather difficulties and power outages in Davis county, Spectrum schools in North Salt Lake are starting one hour later tomorrow morning (September 9th, 2020). Please monitor text, email, or media for any additional changes to the schedule tomorrow morning.",0.0,"1 hour late start on 9/9/2020

Spectrum Academy Charter School
September 8 at 8:52 PM ·

Hello NSL Spectrum Families,
In light of the continued weather difficulties and power outages in Davis county, Spectrum schools in North Salt Lake are starting one hour later tomorrow morning (September 9th, 2020). Please monitor text, email, or media for any additional changes to the schedule tomorrow morning.",2020-09-08 22:53:21,,
2,0.0,,0.0,,,"Hello NSL Spectrum Families,
In light of the continued weather difficulties and power outages in Davis county, Spectrum schools in North Salt Lake are starting one hour later tomorrow morning (September 9th, 2020). Please monitor text, email, or media for any additional changes to the schedule tomorrow morning.",https://facebook.com/story.php?story_fbid=10158971138648938&id=101890213937,,0.0,"Hello NSL Spectrum Families,
In light of the continued weather difficulties and power outages in Davis county, Spectrum schools in North Salt Lake are starting one hour later tomorrow morning (September 9th, 2020). Please monitor text, email, or media for any additional changes to the schedule tomorrow morning.",2020-09-18 12:21:23.397955,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118964982_2710640262484470_336198126233694610_o.jpg?_nc_cat=100&_nc_sid=9e2e56&_nc_ohc=uvfmXVxVc2UAX_ufwms&_nc_ht=scontent-atl3-1.xx&tp=14&oh=856d3466d33a70130bc94fba35f65276&oe=5F88B6B3,0.0,,2710640279151135,"Please stay home, and be safe.",https://facebook.com/story.php?story_fbid=2710640279151135&id=2345059139042586,,0.0,"Please stay home, and be safe.",2020-09-08 10:00:59,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118799875_2710630315818798_4503238201029587700_o.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=vpB6sK3rlg0AX_JVTau&_nc_ht=scontent-atl3-1.xx&tp=14&oh=bdedd5600dc7005bb77bfcb56e04adb1&oe=5F8A12BB,0.0,,2710630352485461,7:30am UPDATE: NO SCHOOL today (9/8/2020),https://facebook.com/story.php?story_fbid=2710630352485461&id=2345059139042586,,0.0,7:30am UPDATE: NO SCHOOL today (9/8/2020),2020-09-08 09:47:12,,
5,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118967061_2710572159157947_5638513474710820937_o.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=3fal8LzOF_kAX8qhMAo&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5e75c328620377d25a1a08170edbac8e&oe=5F8BB0B7,0.0,,2710572182491278,UPDATE: 2 hour late start,https://facebook.com/story.php?story_fbid=2710572182491278&id=2345059139042586,,0.0,UPDATE: 2 hour late start,2020-09-08 08:28:49,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118948852_2710557155826114_6102023836174884480_o.jpg?_nc_cat=106&_nc_sid=9e2e56&_nc_ohc=7bNL_x8R9G4AX_lBMF7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d95de7555f74270c81799b48fd7b21c6&oe=5F889EA6,1.0,,2710557185826111,This just came out from Christina. Please keep your Cub and family safe in this crazy weather!,https://facebook.com/story.php?story_fbid=2710557185826111&id=2345059139042586,,0.0,This just came out from Christina. Please keep your Cub and family safe in this crazy weather!,2020-09-08 08:04:52,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119026305_2709850189230144_4265963324066529896_n.png?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=DPylvbbGfKAAX-BXoRr&_nc_ht=scontent-atl3-1.xx&oh=081547b7adf58d688da4a50019172c9a&oe=5F8C3B24,0.0,,2709851719229991,Shopping at Lee's can benefit our school.,https://facebook.com/story.php?story_fbid=2709851719229991&id=2345059139042586,,0.0,Shopping at Lee's can benefit our school.,2020-09-07 11:22:51,,
8,0.0,,4.0,,2697792433769253,"This week we have Kindergarten starting. Please be patient during carpool as staff helps get them into cars. We need to keep a single file line and not go around stopped cars unless a carpool staff instructs otherwise. This is for the safety of all students as some have to enter from the driver side. We need to follow the car in front of us to get to pick up locations not go around.
We had a great week last week with carpool lets keep it up.",https://facebook.com/story.php?story_fbid=2697792433769253&id=2345059139042586,,0.0,"This week we have Kindergarten starting. Please be patient during carpool as staff helps get them into cars. We need to keep a single file line and not go around stopped cars unless a carpool staff instructs otherwise. This is for the safety of all students as some have to enter from the driver side. We need to follow the car in front of us to get to pick up locations not go around.
We had a great week last week with carpool lets keep it up.",2020-08-24 10:58:27,,
9,0.0,,0.0,https://tse1.mm.bing.net/th?id=OGC.10d19458d9595534820fbd819335bceb&pid=Api&rurl=https%3a%2f%2fmedia.giphy.com%2fmedia%2fpdmI0FX9spnmU%2fgiphy.gif&ehk=Z856G3BM03COum%2bjeJ%2fYgM0y07OcDp4uHmy%2fM813M6k%3d,2695226347359195,Please remember there is no school today. See you on Monday!!,https://facebook.com/story.php?story_fbid=2695226347359195&id=2345059139042586,"MEDIA.GIPHY.COM
media.giphy.com",0.0,"Please remember there is no school today. See you on Monday!!

MEDIA.GIPHY.COM
media.giphy.com",2020-08-21 08:15:58,,
