,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,3.0,http://www.springhillsportslive.com/,4324590937582280,,https://facebook.com/story.php?story_fbid=4324590937582280&id=185188408189241,"Spring Hill High School - U.S.D. 230
22 hrs ·

A quick reminder to our Bronco football fans: ☝️

Fans planning to attend tonight's home game vs Paola, will need a player ticket voucher, $$, and a mask to enter. 🎟

Student Section attendees received a confirmation email notifying them of their reserved spot.
Students: don't forget your ID, $$, mask, and entry by 6:55 pm!

If you do not have a ticket voucher, or received a student confirmation email, you will not be allowed entry into the stadium. Please catch the game LIVE at http://www.springhillsportslive.com/ and enjoy the action from anywhere! 🏈

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

See more at
springhillsportslive.com",0.0,"Spring Hill High School - U.S.D. 230
22 hrs ·

A quick reminder to our Bronco football fans: ☝️

Fans planning to attend tonight's home game vs Paola, will need a player ticket voucher, $$, and a mask to enter. 🎟

Student Section attendees received a confirmation email notifying them of their reserved spot.
Students: don't forget your ID, $$, mask, and entry by 6:55 pm!

If you do not have a ticket voucher, or received a student confirmation email, you will not be allowed entry into the stadium. Please catch the game LIVE at http://www.springhillsportslive.com/ and enjoy the action from anywhere! 🏈

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

See more at
springhillsportslive.com",2020-09-11 15:58:05,,
1,0.0,,0.0,http://www.springhillsportslive.com/,,"A quick reminder to our Bronco football fans: ☝️

Fans planning to attend tonight's home game vs Paola, will need a player ticket voucher, $$, and a mask to enter. 🎟

Student Section attendees received a confirmation email notifying them of their reserved spot.
Students: don't forget your ID, $$, mask, and entry by 6:55 pm!

If you do not have a ticket voucher, or received a student confirmation email, you will not be allowed entry into the stadium. Please catch the game LIVE at http://www.springhillsportslive.com/ and enjoy the action from anywhere! 🏈",https://facebook.com/story.php?story_fbid=3583864711633084&id=197125883640334,"SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

See more at
springhillsportslive.com",0.0,"A quick reminder to our Bronco football fans: ☝️

Fans planning to attend tonight's home game vs Paola, will need a player ticket voucher, $$, and a mask to enter. 🎟

Student Section attendees received a confirmation email notifying them of their reserved spot.
Students: don't forget your ID, $$, mask, and entry by 6:55 pm!

If you do not have a ticket voucher, or received a student confirmation email, you will not be allowed entry into the stadium. Please catch the game LIVE at http://www.springhillsportslive.com/ and enjoy the action from anywhere! 🏈

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

SPRING HILL SPORTS LIVE
Spring Hill Sports Live is your home for Bronco Athletics. This season we'll bring you exclusive Live Video coverage of Broco Football, Basketball and select Volleyball, Soccer, Wrestling Baseball...

See more at
springhillsportslive.com",,,
2,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119231391_4323991984308842_6593227727638051319_n.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=QybHMd_6qCUAX8SXg24&_nc_ht=scontent-atl3-1.xx&oh=a70a191719be2d16a13d38cd9816b186&oe=5F83A28B,7.0,https://www.usd230.org/news/what_s_new/free_meals_for_enrolled_u_s_d_230_students,4323994290975278,"Please register for Monday's (9/14) meal pick-up by Sunday (9/13) at 7pm. You will receive all meals for the week (breakfast and lunch) on Monday. Pick up locations are at SHMS (new pick up location at the SHMS south entrance), WSMS, and SHHS between 12-1 pm.

Learn more and register here👉https://www.usd230.org/news/what_s_new/free_meals_for_enrolled_u_s_d_230_students",https://facebook.com/story.php?story_fbid=4323994290975278&id=185188408189241,,0.0,"Please register for Monday's (9/14) meal pick-up by Sunday (9/13) at 7pm. You will receive all meals for the week (breakfast and lunch) on Monday. Pick up locations are at SHMS (new pick up location at the SHMS south entrance), WSMS, and SHHS between 12-1 pm.

Learn more and register here👉https://www.usd230.org/news/what_s_new/free_meals_for_enrolled_u_s_d_230_students",2020-09-11 13:19:08,,
3,0.0,,41.0,,4323425284365512,Never forget.,https://facebook.com/story.php?story_fbid=4323425284365512&id=185188408189241,,0.0,Never forget.,2020-09-11 11:02:04,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/99068542_3818973688144010_4615051090944065536_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=_NSvhS9sN4kAX_YlT_7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cfe09e11a98709399f3806f4926f950b&oe=5F8111E4,22.0,,3818976548143724,#BroncosTBT - Taken from the '76 yearbook,https://facebook.com/story.php?story_fbid=3818976548143724&id=185188408189241,,0.0,#BroncosTBT - Taken from the '76 yearbook,2020-09-10 12:00:01,,
5,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119147365_4317788948262479_1852385244570809001_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=YMihAadiOdAAX9cl5rv&_nc_ht=scontent-atl3-1.xx&tp=14&oh=05742ba2b1383e4f30951cc0aef42eb7&oe=5F82ED3C,91.0,,4317790314929009,Thank you Price Chopper for the donation of bags for meal distribution to our families! We appreciate your partnership! #TogetherSpringHill,https://facebook.com/story.php?story_fbid=4317790314929009&id=185188408189241,,0.0,Thank you Price Chopper for the donation of bags for meal distribution to our families! We appreciate your partnership! #TogetherSpringHill,2020-09-10 10:08:32,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118841153_3605355776142667_6438016428765331815_o.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=CCm29INlOpYAX8X-WjH&_nc_ht=scontent-atl3-1.xx&oh=2c91a4af27c2e0007efcfbf6311b6481&oe=5F81E1DB,3.0,http://www.my2020Census.gov/,4317775554930485,Finish strong Spring Hill! #2020Census,https://facebook.com/story.php?story_fbid=4317775554930485&id=185188408189241,"City of Spring Hill, KS Government
September 9 at 6:45 PM ·

Way to go, Spring Hill! Our response rate keeps climbing! There are only 21 more days to ensure you and your family are counted in the Census. Have you responded? 🙋‍♀️

Take 10 minutes to answer the 10 questions on the Census:
— www.my2020Census.gov
— 1 (844) 330-2020 English or 1 (844) 468-2020 Spanish",0.0,"Finish strong Spring Hill! #2020Census

City of Spring Hill, KS Government
September 9 at 6:45 PM ·

Way to go, Spring Hill! Our response rate keeps climbing! There are only 21 more days to ensure you and your family are counted in the Census. Have you responded? 🙋‍♀️

Take 10 minutes to answer the 10 questions on the Census:
— www.my2020Census.gov
— 1 (844) 330-2020 English or 1 (844) 468-2020 Spanish",2020-09-10 10:05:24,,
7,0.0,,8.0,,634890420736114,,,"MON, SEP 14 AT 6:30 PM CDT
BOE Meeting",0.0,"MON, SEP 14 AT 6:30 PM CDT
BOE Meeting",2020-09-09 15:14:55,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119073491_4313196315388409_4188383367199265671_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=qPLmZECEa8kAX-X6PA_&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a937b660e4c91b1b9c1336516b3c0147&oe=5F83422B,11.0,https://forms.gle/SkScMbX76zChSddTA,4313203078721066,"Are you wanting to help support the Spring Hill High School - U.S.D. 230 Debate program this fall? The Debate team is looking for individuals who would be willing to help our students compete by serving as judges. This year, you can judge from anywhere as long as you have internet access, as most of our competitions will be held virtually! If you are interested in helping judge this fall, please fill out the Google Form (https://forms.gle/SkScMbX76zChSddTA) or email Alix Kunkle at kunklea@usd230.org. The Debate team thanks you in advance for your willingness to help and your support!",https://facebook.com/story.php?story_fbid=4313203078721066&id=185188408189241,,0.0,"Are you wanting to help support the Spring Hill High School - U.S.D. 230 Debate program this fall? The Debate team is looking for individuals who would be willing to help our students compete by serving as judges. This year, you can judge from anywhere as long as you have internet access, as most of our competitions will be held virtually! If you are interested in helping judge this fall, please fill out the Google Form (https://forms.gle/SkScMbX76zChSddTA) or email Alix Kunkle at kunklea@usd230.org. The Debate team thanks you in advance for your willingness to help and your support!",2020-09-09 11:57:36,,
9,0.0,,7.0,https://www.springhillks.gov/CivicAlerts.aspx?AID=516,4312991942075513,Don't forget about this resource!,https://facebook.com/story.php?story_fbid=4312991942075513&id=185188408189241,"SPRINGHILLKS.GOV
City of Spring Hill

City of Spring Hill, KS Government
September 9 at 9:26 AM ·

Just a reminder: Students can use our WIFI for free each week! We have room for up to 15 students at one time.",0.0,"Don't forget about this resource!

SPRINGHILLKS.GOV
City of Spring Hill

City of Spring Hill, KS Government
September 9 at 9:26 AM ·

Just a reminder: Students can use our WIFI for free each week! We have room for up to 15 students at one time.",2020-09-09 11:06:42,,
