,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,2.0,http://streaming.ci.staunton.va.us:8000/,2846715272226124,"There will be a called meeting of the Staunton City School Board will be held on September 21, 2020, at 6:00 p.m. in the Rita S. Wilson Council Chambers on the 1st Floor of City Hall, 116 W. Beverley Street, Staunton.
Due to the continuing public health emergency and the need to observe physical distancing requirements, only limited seating will be available to the public. As an alternative to in-person attendance, members of the public are encouraged to listen online through our website or on local cable channel SCSTV-13. Please use the link below to view the agenda, including instructions for providing public input by telephone.
Individuals attending in person will be expected to comply with Virginia’s Executive Order 63, which requires that all persons aged 10 and over wear a face covering that covers their mouth and nose when inside a local government building.
Live Audio Feed: http://streaming.ci.staunton.va.us:8000/
Agenda: https://www.staunton.k12.va.us/Page/5883",https://facebook.com/story.php?story_fbid=2846715272226124&id=1607150056182658,"STREAMING.CI.STAUNTON.VA.US
streaming.ci.staunton.va.us",0.0,"There will be a called meeting of the Staunton City School Board will be held on September 21, 2020, at 6:00 p.m. in the Rita S. Wilson Council Chambers on the 1st Floor of City Hall, 116 W. Beverley Street, Staunton.
Due to the continuing public health emergency and the need to observe physical distancing requirements, only limited seating will be available to the public. As an alternative to in-person attendance, members of the public are encouraged to listen online through our website or on local cable channel SCSTV-13. Please use the link below to view the agenda, including instructions for providing public input by telephone.
Individuals attending in person will be expected to comply with Virginia’s Executive Order 63, which requires that all persons aged 10 and over wear a face covering that covers their mouth and nose when inside a local government building.
Live Audio Feed: http://streaming.ci.staunton.va.us:8000/
Agenda: https://www.staunton.k12.va.us/Page/5883

STREAMING.CI.STAUNTON.VA.US
streaming.ci.staunton.va.us",2020-09-18 16:50:18,,
1,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119882696_2846689882228663_2674237818947197226_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=QyHX943nomIAX-ALkZk&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dc4710774adde8ad9241829b8d961e74&oe=5F88FDCC,15.0,https://youtu.be/KlUHW9RNZk4,2846691525561832,"Congratulations to Mrs. Lisa Cooper, 1st grade teacher at Bessie Weller Elementary School. Today, she was named the 2021 Region V Teacher of the Year!!

Lisa has been a teacher for the past 11 years, and during that time, she has been recognized with distinguished awards for teaching excellence, including 2009 Teacher of Promise, 2014 Buena Vista Teacher of the Year, 2020 Staunton City Teacher of the Year, and now 2021 Region V Teacher of the Year.

View the following video for congratulatory remarks from leaders across Virginia. https://youtu.be/KlUHW9RNZk4",https://facebook.com/story.php?story_fbid=2846691525561832&id=1607150056182658,,0.0,"Congratulations to Mrs. Lisa Cooper, 1st grade teacher at Bessie Weller Elementary School. Today, she was named the 2021 Region V Teacher of the Year!!

Lisa has been a teacher for the past 11 years, and during that time, she has been recognized with distinguished awards for teaching excellence, including 2009 Teacher of Promise, 2014 Buena Vista Teacher of the Year, 2020 Staunton City Teacher of the Year, and now 2021 Region V Teacher of the Year.

View the following video for congratulatory remarks from leaders across Virginia. https://youtu.be/KlUHW9RNZk4",2020-09-18 16:08:32,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119143199_1246956995649302_1100889222199428709_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=sz7CjNYxk7QAX9DMR2P&_nc_ht=scontent-atl3-1.xx&tp=14&oh=06a0c25785eaf3e367b9c02c498531ce&oe=5F8B4856,5.0,,2840080089556309,,https://facebook.com/story.php?story_fbid=2840080089556309&id=1607150056182658,,3.0,,2020-09-11 09:03:26,,
3,0.0,,3.0,http://streaming.ci.staunton.va.us:8000/,2833412736889711,"The next regular meeting of the Staunton City School Board will be held on September 14, 2020, at 6:00 p.m. in the Rita S. Wilson Council Chambers on the 1st Floor of City Hall, 116 W. Beverley Street, Staunton.
Due to the continuing public health emergency and the need to observe physical distancing requirements, only limited seating will be available to the public. As an alternative to in-person attendance, members of the public are encouraged to listen online through our website or on local cable channel SCSTV-13. Please use the link below to view the agenda, including instructions for providing public input by telephone.
Individuals attending in person will be expected to comply with Virginia’s Executive Order 63, which requires that all persons aged 10 and over wear a face covering that covers their mouth and nose when inside a local government building.
Live Audio Feed: http://streaming.ci.staunton.va.us:8000/
Agenda: https://www.staunton.k12.va.us/Page/5883",https://facebook.com/story.php?story_fbid=2833412736889711&id=1607150056182658,"STREAMING.CI.STAUNTON.VA.US
streaming.ci.staunton.va.us",5.0,"The next regular meeting of the Staunton City School Board will be held on September 14, 2020, at 6:00 p.m. in the Rita S. Wilson Council Chambers on the 1st Floor of City Hall, 116 W. Beverley Street, Staunton.
Due to the continuing public health emergency and the need to observe physical distancing requirements, only limited seating will be available to the public. As an alternative to in-person attendance, members of the public are encouraged to listen online through our website or on local cable channel SCSTV-13. Please use the link below to view the agenda, including instructions for providing public input by telephone.
Individuals attending in person will be expected to comply with Virginia’s Executive Order 63, which requires that all persons aged 10 and over wear a face covering that covers their mouth and nose when inside a local government building.
Live Audio Feed: http://streaming.ci.staunton.va.us:8000/
Agenda: https://www.staunton.k12.va.us/Page/5883

STREAMING.CI.STAUNTON.VA.US
streaming.ci.staunton.va.us",2020-09-04 16:00:10,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118794714_10158040755404843_3091841237773881249_n.png?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=eEApmbdixiAAX8VEArK&_nc_ht=scontent-atl3-1.xx&oh=56bc58cc373ef23f0189a6cebffcf42a&oe=5F89A61E,1.0,,2832566866974298,,https://facebook.com/story.php?story_fbid=2832566866974298&id=1607150056182658,"Staunton-Augusta Family YMCA
September 2 at 4:42 PM ·

Our next Youth Volunteer Corps project is this Saturday morning.",0.0,"Staunton-Augusta Family YMCA
September 2 at 4:42 PM ·

Our next Youth Volunteer Corps project is this Saturday morning.",2020-09-02 19:48:28,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118311223_10158022799204843_6049782510727370208_n.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=wJsnSByvbWsAX_F3tHQ&_nc_ht=scontent-atl3-1.xx&oh=3d14073257a28cba20443ae55a0ea23a&oe=5F8B920F,1.0,,2828320324065619,Today's volunteer event has been postponed due to the weather. A makeup date will be announced in the future.,https://facebook.com/story.php?story_fbid=2828320324065619&id=1607150056182658,"Staunton-Augusta Family YMCA
August 26 at 2:55 PM ·

Students, please join us Saturday morning for a Staunton-Augusta Family YMCA Youth Volunteer Corps project",2.0,"Today's volunteer event has been postponed due to the weather. A makeup date will be announced in the future.

Staunton-Augusta Family YMCA
August 26 at 2:55 PM ·

Students, please join us Saturday morning for a Staunton-Augusta Family YMCA Youth Volunteer Corps project",2020-08-29 08:32:58,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118311223_10158022799204843_6049782510727370208_n.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=wJsnSByvbWsAX_F3tHQ&_nc_ht=scontent-atl3-1.xx&oh=3d14073257a28cba20443ae55a0ea23a&oe=5F8B920F,3.0,,2826638430900475,"The YMCA is looking for volunteers this Saturday, August, 29, to help assemble science kits for our elementary schools. Volunteers must be at least 11 years of age.",https://facebook.com/story.php?story_fbid=2826638430900475&id=1607150056182658,"Staunton-Augusta Family YMCA
August 26 at 2:55 PM ·

Students, please join us Saturday morning for a Staunton-Augusta Family YMCA Youth Volunteer Corps project",6.0,"The YMCA is looking for volunteers this Saturday, August, 29, to help assemble science kits for our elementary schools. Volunteers must be at least 11 years of age.

Staunton-Augusta Family YMCA
August 26 at 2:55 PM ·

Students, please join us Saturday morning for a Staunton-Augusta Family YMCA Youth Volunteer Corps project",2020-08-27 10:38:01,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116875529_1214926572185678_1266328202920181607_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=8qtDvEAJuH0AX9Ym5DE&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d1ac670dc8d3dfd0dd3156d696945609&oe=5F89A21C,8.0,,2807260362838282,,https://facebook.com/story.php?story_fbid=2807260362838282&id=1607150056182658,,2.0,,2020-08-05 20:19:12,,
8,2.0,,0.0,http://streaming.ci.staunton.va.us:8000/,2801673890063596,"The next regular meeting of the Staunton City School Board will be held on August 10, 2020, at 6:00 p.m. in the Rita S. Wilson Council Chambers on the 1st Floor of City Hall, 116 W. Beverley Street, Staunton.

Due to the continuing public health emergency and the need to observe physical distancing requirements, only limited seating will be available to the public. As an alternative to in-person attendance, members of the public are encouraged to listen online through our website or on local cable channel SCSTV-13. Please use the link below to view the agenda, including instructions for providing public input by telephone.

Individuals attending in person will be expected to comply with Virginia’s Executive Order 63, which requires that all persons aged 10 and over wear a face covering that covers their mouth and nose when inside a local government building.

Live Audio Feed: http://streaming.ci.staunton.va.us:8000/;

Agenda: https://www.staunton.k12.va.us/Page/5883",https://facebook.com/story.php?story_fbid=2801673890063596&id=1607150056182658,"STREAMING.CI.STAUNTON.VA.US
streaming.ci.staunton.va.us",2.0,"The next regular meeting of the Staunton City School Board will be held on August 10, 2020, at 6:00 p.m. in the Rita S. Wilson Council Chambers on the 1st Floor of City Hall, 116 W. Beverley Street, Staunton.

Due to the continuing public health emergency and the need to observe physical distancing requirements, only limited seating will be available to the public. As an alternative to in-person attendance, members of the public are encouraged to listen online through our website or on local cable channel SCSTV-13. Please use the link below to view the agenda, including instructions for providing public input by telephone.

Individuals attending in person will be expected to comply with Virginia’s Executive Order 63, which requires that all persons aged 10 and over wear a face covering that covers their mouth and nose when inside a local government building.

Live Audio Feed: http://streaming.ci.staunton.va.us:8000/;

Agenda: https://www.staunton.k12.va.us/Page/5883

STREAMING.CI.STAUNTON.VA.US
streaming.ci.staunton.va.us",2020-08-03 00:00:07,,
9,1.0,,7.0,http://streaming.ci.staunton.va.us:8000/,2783450735219245,"The School Board will convene for their regular monthly meeting and annual reorganization on July 13, 2020, at 6:00 p.m.

The meeting will be in the Rita S. Wilson Council Chambers on the 1st Floor of City Hall, 116 W. Beverley Street, Staunton.

Due to the continuing public health emergency and the need to observe physical distancing requirements, only limited seating will be available to the public. As an alternative to in-person attendance, members of the public are encouraged to listen online through our website or on local cable channel SCSTV-13. Please use the link below to view the agenda, including instructions for providing public input by telephone.

Individuals attending in person will be expected to comply with Virginia’s Executive Order 63, which requires that all persons aged 10 and over wear a face covering that covers their mouth and nose when inside a local government building.

Live Audio Feed: http://streaming.ci.staunton.va.us:8000/;

Agenda: https://www.staunton.k12.va.us/site/Default.aspx?PageID=5886",https://facebook.com/story.php?story_fbid=2783450735219245&id=1607150056182658,"STREAMING.CI.STAUNTON.VA.US
streaming.ci.staunton.va.us",9.0,"The School Board will convene for their regular monthly meeting and annual reorganization on July 13, 2020, at 6:00 p.m.

The meeting will be in the Rita S. Wilson Council Chambers on the 1st Floor of City Hall, 116 W. Beverley Street, Staunton.

Due to the continuing public health emergency and the need to observe physical distancing requirements, only limited seating will be available to the public. As an alternative to in-person attendance, members of the public are encouraged to listen online through our website or on local cable channel SCSTV-13. Please use the link below to view the agenda, including instructions for providing public input by telephone.

Individuals attending in person will be expected to comply with Virginia’s Executive Order 63, which requires that all persons aged 10 and over wear a face covering that covers their mouth and nose when inside a local government building.

Live Audio Feed: http://streaming.ci.staunton.va.us:8000/;

Agenda: https://www.staunton.k12.va.us/site/Default.aspx?PageID=5886

STREAMING.CI.STAUNTON.VA.US
streaming.ci.staunton.va.us",2020-07-09 15:50:54,,
