,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119061005_3345486488870043_7323333373052002412_o.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=MFmp7XoCVGgAX-uUaqR&_nc_ht=scontent-atl3-1.xx&oh=e06ada65ffd9b0f96d0c610a7ffbed8a&oe=5F843B68,2.0,https://drive.google.com/file/d/1laetjeo4ydS4Ho9VNlnkmFfXB-jh1URw/view,3345487235536635,"Please see the fourth version of the Ste. Genevieve R-II School District’s 2020-2021 Reopening Plan linked here:

https://drive.google.com/file/d/1laetjeo4ydS4Ho9VNlnkmFfXB-jh1URw/view

This plan includes updates for the following areas:

Text Sign-Ups: COVID-19 Updates by School: p. 10
FREE Food Service Program: p. 21
Away Events Information: p. 24
Facility Use - COVID-19 Requirements: p. 25",https://facebook.com/story.php?story_fbid=3345487235536635&id=261621113923278,,0.0,"Please see the fourth version of the Ste. Genevieve R-II School District’s 2020-2021 Reopening Plan linked here:

https://drive.google.com/file/d/1laetjeo4ydS4Ho9VNlnkmFfXB-jh1URw/view

This plan includes updates for the following areas:

Text Sign-Ups: COVID-19 Updates by School: p. 10
FREE Food Service Program: p. 21
Away Events Information: p. 24
Facility Use - COVID-19 Requirements: p. 25",2020-09-11 18:00:02,,
1,11.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118956532_3345472255538133_381614889730043625_o.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=TBZyqjmBO6gAX-a7bk4&_nc_ht=scontent-atl3-1.xx&oh=efa4e34fd79ce32d568bff1f32627c51&oe=5F8261CD,64.0,https://drive.google.com/file/d/1BSt0o0-j4K9g-kQVdWMci65UiUj3ZDaC/view,3345473435538015,"SG R-II FREE Food Service:

SG R-II is excited to announce that we have been approved to provide free meals to all children in SG County, ages 3 - 18 through the fall 2020! See the flyer for more info and to sign up for the Grab and Go service:

https://drive.google.com/file/d/1BSt0o0-j4K9g-kQVdWMci65UiUj3ZDaC/view",https://facebook.com/story.php?story_fbid=3345473435538015&id=261621113923278,,0.0,"SG R-II FREE Food Service:

SG R-II is excited to announce that we have been approved to provide free meals to all children in SG County, ages 3 - 18 through the fall 2020! See the flyer for more info and to sign up for the Grab and Go service:

https://drive.google.com/file/d/1BSt0o0-j4K9g-kQVdWMci65UiUj3ZDaC/view",2020-09-11 17:30:01,,
2,21.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119051200_3341843192567706_4550600273120778682_o.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=18T8QhdCzcIAX8OLRxf&_nc_ht=scontent-atl3-1.xx&oh=8064cdb5d9ce837d3a121a439ea732e9&oe=5F81DC67,65.0,,3341844809234211,,https://facebook.com/story.php?story_fbid=3341844809234211&id=261621113923278,,0.0,,2020-09-10 14:26:25,,
3,0.0,,3.0,https://drive.google.com/file/d/1za_n1i3oRe43JFYeFvhg2u5d8X6aE_FU/view,3341086025976756,"Athletics & Activities AWAY Events: See *IMPORTANT* details for the following away events: 1) the Kennett vs. SG varsity football game at Kennett on Friday, Sept. 11; and 2) the Hillsboro vs. SG freshman football game at Hillsboro on Monday, Sept. 14. https://drive.google.com/file/d/1za_n1i3oRe43JFYeFvhg2u5d8X6aE_FU/view",https://facebook.com/story.php?story_fbid=3341086025976756&id=261621113923278,,0.0,"Athletics & Activities AWAY Events: See *IMPORTANT* details for the following away events: 1) the Kennett vs. SG varsity football game at Kennett on Friday, Sept. 11; and 2) the Hillsboro vs. SG freshman football game at Hillsboro on Monday, Sept. 14. https://drive.google.com/file/d/1za_n1i3oRe43JFYeFvhg2u5d8X6aE_FU/view",2020-09-10 10:30:01,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118677178_3322849827800376_8343921061355358085_n.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=U-t5rytlv7EAX8AP-SA&_nc_oc=AQl-kstdFi1G-6YjLSYDLiTWMWIHGxxT7PC3kmdZOIvtHL_NUcRJWXIWD-0TRGFvNKY&_nc_ht=scontent-atl3-1.xx&oh=efa09f8a3360026598703b2c70e2d76a&oe=5F8539BD,0.0,https://drive.google.com/file/d/1za_n1i3oRe43JFYeFvhg2u5d8X6aE_FU/view,3322851714466854,"SG vs. Herky at Herky: 🏐

Athletics & Activities AWAY Events: See *IMPORTANT* details for the Herky vs. SG volleyball game at Herky on Tuesday, Sept. 8, 2020, at the link below. We will add info from our surrounding districts as we receive their guidelines and limitations. https://drive.google.com/file/d/1za_n1i3oRe43JFYeFvhg2u5d8X6aE_FU/view",https://facebook.com/story.php?story_fbid=3322851714466854&id=261621113923278,,0.0,"SG vs. Herky at Herky: 🏐

Athletics & Activities AWAY Events: See *IMPORTANT* details for the Herky vs. SG volleyball game at Herky on Tuesday, Sept. 8, 2020, at the link below. We will add info from our surrounding districts as we receive their guidelines and limitations. https://drive.google.com/file/d/1za_n1i3oRe43JFYeFvhg2u5d8X6aE_FU/view",2020-09-04 11:00:02,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118700296_3320589941359698_9144537188538209740_o.png?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=6k1OVWIl-MwAX9fn494&_nc_ht=scontent-atl3-1.xx&oh=fe5c501d0cbae385899518d1c1825548&oe=5F819CC0,3.0,https://bit.ly/SGR2GrabAndGo,3320590044693021,"REMINDER: SG R-II is offering a Grab and Go Meal service five days a week for Blended and AMI students learning from home. Pick-up times have been changed to 11 a.m. - noon. See the details in the flyer below, and sign up using the online form here: http://bit.ly/SGR2GrabAndGo",https://facebook.com/story.php?story_fbid=3320590044693021&id=261621113923278,,0.0,"REMINDER: SG R-II is offering a Grab and Go Meal service five days a week for Blended and AMI students learning from home. Pick-up times have been changed to 11 a.m. - noon. See the details in the flyer below, and sign up using the online form here: http://bit.ly/SGR2GrabAndGo",2020-09-03 15:01:27,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118732058_3314430645308961_3123802602882326494_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=THDK091WugIAX8XtnvA&_nc_ht=scontent-atl3-1.xx&tp=14&oh=97660cbbf22ea82c96d0b3d68103c7bc&oe=5F844EE5,3.0,https://drive.google.com/file/d/1W537PBGN6N2Bp6Pd5BrtKTvwSZDSR-QL/view,3314433515308674,"Text Message Sign-Up for COVID-19 Updates: 📱

If you would like to receive COVID-19 text message updates by school, please fill see the flyer here to fill out the online form(s):

https://drive.google.com/file/d/1W537PBGN6N2Bp6Pd5BrtKTvwSZDSR-QL/view",https://facebook.com/story.php?story_fbid=3314433515308674&id=261621113923278,,0.0,"Text Message Sign-Up for COVID-19 Updates: 📱

If you would like to receive COVID-19 text message updates by school, please fill see the flyer here to fill out the online form(s):

https://drive.google.com/file/d/1W537PBGN6N2Bp6Pd5BrtKTvwSZDSR-QL/view",2020-09-01 18:00:01,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118427776_3311285325623493_9096810532329112416_n.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=KhSzGbKIa5QAX8JMU0-&_nc_ht=scontent-atl3-1.xx&oh=1856a8af82aff8dade5f6ac943728791&oe=5F8538AB,5.0,https://drive.google.com/file/d/1za_n1i3oRe43JFYeFvhg2u5d8X6aE_FU/view,3311286155623410,"Athletics & Activities AWAY Events: See *IMPORTANT* details for the Valle vs. SG football game at Valle on Friday, Sept. 4, 2020, at the link below. We will add info from our surrounding districts as we receive their guidelines and limitations. https://drive.google.com/file/d/1za_n1i3oRe43JFYeFvhg2u5d8X6aE_FU/view",https://facebook.com/story.php?story_fbid=3311286155623410&id=261621113923278,,0.0,"Athletics & Activities AWAY Events: See *IMPORTANT* details for the Valle vs. SG football game at Valle on Friday, Sept. 4, 2020, at the link below. We will add info from our surrounding districts as we receive their guidelines and limitations. https://drive.google.com/file/d/1za_n1i3oRe43JFYeFvhg2u5d8X6aE_FU/view",2020-08-31 17:00:01,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118510113_1011297485970462_1816095765980387897_o.png?_nc_cat=104&_nc_sid=2d5d41&_nc_ohc=cFEiJjrbXgQAX-6NYQr&_nc_ht=scontent-atl3-1.xx&oh=a6c500603bf0c0a9c57bbe630ea030d6&oe=5F8309A3,22.0,,3302538739831485,,https://facebook.com/story.php?story_fbid=3302538739831485&id=261621113923278,"Ste. Genevieve Middle School
August 28 at 1:16 PM ·

💚Thank you! 💚",0.0,"Ste. Genevieve Middle School
August 28 at 1:16 PM ·

💚Thank you! 💚",2020-08-28 19:43:03,,
9,2.0,,18.0,https://youtu.be/QVO56TNS_Ik,3302531979832161,,https://facebook.com/story.php?story_fbid=3302531979832161&id=261621113923278,"YOUTUBE.COM
Ste Gen Football vs. Festus 08/28/20

Kyle Schweiss shared a link to the group: SGHS Spirit.
August 28 at 4:07 PM ·

Our kids have worked extremely hard to get this up and running with just two days of prep. Bear with us as we are bound to run into hiccups with updated software. Special thanks to Executive Producers, Molly Bahr and Adrien Derousse, and the entire Fall 2020 Broadcasting class. Will be on air at 6:55. Go Dragons!

",0.0,"YOUTUBE.COM
Ste Gen Football vs. Festus 08/28/20

Kyle Schweiss shared a link to the group: SGHS Spirit.
August 28 at 4:07 PM ·

Our kids have worked extremely hard to get this up and running with just two days of prep. Bear with us as we are bound to run into hiccups with updated software. Special thanks to Executive Producers, Molly Bahr and Adrien Derousse, and the entire Fall 2020 Broadcasting class. Will be on air at 6:55. Go Dragons!

",2020-08-28 19:39:56,,
