,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119086097_1961384157331037_4306406386849331926_n.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=VMBHutUYPE0AX_3aDau&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dbdadb8acae7270ea03090ac50a79396&oe=5F846DB1,10.0,,1961392363996883,,https://facebook.com/story.php?story_fbid=1961392363996883&id=823898951079569,,0.0,,2020-09-11 17:52:57,,
1,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119004829_1960441014092018_2168765313760235932_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=lrTzZtIsYOoAX8t_FbW&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f10d52d57a7b9a92f347185e59d936b9&oe=5F845B62,42.0,https://flic.kr/s/aHsmQEdaPz,1960442704091849,"One of the many construction projects that took place this summer was the renovation of the Early Learning Center on the west side of the Central Education Services Center building (formerly Central Community Center).

While there are still a few loose ends such as exterior signage, teachers and staff have been working hard to get this building ready for our earliest learners!

You can view more photos of the Early Learning Center by going to the following Flickr photo gallery: https://flic.kr/s/aHsmQEdaPz",https://facebook.com/story.php?story_fbid=1960442704091849&id=823898951079569,,0.0,"One of the many construction projects that took place this summer was the renovation of the Early Learning Center on the west side of the Central Education Services Center building (formerly Central Community Center).

While there are still a few loose ends such as exterior signage, teachers and staff have been working hard to get this building ready for our earliest learners!

You can view more photos of the Early Learning Center by going to the following Flickr photo gallery: https://flic.kr/s/aHsmQEdaPz",2020-09-10 17:57:53,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118912121_1960438680758918_3307065836813385705_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=hx1cxn7Rz24AX9GFoUl&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4dda52d024a722b71e021dd8f4e72456&oe=5F82C1D0,13.0,https://bit.ly/YEPFall20,1960439834092136,"When the School Board voted in April 2019 to change school start and end times beginning in the Fall of 2020, the District also committed to form an ""Out-of-School Time (OST) Taskforce"" to help develop before and after school academic programs, enrichment and recreation opportunities, and childcare options for families.

The District's Youth Enrichment Program (YEP) has released the first slate of enrichment opportunities as a result of the work of the OST Taskforce. These offerings for K-8 students include a drawing class, chess club, Lego class, coding class, guitar lessons, and a puzzles & riddles escape experience.

Visit http://bit.ly/YEPFall20 to download a one-page flyer with program information including class offerings, dates, times and costs. Visit www.slp.ce.eleyo.com to register for YEP offerings. Questions about YEP offerings can be directed to Kelleen O'Brion at obrion.kelleen@slpschools.org or 952-928-6399.",https://facebook.com/story.php?story_fbid=1960439834092136&id=823898951079569,,0.0,"When the School Board voted in April 2019 to change school start and end times beginning in the Fall of 2020, the District also committed to form an ""Out-of-School Time (OST) Taskforce"" to help develop before and after school academic programs, enrichment and recreation opportunities, and childcare options for families.

The District's Youth Enrichment Program (YEP) has released the first slate of enrichment opportunities as a result of the work of the OST Taskforce. These offerings for K-8 students include a drawing class, chess club, Lego class, coding class, guitar lessons, and a puzzles & riddles escape experience.

Visit http://bit.ly/YEPFall20 to download a one-page flyer with program information including class offerings, dates, times and costs. Visit www.slp.ce.eleyo.com to register for YEP offerings. Questions about YEP offerings can be directed to Kelleen O'Brion at obrion.kelleen@slpschools.org or 952-928-6399.",2020-09-10 17:52:27,,
3,62.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119143395_1960196144116505_6378773503023237425_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=tOekc_lAlOkAX96M2gR&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6758b2169aac5e9564d690eaf6fc20a5&oe=5F8332E7,84.0,,1960196650783121,"Today is the first day of distance learning for students in grades 1-12. While we are sure there will be some bumps along the way, we hope things are going as smoothly as possible for our students and families!

Use the comments section of this post to post pictures of your students engaged in distance learning. #IAmBecauseWeAreSLP",https://facebook.com/story.php?story_fbid=1960196650783121&id=823898951079569,,0.0,"Today is the first day of distance learning for students in grades 1-12. While we are sure there will be some bumps along the way, we hope things are going as smoothly as possible for our students and families!

Use the comments section of this post to post pictures of your students engaged in distance learning. #IAmBecauseWeAreSLP",2020-09-10 11:40:49,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119141804_1959696434166476_6439668281053102771_n.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=uhpqSdb2LZ8AX8h1-zm&_nc_ht=scontent-atl3-1.xx&tp=14&oh=adb8fdac36e9e0281b4d16fa54c7cbd8&oe=5F8364DA,46.0,,1959697030833083,"Five St. Louis Park High School seniors have recently been recognized by the National Merit Scholarship Program as National Merit Semifinalists. The five seniors are Thorwald Anderson, Daniel Goldenberg, Gabriel Kaplan, Dahlia Krebs, and Joshua Krueger. They are among 288 students from Minnesota and approximately 16,000 students from across the country to be named semifinalists this year.

National Merit Semifinalists are selected based on scores from the PSAT (Preliminary Scholastic Aptitude Test) and are now eligible to compete for scholarships worth more than $30 million that will be awarded in the spring of 2021. Semifinalists score in the top 1% of the approximately 1.5 million students who took the PSAT as juniors.

Semifinalists will be notified in February if they have advanced to Finalist standing. Then, beginning in March and continuing to mid-June, around 7,600 students will be notified that they have been selected to receive a National Merit Scholarship award.",https://facebook.com/story.php?story_fbid=1959697030833083&id=823898951079569,,0.0,"Five St. Louis Park High School seniors have recently been recognized by the National Merit Scholarship Program as National Merit Semifinalists. The five seniors are Thorwald Anderson, Daniel Goldenberg, Gabriel Kaplan, Dahlia Krebs, and Joshua Krueger. They are among 288 students from Minnesota and approximately 16,000 students from across the country to be named semifinalists this year.

National Merit Semifinalists are selected based on scores from the PSAT (Preliminary Scholastic Aptitude Test) and are now eligible to compete for scholarships worth more than $30 million that will be awarded in the spring of 2021. Semifinalists score in the top 1% of the approximately 1.5 million students who took the PSAT as juniors.

Semifinalists will be notified in February if they have advanced to Finalist standing. Then, beginning in March and continuing to mid-June, around 7,600 students will be notified that they have been selected to receive a National Merit Scholarship award.",2020-09-09 22:28:53,,
5,2.0,,32.0,,1958751404260979,"A reminder to families: Tomorrow, Wednesday, September 9 is the first opportunity during the 2020-21 school year to pick-up free meals for kids from the School Nutrition Department.

When: 10-10:30 a.m. on Mondays and Wednesdays during Distance Learning
Where: Aquila, Park Spanish Immersion, Peter Hobart, Susan Lindgren, St. Louis Park Middle School, or St. Louis Park High School.
What: Examples of what might be included in breakfast bags include breakfast rounds, cinnamon roll, pumpkin break, fruit and juice. Lunch foods can include SunButter sandwiches, turkey sandwiches, fruit, vegetables and milk.

Wednesday's pick-up will include breakfast and lunch grab-and-go bags for Wednesday, Thursday and Friday. The next available pick-up date will be Monday, September 14.",https://facebook.com/story.php?story_fbid=1958751404260979&id=823898951079569,,0.0,"A reminder to families: Tomorrow, Wednesday, September 9 is the first opportunity during the 2020-21 school year to pick-up free meals for kids from the School Nutrition Department.

When: 10-10:30 a.m. on Mondays and Wednesdays during Distance Learning
Where: Aquila, Park Spanish Immersion, Peter Hobart, Susan Lindgren, St. Louis Park Middle School, or St. Louis Park High School.
What: Examples of what might be included in breakfast bags include breakfast rounds, cinnamon roll, pumpkin break, fruit and juice. Lunch foods can include SunButter sandwiches, turkey sandwiches, fruit, vegetables and milk.

Wednesday's pick-up will include breakfast and lunch grab-and-go bags for Wednesday, Thursday and Friday. The next available pick-up date will be Monday, September 14.",2020-09-08 22:03:36,,
6,8.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118791119_1958480057621447_3106309191452554779_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=oilTV-gnNOAAX9Z8OQu&_nc_ht=scontent-atl3-1.xx&tp=14&oh=032522a069dcbc22b1504970d5c8be12&oe=5F84A243,114.0,,1958482884287831,"Teachers and families are spending time connecting with one another today and tomorrow in one-on-one meetings. Making these connections and allowing families to ask any unanswered questions will help us transition into the first day of distance learning on Thursday, Sept. 10 for grades 1-12 and Monday, Sept. 14 for Kindergarten students!",https://facebook.com/story.php?story_fbid=1958482884287831&id=823898951079569,,0.0,"Teachers and families are spending time connecting with one another today and tomorrow in one-on-one meetings. Making these connections and allowing families to ask any unanswered questions will help us transition into the first day of distance learning on Thursday, Sept. 10 for grades 1-12 and Monday, Sept. 14 for Kindergarten students!",2020-09-08 14:42:14,,
7,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118546911_1953701924765927_1579749023880279472_n.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=VsgPqtAg0gsAX_a84CD&_nc_ht=scontent-atl3-1.xx&oh=09fc6b3bab07f3914465098b2150f649&oe=5F82660E,14.0,https://form.jotform.com/202455993895169,1953702098099243,"The U.S. Department of Agriculture recently announced that it is extending several flexibilities that will allow school districts to continue providing students free meals through December 31, 2020.

While the District is in a distance learning delivery model, students will be able to pick up meals at any of the six schools on Mondays and Wednesdays beginning Wednesday, September 9.

The District is asking families to fill out a form (https://form.jotform.com/202455993895169) if you anticipate picking up free meals for your student(s) on distance learning days. By completing this form, we can reduce waste and prepare enough meals.

It's also important for families to fill out a Free and Reduced Meals Application. This application can be filled out in a number of different ways including online through your Wordware or PowerSchool account or by filling out a paper copy, which can be found on the School Nutrition website at www.slpschools.org/nurtrition. Call 952-928-6146 if you need assistance filling out a Free and Reduced Meals application.",https://facebook.com/story.php?story_fbid=1953702098099243&id=823898951079569,,0.0,"The U.S. Department of Agriculture recently announced that it is extending several flexibilities that will allow school districts to continue providing students free meals through December 31, 2020.

While the District is in a distance learning delivery model, students will be able to pick up meals at any of the six schools on Mondays and Wednesdays beginning Wednesday, September 9.

The District is asking families to fill out a form (https://form.jotform.com/202455993895169) if you anticipate picking up free meals for your student(s) on distance learning days. By completing this form, we can reduce waste and prepare enough meals.

It's also important for families to fill out a Free and Reduced Meals Application. This application can be filled out in a number of different ways including online through your Wordware or PowerSchool account or by filling out a paper copy, which can be found on the School Nutrition website at www.slpschools.org/nurtrition. Call 952-928-6146 if you need assistance filling out a Free and Reduced Meals application.",2020-09-03 16:35:26,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118582860_1953644484771671_8731138895218716689_n.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=HHZ6RlumthgAX_7yNVD&_nc_ht=scontent-atl3-1.xx&oh=8156c0b6437dbf28fccc98c80e95da31&oe=5F823D9D,12.0,https://slpfamilytechhelp.blogspot.com/,1953645514771568,"The NEW St. Louis Park Schools Family Tech Help site is located at https://slpfamilytechhelp.blogspot.com/. Please look here for solutions to common technical problems that you may have with a student device. If you are in need of additional, specific assistance, you can email a technician at familytechhelp@slpschools.org or leave a message at 952-928-6056.

In both cases please state the student name, school, grade, and provide device info, and contact phone or email. Both of these methods are checked on a regular basis during the school day from 7:30 a.m. to 4:00 p.m. Any calls or emails made after 4:00 p.m. will be received and returned the next school day after 7:30 a.m.",https://facebook.com/story.php?story_fbid=1953645514771568&id=823898951079569,,0.0,"The NEW St. Louis Park Schools Family Tech Help site is located at https://slpfamilytechhelp.blogspot.com/. Please look here for solutions to common technical problems that you may have with a student device. If you are in need of additional, specific assistance, you can email a technician at familytechhelp@slpschools.org or leave a message at 952-928-6056.

In both cases please state the student name, school, grade, and provide device info, and contact phone or email. Both of these methods are checked on a regular basis during the school day from 7:30 a.m. to 4:00 p.m. Any calls or emails made after 4:00 p.m. will be received and returned the next school day after 7:30 a.m.",2020-09-03 15:03:47,,
9,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118617576_1953634411439345_3147369199558549016_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=-RqLPm1RZNYAX_-QRmp&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f83960aeeb6979a3d7ea639f0b365f02&oe=5F839302,116.0,,1953638328105620,High School students involved in National Honors Society have been busy volunteering at the District Office this week. These students are packing SLP branded masks with care instructions for ALL students and staff for the beginning of school. Schools will be distributing these masks to families and staff soon!,https://facebook.com/story.php?story_fbid=1953638328105620&id=823898951079569,,0.0,High School students involved in National Honors Society have been busy volunteering at the District Office this week. These students are packing SLP branded masks with care instructions for ALL students and staff for the beginning of school. Schools will be distributing these masks to families and staff soon!,2020-09-03 14:54:46,,
10,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118592475_1952630751539711_8237539895814958847_o.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=YyoI2erAnoUAX8innsY&_nc_ht=scontent-atl3-1.xx&oh=0d975bafc6c12f3e29f57b7b57fc1bab&oe=5F819F7B,15.0,,1952632108206242,"Check your school's website for Virtual Town Hall information and links to the meetings! A town hall for elementary school families is Thursday, while the town hall for Middle School families is Friday. If you missed the High School town hall, a recording of the meeting is currently available on the High School website!",https://facebook.com/story.php?story_fbid=1952632108206242&id=823898951079569,,0.0,"Check your school's website for Virtual Town Hall information and links to the meetings! A town hall for elementary school families is Thursday, while the town hall for Middle School families is Friday. If you missed the High School town hall, a recording of the meeting is currently available on the High School website!",2020-09-02 13:07:15,,
11,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118232573_1946566618812791_5774756840597994226_n.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=jTISQtnl7j0AX_ITKWs&_nc_ht=scontent-atl3-1.xx&oh=b79e804bd19b3a0788a94b6f42057592&oe=5F83E549,37.0,,1946567888812664,"St. Louis Park High School will host two virtual town halls on Aug. 31 and Sept. 1, to prepare students, parents/guardians and families for the 2020-21 school year. Zoom meeting links are posted on the High School website.

Interim Principal Wendy Loberg will introduce herself to families. Loberg and Assistant Principal Jessica Busse will share information with the community on a variety of topics including:

*District Return to School Plans
*Distance and Hybrid Learning Models
*Daily Student Schedules
*Materials Distribution
*Technology Updates: PowerSchool & Schoology

There will be time for a Q & A session near the end of the meeting.",https://facebook.com/story.php?story_fbid=1946567888812664&id=823898951079569,,0.0,"St. Louis Park High School will host two virtual town halls on Aug. 31 and Sept. 1, to prepare students, parents/guardians and families for the 2020-21 school year. Zoom meeting links are posted on the High School website.

Interim Principal Wendy Loberg will introduce herself to families. Loberg and Assistant Principal Jessica Busse will share information with the community on a variety of topics including:

*District Return to School Plans
*Distance and Hybrid Learning Models
*Daily Student Schedules
*Materials Distribution
*Technology Updates: PowerSchool & Schoology

There will be time for a Q & A session near the end of the meeting.",2020-08-27 16:34:49,,
12,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117608112_1933386163464170_633428222923377731_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=XfEO1lLTNtsAX-ld1Q-&_nc_ht=scontent-atl3-1.xx&tp=14&oh=070382b3e281d42a888f2e54b01e6b01&oe=5F8280D4,50.0,https://bit.ly/SLPRTSGuide,1933388680130585,,https://facebook.com/story.php?story_fbid=1933388680130585&id=823898951079569,,0.0,,2020-08-14 23:51:39,,
13,14.0,,84.0,http://www.slpschools.org/,1929361283866658,,https://facebook.com/story.php?story_fbid=1929361283866658&id=823898951079569,,41.0,,2020-08-11 01:43:09,,
14,14.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117072980_1929002250569228_2597909638332780778_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=jTnWsx_yJ_gAX-Abupe&_nc_oc=AQmGun1p-b_v8frf-VVNWU8Xx_pfy8YiNT2Om_IsmytDne5raZNzJCiO3NXBgL8sQ4c&_nc_ht=scontent-atl3-1.xx&tp=14&oh=bb5feef0bcc76a88690a340937ad3eb5&oe=5F829D1F,34.0,http://www.slpschools.org/,1929007590568694,"The School Board will hold its regularly scheduled business meeting tonight at 7 p.m. via Zoom. Included in the agenda will be a discussion about back to school options for the Fall.

Due to anticipated interest in tonight's meeting, the District will be live streaming the meeting on its YouTube channel to help alleviate any possible space and technological issues with Zoom.

Joining via Zoom is still an option for community members and that information can be found on the District website at www.slpschools.org. If you would like to tune in via YouTube, simply go online to https://www.youtube.com/c/stlouisparkpublicschools around 7 p.m. and wait for the live stream to begin.",https://facebook.com/story.php?story_fbid=1929007590568694&id=823898951079569,,0.0,"The School Board will hold its regularly scheduled business meeting tonight at 7 p.m. via Zoom. Included in the agenda will be a discussion about back to school options for the Fall.

Due to anticipated interest in tonight's meeting, the District will be live streaming the meeting on its YouTube channel to help alleviate any possible space and technological issues with Zoom.

Joining via Zoom is still an option for community members and that information can be found on the District website at www.slpschools.org. If you would like to tune in via YouTube, simply go online to https://www.youtube.com/c/stlouisparkpublicschools around 7 p.m. and wait for the live stream to begin.",2020-08-10 16:31:28,,
15,14.0,,106.0,,1924036094399177,,https://facebook.com/story.php?story_fbid=1924036094399177&id=823898951079569,,0.0,,2020-08-05 16:46:48,,
16,0.0,,15.0,http://www.slpschools.org/,1923375787798541,,https://facebook.com/story.php?story_fbid=1923375787798541&id=823898951079569,,6.0,,2020-08-04 23:46:01,,
17,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/113467654_1923152987820821_875719695256099847_n.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=ydxxAiGPTnEAX-6Sv_d&_nc_ht=scontent-atl3-1.xx&oh=48bfc0a7286489a95f178e1160535c4f&oe=5F825340,8.0,,1923153097820810,,https://facebook.com/story.php?story_fbid=1923153097820810&id=823898951079569,,0.0,,2020-08-04 18:01:56,,
