,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119043361_2811380189082163_7590618607421183821_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=pD4R9ecqv6YAX-\-\UEs_&_nc_ht=scontent-atl3-1.xx&tp=14&oh=30ebe1d0dc5e0d748af0f78b754645f4&oe=5F8523E4,37.0,,2811382539081928,"As we head into the weekend, we remind our Hilltopper community to continue to practice safety measures to prevent the spread of COVID-19. You can do your part by wearing a mask, following social distancing guidelines, and practicing responsible personal hygiene. When you wear a mask, maintain a safe distance of six feet and wash your hands for at least 20 seconds, you are protecting your friends, your neighbors, your loved ones and yourself. #MaskUp #gohilltoppers",https://facebook.com/story.php?story_fbid=2811382539081928&id=1441671379386391,,0.0,"As we head into the weekend, we remind our Hilltopper community to continue to practice safety measures to prevent the spread of COVID-19. You can do your part by wearing a mask, following social distancing guidelines, and practicing responsible personal hygiene. When you wear a mask, maintain a safe distance of six feet and wash your hands for at least 20 seconds, you are protecting your friends, your neighbors, your loved ones and yourself. #MaskUp #gohilltoppers",2020-09-11 13:52:56,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119176679_2809346589285523_3833666343888321438_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=wpnh8q7xX2sAX_k5U8G&_nc_ht=scontent-atl3-1.xx&tp=14&oh=486b0e33b0acb659bec179038ecbf68f&oe=5F855B8D,12.0,,2809348985951950,"Don’t forget tomorrow is our Board of Education meeting, and it’s in person! We are limited to a 25 person capacity in the library, but we are setting up additional classrooms if there are more people who want to attend. The live stream of the meeting will be projected in the classroom and if attendees want to submit public comment, they will be filtered into the library while maintaining the 25 person limit.",https://facebook.com/story.php?story_fbid=2809348985951950&id=1441671379386391,,0.0,"Don’t forget tomorrow is our Board of Education meeting, and it’s in person! We are limited to a 25 person capacity in the library, but we are setting up additional classrooms if there are more people who want to attend. The live stream of the meeting will be projected in the classroom and if attendees want to submit public comment, they will be filtered into the library while maintaining the 25 person limit.",2020-09-09 08:54:36,,
2,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118633197_2805075399712642_1283745144306175296_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=cQ54zW31qnUAX-Sg4UM&_nc_ht=scontent-atl3-1.xx&tp=14&oh=738a79d655c9e2d6ad2e1fd09681546c&oe=5F83D1C5,137.0,,2805076833045832,"Who rocked the first week of Kindergarten? PRIMARY CENTER STAFF (and of course the students, too) Have a great Labor Day weekend!",https://facebook.com/story.php?story_fbid=2805076833045832&id=1441671379386391,,0.0,"Who rocked the first week of Kindergarten? PRIMARY CENTER STAFF (and of course the students, too) Have a great Labor Day weekend!",2020-09-04 16:49:08,,
3,0.0,,68.0,,2804979333055582,WATCH: Brayton parents organize a celebration full of clapping and colorful signs to thank our teachers and staff members! Take a look! #BraytonStrong,,,0.0,WATCH: Brayton parents organize a celebration full of clapping and colorful signs to thank our teachers and staff members! Take a look! #BraytonStrong,2020-09-04 14:09:26,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118552454_763819187734698_168589108314803952_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=DK2RHKZM-kcAX_4fEA3&_nc_ht=video-atl3-1.xx&oh=4b927bcb4cc12a162b35d4a32c4d59a7&oe=5F5E793A,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118740843_2804876749732507_1099204194673978_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=R3d1NnhrqG4AX9gNJzg&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b81f980fc7e0b4235663c3e8b60529a8&oe=5F8547CD,15.0,https://sites.google.com/view/summitsrelaxationroom/home,2804877839732398,"Need a break? Explore the Summit High School Counseling Team’s Virtual Relaxation Room to stop, breathe, and refresh. #gohilltoppers
https://sites.google.com/view/summitsrelaxationroom/home",https://facebook.com/story.php?story_fbid=2804877839732398&id=1441671379386391,,0.0,"Need a break? Explore the Summit High School Counseling Team’s Virtual Relaxation Room to stop, breathe, and refresh. #gohilltoppers
https://sites.google.com/view/summitsrelaxationroom/home",2020-09-04 11:34:25,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118811434_3368956489814289_3477210128443836288_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=dLZjv5KqSwoAX_v7L65&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4ebfac3c8f36bd64bd62e3f0ae84c285&oe=5F85DC19,22.0,http://www.sefnj.org/donate,2804726669747515,Thank you Summit Educational Foundation for your generosity! #gohilltoppers,https://facebook.com/story.php?story_fbid=2804726669747515&id=1441671379386391,"Summit Educational Foundation is in Summit, New Jersey.
September 3 at 4:00 PM · Summit, NJ ·

SEF has approved an EMERGENCY grant for amplifiers for ALL of our Summit teachers to enhance remote learning for all of our kids! These wireless microphones will be provided for all classrooms across the district that do not already have a sound system. Consider supporting SEF today! www.sefnj.org/donate. #SEF #SEFinaction #SEFathome #SEFschoolspirit #SEFGiveSmart #SEFlovesSummit",0.0,"Thank you Summit Educational Foundation for your generosity! #gohilltoppers

Summit Educational Foundation is in Summit, New Jersey.
September 3 at 4:00 PM · Summit, NJ ·

SEF has approved an EMERGENCY grant for amplifiers for ALL of our Summit teachers to enhance remote learning for all of our kids! These wireless microphones will be provided for all classrooms across the district that do not already have a sound system. Consider supporting SEF today! www.sefnj.org/donate. #SEF #SEFinaction #SEFathome #SEFschoolspirit #SEFGiveSmart #SEFlovesSummit",2020-09-04 08:33:42,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118523931_2803765856510263_1993636617117006034_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=s8rjU6JG8DAAX_UVMTY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3bb6b4166ea59965b05e6014667138b3&oe=5F8365CD,13.0,https://sites.google.com/summit.k12.nj.us/virtualhealthoffice/home,2803768733176642,"We continue to update our Virtual Health Office which is available at https://sites.google.com/summit.k12.nj.us/virtualhealthoffice/home

Check regularly for updates to resources, news from the Summit school nurses, and illness reporting forms.",https://facebook.com/story.php?story_fbid=2803768733176642&id=1441671379386391,,0.0,"We continue to update our Virtual Health Office which is available at https://sites.google.com/summit.k12.nj.us/virtualhealthoffice/home

Check regularly for updates to resources, news from the Summit school nurses, and illness reporting forms.",2020-09-03 09:29:29,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118766102_2803020966584752_4148232772343076610_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=mlTJRptDT2UAX_iw_0z&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a0b1b4df894c4ee89093dbb682df6a4a&oe=5F85695B,2.0,,2803021013251414,,https://facebook.com/story.php?story_fbid=2803021013251414&id=1441671379386391,,0.0,,2020-09-02 14:09:45,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118772562_2802876866599162_1511787429151404648_o.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=V0yGoKfS8yoAX-SHQ8t&_nc_ht=scontent-atl3-1.xx&oh=6a1a5e312744d14e5ab60ad1ab7c0f04&oe=5F857499,10.0,https://docs.google.com/forms/d/e/1FAIpQLSe3A14TM_3TIDrp9WNsU2EWlGhODD5KUSgiC_IozLh2KYybeA/viewform,2802877456599103,,https://facebook.com/story.php?story_fbid=2802877456599103&id=1441671379386391,,0.0,,2020-09-02 10:49:38,,
9,0.0,,91.0,,2802019903351525,Check out these great pictures of our little ones from Wilson Primary Center! We hope you all had a great first day of school! 🥳,https://facebook.com/story.php?story_fbid=2802019903351525&id=1441671379386391,,0.0,Check out these great pictures of our little ones from Wilson Primary Center! We hope you all had a great first day of school! 🥳,2020-09-01 12:46:16,,
