,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,,60.0,,10157407579486299,,https://facebook.com/story.php?story_fbid=10157407579486299&id=151038191298,"Talawanda School District published a note.
August 13 at 10:34 AM ·",2.0,"Talawanda School District published a note.
August 13 at 10:34 AM ·",2020-08-13 10:35:41,,
1,0.0,,0.0,,,,,,0.0,,2020-09-12 05:39:20.595279,,
2,6.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119105418_10157468503156299_7962110462563556608_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=DHPom_rAmq0AX_Dvlis&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=da7e6f0bc485830e52a9fca74b088df4&oe=5F8346C0,37.0,,10157468503251299,FYI,https://facebook.com/story.php?story_fbid=10157468503251299&id=151038191298,,0.0,FYI,2020-09-09 15:27:54,,
3,4.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118888101_10157454488211299_7101950258503140907_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=UNpdDNslZjIAX8YCP0D&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=13abbaae8956d8fddf1cd05196a6a5a0&oe=5F839C98,9.0,,10157454488691299,REMINDER- Labor Day Information-Food Program,https://facebook.com/story.php?story_fbid=10157454488691299&id=151038191298,,0.0,REMINDER- Labor Day Information-Food Program,2020-09-03 11:18:49,,
4,1.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118647291_10157450536471299_1264697596748401757_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=HMuoYo7-fgoAX8xnLkl&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=40f760f916aadfbed0126cea1044edcf&oe=5F806BB7,7.0,,10157450536671299,FYI~,https://facebook.com/story.php?story_fbid=10157450536671299&id=151038191298,,0.0,FYI~,2020-09-01 16:06:49,,
5,0.0,,12.0,https://tristatefootball.com/2020/08/vote-player-of-the-week-week-1/,10157450127901299,"Our very own Deondre Bothast Revalee (Junior, Varsity RB/CB; #24) is the only #SWOC nominee for Player of the Week. Together we can get him to first place! Please VOTE & SHARE. (One vote per hour permitted.) https://tristatefootball.com/2020/08/vote-player-of-the-week-week-1/",https://facebook.com/story.php?story_fbid=10157450127901299&id=151038191298,"TRISTATEFOOTBALL.COM
VOTE: Player of the Week – Week 1",2.0,"Our very own Deondre Bothast Revalee (Junior, Varsity RB/CB; #24) is the only #SWOC nominee for Player of the Week. Together we can get him to first place! Please VOTE & SHARE. (One vote per hour permitted.) https://tristatefootball.com/2020/08/vote-player-of-the-week-week-1/

TRISTATEFOOTBALL.COM
VOTE: Player of the Week – Week 1",2020-09-01 12:33:12,,
6,3.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/118649213_10157448179701299_2437715629954170500_n.png?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=SqxY-ZC1Um4AX9dLjOy&_nc_ht=scontent.fbna1-2.fna&oh=2cedfd7275879faa1ee1e8378b64bf51&oe=5F831692,3.0,https://talawanda.payschools.com/,10157448180726299,Don't forget that you can complete the Free & Reduced Lunch Form online now. See link https://talawanda.payschools.com/,https://facebook.com/story.php?story_fbid=10157448180726299&id=151038191298,,0.0,Don't forget that you can complete the Free & Reduced Lunch Form online now. See link https://talawanda.payschools.com/,2020-08-31 15:02:32,,
7,3.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118371686_10157438142416299_8856040731367852914_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=6ELWfFKqbB8AX81BvrV&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=1c40e041a7d331916d4ec4878f185312&oe=5F8296F5,21.0,,10157438143066299,Important Information Regarding HOME Football Games. #teamtalawanda do your part OFF the field so we can stay ON the field!,https://facebook.com/story.php?story_fbid=10157438143066299&id=151038191298,,0.0,Important Information Regarding HOME Football Games. #teamtalawanda do your part OFF the field so we can stay ON the field!,2020-08-27 08:48:27,,
8,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118526785_10157436629071299_8421648982213247073_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=zaIx7yVoBpEAX9W2PUq&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=2f64ea31f0cb4f2574f60116e719cb89&oe=5F820BEA,50.0,,10157436631051299,A special thank you to the Oxford Kiwanis Club for their donation to the TSD Mask Fund. Thank you so much for your generosity!,https://facebook.com/story.php?story_fbid=10157436631051299&id=151038191298,,0.0,A special thank you to the Oxford Kiwanis Club for their donation to the TSD Mask Fund. Thank you so much for your generosity!,2020-08-26 15:17:17,,
9,0.0,,7.0,https://www.talawanda.org/district-blog/entry/2020-fall-food-information-533/,10157434093786299,TSD Fall Food Information Reminder,https://facebook.com/story.php?story_fbid=10157434093786299&id=151038191298,"TALAWANDA.ORG
2020 FALL FOOD INFORMATION",2.0,"TSD Fall Food Information Reminder

TALAWANDA.ORG
2020 FALL FOOD INFORMATION",2020-08-25 14:08:04,,
