,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,https://docs.google.com/forms/d/e/1FAIpQLScPD0Jqz0E6czJCHh5vylfzgaQm19JBgEETNylRhdldHWJnAA/viewform,1160100014154656,"Application for the 2019-2020 school year is now open. If you would like to apply for your child to attend DREAM Technical Academy in Willmar during the 2019-2020 school year please complete this form. Only complete this form if your child is NOT currently enrolled at DREAM Technical Academy.

https://docs.google.com/forms/d/e/1FAIpQLScPD0Jqz0E6czJCHh5vylfzgaQm19JBgEETNylRhdldHWJnAA/viewform",https://facebook.com/story.php?story_fbid=1160100014154656&id=118089231689078,"DOCS.GOOGLE.COM
DREAM Technical Academy Application for the 2019-2020 School Year",0.0,"Application for the 2019-2020 school year is now open. If you would like to apply for your child to attend DREAM Technical Academy in Willmar during the 2019-2020 school year please complete this form. Only complete this form if your child is NOT currently enrolled at DREAM Technical Academy.

https://docs.google.com/forms/d/e/1FAIpQLScPD0Jqz0E6czJCHh5vylfzgaQm19JBgEETNylRhdldHWJnAA/viewform

DOCS.GOOGLE.COM
DREAM Technical Academy Application for the 2019-2020 School Year",2019-01-13 18:41:58,,
1,0.0,,1.0,,1369341856563803,,https://facebook.com/story.php?story_fbid=1369341856563803&id=118089231689078,"MESSENGER
Technical Academies of Minnesota updated their business hours.",0.0,"MESSENGER
Technical Academies of Minnesota updated their business hours.",2019-10-25 10:30:15,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/71712183_1353003338197655_7041375294384504832_n.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=nNgTJg0giMwAX9THQDG&_nc_ht=scontent-atl3-1.xx&oh=d58445d2eb0ec690c9dcac89dd36dfae&oe=5F81DA70,0.0,,1353004308197558,Reminder: Today is Election day for the TAM District Board! Stop in at Choice or DREAM from 8-6 to vote for your choice of district board representatives.,https://facebook.com/story.php?story_fbid=1353004308197558&id=118089231689078,,0.0,Reminder: Today is Election day for the TAM District Board! Stop in at Choice or DREAM from 8-6 to vote for your choice of district board representatives.,2019-10-08 09:44:59,,
3,2.0,,3.0,,1227710810726909,Join us on May 25th for our largest graduating class since we started 5 years ago at DREAM Technical Academy in Willmar.,https://facebook.com/story.php?story_fbid=1227710810726909&id=118089231689078,"SAT, MAY 25, 2019
DREAM Technical Academy Graduation 2019",0.0,"Join us on May 25th for our largest graduating class since we started 5 years ago at DREAM Technical Academy in Willmar.

SAT, MAY 25, 2019
DREAM Technical Academy Graduation 2019",2019-04-26 18:25:48,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/55576213_311471709489145_3814593298639618048_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=l-EKrbIzTqQAX8wS79T&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7b0f6e4f1e90653b3d7a29e8c6001498&oe=5F81E02D,1.0,,1211008962397094,"DREAM graduate from the class of the 2017, Brenna Richter, and current DREAM student, Misael Rodriguez and his band, Flower Talk, both made it on this awesome sampler album of Minnesota artists! #dreamers #believers #dreamsbecomereality #superproud",https://facebook.com/story.php?story_fbid=1211008962397094&id=118089231689078,"The Late Season is with Tyler Guest.
March 30, 2019 at 8:16 AM ·

So the sampler is officially here! It turned out great. Now on sale! Let us know if you want one. Some great minnesota artists! Thanks for everyones continued support!",0.0,"DREAM graduate from the class of the 2017, Brenna Richter, and current DREAM student, Misael Rodriguez and his band, Flower Talk, both made it on this awesome sampler album of Minnesota artists! #dreamers #believers #dreamsbecomereality #superproud

The Late Season is with Tyler Guest.
March 30, 2019 at 8:16 AM ·

So the sampler is officially here! It turned out great. Now on sale! Let us know if you want one. Some great minnesota artists! Thanks for everyones continued support!",2019-04-01 20:51:09,,
5,0.0,,0.0,https://docs.google.com/document/d/1fAfMGhHrbl_qr8-YPtK8yo0QWONiDSfWZa4o3B8l6t0/edit,1202592516572072,Here is the TAM Affidavit Summary for those of you considering running for the TAM School Board.,https://facebook.com/story.php?story_fbid=1202592516572072&id=118089231689078,"ACCOUNTS.GOOGLE.COM
Google Docs - create and edit documents online, for free.",0.0,"Here is the TAM Affidavit Summary for those of you considering running for the TAM School Board.

ACCOUNTS.GOOGLE.COM
Google Docs - create and edit documents online, for free.",2019-03-19 18:56:39,,
6,0.0,,3.0,https://docs.google.com/document/d/1iA7XCSLHX04BC7obJAPdndkJFgzjJGjlVR6GN6-4nfg/edit?ts=5c91443f,1202592173238773,,https://facebook.com/story.php?story_fbid=1202592173238773&id=118089231689078,,0.0,,2019-03-19 18:55:54,,
7,0.0,,3.0,,1193802467451077,"This is just a reminder that this Friday, March 8th, is no longer an experience day but will be a two hour late start day at DREAM due to the number of snow days we had this winter.",https://facebook.com/story.php?story_fbid=1193802467451077&id=118089231689078,,0.0,"This is just a reminder that this Friday, March 8th, is no longer an experience day but will be a two hour late start day at DREAM due to the number of snow days we had this winter.",2019-03-05 12:58:22,,
8,1.0,,1.0,,1188983657932958,,https://facebook.com/story.php?story_fbid=1188983657932958&id=118089231689078,,0.0,,2019-02-25 21:40:11,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/53294744_1188286478002676_7975112020737392640_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=ETKu38d7drgAX8QyrrO&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3873b1f2186f0c1d988b27ec52bb983f&oe=5F81A55B,1.0,,1188286568002667,"DREAM Technical Academy in Willmar will start two hours later tomorrow, Monday, February 25th.",https://facebook.com/story.php?story_fbid=1188286568002667&id=118089231689078,,0.0,"DREAM Technical Academy in Willmar will start two hours later tomorrow, Monday, February 25th.",2019-02-24 20:02:56,,
