,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,16.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119323910_3966745716676051_6861036124743425874_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=t6ZTwM5VPVMAX9k-i0d&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=0364f10382acc961a731523ddd444991&oe=5F814856,56.0,,3966747793342510,"Please help us wish a Happy 15th Birthday to Ace Baisden! Ace is a tenth grader at Tecumseh High School. We hope you are having an awesome day, Ace!
If you would like for us to help celebrate your child's birthday, please send a photo along with the name and grade/school to Paula Crew at paula.crew@tecumsehlocal.org
Thank you!",https://facebook.com/story.php?story_fbid=3966747793342510&id=163864873630840,,0.0,"Please help us wish a Happy 15th Birthday to Ace Baisden! Ace is a tenth grader at Tecumseh High School. We hope you are having an awesome day, Ace!
If you would like for us to help celebrate your child's birthday, please send a photo along with the name and grade/school to Paula Crew at paula.crew@tecumsehlocal.org
Thank you!",2020-09-11 20:52:28,,
1,0.0,,17.0,https://www.youtube.com/channel/UCBhQt4FgE0BLbhDCfxqSQXQ,3966263300057626,"Just a reminder, the football game will be live-streamed tonight. You can access it at the link below beginning at 6:30 this evening!
Go Arrows!

https://www.youtube.com/channel/UCBhQt4FgE0BLbhDCfxqSQXQ",https://facebook.com/story.php?story_fbid=3966263300057626&id=163864873630840,"YOUTUBE.COM
Tecumseh High School Youtube",2.0,"Just a reminder, the football game will be live-streamed tonight. You can access it at the link below beginning at 6:30 this evening!
Go Arrows!

https://www.youtube.com/channel/UCBhQt4FgE0BLbhDCfxqSQXQ

YOUTUBE.COM
Tecumseh High School Youtube",2020-09-11 17:13:21,,
2,2.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119197933_3964920146858608_3363267468009712605_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=P7oqbD8IicYAX8_JCrP&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=9369f3af83a92f67dfe3477d92706dc0&oe=5F809DE3,114.0,,3964925003524789,We remember 9/11/01 and we will not forget the sacrifices displayed by many Americans nineteen years ago today.,https://facebook.com/story.php?story_fbid=3964925003524789&id=163864873630840,,0.0,We remember 9/11/01 and we will not forget the sacrifices displayed by many Americans nineteen years ago today.,2020-09-11 08:35:31,,
3,23.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119137635_3964754636875159_7236724619454425041_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=oWzTLs-HR6IAX9XbdGF&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=eb7fab70279ae9946d742778a638fe27&oe=5F8222EF,152.0,,3964759693541320,"Congratulations to Josiah Botello! Josiah is this weeks Macy Agency Allstate Good Hands Award winner for Tecumseh Football. Thank you to Mr. Brian Macy for beginning the fifteenth year of presenting the Allstate Good Hands Award to our athletes!
Arrow PRIDE!",https://facebook.com/story.php?story_fbid=3964759693541320&id=163864873630840,,0.0,"Congratulations to Josiah Botello! Josiah is this weeks Macy Agency Allstate Good Hands Award winner for Tecumseh Football. Thank you to Mr. Brian Macy for beginning the fifteenth year of presenting the Allstate Good Hands Award to our athletes!
Arrow PRIDE!",2020-09-11 07:30:04,,
4,6.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119176825_3963304677020155_7740042275435519551_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=i8Was_VbPDoAX8bDyEW&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=3188513950cb472c45d675b7e4c43ada&oe=5F841F73,82.0,,3963309567019666,"Personnel from our Child Nutrition and Transportation Departments continued to offer breakfast and lunch at designated satellite locations this week. Thank you ladies for your hard work and waiting in the hot weather to serve our students! These ladies are hoping to see more students at the satellite locations beginning next Tuesday, especially given that all students will receive free meals. You ROCK ladies! Thank you for your efforts and displaying the Tecumseh Way to meet the needs of our students!
Arrow STRONG!",https://facebook.com/story.php?story_fbid=3963309567019666&id=163864873630840,,0.0,"Personnel from our Child Nutrition and Transportation Departments continued to offer breakfast and lunch at designated satellite locations this week. Thank you ladies for your hard work and waiting in the hot weather to serve our students! These ladies are hoping to see more students at the satellite locations beginning next Tuesday, especially given that all students will receive free meals. You ROCK ladies! Thank you for your efforts and displaying the Tecumseh Way to meet the needs of our students!
Arrow STRONG!",2020-09-10 20:05:17,,
5,7.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119169505_3963127850371171_1995349658785736959_n.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=VOuMkxn3POAAX__iDCH&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=d1b645aabb8c997af37045ad325024a0&oe=5F82AC04,55.0,,3963130770370879,"Beginning Monday, September 14th, breakfast and lunch for all students at Tecumseh Local Schools in grades K-12 will be free. We have received a waiver from the Ohio Department of Education for this opportunity.

This includes the food on the lunch buses currently going out to satellite locations throughout the district. All students can pick up five free breakfasts and lunches from the buses per week. The student or the parent will need to provide the name of the student, building he or she attends and the four-digit pin number to receive the free food. Students do not need to be present if the parent/older sibling knows the PIN number. If you are planning to secure food from the satellite bus program, you need to notify the Child Nutrition Office at 845-4519. This will help ensure we have enough food on each bus.

When students do return to school, the free breakfast and lunch will continue until the end of December 2020.

If you have any questions, please reach out to the Child Nutrition Department at 845-4519.",https://facebook.com/story.php?story_fbid=3963130770370879&id=163864873630840,,0.0,"Beginning Monday, September 14th, breakfast and lunch for all students at Tecumseh Local Schools in grades K-12 will be free. We have received a waiver from the Ohio Department of Education for this opportunity.

This includes the food on the lunch buses currently going out to satellite locations throughout the district. All students can pick up five free breakfasts and lunches from the buses per week. The student or the parent will need to provide the name of the student, building he or she attends and the four-digit pin number to receive the free food. Students do not need to be present if the parent/older sibling knows the PIN number. If you are planning to secure food from the satellite bus program, you need to notify the Child Nutrition Office at 845-4519. This will help ensure we have enough food on each bus.

When students do return to school, the free breakfast and lunch will continue until the end of December 2020.

If you have any questions, please reach out to the Child Nutrition Department at 845-4519.",2020-09-10 18:31:52,,
6,1.0,,41.0,https://www.youtube.com/channel/UCBhQt4FgE0BLbhDCfxqSQXQ,3962145217136101,"Our home football game against Shawnee Friday night will be live - streamed. Eric Mata, a Tecumseh High School Alumni and owner of New Life Media Marketing & Productions, has graciously volunteered to live-stream the game for us. Thank you in advance Mr. Mata.
If you would like to watch the game, please click on the link below at 6:30 tomorrow night! If you can please share this information, it would be greatly appreciated. Thank you!
Arrow PRIDE!

https://www.youtube.com/channel/UCBhQt4FgE0BLbhDCfxqSQXQ",https://facebook.com/story.php?story_fbid=3962145217136101&id=163864873630840,"YOUTUBE.COM
Tecumseh High School Youtube",34.0,"Our home football game against Shawnee Friday night will be live - streamed. Eric Mata, a Tecumseh High School Alumni and owner of New Life Media Marketing & Productions, has graciously volunteered to live-stream the game for us. Thank you in advance Mr. Mata.
If you would like to watch the game, please click on the link below at 6:30 tomorrow night! If you can please share this information, it would be greatly appreciated. Thank you!
Arrow PRIDE!

https://www.youtube.com/channel/UCBhQt4FgE0BLbhDCfxqSQXQ

YOUTUBE.COM
Tecumseh High School Youtube",2020-09-10 11:11:02,,
7,0.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119121788_3961748437175779_3872262742702720748_o.jpg?_nc_cat=108&_nc_sid=dd9801&_nc_ohc=PhRe_dPxP2cAX80cHRc&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=8589a9a1732c79a4c9df560c786feefd&oe=5F803624,128.0,,3961751343842155,,,,0.0,,2020-09-10 09:04:34,,
8,1.0,,2.0,https://docs.google.com/forms/d/e/1FAIpQLSchukgOHwZIH-QDL5qFzvClgviYb-MZQJiIjHQl-tcAP73rMw/viewform,3959041794113110,"Please see the link below to request a Chromebook. We have filled all initial requests that we received at the point. We have additional Chromebooks remaining. If you would like to request an additional device for your home, please fill out the request form at the link below. We will fill as many requests as we have devices. If you can please share this information, it would be greatly appreciated!
Thank you!

https://docs.google.com/forms/d/e/1FAIpQLSchukgOHwZIH-QDL5qFzvClgviYb-MZQJiIjHQl-tcAP73rMw/viewform",https://facebook.com/story.php?story_fbid=3959041794113110&id=163864873630840,"DOCS.GOOGLE.COM
TLS - Device Request Form",13.0,"Please see the link below to request a Chromebook. We have filled all initial requests that we received at the point. We have additional Chromebooks remaining. If you would like to request an additional device for your home, please fill out the request form at the link below. We will fill as many requests as we have devices. If you can please share this information, it would be greatly appreciated!
Thank you!

https://docs.google.com/forms/d/e/1FAIpQLSchukgOHwZIH-QDL5qFzvClgviYb-MZQJiIjHQl-tcAP73rMw/viewform

DOCS.GOOGLE.COM
TLS - Device Request Form",2020-09-09 12:19:08,,
9,29.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119099604_3958254657525157_7533262154605832923_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=YLVmJD4bqeoAX8Pvz5O&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=f8d0383fcb81b561ea348e9946fdc58e&oe=5F81F73D,192.0,,3958255264191763,"Please help us thank our Child Nutrition and Transportation staff members for their efforts to take breakfast and lunch to satellite areas throughout the district! It's quite hot on the bus and we appreciate each one of them!
Arrow PRIDE!",https://facebook.com/story.php?story_fbid=3958255264191763&id=163864873630840,,0.0,"Please help us thank our Child Nutrition and Transportation staff members for their efforts to take breakfast and lunch to satellite areas throughout the district! It's quite hot on the bus and we appreciate each one of them!
Arrow PRIDE!",2020-09-09 07:57:54,,
