,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119106796_650433445899376_4318870451527571530_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=SRI5uUP2dRMAX_hIQq_&_nc_ht=scontent-atl3-1.xx&tp=14&oh=157b80af61190a7f6fbf12c064f51d24&oe=5F8457A7,18.0,,3410311625754732,,https://facebook.com/story.php?story_fbid=3410311625754732&id=967782936674292,"Thayer Bobcats Yearbook
Yesterday at 4:46 PM ·

2019-2020 annuals have arrived!!!!! Yearbook staff will begin working on distribution on Monday 9/14. We hope to have all pre-paid books delivered by the end of the day. There will be a few extras left to purchase for $45 in the elementary and high school office on Tuesday. Shout out to the THS Yearbook Staff who built the book during the school year and summer, the photographers around town who helped us gather shots, the businesses and parents for purchasing ads to pay for the production of the book, and the community for the constant support of the school district and the legacy of the Thayer Schools Yearbook. We are so proud of our creation and hope you all love it!! 🙌🏼📸📗💚🐾",0.0,"Thayer Bobcats Yearbook
Yesterday at 4:46 PM ·

2019-2020 annuals have arrived!!!!! Yearbook staff will begin working on distribution on Monday 9/14. We hope to have all pre-paid books delivered by the end of the day. There will be a few extras left to purchase for $45 in the elementary and high school office on Tuesday. Shout out to the THS Yearbook Staff who built the book during the school year and summer, the photographers around town who helped us gather shots, the businesses and parents for purchasing ads to pay for the production of the book, and the community for the constant support of the school district and the legacy of the Thayer Schools Yearbook. We are so proud of our creation and hope you all love it!! 🙌🏼📸📗💚🐾",2020-09-12 11:07:00,,
1,0.0,,11.0,,3408485889270639,DO NOT use the livestream link. It’s a scam!!,https://facebook.com/story.php?story_fbid=3408485889270639&id=967782936674292,,0.0,DO NOT use the livestream link. It’s a scam!!,2020-09-11 20:35:44,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119174432_1429975390546637_8445157175126791005_o.jpg?_nc_cat=106&_nc_sid=9e2e56&_nc_ohc=zEY-E85vIHwAX9Bc1e1&_nc_ht=scontent-atl3-1.xx&tp=14&oh=af2f905e6d9678b962f6970dacdd30ef&oe=5F822128,13.0,http://www.ecommnewsnetwork.com/,3407390569380171,,https://facebook.com/story.php?story_fbid=3407390569380171&id=967782936674292,"Thayer Bobcat Sports
Yesterday at 9:38 AM ·

😾🦅 No bigger rival in the #SCA! *Tonight* Pregame 6:00 PM Kickoff 7:00 PM! Tune in as the voice of the Bobcats, Mike Crase, gives us play by play action! #GoCATS www.ecommnewsnetwork.com",0.0,"Thayer Bobcat Sports
Yesterday at 9:38 AM ·

😾🦅 No bigger rival in the #SCA! *Tonight* Pregame 6:00 PM Kickoff 7:00 PM! Tune in as the voice of the Bobcats, Mike Crase, gives us play by play action! #GoCATS www.ecommnewsnetwork.com",2020-09-11 12:03:46,,
3,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118991950_648074309468623_2805531200563012435_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=FQ-uqW3f6dIAX_iejnb&_nc_oc=AQlpyqsvnZOkwC9Z_j8-_MmKyyG-zJkvZjirPR80HqPsDLyvV45zYFAPu-QkpL4giSE&_nc_ht=scontent-atl3-1.xx&tp=14&oh=df00458ab9be6230fe3347addc1e520c&oe=5F83724E,10.0,http://mylifetouch.com/,3398194796966415,,https://facebook.com/story.php?story_fbid=3398194796966415&id=967782936674292,"Thayer Bobcats Yearbook
September 8 at 11:04 AM ·

Tomorrow, September 9th is SCHOOL PICTURE DAY at the elementary and high school!! All students have to have their pictures taken for SIS, yearbook, and lunch cards. Students have received picture order forms last week, if you didn’t get one they are located in both school offices. If you want to order online go to mylifetouch.com and select “picture day id or portrait id” under the Order Your School Pictures selection. The picture day id is EVTQMX86F",4.0,"Thayer Bobcats Yearbook
September 8 at 11:04 AM ·

Tomorrow, September 9th is SCHOOL PICTURE DAY at the elementary and high school!! All students have to have their pictures taken for SIS, yearbook, and lunch cards. Students have received picture order forms last week, if you didn’t get one they are located in both school offices. If you want to order online go to mylifetouch.com and select “picture day id or portrait id” under the Order Your School Pictures selection. The picture day id is EVTQMX86F",2020-09-08 13:41:38,,
4,6.0,,75.0,,3395974397188455,"I am happy to inform you that the USDA has extended the summer food program through December. That means from Tuesday, September 1st, ALL Thayer School students will receive a free breakfast and lunch through December 2020.

Good News!!🙌🙌",https://facebook.com/story.php?story_fbid=3395974397188455&id=967782936674292,,0.0,"I am happy to inform you that the USDA has extended the summer food program through December. That means from Tuesday, September 1st, ALL Thayer School students will receive a free breakfast and lunch through December 2020.

Good News!!🙌🙌",2020-09-07 21:01:23,,
5,0.0,,4.0,https://www.youtube.com/channel/UCVmBFPrAbhHXEvsBZZV0e5w,3386218278164067,Here’s some information for livestream viewing of tonight’s game.,https://facebook.com/story.php?story_fbid=3386218278164067&id=967782936674292,"Highland School District
September 4 at 3:50 PM ·

Can’t make it to senior night? Highland’s HHSTV students will be there to livestream! Watch their YouTube channel for the link to pop-up when they are live! Senior night begins at 6:30 pm. https://www.youtube.com/channel/UCVmBFPrAbhHXEvsBZZV0e5w",5.0,"Here’s some information for livestream viewing of tonight’s game.

Highland School District
September 4 at 3:50 PM ·

Can’t make it to senior night? Highland’s HHSTV students will be there to livestream! Watch their YouTube channel for the link to pop-up when they are live! Senior night begins at 6:30 pm. https://www.youtube.com/channel/UCVmBFPrAbhHXEvsBZZV0e5w",2020-09-04 18:11:09,,
6,0.0,,0.0,https://www.youtube.com/channel/UCVmBFPrAbhHXEvsBZZV0e5w,,Can’t make it to senior night? Highland’s HHSTV students will be there to livestream! Watch their YouTube channel for the link to pop-up when they are live! Senior night begins at 6:30 pm. https://www.youtube.com/channel/UCVmBFPrAbhHXEvsBZZV0e5w,https://facebook.com/story.php?story_fbid=2843811389182584&id=1528447344052335,,0.0,Can’t make it to senior night? Highland’s HHSTV students will be there to livestream! Watch their YouTube channel for the link to pop-up when they are live! Senior night begins at 6:30 pm. https://www.youtube.com/channel/UCVmBFPrAbhHXEvsBZZV0e5w,2020-09-13 02:45:38.582435,,
7,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118833135_3383201488465746_918240289598291896_n.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=rqE6ULVu88UAX-xb560&_nc_ht=scontent-atl3-1.xx&oh=29975e97e95c9971d7856f59fb222de8&oe=5F82649B,12.0,,3383202441798984,Arkansas Football Game Guidelines for the game tomorrow at Highland.,https://facebook.com/story.php?story_fbid=3383202441798984&id=967782936674292,,0.0,Arkansas Football Game Guidelines for the game tomorrow at Highland.,2020-09-03 18:46:42,,
8,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118763327_3376848755767686_1113419436029888226_o.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=Ife96dI0nlEAX8zNF80&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4260c97968bd0664ea10ee160037326b&oe=5F84A0F0,24.0,,3376848799101015,,https://facebook.com/story.php?story_fbid=3376848799101015&id=967782936674292,,0.0,,2020-09-01 18:34:51,,
9,0.0,,11.0,,3366902993428929,"Green and White Volleyball (JV and Varsity) game is tonight at 6pm at the Thayer High School. Admission to this game is snack, water, Gatorade, Powerade, or just a cash donation. These girls have worked very hard the last couple of months. Come on out and support the Thayer Lady Cats Volleyball team.",https://facebook.com/story.php?story_fbid=3366902993428929&id=967782936674292,,0.0,"Green and White Volleyball (JV and Varsity) game is tonight at 6pm at the Thayer High School. Admission to this game is snack, water, Gatorade, Powerade, or just a cash donation. These girls have worked very hard the last couple of months. Come on out and support the Thayer Lady Cats Volleyball team.",2020-08-29 16:42:38,,
