,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119066042_3321122437970979_8018563610923380128_o.png?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=8DZ8wpq4jfoAX83HLxI&_nc_ht=scontent-atl3-1.xx&oh=7595a7ad05e227e2d1faffd1d6d1cb50&oe=5F8418ED,13.0,http://edl.io/n1295471,3321122434637646,"Meal Distribution Effective Monday September 14, 2020 - Please use the link below to view the flyer for meal distribution information for the Jersey City Public Schools. http://edl.io/n1295471",,,0.0,"Meal Distribution Effective Monday September 14, 2020 - Please use the link below to view the flyer for meal distribution information for the Jersey City Public Schools. http://edl.io/n1295471",2020-09-12 23:34:19,,
1,0.0,,4.0,https://youtu.be/zwSozRMcONA,3320292404720649,A welcome back message from Superintendent Franklin Walker for the 2020-2021 school year.,https://facebook.com/story.php?story_fbid=3320292404720649&id=406403872776198,"YOUTUBE.COM
Supt Walker welcome back 2020",4.0,"A welcome back message from Superintendent Franklin Walker for the 2020-2021 school year.

YOUTUBE.COM
Supt Walker welcome back 2020",2020-09-12 16:24:28,,
2,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119110657_182418876657566_5211454813532014334_o.jpg?_nc_cat=109&_nc_sid=9e2e56&_nc_ohc=5pHBRZhQYFsAX9vIodb&_nc_oc=AQkdgCBmvOg-63KOrxMkzloHR3evTZTRHb_9eX47wli4JdMHOtE-ReruVH4ogasiPN8&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f0d8579d51b03ed452b335d87dc013af&oe=5F81C1F6,1.0,,3317204798362743,,https://facebook.com/story.php?story_fbid=3317204798362743&id=406403872776198,"Whitney M Young, Jr. Community School is in Jersey City, New Jersey.
September 11 at 10:53 AM · Jersey City, NJ ·

Here is some useful information for parents and students to assist with distance learning! #remotelearning2020 #jcps #jerseycitypublicschools",0.0,"Whitney M Young, Jr. Community School is in Jersey City, New Jersey.
September 11 at 10:53 AM · Jersey City, NJ ·

Here is some useful information for parents and students to assist with distance learning! #remotelearning2020 #jcps #jerseycitypublicschools",2020-09-11 15:50:13,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119004723_164313445290742_3630609750267405695_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=_LmqRl5qTQIAX8h-eEe&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d4fda5d4875d2f7f0cafc89809b998c7&oe=5F833996,5.0,,3317204368362786,,https://facebook.com/story.php?story_fbid=3317204368362786&id=406403872776198,"Chaplain Charles Watters 24
September 11 at 2:25 PM ·

Please tap to see our expectations for virtual learning. Please discuss with your child. We expect them to log in on time, be respectful and kind, follow the directions of the teacher and fully participate!",0.0,"Chaplain Charles Watters 24
September 11 at 2:25 PM ·

Please tap to see our expectations for virtual learning. Please discuss with your child. We expect them to log in on time, be respectful and kind, follow the directions of the teacher and fully participate!",2020-09-11 15:50:00,,
4,4.0,,26.0,http://edl.io/n1294565,3317106868372536,"Attendance Awareness Month - Taking attendance and monitoring participation is still crucial for identifying whether students are accessing lessons, or if they need supports to overcome barriers to remote learning. Especially during the Covid-19 pandemic, we signal the importance of school attendance by declaring that September is Attendance Awareness Month. http://edl.io/n1294565",,,0.0,"Attendance Awareness Month - Taking attendance and monitoring participation is still crucial for identifying whether students are accessing lessons, or if they need supports to overcome barriers to remote learning. Especially during the Covid-19 pandemic, we signal the importance of school attendance by declaring that September is Attendance Awareness Month. http://edl.io/n1294565",2020-09-11 15:03:30,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118970495_182238066675647_8946576697508751466_o.jpg?_nc_cat=101&_nc_sid=9e2e56&_nc_ohc=gTfxZd6YITUAX_QatAC&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b29d1128104b00d9c09b1391b5f656f1&oe=5F83AC9A,27.0,,3314553705294519,,https://facebook.com/story.php?story_fbid=3314553705294519&id=406403872776198,"Whitney M Young, Jr. Community School is at P.S. #15.
September 10 at 5:37 PM · Jersey City, NJ ·

First day of the new school year was a success!! Keep working hard PS#15! #remotelearning2020 #schoolinthetimeofcovid #jcps #jcmakeityours",0.0,"Whitney M Young, Jr. Community School is at P.S. #15.
September 10 at 5:37 PM · Jersey City, NJ ·

First day of the new school year was a success!! Keep working hard PS#15! #remotelearning2020 #schoolinthetimeofcovid #jcps #jcmakeityours",2020-09-10 19:54:25,,
6,1.0,,12.0,,3313845488698674,,https://facebook.com/story.php?story_fbid=3313845488698674&id=406403872776198,"Chaplain Charles Watters 24
September 10 at 8:06 AM ·

Message from Principal Rosalyn Barnes",3.0,"Chaplain Charles Watters 24
September 10 at 8:06 AM ·

Message from Principal Rosalyn Barnes",2020-09-10 14:04:14,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119281967_2398340487140701_2727127262198221243_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=Ed0LNzXupzAAX9Gm-p_&_nc_ht=video-atl3-1.xx&oh=0bc9077f16cfe88db57e11e71720920f&oe=5F5E4633,
7,0.0,,1.0,https://docs.google.com/forms/d/e/1FAIpQLSf5UYsa-H5HpXnRLHBOYGqjP2U4rQe84rc1KwL1efgS9cXhnw/viewform?usp=send_form,3313844248698798,For the Whitney M Young Jr. School Community.,https://facebook.com/story.php?story_fbid=3313844248698798&id=406403872776198,"Whitney M Young, Jr. Community School
September 8 at 10:30 AM ·

Good Morning PS#15 Families! Your children's teachers are busy getting ready to welcome your children for the new school year. You will be hearing from your child's teacher(s) no later than tomorrow (Wednesday, 9/9/2020) morning!

Also, if you have any questions for the administration regarding this school year, supplies, etc... please use the following link:
https://docs.google.com/forms/d/e/1FAIpQLSf5UYsa-H5HpXnRLHBOYGqjP2U4rQe84rc1KwL1efgS9cXhnw/viewform?usp=send_form",0.0,"For the Whitney M Young Jr. School Community.

Whitney M Young, Jr. Community School
September 8 at 10:30 AM ·

Good Morning PS#15 Families! Your children's teachers are busy getting ready to welcome your children for the new school year. You will be hearing from your child's teacher(s) no later than tomorrow (Wednesday, 9/9/2020) morning!

Also, if you have any questions for the administration regarding this school year, supplies, etc... please use the following link:
https://docs.google.com/forms/d/e/1FAIpQLSf5UYsa-H5HpXnRLHBOYGqjP2U4rQe84rc1KwL1efgS9cXhnw/viewform?usp=send_form",2020-09-10 14:03:44,,
8,0.0,,0.0,https://docs.google.com/forms/d/e/1FAIpQLSf5UYsa-H5HpXnRLHBOYGqjP2U4rQe84rc1KwL1efgS9cXhnw/viewform?usp=send_form,,"Good Morning PS#15 Families! Your children's teachers are busy getting ready to welcome your children for the new school year. You will be hearing from your child's teacher(s) no later than tomorrow (Wednesday, 9/9/2020) morning!

Also, if you have any questions for the administration regarding this school year, supplies, etc... please use the following link:
https://docs.google.com/forms/d/e/1FAIpQLSf5UYsa-H5HpXnRLHBOYGqjP2U4rQe84rc1KwL1efgS9cXhnw/viewform?usp=send_form",https://facebook.com/story.php?story_fbid=181548696744584&id=107864524113002,,0.0,"Good Morning PS#15 Families! Your children's teachers are busy getting ready to welcome your children for the new school year. You will be hearing from your child's teacher(s) no later than tomorrow (Wednesday, 9/9/2020) morning!

Also, if you have any questions for the administration regarding this school year, supplies, etc... please use the following link:
https://docs.google.com/forms/d/e/1FAIpQLSf5UYsa-H5HpXnRLHBOYGqjP2U4rQe84rc1KwL1efgS9cXhnw/viewform?usp=send_form",,,
9,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118959160_3313632822053274_8363445472711775176_n.jpg?_nc_cat=110&_nc_sid=2d5d41&_nc_ohc=rq3hB-HHSD8AX_hGtwb&_nc_ht=scontent-atl3-1.xx&tp=14&oh=fe8d2d97230add90fa7c0b1ede9be0dd&oe=5F83DE22,15.0,http://edl.io/n1293708,3313632818719941,"COVID-19 Hotline - The best way to get answers to your specific questions is by calling your child's school. However, due to the COVID-19 Pandemic, all our students attend classes remotely at this time. Thus, increasing the volume of calls and concerns for families.
If you cannot reach your child's school, please call this toll free number 1-877-708-8195, and someone will get back to you within 24 hours. If you need to contact your child's school or teacher you can also access your school website by using the link below At the school site click contact us and staff directory to email staff. http://edl.io/n1293708",,,0.0,"COVID-19 Hotline - The best way to get answers to your specific questions is by calling your child's school. However, due to the COVID-19 Pandemic, all our students attend classes remotely at this time. Thus, increasing the volume of calls and concerns for families.
If you cannot reach your child's school, please call this toll free number 1-877-708-8195, and someone will get back to you within 24 hours. If you need to contact your child's school or teacher you can also access your school website by using the link below At the school site click contact us and staff directory to email staff. http://edl.io/n1293708",2020-09-10 12:35:27,,
