,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,44.0,,1744479639034379,"Shoutout to our Senior Softball players, Haley Rucker and Sydney Brice 🥎 Senior Night will be held this Monday, Sept. 14th immediately following the game vs Bucklin-Macon Co. First pitch is scheduled for 5:30 pm. Come out to support our Lady Dragons! #DRAGONpride
📸 Photo/Banner Creds: Barb Daniels",https://facebook.com/story.php?story_fbid=1744479639034379&id=146903032125389,,0.0,"Shoutout to our Senior Softball players, Haley Rucker and Sydney Brice 🥎 Senior Night will be held this Monday, Sept. 14th immediately following the game vs Bucklin-Macon Co. First pitch is scheduled for 5:30 pm. Come out to support our Lady Dragons! #DRAGONpride
📸 Photo/Banner Creds: Barb Daniels",2020-09-12 09:35:02,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119210265_1743995482416128_7483800525709907793_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=5xEmBp1yRjQAX_4irwy&_nc_ht=scontent-atl3-1.xx&tp=14&oh=67cde51ce55b0e9a8ee921037b3beb12&oe=5F82B49C,7.0,,1743996479082695,"Boys and Girls Junior High basketball practice will begin after school on Wednesday, September 16th. Practice schedule will be handed out to athletes on Tuesday. 🏀 #DRAGONpride",https://facebook.com/story.php?story_fbid=1743996479082695&id=146903032125389,,0.0,"Boys and Girls Junior High basketball practice will begin after school on Wednesday, September 16th. Practice schedule will be handed out to athletes on Tuesday. 🏀 #DRAGONpride",2020-09-11 19:50:02,,
2,0.0,,0.0,,1743023555846654,"Please make sure all back to school forms are turned in to office by tomorrow, Sept. 11th. ✔️ This includes technology agreement, emergency contacts, and Drug Testing agreement. Without this students will not be able to drive to school or participate in athletics until forms are on file. #DRAGONpride",https://facebook.com/story.php?story_fbid=1743023555846654&id=146903032125389,,0.0,"Please make sure all back to school forms are turned in to office by tomorrow, Sept. 11th. ✔️ This includes technology agreement, emergency contacts, and Drug Testing agreement. Without this students will not be able to drive to school or participate in athletics until forms are on file. #DRAGONpride",2020-09-10 19:38:38,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118940480_1741918325957177_2168965597676224706_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=PcAxaXhV2MUAX9zH7sp&_nc_ht=scontent-atl3-1.xx&tp=14&oh=69d3e08d7a7e317dd01e8141f67a2cd1&oe=5F84D327,5.0,,1741919139290429,Important info for Softball Tournament in Milan on Saturday 🥎 Hoping for blue skies ☀️ #DRAGONpride,https://facebook.com/story.php?story_fbid=1741919139290429&id=146903032125389,,0.0,Important info for Softball Tournament in Milan on Saturday 🥎 Hoping for blue skies ☀️ #DRAGONpride,2020-09-09 13:52:57,,
4,0.0,,0.0,https://danielsstudio.gotphoto.com/,1738477376301272,"Click the link below to access photos of Tina-Avalon Softball games and Wildcat Senior Night. Parents can order prints directly through her link. Click menu to see albums without access code. Big thanks to Barb Daniels for supporting our athletes! 🏈💚🥎
https://danielsstudio.gotphoto.com/",https://facebook.com/story.php?story_fbid=1738477376301272&id=146903032125389,"DANIELSSTUDIO.GOTPHOTO.COM
Daniels Studio, LLC ordering",0.0,"Click the link below to access photos of Tina-Avalon Softball games and Wildcat Senior Night. Parents can order prints directly through her link. Click menu to see albums without access code. Big thanks to Barb Daniels for supporting our athletes! 🏈💚🥎
https://danielsstudio.gotphoto.com/

DANIELSSTUDIO.GOTPHOTO.COM
Daniels Studio, LLC ordering",2020-09-05 22:17:53,,
5,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118792653_1737553326393677_2764138860687344278_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=Js6gy5RIyeYAX9mopWj&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f5edcd9f5b65b05a76d22e34d41b19b6&oe=5F846542,54.0,,1737559016393108,"Wildcats win big against South Holt-Nodaway Holt! 🏈 Proud of our Dragon Seniors, #8️⃣7️⃣ Hunter Colliver, son of Aaron and Sandy Colliver and #2️⃣5️⃣ Kayden Sturgeon, son of Russell and Sabrina Sturgeon. #DRAGONpride",https://facebook.com/story.php?story_fbid=1737559016393108&id=146903032125389,,0.0,"Wildcats win big against South Holt-Nodaway Holt! 🏈 Proud of our Dragon Seniors, #8️⃣7️⃣ Hunter Colliver, son of Aaron and Sandy Colliver and #2️⃣5️⃣ Kayden Sturgeon, son of Russell and Sabrina Sturgeon. #DRAGONpride",2020-09-04 23:27:35,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118852245_1737381199744223_5433409063637953612_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=-gVLKh-8FuIAX_7OKp0&_nc_ht=scontent-atl3-1.xx&tp=14&oh=08711f85897d4f3134cbc2d95045cbfa&oe=5F830936,57.0,,1737389489743394,We would like to say thank you to all of our students and staff for an amazing first 2 weeks of school! New policies and procedures are always tough but you have met the challenge with a smile (it might be hidden but it’s there 😀) Students and staff were treated with ice cream sandwiches at the end of the day🍦Keep up the great work! #DRAGONpride 💚,https://facebook.com/story.php?story_fbid=1737389489743394&id=146903032125389,,0.0,We would like to say thank you to all of our students and staff for an amazing first 2 weeks of school! New policies and procedures are always tough but you have met the challenge with a smile (it might be hidden but it’s there 😀) Students and staff were treated with ice cream sandwiches at the end of the day🍦Keep up the great work! #DRAGONpride 💚,2020-09-04 18:43:32,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118672737_1737061153109561_6391256417659185169_n.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=XsQmiMSvQgMAX_IOEiS&_nc_oc=AQnfChkPrmtX5vHA8zi4jOtMOI3qIQtAyQntYYotmHZMOPKWc97dUOneqH1jG0PLtL4&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f89551b14e6aa4f20d1c67e87d807bdf&oe=5F82B036,9.0,,1737063089776034,Kickoff at 7 pm vs South Holt-Nodaway Holt. If you ordered a Wildcat shirt (the first round of sales) Anne Anderson will be available at the Booster Club tailgate to pick up. We will also be honoring the SENIORS after the football game.🏈 Special Shoutout to Kayden Sturgeon and Hunter Colliver (SR 2021) in tonight’s game! 💙#DRAGONpride #GoWildcats,https://facebook.com/story.php?story_fbid=1737063089776034&id=146903032125389,,0.0,Kickoff at 7 pm vs South Holt-Nodaway Holt. If you ordered a Wildcat shirt (the first round of sales) Anne Anderson will be available at the Booster Club tailgate to pick up. We will also be honoring the SENIORS after the football game.🏈 Special Shoutout to Kayden Sturgeon and Hunter Colliver (SR 2021) in tonight’s game! 💙#DRAGONpride #GoWildcats,2020-09-04 10:29:11,,
8,0.0,,9.0,,1736444159837927,,https://facebook.com/story.php?story_fbid=1736444159837927&id=146903032125389,,0.0,,2020-09-03 18:07:56,,
9,0.0,,3.0,https://wagner.portraitpics.co/login,1733662833449393,"School Picture Day is Friday, September 4th. Order forms are available in backpacks 🎒 If you would like to order/pay online, click the link to log in and set up account. Use Event Key: 7B3P4Y5 #DRAGONpride #SayCheese
https://wagner.portraitpics.co/login",https://facebook.com/story.php?story_fbid=1733662833449393&id=146903032125389,,0.0,"School Picture Day is Friday, September 4th. Order forms are available in backpacks 🎒 If you would like to order/pay online, click the link to log in and set up account. Use Event Key: 7B3P4Y5 #DRAGONpride #SayCheese
https://wagner.portraitpics.co/login",2020-08-31 20:24:23,,
