,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118957950_2763133970600533_2198276749925489937_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=FKGnT_OGsvwAX-JLAtw&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ce35ba6a58c69a7eaa527ce77f29a440&oe=5F826CA6,6.0,https://live.myvrspot.com/player?udi=dHZzZA%3D%3D&c=Y2hhbm5lbDE%3D,2763133997267197,Livestream Video link for Twin Valley Athletic Home Events is below! Go Raiders! https://live.myvrspot.com/player?udi=dHZzZA%3D%3D&c=Y2hhbm5lbDE%3D,https://facebook.com/story.php?story_fbid=2763133997267197&id=1444247012489242,,0.0,Livestream Video link for Twin Valley Athletic Home Events is below! Go Raiders! https://live.myvrspot.com/player?udi=dHZzZA%3D%3D&c=Y2hhbm5lbDE%3D,2020-09-11 18:12:27,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119418400_2763015763945687_2482952800519800228_o.jpg?_nc_cat=108&_nc_sid=9e2e56&_nc_ohc=IBI6gQIQu1YAX-G2uvv&_nc_ht=scontent-atl3-1.xx&tp=14&oh=848292c720559a03114cc5a85fa9b56c&oe=5F80E1CD,43.0,,2763015790612351,"With a District population of just about three-thousand students, transitioning to 1:1 devices required planning, coordination with teachers, students and parents plus adding staff + multiple support models over the last few years!

Our Technology team then stepped up its infrastructure to provide increased support for Virtual and Livestream options!

Thank you to the Technology Department for supporting our ever-changing needs (and constant updates!), looking ahead to meet our infrastructure needs, and for providing a Portal to support us from any location! Your dedication makes our District a model for learning and technology amongst our peers!

#everystudenteveryday #raiderpride #tvva #tvtech",https://facebook.com/story.php?story_fbid=2763015790612351&id=1444247012489242,,0.0,"With a District population of just about three-thousand students, transitioning to 1:1 devices required planning, coordination with teachers, students and parents plus adding staff + multiple support models over the last few years!

Our Technology team then stepped up its infrastructure to provide increased support for Virtual and Livestream options!

Thank you to the Technology Department for supporting our ever-changing needs (and constant updates!), looking ahead to meet our infrastructure needs, and for providing a Portal to support us from any location! Your dedication makes our District a model for learning and technology amongst our peers!

#everystudenteveryday #raiderpride #tvva #tvtech",2020-09-11 14:48:45,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119182515_2762855697295027_798548852131223188_n.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=WIlTdjXToJsAX-MECtl&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d80420d1cb9dd2491302ddbf3cf5afcf&oe=5F8303A6,34.0,,2762856790628251,"“What separates us from the animals, what separates us from the chaos, is our ability to mourn people we’ve never met.” ―David Levithan, author, ""Love is the Higher Law""",https://facebook.com/story.php?story_fbid=2762856790628251&id=1444247012489242,,0.0,"“What separates us from the animals, what separates us from the chaos, is our ability to mourn people we’ve never met.” ―David Levithan, author, ""Love is the Higher Law""",2020-09-11 11:04:15,,
3,0.0,,6.0,,2762183540695576,"VACANCY NOTICE
LEARNING SUPPORT AIDES
SUBSTITUTE AIDES

Effective for the 2020-2021 School Year

Education – High School Diploma or Equivalent

Salary – $13.55 / Hour

Primary Function:
Provide support for students and staff.

Job Qualifications:
Ability to speak and hear on telephone.
Able to lift weights up to 20 pounds regularly, on occasion up to 80 pounds.
Able to enter all building areas for the purpose of observation, supervision, and/or evaluation.
Able to communicate verbally.
Able to communicate in writing.
Deadline for applying: ............. Inquiries for this position will be accepted until successful candidates are selected.

Apply in Writing to:
Rita L. Haddock, Personnel Office
4851 N. Twin Valley Rd.
Elverson, PA 19520
Phone: (610) 286-8600, x1652
E-Mail: rhaddock@tvsd.org
E.O.E.",https://facebook.com/story.php?story_fbid=2762183540695576&id=1444247012489242,,0.0,"VACANCY NOTICE
LEARNING SUPPORT AIDES
SUBSTITUTE AIDES

Effective for the 2020-2021 School Year

Education – High School Diploma or Equivalent

Salary – $13.55 / Hour

Primary Function:
Provide support for students and staff.

Job Qualifications:
Ability to speak and hear on telephone.
Able to lift weights up to 20 pounds regularly, on occasion up to 80 pounds.
Able to enter all building areas for the purpose of observation, supervision, and/or evaluation.
Able to communicate verbally.
Able to communicate in writing.
Deadline for applying: ............. Inquiries for this position will be accepted until successful candidates are selected.

Apply in Writing to:
Rita L. Haddock, Personnel Office
4851 N. Twin Valley Rd.
Elverson, PA 19520
Phone: (610) 286-8600, x1652
E-Mail: rhaddock@tvsd.org
E.O.E.",2020-09-10 16:10:00,,
4,0.0,,1.0,,2762182547362342,,https://facebook.com/story.php?story_fbid=2762182547362342&id=1444247012489242,,0.0,,2020-09-10 16:08:19,,
5,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119073654_2762078834039380_3589228425868222831_o.jpg?_nc_cat=106&_nc_sid=9e2e56&_nc_ohc=p-v90nlb-XsAX-4slRj&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4131bb68fddb31e7ca7abc18e3895b1d&oe=5F80A390,100.0,,2762078850706045,"Mrs. Sanger's 4th graders are working hard in class and on-line making each moment count!

Rounding the corner of week three Twin Valley SD! How do we sum up all the feelings? Our bus drivers, coaches, teachers, staff, parents and community (and most importantly -- our students!!) are showing up everyday and making this work! We are beyond proud TV 💚

#everystudenteveryday #raiderpride",https://facebook.com/story.php?story_fbid=2762078850706045&id=1444247012489242,,0.0,"Mrs. Sanger's 4th graders are working hard in class and on-line making each moment count!

Rounding the corner of week three Twin Valley SD! How do we sum up all the feelings? Our bus drivers, coaches, teachers, staff, parents and community (and most importantly -- our students!!) are showing up everyday and making this work! We are beyond proud TV 💚

#everystudenteveryday #raiderpride",2020-09-10 13:36:18,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119200541_2762007530713177_131576686992564681_o.jpg?_nc_cat=107&_nc_sid=9e2e56&_nc_ohc=wqW8Q-fFYtkAX_IImXT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=20e48fa8ef7adcd277a3f889e9c03eb6&oe=5F8153D1,4.0,https://t.co/IceUG5Qa2V?amp=1,2762007560713174,,https://facebook.com/story.php?story_fbid=2762007560713174&id=1444247012489242,,0.0,,2020-09-10 12:01:19,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119105931_2761256757454921_3123126937493090983_o.jpg?_nc_cat=108&_nc_sid=9e2e56&_nc_ohc=8lXBHDganIAAX82KCQn&_nc_oc=AQlgqugD4C3-4Oo5QVCpWeEhcpjatyjRMDfW48iktFwQQeo5zxlqvESS83fF7BzTKi4&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2e2eecbe1cb99166e873da15156ccc42&oe=5F813BE1,6.0,,2761256777454919,"This past Sunday was National #readabook day!

For many of us, reading has become a rediscovered pathway for learning, mystery and comedy during the pandemic!

Let’s thank our Twin Valley Librarians and our local libraries/librarians for helping us get virtual and now physical books in our hands, but also a special thank you for their encouragement and dedication!

“Let us read, and let us dance; these two amusements will never do any harm to the world.” ― Voltaire

#everystudenteveryday #raiderpride",https://facebook.com/story.php?story_fbid=2761256777454919&id=1444247012489242,,0.0,"This past Sunday was National #readabook day!

For many of us, reading has become a rediscovered pathway for learning, mystery and comedy during the pandemic!

Let’s thank our Twin Valley Librarians and our local libraries/librarians for helping us get virtual and now physical books in our hands, but also a special thank you for their encouragement and dedication!

“Let us read, and let us dance; these two amusements will never do any harm to the world.” ― Voltaire

#everystudenteveryday #raiderpride",2020-09-09 14:52:37,,
8,0.0,,30.0,https://bit.ly/3jXXoQx,2761046657475931,Looking forward to seeing our Twin Valley Varsity Football program in action! 💚 #raiderpride,https://facebook.com/story.php?story_fbid=2761046657475931&id=1444247012489242,"READINGEAGLE.COM
Football preview capsule: Twin Valley Raiders",3.0,"Looking forward to seeing our Twin Valley Varsity Football program in action! 💚 #raiderpride

READINGEAGLE.COM
Football preview capsule: Twin Valley Raiders",2020-09-09 10:16:13,,
9,2.0,,11.0,https://sites.google.com/tvsd.info/tvmsbacktoschoolnight/home,2760267420887188,"Tonight is VIRTUAL Back to School Night for TVMS! Get the info link on the TVMS website or click below. It covers the schedule and the Zoom links for each grade level! Note: DROP IN time to chat with teachers, guidance or principals begins at 5pm!

https://sites.google.com/tvsd.info/tvmsbacktoschoolnight/home",https://facebook.com/story.php?story_fbid=2760267420887188&id=1444247012489242,,0.0,"Tonight is VIRTUAL Back to School Night for TVMS! Get the info link on the TVMS website or click below. It covers the schedule and the Zoom links for each grade level! Note: DROP IN time to chat with teachers, guidance or principals begins at 5pm!

https://sites.google.com/tvsd.info/tvmsbacktoschoolnight/home",2020-09-08 12:56:07,,
10,0.0,,3.0,https://lnk.bio/uscensusbureau,2760142160899714,"About three weeks left to get counted Twin Valley 💚

Posted @withregram • @uscensusbureau The census is well under way, and now is the perfect time to teach your children why the census is important. Watch our three-part webisode series made for kids, and complete the census today. Click the link to learn more.

https://lnk.bio/uscensusbureau

#StatsinSchools #shapeyourfuture #everyonecounts #parents #distancelearning #preschool",,,0.0,"About three weeks left to get counted Twin Valley 💚

Posted @withregram • @uscensusbureau The census is well under way, and now is the perfect time to teach your children why the census is important. Watch our three-part webisode series made for kids, and complete the census today. Click the link to learn more.

https://lnk.bio/uscensusbureau

#StatsinSchools #shapeyourfuture #everyonecounts #parents #distancelearning #preschool",2020-09-08 10:27:10,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119074318_772625110178112_5521036895449510555_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=2JFIgS4j5qMAX9d0jUB&_nc_ht=video-atl3-1.xx&oh=1a7381b0262b92eb928210815aecb655&oe=5F5C7FCF,
11,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118770078_2756767204570543_8538323661694186950_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=s1SC9iV3eiAAX_MCtLC&_nc_ht=scontent-atl3-1.xx&tp=14&oh=95c7e14be04ce7aecf70d755ecea0528&oe=5F80015E,9.0,http://TVSD.org/news,2756768194570444,The TVSD September Newsletter is LIVE! Enjoy your weekend TV! TVSD.org/news,https://facebook.com/story.php?story_fbid=2756768194570444&id=1444247012489242,,0.0,The TVSD September Newsletter is LIVE! Enjoy your weekend TV! TVSD.org/news,2020-09-04 15:25:20,,
12,35.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118559143_2756765771237353_2159204022470965199_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=xIFcvBkie3gAX8dg3KU&_nc_oc=AQl_CjesZf5h1RlxyHhHLV-FgwRJ_8FAnvGC7OGy7ooTFXLegWBbFQCP7rG6_7uZSkM&_nc_ht=scontent-atl3-1.xx&tp=14&oh=57142dbd2bb97a6b1c707e2d732e10d1&oe=5F81F07C,138.0,,2755865864660677,"We Noticed Twin Valley!

TVSD Facilities workers are cleaning and disinfecting frequently touched surfaces and objects within the school at least daily, including desktops, chairs, electronic devices, door handles, sink handles, etc.

We also took extra steps to protect our staff and students including removing all non-essential furniture, creating hand sanitizing and touchless water stations, and implementing 1:1 iPads and Chromebooks for all grades to eliminate device sharing.

Our Facilities workers are on duty throughout the day and night allowing the District to provide safe in-person learning for staff and students. Many thanks for their hard work and dedication this school year!

#everystudenteveryday",https://facebook.com/story.php?story_fbid=2755865864660677&id=1444247012489242,,0.0,"We Noticed Twin Valley!

TVSD Facilities workers are cleaning and disinfecting frequently touched surfaces and objects within the school at least daily, including desktops, chairs, electronic devices, door handles, sink handles, etc.

We also took extra steps to protect our staff and students including removing all non-essential furniture, creating hand sanitizing and touchless water stations, and implementing 1:1 iPads and Chromebooks for all grades to eliminate device sharing.

Our Facilities workers are on duty throughout the day and night allowing the District to provide safe in-person learning for staff and students. Many thanks for their hard work and dedication this school year!

#everystudenteveryday",2020-09-03 17:46:57,,
13,0.0,,2.0,,2755034314743832,,https://facebook.com/story.php?story_fbid=2755034314743832&id=1444247012489242,,0.0,,2020-09-02 19:43:27,,
14,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118842658_2754978874749376_1718312090088981354_o.jpg?_nc_cat=103&_nc_sid=9e2e56&_nc_ohc=goRWNDOcY0oAX-O8FF7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e7cad54530bf08cae2bd9bd4ed92b500&oe=5F82E4CD,15.0,,2754978908082706,"Welcome September!

As we move forward with this school year, we will continue to keep you updated with information and resources!

TVMS 9/8 and TVHS 9/3 Virtual Open Houses are coming up!

If you are not receiving emails and updates from your school or teacher, please contact your school office ASAP 💚",https://facebook.com/story.php?story_fbid=2754978908082706&id=1444247012489242,,0.0,"Welcome September!

As we move forward with this school year, we will continue to keep you updated with information and resources!

TVMS 9/8 and TVHS 9/3 Virtual Open Houses are coming up!

If you are not receiving emails and updates from your school or teacher, please contact your school office ASAP 💚",2020-09-02 18:00:36,,
