,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,27.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118890463_3683931398307302_1246587108449763518_o.png?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=iojL95vE6qUAX-LMYpn&_nc_ht=scontent-atl3-1.xx&oh=de7ecc044fe6530776a90d959744c040&oe=5F8AE621,113.0,https://sites.google.com/uisd.net/ocp/home,3683944181639357,"Dear Parents/Guardians,

United Independent School District will offer parents options of either on-campus instruction through a Transition Plan beginning September 21, 2020, or the option to continue remote/virtual learning at home. United ISD is asking parents to complete a NEW questionnaire with regards to the available options to finalize plans for students on campus.

Thank you.

Click the link to view the plan and begin the questionnaire: https://sites.google.com/uisd.net/ocp/home

Estimados padres/tutores,

United Independent School District ofrecerá a los padres de familia la opción de que sus hijos reciban enseñanza presencial a través del Plan de Transición, el cual iniciará el 21 de septiembre, o continúen con la enseñanza virtual en casa. United ISD solicita a los padres responder el NUEVO cuestionario sobre las opciones de enseñanza disponibles para finalizar los planes sobre clases presenciales.

Gracias.

Haga clic en el enlace para ver el plan y comenzar el cuestionario:https://sites.google.com/uisd.net/ocp/home",https://facebook.com/story.php?story_fbid=3683944181639357&id=580002005366939,,0.0,"Dear Parents/Guardians,

United Independent School District will offer parents options of either on-campus instruction through a Transition Plan beginning September 21, 2020, or the option to continue remote/virtual learning at home. United ISD is asking parents to complete a NEW questionnaire with regards to the available options to finalize plans for students on campus.

Thank you.

Click the link to view the plan and begin the questionnaire: https://sites.google.com/uisd.net/ocp/home

Estimados padres/tutores,

United Independent School District ofrecerá a los padres de familia la opción de que sus hijos reciban enseñanza presencial a través del Plan de Transición, el cual iniciará el 21 de septiembre, o continúen con la enseñanza virtual en casa. United ISD solicita a los padres responder el NUEVO cuestionario sobre las opciones de enseñanza disponibles para finalizar los planes sobre clases presenciales.

Gracias.

Haga clic en el enlace para ver el plan y comenzar el cuestionario:https://sites.google.com/uisd.net/ocp/home",2020-09-08 15:57:20,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119484192_3721901621176946_4824061076016152672_n.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=JI9kZAALEqwAX-cH-wT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=524bd29d044beb0546c61d9eb6f6c59b&oe=5F88B48E,28.0,,3721903337843441,,https://facebook.com/story.php?story_fbid=3721903337843441&id=580002005366939,,0.0,,2020-09-17 12:30:09,,
2,14.0,,33.0,https://www.uisd.net/,354256828956096,"Instruction in the Time of COVID

Episode 2: Virtual Camps

With Alex Meza

Special Guests:

-Roxanne Villagomez, After School Adventures Program Coordinator
-Juan Livas, After School Adventures Community Partnership Officer

Useful Links:

https://www.uisd.net/

After School Adventures
https://www.uisd.net/182946_2

Return to School Protocols
https://sites.google.com/uisd.net/rtsp/parents

For more info, please call:
956-473-6301",,,12.0,"Instruction in the Time of COVID

Episode 2: Virtual Camps

With Alex Meza

Special Guests:

-Roxanne Villagomez, After School Adventures Program Coordinator
-Juan Livas, After School Adventures Community Partnership Officer

Useful Links:

https://www.uisd.net/

After School Adventures
https://www.uisd.net/182946_2

Return to School Protocols
https://sites.google.com/uisd.net/rtsp/parents

For more info, please call:
956-473-6301",2020-09-17 11:00:58,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_373547133645467_7584910923905202505_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=e4Jv9Ylde0kAX-6Y9aD&_nc_ht=scontent-atl3-1.xx&oh=2b84d484fe286164a91cee7f132ea048&oe=5F883C95,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119226970_3718478864852555_7782996807207406274_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=JvUxBHCFa5IAX-b1m4n&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7789df9dfc2ea7c0f52c084388b01e4b&oe=5F8B812A,17.0,,3718479144852527,,https://facebook.com/story.php?story_fbid=3718479144852527&id=580002005366939,,0.0,,2020-09-16 17:29:33,,
4,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119488554_3718246158209159_5253767687516979303_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=Q5kjMGNpnUAAX8Cn2MS&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5ab3abf611fb5fe26d996da0ded6d0d5&oe=5F8A3032,55.0,,3718247661542342,"Anna R. Martinez, Principal at Dr. M. E. Malakoff Elementary says, THANK YOU to HEB representatives for their donation of goody bags to all teachers.",https://facebook.com/story.php?story_fbid=3718247661542342&id=580002005366939,,0.0,"Anna R. Martinez, Principal at Dr. M. E. Malakoff Elementary says, THANK YOU to HEB representatives for their donation of goody bags to all teachers.",2020-09-16 15:43:05,,
5,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119218644_3717966731570435_4916977758519969120_o.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=Z_gOZYQ1-_wAX-skw9z&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b1fcb8088cb239b40292ec14d4940543&oe=5F89FA14,45.0,,3717966898237085,,https://facebook.com/story.php?story_fbid=3717966898237085&id=580002005366939,,0.0,,2020-09-16 13:49:22,,
6,54.0,,42.0,https://www.uisd.net/,636692570556394,"Instruction in the Time of COVID

Episode 1: Pre-Kinder

With Alex Meza

Special Guests:

-Flor Alfaro, Pre-K Teacher at Juarez-Lincoln Elementary
-Alicia Saucedo, Mom
-Cynthia Rodriguez, Ex. Director for Elementary Education
-Zaida Gonzalez, Director of Elementary Education

Useful Links:

https://www.uisd.net/

Pre-K Family Engagement
https://www.uisd.net/359112_3

Return to School Protocols
https://sites.google.com/uisd.net/rtsp/parents

For more info, please call:
956-473-2023",,,19.0,"Instruction in the Time of COVID

Episode 1: Pre-Kinder

With Alex Meza

Special Guests:

-Flor Alfaro, Pre-K Teacher at Juarez-Lincoln Elementary
-Alicia Saucedo, Mom
-Cynthia Rodriguez, Ex. Director for Elementary Education
-Zaida Gonzalez, Director of Elementary Education

Useful Links:

https://www.uisd.net/

Pre-K Family Engagement
https://www.uisd.net/359112_3

Return to School Protocols
https://sites.google.com/uisd.net/rtsp/parents

For more info, please call:
956-473-2023",2020-09-15 11:00:27,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_246898076605620_3862147541253243658_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=PlNKVo5sIhYAX_GG0fV&_nc_ht=scontent-atl3-1.xx&oh=4198f23673a427ec5ac2b5c3701f34ac&oe=5F8C13B8,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119473617_3713321012035007_4257800652958525395_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=M1hfQOD6plMAX-93h3A&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cdb09605851340aa248bb9c99312bcaa&oe=5F8ABE1C,57.0,,3713323085368133,"The unexpected shift to remote learning has not dulled the spirit of F. D. Roosevelt Elementary School administrators, faculty, and staff. Instead, it was embraced by an enthusiastic group of educators who sprung into action, got creative and developed solutions to keep students learning amid the trying times of the day. Whether virtually from home or from campus, the F.D.R. family continues to stay connected everyday where ""Knowledge is Power""!",https://facebook.com/story.php?story_fbid=3713323085368133&id=580002005366939,,0.0,"The unexpected shift to remote learning has not dulled the spirit of F. D. Roosevelt Elementary School administrators, faculty, and staff. Instead, it was embraced by an enthusiastic group of educators who sprung into action, got creative and developed solutions to keep students learning amid the trying times of the day. Whether virtually from home or from campus, the F.D.R. family continues to stay connected everyday where ""Knowledge is Power""!",2020-09-15 10:10:47,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119659270_3713309312036177_3004498943915575010_o.jpg?_nc_cat=111&_nc_sid=dd9801&_nc_ohc=91Q23grHdFUAX-99J-E&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f9c3ecfb1f6f042560186b8006dbc162&oe=5F89A85D,29.0,,3713310132036095,,,,0.0,,2020-09-15 10:06:44,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119576274_3713302612036847_6300874157348434468_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=d5lrfuZbJ_oAX_9i23I&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b0cd9f3bf14aebc2f31834bc80c727c8&oe=5F8BBD30,13.0,,3713302785370163,,https://facebook.com/story.php?story_fbid=3713302785370163&id=580002005366939,,0.0,,2020-09-15 10:04:47,,
