,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,https://www.youtube.com/channel/UCF0V6-g0q-QtmBsBdK5rNQw,1403378883204461,"Linn Bulldogs JH are hosting the Hanover Blue Jays in Football and Volleyball all the games will be live! Remember if you subscribe to Linn Bulldogs Live channel you will receive notifications of when games are live if you hit the little bell icon.

Linn Bulldogs Live youtube channel: https://www.youtube.com/channel/UCF0V6-g0q-QtmBsBdK5rNQw

Volleyball Stream:
https://www.youtube.com/watch?v=Y5WiSPSDO0M

Football Stream:
https://www.youtube.com/watch?v=myE65MimCko",https://facebook.com/story.php?story_fbid=1403378883204461&id=992671774275176,,0.0,"Linn Bulldogs JH are hosting the Hanover Blue Jays in Football and Volleyball all the games will be live! Remember if you subscribe to Linn Bulldogs Live channel you will receive notifications of when games are live if you hit the little bell icon.

Linn Bulldogs Live youtube channel: https://www.youtube.com/channel/UCF0V6-g0q-QtmBsBdK5rNQw

Volleyball Stream:
https://www.youtube.com/watch?v=Y5WiSPSDO0M

Football Stream:
https://www.youtube.com/watch?v=myE65MimCko",2020-09-10 16:51:41,,
1,0.0,,0.0,,1402265836649099,Due to Jay Lee's route getting stuck her out will be running about 30 minutes late,https://facebook.com/story.php?story_fbid=1402265836649099&id=992671774275176,,0.0,Due to Jay Lee's route getting stuck her out will be running about 30 minutes late,2020-09-09 08:32:56,,
2,0.0,,0.0,https://www.youtube.com/watch?v=6XGyT0ohvXc,1401697030039313,"Here is the LINN BULLDOGS LIVE VOLLEYBALL STREAM! If you would like to receive future notifications of live games subscribe to the youtube channel!

https://www.youtube.com/watch?v=6XGyT0ohvXc",https://facebook.com/story.php?story_fbid=1401697030039313&id=992671774275176,,0.0,"Here is the LINN BULLDOGS LIVE VOLLEYBALL STREAM! If you would like to receive future notifications of live games subscribe to the youtube channel!

https://www.youtube.com/watch?v=6XGyT0ohvXc",2020-09-08 16:51:56,,
3,0.0,,2.0,https://www.usd223.org/article/303372?org=usd-223,1401689036706779,Meal Plan,https://facebook.com/story.php?story_fbid=1401689036706779&id=992671774275176,"USD223.ORG
Meal Plan",0.0,"Meal Plan

USD223.ORG
Meal Plan",2020-09-08 16:33:08,,
4,0.0,,0.0,https://www.usd223.org/article/303266?org=usd-223,1401658113376538,Linn Parking Situation,https://facebook.com/story.php?story_fbid=1401658113376538&id=992671774275176,"USD223.ORG
Linn Parking Situation",0.0,"Linn Parking Situation

USD223.ORG
Linn Parking Situation",2020-09-08 15:35:12,,
5,0.0,,0.0,,1397093493833000,Once again I apologize Claire's route Beyond Evan Meier is going to be running 15 to 20 minutes late due to vehicle breakdownl,https://facebook.com/story.php?story_fbid=1397093493833000&id=992671774275176,,0.0,Once again I apologize Claire's route Beyond Evan Meier is going to be running 15 to 20 minutes late due to vehicle breakdownl,2020-09-03 08:35:56,,
6,0.0,,0.0,,1391025487773134,Claire's route will be running late this morning due to a bus malfunction,https://facebook.com/story.php?story_fbid=1391025487773134&id=992671774275176,,0.0,Claire's route will be running late this morning due to a bus malfunction,2020-08-27 08:00:58,,
7,0.0,,5.0,,1389349331274083,"Due to Road construction along 148, expect extreme delays in student drop off times. Construction is extended from Hwy 15 to Victory road. Any questions or comments please direct them to Tim Mueller (785)-747-6956.",https://facebook.com/story.php?story_fbid=1389349331274083&id=992671774275176,,0.0,"Due to Road construction along 148, expect extreme delays in student drop off times. Construction is extended from Hwy 15 to Victory road. Any questions or comments please direct them to Tim Mueller (785)-747-6956.",2020-08-25 10:47:09,,
8,0.0,,4.0,https://www.usd223.org/article/275017?org=usd-223,1362094643999552,Calendar change,https://facebook.com/story.php?story_fbid=1362094643999552&id=992671774275176,"USD223.ORG
Calendar change",17.0,"Calendar change

USD223.ORG
Calendar change",2020-07-23 17:07:26,,
9,0.0,,1.0,https://www.usd223.org/article/273078?org=usd-223,1359481304260886,Ruacho Family Fundraiser,https://facebook.com/story.php?story_fbid=1359481304260886&id=992671774275176,"USD223.ORG
Ruacho Family Fundraiser",2.0,"Ruacho Family Fundraiser

USD223.ORG
Ruacho Family Fundraiser",2020-07-20 10:01:34,,
