,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119167864_3495714530450126_1188838709992873165_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=mKtTSd7HK9QAX_6EtCE&_nc_ht=scontent-atl3-1.xx&tp=14&oh=bff6b5fa24f01403a79f7b5f027009c0&oe=5F8108CF,27.0,,3495714680450111,Kingman Eagles score big and win big over Wichita Trinity Academy in week 2. Grateful to be playing! Thrilled fo win! Hard work pays off. Beautiful night and blessed to have fans able to watch in person and cheer their Eagles on to victory. #GoEagles,https://facebook.com/story.php?story_fbid=3495714680450111&id=172707546084191,,0.0,Kingman Eagles score big and win big over Wichita Trinity Academy in week 2. Grateful to be playing! Thrilled fo win! Hard work pays off. Beautiful night and blessed to have fans able to watch in person and cheer their Eagles on to victory. #GoEagles,2020-09-12 00:26:44,,
1,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119181747_3495690067119239_9198906214911146798_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=JnFzaor32Z0AX_eKo25&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cecb710f451aff6893318e332a7da7a0&oe=5F835A96,32.0,,3495690287119217,"Wow! What an exciting come-from-begins BIG Win! Norwich over So. Barber 52-50 in final seconds. Long game, Long Drive- WORTH IT!! #GoEagles!",https://facebook.com/story.php?story_fbid=3495690287119217&id=172707546084191,,0.0,"Wow! What an exciting come-from-begins BIG Win! Norwich over So. Barber 52-50 in final seconds. Long game, Long Drive- WORTH IT!! #GoEagles!",2020-09-12 00:13:50,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119083878_3487224017965844_8338802951645588603_n.png?_nc_cat=107&_nc_sid=2d5d41&_nc_ohc=yFsHmzVrXF8AX8XaeUF&_nc_ht=scontent-atl3-1.xx&oh=83bec35db2eb9ace7815701ac8935681&oe=5F82CF19,1.0,http://www.knusd331.com/,3487224011299178,"Attention all community members! Let your voice be heard in the search for our next Superintendent!

All students, Faculty and Staff, and community members are welcome to participate in a Virtual Community Forum with Ray and Associates on Thursday, September 10th, at 10 AM or 6 PM via Zoom. These sessions will allow for a dialogue between our search consultants and groups of staff, students, and community while prioritizing safety during the current pandemic. Visit www.knusd331.com to register to attend one of the forums!

Link for Registration for the 10 AM Session: https://zoom.us/meeting/register/tJwuce-gpz8sG9Q4MnB-PU4yVnNIINxqRTfk
Link for Registration for the 6 PM Session: https://zoom.us/meeting/register/tJIkc-yqqD4rGdAuTtBfNkfKucodJHT047B9",,,0.0,"Attention all community members! Let your voice be heard in the search for our next Superintendent!

All students, Faculty and Staff, and community members are welcome to participate in a Virtual Community Forum with Ray and Associates on Thursday, September 10th, at 10 AM or 6 PM via Zoom. These sessions will allow for a dialogue between our search consultants and groups of staff, students, and community while prioritizing safety during the current pandemic. Visit www.knusd331.com to register to attend one of the forums!

Link for Registration for the 10 AM Session: https://zoom.us/meeting/register/tJwuce-gpz8sG9Q4MnB-PU4yVnNIINxqRTfk
Link for Registration for the 6 PM Session: https://zoom.us/meeting/register/tJIkc-yqqD4rGdAuTtBfNkfKucodJHT047B9",2020-09-09 09:12:03,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119125486_3485627461458833_6348593837234670258_o.jpg?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=JpcDkyhMMuwAX_122rw&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e3fc29b91a7bf752e25d4eeb98e189fb&oe=5F82F10E,14.0,,3485627458125500,"Lady Eagles didn’t get off to the start we wanted, but there were many bright spots. Had to dig out of too many holes.
Glad we got to play. Great fans. Thanks on Senior Night 2020!! #GoEagles",,,0.0,"Lady Eagles didn’t get off to the start we wanted, but there were many bright spots. Had to dig out of too many holes.
Glad we got to play. Great fans. Thanks on Senior Night 2020!! #GoEagles",2020-09-08 21:08:39,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119043708_3485574751464104_7022961020437351572_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=91c2Dvdz2LgAX_WkNHf&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e6dd6145b50ae003926acf266a82e999&oe=5F81391C,4.0,,3485574971464082,Kingman Eagles drop 1st set against Pratt in season opening Triangular. 25-21 in a hard fought battle. #GoEagles,https://facebook.com/story.php?story_fbid=3485574971464082&id=172707546084191,,0.0,Kingman Eagles drop 1st set against Pratt in season opening Triangular. 25-21 in a hard fought battle. #GoEagles,2020-09-08 20:45:38,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118761832_3462742600413986_3439820465710350011_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=Q0yiXr1vuEQAX_4V5S1&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c348809c3dc53ad795a7138535d2c901&oe=5F81EC2D,8.0,,3462742767080636,"Norwich Lady Eagles Varsity AND JV both start their seasons 3-0 with sweeps of both divisions! Awesome Job Eagles!
#GoEagles.",https://facebook.com/story.php?story_fbid=3462742767080636&id=172707546084191,,0.0,"Norwich Lady Eagles Varsity AND JV both start their seasons 3-0 with sweeps of both divisions! Awesome Job Eagles!
#GoEagles.",2020-09-01 21:24:05,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118763766_3462708183750761_998249069302091185_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=nli4hGt3EmcAX-nroEq&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3beab35ea60ba872f92a69301f4b28eb&oe=5F818F34,3.0,,3462708363750743,Eagles are up on Macksville in second set 21-15 in exciting volleyball for Norwich. #GoEagles,https://facebook.com/story.php?story_fbid=3462708363750743&id=172707546084191,,0.0,Eagles are up on Macksville in second set 21-15 in exciting volleyball for Norwich. #GoEagles,2020-09-01 21:08:16,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118694517_3462596250428621_3258911001926443721_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=cB_ZgojYvQAAX-xUrgq&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2eb1df2fe243517c73f8c760f820646b&oe=5F843357,10.0,,3462596413761938,Norwich Eagles varsity Volleyball big win over an always tough Kiowa County Maverick team. Congratulations Lady Eagles. Off to a great start! #GoEagles,https://facebook.com/story.php?story_fbid=3462596413761938&id=172707546084191,,0.0,Norwich Eagles varsity Volleyball big win over an always tough Kiowa County Maverick team. Congratulations Lady Eagles. Off to a great start! #GoEagles,2020-09-01 20:14:38,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118732062_3462533557101557_1257739935550086008_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=i-0adX3_Fl4AX-uBz0x&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9f78721feffe99d235e81f327e77ed5c&oe=5F81E3CC,15.0,,3462533700434876,Norwich varsity wins First match of the season over Hodgman County! Wins 1st set over host Kiowa County - Greensburg.,https://facebook.com/story.php?story_fbid=3462533700434876&id=172707546084191,,0.0,Norwich varsity wins First match of the season over Hodgman County! Wins 1st set over host Kiowa County - Greensburg.,2020-09-01 19:44:28,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118620750_3197248960353326_7090046114345033386_n.png?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=CBu8Z5QsM-kAX9TMRXE&_nc_ht=scontent-atl3-1.xx&oh=0d13b5c971b9273138ff4c6131041650&oe=5F80B308,1.0,,3452606738094239,,https://facebook.com/story.php?story_fbid=3452606738094239&id=172707546084191,"USD 331 Norwich School
August 29 at 2:39 PM ·

Norwich Eagle Fans & Families: If you are planning to follow the Lady Eagles Volleyball, Tuesday, September 1st, please read closely the following document from Kiowa County Schools that outline procedures and guidelines for attendance and admission to the volleyball matches.",0.0,"USD 331 Norwich School
August 29 at 2:39 PM ·

Norwich Eagle Fans & Families: If you are planning to follow the Lady Eagles Volleyball, Tuesday, September 1st, please read closely the following document from Kiowa County Schools that outline procedures and guidelines for attendance and admission to the volleyball matches.",2020-08-29 15:55:41,,
