,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,26.0,,1210762112635468,Great Bulldog Band tribute to our 9/11 heroes.,,,0.0,Great Bulldog Band tribute to our 9/11 heroes.,2020-09-11 21:14:55,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119244659_653987778875687_8225389925466671690_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=wGksLRHzHu8AX8HWWhc&_nc_ht=video-atl3-1.xx&oh=4632bbae57c86f63d9a0090e3fc83cd3&oe=5F5D25B5,
1,0.0,,0.0,,1210378906007122,Here is a great way to help if you have some flexible time in your day.,https://facebook.com/story.php?story_fbid=1210378906007122&id=532899967088356,"Marysville Elementary School
September 10 at 10:04 AM ·

We are looking for someone interested in Lunch and Recess coverage from 11:00am-1:00pm daily. If interested in this position, please contact the Elementary Office. 785-562-3641.",0.0,"Here is a great way to help if you have some flexible time in your day.

Marysville Elementary School
September 10 at 10:04 AM ·

We are looking for someone interested in Lunch and Recess coverage from 11:00am-1:00pm daily. If interested in this position, please contact the Elementary Office. 785-562-3641.",2020-09-11 10:01:38,,
2,0.0,,0.0,,,"We are looking for someone interested in Lunch and Recess coverage from 11:00am-1:00pm daily. If interested in this position, please contact the Elementary Office. 785-562-3641.",https://facebook.com/story.php?story_fbid=2708335799409900&id=1594257690817722,,0.0,"We are looking for someone interested in Lunch and Recess coverage from 11:00am-1:00pm daily. If interested in this position, please contact the Elementary Office. 785-562-3641.",2020-09-12 13:26:29.624669,,
3,0.0,,0.0,,1208107702900909,Varsity Tennis @ Hayden has been cancelled today.,https://facebook.com/story.php?story_fbid=1208107702900909&id=532899967088356,,0.0,Varsity Tennis @ Hayden has been cancelled today.,2020-09-08 12:18:20,,
4,0.0,,2.0,,1208041242907555,The JV TN meet at Manhattan has been postponed today. It has been rescheduled for Sept. 16 at 3:00 pm.,https://facebook.com/story.php?story_fbid=1208041242907555&id=532899967088356,,0.0,The JV TN meet at Manhattan has been postponed today. It has been rescheduled for Sept. 16 at 3:00 pm.,2020-09-08 10:37:02,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118842116_1205152003196479_3555841425593253154_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=4WcC0PKZawQAX-KZC0U&_nc_ht=scontent-atl3-1.xx&tp=14&oh=36eee8344d4647045c71afd132c92162&oe=5F81C854,41.0,,1205152916529721,"Senior night, football, oseewawa, cheerleaders, band Great night fir Bulldog Football. A loss tonight but great things are to come.",https://facebook.com/story.php?story_fbid=1205152916529721&id=532899967088356,,0.0,"Senior night, football, oseewawa, cheerleaders, band Great night fir Bulldog Football. A loss tonight but great things are to come.",2020-09-05 00:48:06,,
6,1.0,,46.0,,1204735113238168,"Great news for our USD 364 families. We received approval this morning for our waiver/request to extend the USDA's Summer Food Service Program for school aged children. This program will start Tuesday, September 8th. It will allow both breakfast and lunch to be FREE for ALL students. The waiver to serve free meals goes until 12/31/2020 or until USDA funds run out. Please join this program. Families choosing to take advantage of such programs helps family budgets...which in the end helps our kids be more successful in school. Again, all families automatically qualify.",https://facebook.com/story.php?story_fbid=1204735113238168&id=532899967088356,,0.0,"Great news for our USD 364 families. We received approval this morning for our waiver/request to extend the USDA's Summer Food Service Program for school aged children. This program will start Tuesday, September 8th. It will allow both breakfast and lunch to be FREE for ALL students. The waiver to serve free meals goes until 12/31/2020 or until USDA funds run out. Please join this program. Families choosing to take advantage of such programs helps family budgets...which in the end helps our kids be more successful in school. Again, all families automatically qualify.",2020-09-04 12:27:20,,
7,0.0,,5.0,https://drive.google.com/file/d/1--UxTxbcivLH73lrVKi-wouAjp2SkwaJ/view?usp=sharing,1204596466585366,"Reminder: Pony Up Marysville is going on NOW at Helvering Center. Your donation to the USD 364's Foundation or one of many other great supports for our community will be doubled if you make that today. For more information or to donate online, go to:
https://drive.google.com/file/d/1--UxTxbcivLH73lrVKi-wouAjp2SkwaJ/view?usp=sharing

www.ponyupmarysville.com",https://facebook.com/story.php?story_fbid=1204596466585366&id=532899967088356,"DRIVE.GOOGLE.COM
Pony Up.pdf",0.0,"Reminder: Pony Up Marysville is going on NOW at Helvering Center. Your donation to the USD 364's Foundation or one of many other great supports for our community will be doubled if you make that today. For more information or to donate online, go to:
https://drive.google.com/file/d/1--UxTxbcivLH73lrVKi-wouAjp2SkwaJ/view?usp=sharing

www.ponyupmarysville.com

DRIVE.GOOGLE.COM
Pony Up.pdf",2020-09-04 09:17:02,,
8,1.0,,8.0,https://www.usd364.org/article/300780?org=district,1204048813306798,JH Football v. Riley County,https://facebook.com/story.php?story_fbid=1204048813306798&id=532899967088356,"USD364.ORG
JH Football v. Riley County",5.0,"JH Football v. Riley County

USD364.ORG
JH Football v. Riley County",2020-09-03 17:09:25,,
9,0.0,,0.0,,1204017299976616,VOLLEYBALL PARENTS AND FANS: Please share this hyperlink for a live broadcast of tonight's volleyball games at Riley County: https://www.facebook.com/events/s/volleyball-triangular/237382587581837/?ti=ia,https://facebook.com/story.php?story_fbid=1204017299976616&id=532899967088356,"THU, SEP 3
Volleyball Triangular",0.0,"VOLLEYBALL PARENTS AND FANS: Please share this hyperlink for a live broadcast of tonight's volleyball games at Riley County: https://www.facebook.com/events/s/volleyball-triangular/237382587581837/?ti=ia

THU, SEP 3
Volleyball Triangular",2020-09-03 16:08:32,,
10,0.0,,4.0,,1203087113402968,For all Football games this year. Everyone will need to enter on the East side (12th Street) of the stadium due to construction.,https://facebook.com/story.php?story_fbid=1203087113402968&id=532899967088356,,0.0,For all Football games this year. Everyone will need to enter on the East side (12th Street) of the stadium due to construction.,2020-09-02 14:48:22,,
11,1.0,,8.0,https://cutt.ly/5fzOtUA,1202135273498152,,https://facebook.com/story.php?story_fbid=1202135273498152&id=532899967088356,,2.0,,2020-09-01 13:06:28,,
12,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118436179_1199593750418971_1955720410001236563_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=_jlDqBvmNv8AX9hVpDi&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8e47c5458ccd4be10f366b7c77a47558&oe=5F838673,27.0,,1199599470418399,"Great turn out of supporters for our kids, schools, and the future greenhouse/ag complex. Impressive! Thanks so much. Donations today put us on a great pace to fully fund the greenhouse addition. Please watch for your next opportunity to help out. Thanks again to our organizers, supporters and the Marysville Country Club for hosting.",https://facebook.com/story.php?story_fbid=1199599470418399&id=532899967088356,,0.0,"Great turn out of supporters for our kids, schools, and the future greenhouse/ag complex. Impressive! Thanks so much. Donations today put us on a great pace to fully fund the greenhouse addition. Please watch for your next opportunity to help out. Thanks again to our organizers, supporters and the Marysville Country Club for hosting.",2020-08-29 15:45:07,,
