,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119269192_3308944385815332_7218353607235442480_o.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=CxqOIw1e-UYAX97wLx8&_nc_ht=scontent-atl3-1.xx&tp=14&oh=bf549ce1ad4ac580b5e226418d2a900d&oe=5F810BCF,45.0,,3308944439148660,"May we never forget.

9/11/2001

🇺🇸",https://facebook.com/story.php?story_fbid=3308944439148660&id=183160831727052,,0.0,"May we never forget.

9/11/2001

🇺🇸",2020-09-11 19:13:00,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119092576_3302345273141910_2999545788374962508_n.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=ORLsutDSG5AAX_y8X5o&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a223975600b0f2c9fac3d08c02f363bb&oe=5F844FEE,4.0,,3308095795900191,"UPDATED 12:30 PM, FRIDAY, SEPTEMBER 11, 2020

Due to unforeseen circumstances, Tift County has cancelled tonight's game.

Anyone who purchased tickets for the game against the Tift County Blue Devils can receive a refund. Please bring your tickets to the Bazemore-Hyder ticket booth Monday, September 14 through Wednesday, September 16, from 9 to 11 am or 1 to 3 pm for your refund. No refunds will be given to anyone without their tickets or after September 16.",https://facebook.com/story.php?story_fbid=3308095795900191&id=183160831727052,"Valdosta City Schools
September 9 at 5:31 PM ·

Valdosta High School will play the Tift County Blue Devils in Tifton at Brodie Field on Friday, September 11, with a 7:30 pm kick off.

All seats for this game will be general admission and tickets are $10 each. Tickets went on sale Tuesday, September 8 in the Wildcat Ticket Office located at 1204 Williams Street. The ticket office will be open this week Tuesday through Friday from 8:00 am until 1:00 pm. Tift County requires that every visitor wear a mask as they enter their stadium. Additionally, they do not allow live streaming.

As a reminder, student season tickets also went on sale Tuesday, September 8, at the Wildcat Ticket Office. The student season ticket packet includes five (5) home game tickets and are $25 a set. Parents can purchase the tickets for their student(s). Valdosta High School will provide a complete, current list of all students enrolled in grades 9 - 12 to the ticket office for student verification since the ticket sales will not be done on campus.",4.0,"UPDATED 12:30 PM, FRIDAY, SEPTEMBER 11, 2020

Due to unforeseen circumstances, Tift County has cancelled tonight's game.

Anyone who purchased tickets for the game against the Tift County Blue Devils can receive a refund. Please bring your tickets to the Bazemore-Hyder ticket booth Monday, September 14 through Wednesday, September 16, from 9 to 11 am or 1 to 3 pm for your refund. No refunds will be given to anyone without their tickets or after September 16.

Valdosta City Schools
September 9 at 5:31 PM ·

Valdosta High School will play the Tift County Blue Devils in Tifton at Brodie Field on Friday, September 11, with a 7:30 pm kick off.

All seats for this game will be general admission and tickets are $10 each. Tickets went on sale Tuesday, September 8 in the Wildcat Ticket Office located at 1204 Williams Street. The ticket office will be open this week Tuesday through Friday from 8:00 am until 1:00 pm. Tift County requires that every visitor wear a mask as they enter their stadium. Additionally, they do not allow live streaming.

As a reminder, student season tickets also went on sale Tuesday, September 8, at the Wildcat Ticket Office. The student season ticket packet includes five (5) home game tickets and are $25 a set. Parents can purchase the tickets for their student(s). Valdosta High School will provide a complete, current list of all students enrolled in grades 9 - 12 to the ticket office for student verification since the ticket sales will not be done on campus.",2020-09-11 12:52:07,,
2,0.0,,17.0,https://www.readwithmalcolm.com/readmarathon/,3305772979465806,,https://facebook.com/story.php?story_fbid=3305772979465806&id=183160831727052,"Read with Malcolm - Share the Magic Foundation
September 8 at 10:54 AM ·

Registration for #READMarathon: The Free Virtual Reading Stamina & Endurance Challenge for Kids is now OPEN!

The 📚 Race Begins October 6 - will feature a 26.2 Day Reading Course & Playlist - Finish Line November 1.

Info & Register your kids through 10/6 at: https://www.readwithmalcolm.com/readmarathon/",5.0,"Read with Malcolm - Share the Magic Foundation
September 8 at 10:54 AM ·

Registration for #READMarathon: The Free Virtual Reading Stamina & Endurance Challenge for Kids is now OPEN!

The 📚 Race Begins October 6 - will feature a 26.2 Day Reading Course & Playlist - Finish Line November 1.

Info & Register your kids through 10/6 at: https://www.readwithmalcolm.com/readmarathon/",2020-09-10 20:20:46,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119029296_1020050185091172_2184320212976086502_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=nOHJL1ciaOMAX8uAN_I&_nc_ht=video-atl3-1.xx&oh=10938d347db6fd0e779ecf0973728132&oe=5F5D6416,
3,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119092576_3302345273141910_2999545788374962508_n.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=ORLsutDSG5AAX_y8X5o&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a223975600b0f2c9fac3d08c02f363bb&oe=5F844FEE,22.0,,3302345626475208,"Valdosta High School will play the Tift County Blue Devils in Tifton at Brodie Field on Friday, September 11, with a 7:30 pm kick off.

All seats for this game will be general admission and tickets are $10 each. Tickets went on sale Tuesday, September 8 in the Wildcat Ticket Office located at 1204 Williams Street. The ticket office will be open this week Tuesday through Friday from 8:00 am until 1:00 pm. Tift County requires that every visitor wear a mask as they enter their stadium. Additionally, they do not allow live streaming.

As a reminder, student season tickets also went on sale Tuesday, September 8, at the Wildcat Ticket Office. The student season ticket packet includes five (5) home game tickets and are $25 a set. Parents can purchase the tickets for their student(s). Valdosta High School will provide a complete, current list of all students enrolled in grades 9 - 12 to the ticket office for student verification since the ticket sales will not be done on campus.",https://facebook.com/story.php?story_fbid=3302345626475208&id=183160831727052,,0.0,"Valdosta High School will play the Tift County Blue Devils in Tifton at Brodie Field on Friday, September 11, with a 7:30 pm kick off.

All seats for this game will be general admission and tickets are $10 each. Tickets went on sale Tuesday, September 8 in the Wildcat Ticket Office located at 1204 Williams Street. The ticket office will be open this week Tuesday through Friday from 8:00 am until 1:00 pm. Tift County requires that every visitor wear a mask as they enter their stadium. Additionally, they do not allow live streaming.

As a reminder, student season tickets also went on sale Tuesday, September 8, at the Wildcat Ticket Office. The student season ticket packet includes five (5) home game tickets and are $25 a set. Parents can purchase the tickets for their student(s). Valdosta High School will provide a complete, current list of all students enrolled in grades 9 - 12 to the ticket office for student verification since the ticket sales will not be done on campus.",2020-09-09 17:31:13,,
4,9.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119137740_3301592739883830_5218288842325386171_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=_oWthl-5NGkAX-UGgcs&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b8a619091c1ddb7b1c6160f3ed216239&oe=5F83BADA,32.0,,3301594119883692,"Meal service for virtual students began on Tuesday, September 8, 2020, these students must be enrolled in the Valdosta City School System. Meals may be picked up at any of the following drive thru locations/designated areas listed below.",https://facebook.com/story.php?story_fbid=3301594119883692&id=183160831727052,,0.0,"Meal service for virtual students began on Tuesday, September 8, 2020, these students must be enrolled in the Valdosta City School System. Meals may be picked up at any of the following drive thru locations/designated areas listed below.",2020-09-09 11:48:18,,
5,25.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118963046_10158501101150928_1959434429808318015_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=DJ7d3F-jxaUAX_RT6nx&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8a9b6246f8b9c3ef94031a4caad55e89&oe=5F847C83,135.0,https://bit.ly/35igBs4,3298971486812622,"We are so proud to have Dr. Johnnie Marshall as a leader in Valdosta City Schools! His entire career has been devoted to the students of Valdosta Early College Academy. Thanks for all that you do, Dr. Marshall!",https://facebook.com/story.php?story_fbid=3298971486812622&id=183160831727052,"Valdosta State University
September 8 at 3:15 PM ·

In the span of a decade, Johnnie Marshall Jr. has gone from student observer to transformational leader, from standing at the helm of his own classroom to standing on the frontlines of a national conversation about effective leadership and education reform.

Marshall is a three-time VSU graduate who currently serves as principal of VECA, a partnership between VSU and the Valdosta City School System offering small, student-centered, rigorous learning communities that provide early access to higher education for first-generation college students.
MORE: bit.ly/35igBs4

#VState",12.0,"We are so proud to have Dr. Johnnie Marshall as a leader in Valdosta City Schools! His entire career has been devoted to the students of Valdosta Early College Academy. Thanks for all that you do, Dr. Marshall!

Valdosta State University
September 8 at 3:15 PM ·

In the span of a decade, Johnnie Marshall Jr. has gone from student observer to transformational leader, from standing at the helm of his own classroom to standing on the frontlines of a national conversation about effective leadership and education reform.

Marshall is a three-time VSU graduate who currently serves as principal of VECA, a partnership between VSU and the Valdosta City School System offering small, student-centered, rigorous learning communities that provide early access to higher education for first-generation college students.
MORE: bit.ly/35igBs4

#VState",2020-09-08 15:47:50,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118960449_10159230459440992_3016276341985063562_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=YRKsbkBL_NYAX8KxdR7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=991456d079c034e680029cf83d8bef48&oe=5F8435E0,75.0,,3298756963500741,"Thank you South Georgia Medical Center and South Georgia Medical Center Foundation, Inc. for your generous donation of masks! The Community Partners in Education program will gladly share them with our VCS family. This was the perfect #VCSFirstDay surprise!",https://facebook.com/story.php?story_fbid=3298756963500741&id=183160831727052,"South Georgia Medical Center Foundation, Inc.
September 8 at 12:19 PM ·

Today we distributed 1,500 reusable masks to the city and county school systems. We are thankful to be able to give back to our school systems that are going through a challenging transition during this time. Over 75 community members, businesses, and organizations stepped up to make this initiative a success! Thank you to our generous donors and these wonderful community partners.

#SGMC10kMaskChallenge #Remarkablepeople",2.0,"Thank you South Georgia Medical Center and South Georgia Medical Center Foundation, Inc. for your generous donation of masks! The Community Partners in Education program will gladly share them with our VCS family. This was the perfect #VCSFirstDay surprise!

South Georgia Medical Center Foundation, Inc.
September 8 at 12:19 PM ·

Today we distributed 1,500 reusable masks to the city and county school systems. We are thankful to be able to give back to our school systems that are going through a challenging transition during this time. Over 75 community members, businesses, and organizations stepped up to make this initiative a success! Thank you to our generous donors and these wonderful community partners.

#SGMC10kMaskChallenge #Remarkablepeople",2020-09-08 14:13:12,,
7,85.0,,141.0,,3297741540268950,"Today, September 8, is the first day of school for the 2020-2021 school year. As of today, our students have been out of our buildings for almost 6 months. We cannot begin to describe how excited we are to see everyone today!

As we all get acclimated to this return, please remember that we are all working through this “new normal” together. We are all looking to give and receive extra patience, grace and understanding.

Thank you for entrusting us with your most prized possession(s), your children. We are looking forward to a great school year at VCS.

Tag us in your #VCSFirstDay pics whether they are virtual or in-person. Welcome back!!",https://facebook.com/story.php?story_fbid=3297741540268950&id=183160831727052,,0.0,"Today, September 8, is the first day of school for the 2020-2021 school year. As of today, our students have been out of our buildings for almost 6 months. We cannot begin to describe how excited we are to see everyone today!

As we all get acclimated to this return, please remember that we are all working through this “new normal” together. We are all looking to give and receive extra patience, grace and understanding.

Thank you for entrusting us with your most prized possession(s), your children. We are looking forward to a great school year at VCS.

Tag us in your #VCSFirstDay pics whether they are virtual or in-person. Welcome back!!",2020-09-08 07:36:12,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119000671_3295169583859479_7772720037319931712_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=Hw5sD9P52vwAX_YC0y5&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ad6614f601d7f3185f9c66d7fca4ebb9&oe=5F82F8C0,24.0,,3295174187192352,"We hope everyone enjoys their final day of vacation before returning to school tomorrow, September 8.

We look forward to seeing everyone back in class either virtually or in-person.",https://facebook.com/story.php?story_fbid=3295174187192352&id=183160831727052,,0.0,"We hope everyone enjoys their final day of vacation before returning to school tomorrow, September 8.

We look forward to seeing everyone back in class either virtually or in-person.",2020-09-07 11:10:54,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118793442_3285563278153443_1060211697771649040_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=YYowwYeNJC0AX_fVNcO&_nc_ht=scontent-atl3-1.xx&tp=14&oh=aa1ffbd308f6291fe864f180a338a690&oe=5F833C1C,43.0,,3285584174818020,"As we prepare to come back to school on Tuesday, September 8 we encourage everyone to conduct daily health assessments before coming to school.

We are so excited to see everyone in our buildings again next week, but lets #StaySafetoStayOpen.",https://facebook.com/story.php?story_fbid=3285584174818020&id=183160831727052,,0.0,"As we prepare to come back to school on Tuesday, September 8 we encourage everyone to conduct daily health assessments before coming to school.

We are so excited to see everyone in our buildings again next week, but lets #StaySafetoStayOpen.",2020-09-04 08:51:08,,
