,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,11.0,,44.0,,689129895025360,Congratulations to Mariah Gardner on setting the Wallace school girls cross country record at the Chase County Invite yesterday with a time of 22:12.9!!,https://facebook.com/story.php?story_fbid=689129895025360&id=351918102079876,,0.0,Congratulations to Mariah Gardner on setting the Wallace school girls cross country record at the Chase County Invite yesterday with a time of 22:12.9!!,2020-09-11 12:13:13,,
1,0.0,,1.0,https://www.whscats.org/article/305780?org=wallace-public-school,689118698359813,Child Find Screenings,https://facebook.com/story.php?story_fbid=689118698359813&id=351918102079876,"WHSCATS.ORG
Child Find Screenings",2.0,"Child Find Screenings

WHSCATS.ORG
Child Find Screenings",2020-09-11 11:55:03,,
2,0.0,,3.0,,688373271767689,Cross Country will be competing at the Chase County Invite today (9/10) starting at 4:30 CT. Good luck to the runners!,https://facebook.com/story.php?story_fbid=688373271767689&id=351918102079876,,0.0,Cross Country will be competing at the Chase County Invite today (9/10) starting at 4:30 CT. Good luck to the runners!,2020-09-10 12:02:04,,
3,0.0,,1.0,,688372608434422,VB & FB @ Minatare Friday (9/11). JV VB @ 4:00CT followed by varsity. FB @ 7:00CT. Masks and social distancing are required at Minatare VB & FB games. Go Cats!,https://facebook.com/story.php?story_fbid=688372608434422&id=351918102079876,,0.0,VB & FB @ Minatare Friday (9/11). JV VB @ 4:00CT followed by varsity. FB @ 7:00CT. Masks and social distancing are required at Minatare VB & FB games. Go Cats!,2020-09-10 12:00:54,,
4,0.0,,5.0,,687706311834385,"Calendar Change:

Wallace Public Schools will have an early dismissal on Friday, September 11th @ 12:45 pm.",https://facebook.com/story.php?story_fbid=687706311834385&id=351918102079876,,0.0,"Calendar Change:

Wallace Public Schools will have an early dismissal on Friday, September 11th @ 12:45 pm.",2020-09-09 12:27:37,,
5,0.0,,0.0,,686977301907286,Virtual Financial Aid Program on September 9th at 6:30 p.m. Zoom link has been emailed to the Senior students and parents.,https://facebook.com/story.php?story_fbid=686977301907286&id=351918102079876,,0.0,Virtual Financial Aid Program on September 9th at 6:30 p.m. Zoom link has been emailed to the Senior students and parents.,2020-09-08 11:39:56,,
6,0.0,,6.0,,686951441909872,"Volleyball triangular in Wallace this evening! Starting at 5:00 CT will be Wallace and Hitchcock County, followed by Perkins County and Hitchcock County, concluding with Wallace and Perkins County. Go Blue!",https://facebook.com/story.php?story_fbid=686951441909872&id=351918102079876,,0.0,"Volleyball triangular in Wallace this evening! Starting at 5:00 CT will be Wallace and Hitchcock County, followed by Perkins County and Hitchcock County, concluding with Wallace and Perkins County. Go Blue!",2020-09-08 10:57:23,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118762624_682745718997111_1747316762369270724_n.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=0y6Lltgx34gAX-Y2zLV&_nc_oc=AQmAW5uXl7zobw_TgEnwEEPhTe38biJ1qkmBZdtRdFjY636MItGaT52nqodVgs2exT0&_nc_ht=scontent-atl3-1.xx&tp=14&oh=30131d71fb07d11704ac5a520b72a4a5&oe=5F850F51,10.0,,682745902330426,Jamestown building in the 8th grade,https://facebook.com/story.php?story_fbid=682745902330426&id=351918102079876,,0.0,Jamestown building in the 8th grade,2020-09-02 12:52:12,,
8,0.0,,1.0,,682710259000657,JH VB (2:00) and JH FB (3:30) today in Hayes Center! Masks are asked to be worn when social distancing can’t be maintained. Go Cats!,https://facebook.com/story.php?story_fbid=682710259000657&id=351918102079876,,0.0,JH VB (2:00) and JH FB (3:30) today in Hayes Center! Masks are asked to be worn when social distancing can’t be maintained. Go Cats!,2020-09-02 11:52:48,,
9,0.0,,0.0,,681451582459858,HS VB Tuesday at Stapleton. JV starting at 5:00 with varsity to follow. Go Cats! (Masks are recommended but not required in Stapleton. Temperatures will be checked upon arrival. Social distancing is asked to be maintained).,https://facebook.com/story.php?story_fbid=681451582459858&id=351918102079876,,0.0,HS VB Tuesday at Stapleton. JV starting at 5:00 with varsity to follow. Go Cats! (Masks are recommended but not required in Stapleton. Temperatures will be checked upon arrival. Social distancing is asked to be maintained).,2020-08-31 20:36:59,,
10,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118698828_681127512492265_644261221240346944_o.jpg?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=gpI2dp1J-ekAX9SO8Yq&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ecda4ab4fa25509381f7ea0617529709&oe=5F846A11,6.0,,681127505825599,Wallace Varsity Football!!! Come help the Junior class celebrate the return of Wallace Varsity Football 🏈!!! The Juniors will be selling balloons for $1 on the football field to be released after the first Wallace touch down.,,,0.0,Wallace Varsity Football!!! Come help the Junior class celebrate the return of Wallace Varsity Football 🏈!!! The Juniors will be selling balloons for $1 on the football field to be released after the first Wallace touch down.,2020-08-31 09:54:04,,
