,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,2.0,,3535328479830773,,https://facebook.com/story.php?story_fbid=3535328479830773&id=167515016612153,"Othello Fair
Yesterday at 9:37 AM ·

Buyers: All auction animals will be housed at the Adams County Fairgrounds. They are available for viewing on Saturday 8am - 11 am. Please practice social distancing if you choose to come see them. The Auction is being held at Schmidt's sale barn, 1890 W Hatton Rd. We will be open for buyer registration and bidder # pickup at 11. There will be food starting at 11 as well. The Auction will start at 12 pm. We will post the sale order as quickly as we can after weigh in. If you would like to just do add-ons please contact us at acflivestock@gmail.com. We look forward to a busy sale day and hope to see you there!",0.0,"Othello Fair
Yesterday at 9:37 AM ·

Buyers: All auction animals will be housed at the Adams County Fairgrounds. They are available for viewing on Saturday 8am - 11 am. Please practice social distancing if you choose to come see them. The Auction is being held at Schmidt's sale barn, 1890 W Hatton Rd. We will be open for buyer registration and bidder # pickup at 11. There will be food starting at 11 as well. The Auction will start at 12 pm. We will post the sale order as quickly as we can after weigh in. If you would like to just do add-ons please contact us at acflivestock@gmail.com. We look forward to a busy sale day and hope to see you there!",2020-09-17 14:23:05,,
1,0.0,,0.0,,,"Buyers: All auction animals will be housed at the Adams County Fairgrounds. They are available for viewing on Saturday 8am - 11 am. Please practice social distancing if you choose to come see them. The Auction is being held at Schmidt's sale barn, 1890 W Hatton Rd. We will be open for buyer registration and bidder # pickup at 11. There will be food starting at 11 as well. The Auction will start at 12 pm. We will post the sale order as quickly as we can after weigh in. If you would like to just do add-ons please contact us at acflivestock@gmail.com. We look forward to a busy sale day and hope to see you there!",https://facebook.com/story.php?story_fbid=3949444235071487&id=159686650713950,,0.0,"Buyers: All auction animals will be housed at the Adams County Fairgrounds. They are available for viewing on Saturday 8am - 11 am. Please practice social distancing if you choose to come see them. The Auction is being held at Schmidt's sale barn, 1890 W Hatton Rd. We will be open for buyer registration and bidder # pickup at 11. There will be food starting at 11 as well. The Auction will start at 12 pm. We will post the sale order as quickly as we can after weigh in. If you would like to just do add-ons please contact us at acflivestock@gmail.com. We look forward to a busy sale day and hope to see you there!",2020-09-18 23:18:06.315617,,
2,0.0,,9.0,,3534949439868677,"Warden Elementary School Parents, the Elementary School has math books to hand out to all students in the first through fifth grades. We will be handing them out on Thursday, September 17th and Friday, September 18th from 10:00 AM to 1:00 PM. Please drive through the elementary drive loop and they will delivered to your car. Please do not get out of your car. Thank you.",https://facebook.com/story.php?story_fbid=3534949439868677&id=167515016612153,,0.0,"Warden Elementary School Parents, the Elementary School has math books to hand out to all students in the first through fifth grades. We will be handing them out on Thursday, September 17th and Friday, September 18th from 10:00 AM to 1:00 PM. Please drive through the elementary drive loop and they will delivered to your car. Please do not get out of your car. Thank you.",2020-09-17 11:54:15,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119170526_3517789988273259_7755715072325780004_n.png?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=t43-G4H8nZQAX86jIKn&_nc_ht=scontent-atl3-1.xx&oh=00ca3a3234597e7cfe668769a5a7f09f&oe=5F8C2B81,1.0,http://granthealth.org/updates-for-covid-19-in-grant-county/,3529778813719073,,https://facebook.com/story.php?story_fbid=3529778813719073&id=167515016612153,,0.0,,2020-09-15 20:21:34,,
4,0.0,,6.0,,3492730927423862,"The Warden School District will be continuing the Summer Food Service Program (SFSP). All children up to 18 years of age can receive meals. If you wish to receive meals, please call: (509) 349-1872.",https://facebook.com/story.php?story_fbid=3492730927423862&id=167515016612153,,0.0,"The Warden School District will be continuing the Summer Food Service Program (SFSP). All children up to 18 years of age can receive meals. If you wish to receive meals, please call: (509) 349-1872.",2020-09-04 11:13:45,,
5,1.0,,11.0,,3479662738730681,"Good morning, Warden! Beginning the first day of school, September, 2nd, meals will be handed out from the concession stand Monday – Friday 10:00 a.m. – 1:00 p.m. to registered Warden School District students only. Students and parents picking up meals will need to know each student’s lunch number and name. It’s been a while since we’ve had to use those lunch numbers, so plan for a little extra time and patience the first few days for staff to help look up lunch numbers for those who have forgotten. See you this Wednesday!",https://facebook.com/story.php?story_fbid=3479662738730681&id=167515016612153,,0.0,"Good morning, Warden! Beginning the first day of school, September, 2nd, meals will be handed out from the concession stand Monday – Friday 10:00 a.m. – 1:00 p.m. to registered Warden School District students only. Students and parents picking up meals will need to know each student’s lunch number and name. It’s been a while since we’ve had to use those lunch numbers, so plan for a little extra time and patience the first few days for staff to help look up lunch numbers for those who have forgotten. See you this Wednesday!",2020-08-31 11:33:58,,
6,0.0,,3.0,https://www2.ncrdc.wa-k12.net/scripts/cgiip.exe/WService=wwardens71/fwemnu01.w,3462079963822292,"Today was our first day for students to pick up technology, textbooks and school information and materials for the new school year. We are strongly encouraging parents to use the online registration process in Skyward before they come to pick up things. It will save you a lot of time! If you do not know your Skyward username or have not set up a password, please call one of the building secretaries and they can help you. The phone numbers are: Elementary- 349-2311, Middle - 349-2902 and High - 349-2581. The weblink for Skyward Family Access is https://www2.ncrdc.wa-k12.net/scripts/cgiip.exe/WService=wwardens71/fwemnu01.w",https://facebook.com/story.php?story_fbid=3462079963822292&id=167515016612153,"WWW2.NCRDC.WA-K12.NET
Skyward: Loading page... (05.20.06.00.05)",5.0,"Today was our first day for students to pick up technology, textbooks and school information and materials for the new school year. We are strongly encouraging parents to use the online registration process in Skyward before they come to pick up things. It will save you a lot of time! If you do not know your Skyward username or have not set up a password, please call one of the building secretaries and they can help you. The phone numbers are: Elementary- 349-2311, Middle - 349-2902 and High - 349-2581. The weblink for Skyward Family Access is https://www2.ncrdc.wa-k12.net/scripts/cgiip.exe/WService=wwardens71/fwemnu01.w

WWW2.NCRDC.WA-K12.NET
Skyward: Loading page... (05.20.06.00.05)",2020-08-25 21:12:09,,
7,7.0,,4.0,https://www2.ncrdc.wa-k12.net/scripts/cgiip.exe/WService=wwardens71/fwemnu01.w,3443887338974888,,https://facebook.com/story.php?story_fbid=3443887338974888&id=167515016612153,,15.0,,2020-08-19 21:30:54,,
8,4.0,,35.0,,3430707800292842,"The Warden School District would like to welcome Mr. Chris Lupo as our new High School Principal. Mr. Lupo recently moved back to Moses Lake from the Duvall area where he was a principal for the Riverview School District. Chris was a teacher in the Warden Elementary School for a number of years, early in his teaching career, and remembers having several of our current staff when they were in elementary school! Welcome back to Warden, Mr Lupo!",https://facebook.com/story.php?story_fbid=3430707800292842&id=167515016612153,,0.0,"The Warden School District would like to welcome Mr. Chris Lupo as our new High School Principal. Mr. Lupo recently moved back to Moses Lake from the Duvall area where he was a principal for the Riverview School District. Chris was a teacher in the Warden Elementary School for a number of years, early in his teaching career, and remembers having several of our current staff when they were in elementary school! Welcome back to Warden, Mr Lupo!",2020-08-15 14:20:27,,
9,7.0,,24.0,,3418791134817842,,https://facebook.com/story.php?story_fbid=3418791134817842&id=167515016612153,,0.0,,2020-08-11 17:19:01,,
10,0.0,,17.0,,3382974811732808,"At the end of July, 2020 the Warden School District (WSD) Technology Department will begin overhauling all of the WSD websites beginning with Elementary, Middle, and High Schools. During the overhaul, the sites will be inaccessible and service of the sites is not expected to resume until mid September. The main WSD site will remain in operation to continue to provide information and services. Updates regarding the schools will be made available on the District website, as well as some updates for the community will be made here, on the WSD Facebook page.

We look forward to presenting contemporary websites that are more feature rich and streamlined to navigate in hopes of better serving the Warden Community and stakeholders. Thank you for your patience and understanding while we are hard at work on the websites and preparing for the coming school year. Stay safe, stay healthy, and Go Cougs! Warden School District Technology Department",https://facebook.com/story.php?story_fbid=3382974811732808&id=167515016612153,,0.0,"At the end of July, 2020 the Warden School District (WSD) Technology Department will begin overhauling all of the WSD websites beginning with Elementary, Middle, and High Schools. During the overhaul, the sites will be inaccessible and service of the sites is not expected to resume until mid September. The main WSD site will remain in operation to continue to provide information and services. Updates regarding the schools will be made available on the District website, as well as some updates for the community will be made here, on the WSD Facebook page.

We look forward to presenting contemporary websites that are more feature rich and streamlined to navigate in hopes of better serving the Warden Community and stakeholders. Thank you for your patience and understanding while we are hard at work on the websites and preparing for the coming school year. Stay safe, stay healthy, and Go Cougs! Warden School District Technology Department",2020-07-30 14:51:28,,
11,1.0,,4.0,https://www.warden.wednet.edu/wsd-reopening-information-please-scroll-through-the-page-for-updates-83cb0331,3374594815904141,The Warden School District has added some updates and information on the WSD Reopening Information page on their district website. https://www.warden.wednet.edu/wsd-reopening-information-please-scroll-through-the-page-for-updates-83cb0331,https://facebook.com/story.php?story_fbid=3374594815904141&id=167515016612153,"WARDEN.WEDNET.EDU
WSD REOPENING INFORMATION - Please scroll through the page for updates - Warden School District",3.0,"The Warden School District has added some updates and information on the WSD Reopening Information page on their district website. https://www.warden.wednet.edu/wsd-reopening-information-please-scroll-through-the-page-for-updates-83cb0331

WARDEN.WEDNET.EDU
WSD REOPENING INFORMATION - Please scroll through the page for updates - Warden School District",2020-07-27 18:32:07,,
12,0.0,,20.0,,3374027819294174,,https://facebook.com/story.php?story_fbid=3374027819294174&id=167515016612153,,0.0,,2020-07-27 13:46:18,,
13,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116057548_3373978335965789_6757796652499733018_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=pYaHlP_xdKYAX-BScTQ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=976bf1136b4c9d7704ef76afecc80c76&oe=5F8A5777,16.0,,3373980242632265,Congratulations to the Graduating Class of 2020!,https://facebook.com/story.php?story_fbid=3373980242632265&id=167515016612153,,0.0,Congratulations to the Graduating Class of 2020!,2020-07-27 13:25:13,,
14,0.0,,8.0,,3362719807091642,"Seniors,
Here are some final details and reminders about graduation:

• Decorate your vehicle before arriving at the Annex for the parade (social distancing guidelines apply)
• Wear your cap gown, stole and tassel
• Make sure family vehicle (not graduate vehicle) has parking pass or they will not be allowed admittance to the ceremony
• Only normal passenger vehicles (cars, pickups suvs vans). No buses, trailers, or farm equipment
• Remember everyone must stay in their vehicles except the graduate when they are receiving their diploma
• There will not be restroom facilities available on campus
• Livestream will be available on the District and High School webpages for community and family who are unable to attend
• This information will also be available in student email

We look forward to celebrating with you!!",https://facebook.com/story.php?story_fbid=3362719807091642&id=167515016612153,,0.0,"Seniors,
Here are some final details and reminders about graduation:

• Decorate your vehicle before arriving at the Annex for the parade (social distancing guidelines apply)
• Wear your cap gown, stole and tassel
• Make sure family vehicle (not graduate vehicle) has parking pass or they will not be allowed admittance to the ceremony
• Only normal passenger vehicles (cars, pickups suvs vans). No buses, trailers, or farm equipment
• Remember everyone must stay in their vehicles except the graduate when they are receiving their diploma
• There will not be restroom facilities available on campus
• Livestream will be available on the District and High School webpages for community and family who are unable to attend
• This information will also be available in student email

We look forward to celebrating with you!!",2020-07-23 15:44:35,,
15,0.0,,3.0,https://www.warden.wednet.edu/,3346129175417372,"Parents and Students,

The Warden School District has updated their website - https://www.warden.wednet.edu with information about reopening school in September. We have also posted a link to a second survey
with a few questions to help us with planning. The website will be updated at the end of each week as we approve plans and make information available to our school families. Please take a moment to view the website reopening update page and click on the link for the survey. Please use the translation feature of your web browser to translate the webpage or survey to Spanish. Link to survey - https://forms.office.com/Pages/ResponsePage.aspx?id=PlZWoY3-tEiySowT1jWwQ3euqc-Nig5Ipa_b2aGsHEFUNTVPVUg1REJGWFkxTUU2UjY2VFhMSTFUTy4u",https://facebook.com/story.php?story_fbid=3346129175417372&id=167515016612153,"FORMS.OFFICE.COM
Microsoft Forms",10.0,"Parents and Students,

The Warden School District has updated their website - https://www.warden.wednet.edu with information about reopening school in September. We have also posted a link to a second survey
with a few questions to help us with planning. The website will be updated at the end of each week as we approve plans and make information available to our school families. Please take a moment to view the website reopening update page and click on the link for the survey. Please use the translation feature of your web browser to translate the webpage or survey to Spanish. Link to survey - https://forms.office.com/Pages/ResponsePage.aspx?id=PlZWoY3-tEiySowT1jWwQ3euqc-Nig5Ipa_b2aGsHEFUNTVPVUg1REJGWFkxTUU2UjY2VFhMSTFUTy4u

FORMS.OFFICE.COM
Microsoft Forms",2020-07-17 20:08:26,,
16,0.0,,3.0,https://drive.google.com/file/d/1moHAcIAzOvP3KENLfrc9M_rMZ7ZbyqMq/view?usp=sharing,3339526356077654,"The Warden School District would like to make available the results of our 2020-12 Planning Survey. We had 176 responses to the survey from parents, students, staff and community members. The survey results document is 25 pages in length and may take a moment to download.

We have edited any personal identifiable information from the written comments. The first pages are the graphed results of the multiple choice questions. Following are the pages with written comments for questions #8, 17 & 18, and the last pages are the written comments for the ""Other"" response to multiple questions.

The administration wants to thank everyone who responded to the survey, we appreciate the input and will be using this information to guide us for our reopening planning this fall.

https://drive.google.com/file/d/1moHAcIAzOvP3KENLfrc9M_rMZ7ZbyqMq/view?usp=sharing",https://facebook.com/story.php?story_fbid=3339526356077654&id=167515016612153,"DRIVE.GOOGLE.COM
WSD Fall Planning Survey results.pdf",2.0,"The Warden School District would like to make available the results of our 2020-12 Planning Survey. We had 176 responses to the survey from parents, students, staff and community members. The survey results document is 25 pages in length and may take a moment to download.

We have edited any personal identifiable information from the written comments. The first pages are the graphed results of the multiple choice questions. Following are the pages with written comments for questions #8, 17 & 18, and the last pages are the written comments for the ""Other"" response to multiple questions.

The administration wants to thank everyone who responded to the survey, we appreciate the input and will be using this information to guide us for our reopening planning this fall.

https://drive.google.com/file/d/1moHAcIAzOvP3KENLfrc9M_rMZ7ZbyqMq/view?usp=sharing

DRIVE.GOOGLE.COM
WSD Fall Planning Survey results.pdf",2020-07-15 12:57:08,,
17,1.0,,4.0,https://drive.google.com/file/d/1KLQ82mG2Q07DCV9uWEi6hCXdJQgdwmE0/view?usp=sharing,3325846950778928,"The Grant County Health District has approved the Warden High School phase 2 plan for our graduation ceremony on July 24, 2020 at 7:00 pm at the high school football field. Please refer to the attached document outlining the plan approved by the health district. They ask us to ""Please remind families and graduates not to congregate outside of their cars during the ceremony. We know how hard it is not to gather together at such an important moment and event, but we want everyone to come away healthy!"" https://drive.google.com/file/d/1KLQ82mG2Q07DCV9uWEi6hCXdJQgdwmE0/view?usp=sharing",https://facebook.com/story.php?story_fbid=3325846950778928&id=167515016612153,"DRIVE.GOOGLE.COM
Graduation Ceremony Logistics 7.10.20.docx",5.0,"The Grant County Health District has approved the Warden High School phase 2 plan for our graduation ceremony on July 24, 2020 at 7:00 pm at the high school football field. Please refer to the attached document outlining the plan approved by the health district. They ask us to ""Please remind families and graduates not to congregate outside of their cars during the ceremony. We know how hard it is not to gather together at such an important moment and event, but we want everyone to come away healthy!"" https://drive.google.com/file/d/1KLQ82mG2Q07DCV9uWEi6hCXdJQgdwmE0/view?usp=sharing

DRIVE.GOOGLE.COM
Graduation Ceremony Logistics 7.10.20.docx",2020-07-10 19:05:48,,
18,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/106453741_3300422053321418_2849195178983724598_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=C3djQ5DelrkAX_CS4BV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0a1c073130e0ba26302d13a2528f2bc4&oe=5F8A8040,1.0,,3300422659988024,,https://facebook.com/story.php?story_fbid=3300422659988024&id=167515016612153,,0.0,,2020-07-01 11:42:27,,
19,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/83712421_3294929757203981_2072485475689495372_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=llflxpcSGMYAX9BySzZ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a402606e4acc98f2ae37a65d0f2941e0&oe=5F8C363B,8.0,,3294930340537256,"Beginning 6/29, from 10-11am the Warden School District will begin delivering meals to WSD Students participating in 2020 Virtual Summer School. Meals will be delivered each Monday and Wednesday, along with laptops for grades 2-11 for students that need them, that do not already have one checked out. Please have your/ or your student's 4 digit student ID ready.",https://facebook.com/story.php?story_fbid=3294930340537256&id=167515016612153,,0.0,"Beginning 6/29, from 10-11am the Warden School District will begin delivering meals to WSD Students participating in 2020 Virtual Summer School. Meals will be delivered each Monday and Wednesday, along with laptops for grades 2-11 for students that need them, that do not already have one checked out. Please have your/ or your student's 4 digit student ID ready.",2020-06-29 12:32:28,,
20,0.0,,1.0,,3265680153462275,The Warden School District will be offering virtual Summer School this summer from June 29 through July 24. Please contact Lily Gomez at 349-2366 x1582 if you would like to sign up your student for summer school or if you have any questions. Thank you.,https://facebook.com/story.php?story_fbid=3265680153462275&id=167515016612153,,0.0,The Warden School District will be offering virtual Summer School this summer from June 29 through July 24. Please contact Lily Gomez at 349-2366 x1582 if you would like to sign up your student for summer school or if you have any questions. Thank you.,2020-06-18 20:24:54,,
21,0.0,,2.0,https://forms.office.com/Pages/ResponsePage.aspx?id=PlZWoY3-tEiySowT1jWwQ3euqc-Nig5Ipa_b2aGsHEFURVdJSjEwUks5WDgzMUVDR1BEWE85OUFNRC4u,3265678776795746,"WSD 2020-21 FALL PLANNING SURVEY
Today, June 18 is officially the last day of school of the 2019-20 school year for the Warden School District. We thank the students, parents and community for working with us as we were challenged during these unprecedented times. We appreciate our staff who accepted a number of different assignments and tasks as we transitioned to extended and then remote learning. We are planning for the beginning of the next school year in the fall and realize there are a number areas we will be working to improve.

We have prepared a survey we are asking parents, students, staff and community to respond to. For staff and community we have six questions to answer to help us plan for the fall. For parents and students we have an additional 11 questions concerning your experience with remote learning this spring.

The survey will be open until June 30. Please click this link to access the survey. https://forms.office.com/Pages/ResponsePage.aspx?id=PlZWoY3-tEiySowT1jWwQ3euqc-Nig5Ipa_b2aGsHEFURVdJSjEwUks5WDgzMUVDR1BEWE85OUFNRC4u",https://facebook.com/story.php?story_fbid=3265678776795746&id=167515016612153,"FORMS.OFFICE.COM
Microsoft Forms",0.0,"WSD 2020-21 FALL PLANNING SURVEY
Today, June 18 is officially the last day of school of the 2019-20 school year for the Warden School District. We thank the students, parents and community for working with us as we were challenged during these unprecedented times. We appreciate our staff who accepted a number of different assignments and tasks as we transitioned to extended and then remote learning. We are planning for the beginning of the next school year in the fall and realize there are a number areas we will be working to improve.

We have prepared a survey we are asking parents, students, staff and community to respond to. For staff and community we have six questions to answer to help us plan for the fall. For parents and students we have an additional 11 questions concerning your experience with remote learning this spring.

The survey will be open until June 30. Please click this link to access the survey. https://forms.office.com/Pages/ResponsePage.aspx?id=PlZWoY3-tEiySowT1jWwQ3euqc-Nig5Ipa_b2aGsHEFURVdJSjEwUks5WDgzMUVDR1BEWE85OUFNRC4u

FORMS.OFFICE.COM
Microsoft Forms",2020-06-18 20:24:10,,
