,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,1.0,https://www.surveymonkey.com/r/3CYVZPC,2737097136613565,,https://facebook.com/story.php?story_fbid=2737097136613565&id=2007343609588925,,0.0,,2020-09-11 20:43:17,,
1,1.0,,7.0,,2736121066711172,,https://facebook.com/story.php?story_fbid=2736121066711172&id=2007343609588925,,0.0,,2020-09-10 18:43:38,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118860315_2736112036712075_2340816676167009296_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=_Ehqqu9SNFoAX9GLzLy&_nc_ht=scontent-atl3-1.xx&tp=14&oh=794b6154d29862ebccdf9cc5be97108a&oe=5F85C683,1.0,,2736116273378318,,https://facebook.com/story.php?story_fbid=2736116273378318&id=2007343609588925,,0.0,,2020-09-10 18:33:39,,
3,0.0,,18.0,,2735531946770084,"Please Be Advised!!!!
As Per Mr. Carlos Riddick, WCS Board Chair,
The Washington County Schools Board of Education voted unanimously to REMAIN VIRTUAL for our School District. We will revisit this at our December Board Meeting. Thank you. Please stay safe and healthy.

¡¡¡¡Por favor tenga en cuenta!!!!
Según el Sr. Carlos Riddick, presidente de la junta de WCS,
La Junta de Educación de las Escuelas del Condado de Washington votó unánimemente para PERMANECER VIRTUAL para nuestro Distrito Escolar. Revisaremos esto en nuestra reunión de la Junta de diciembre. Gracias. Por favor, manténgase sano y salvo.",https://facebook.com/story.php?story_fbid=2735531946770084&id=2007343609588925,,0.0,"Please Be Advised!!!!
As Per Mr. Carlos Riddick, WCS Board Chair,
The Washington County Schools Board of Education voted unanimously to REMAIN VIRTUAL for our School District. We will revisit this at our December Board Meeting. Thank you. Please stay safe and healthy.

¡¡¡¡Por favor tenga en cuenta!!!!
Según el Sr. Carlos Riddick, presidente de la junta de WCS,
La Junta de Educación de las Escuelas del Condado de Washington votó unánimemente para PERMANECER VIRTUAL para nuestro Distrito Escolar. Revisaremos esto en nuestra reunión de la Junta de diciembre. Gracias. Por favor, manténgase sano y salvo.",2020-09-10 03:12:48,,
4,0.0,,1.0,https://docs.google.com/forms/u/1/d/e/1FAIpQLScQNHZrn5KCKjNFMYnI4iFu9-rzWoQL3uNJytdZrmV_WcQJ1w/viewform,2735310666792212,"GREETINGS WCS Parents and Guardians, Please complete this form. To ensure that you will receive all valuable information in a timely manner, we need to have updated information in our system. Thank you in advance.

SALUDOS Padres y tutores de WCS, por favor complete este formulario. Para asegurarnos de que recibirá toda la información valiosa de manera oportuna, necesitamos tener información actualizada en nuestro sistema. Gracias de antemano.",https://facebook.com/story.php?story_fbid=2735310666792212&id=2007343609588925,"DOCS.GOOGLE.COM
WCS Student Information Verification Form",3.0,"GREETINGS WCS Parents and Guardians, Please complete this form. To ensure that you will receive all valuable information in a timely manner, we need to have updated information in our system. Thank you in advance.

SALUDOS Padres y tutores de WCS, por favor complete este formulario. Para asegurarnos de que recibirá toda la información valiosa de manera oportuna, necesitamos tener información actualizada en nuestro sistema. Gracias de antemano.

DOCS.GOOGLE.COM
WCS Student Information Verification Form",2020-09-09 20:42:39,,
5,0.0,,3.0,https://www.surveymonkey.com/r/3CYVZPC,2734908746832404,,https://facebook.com/story.php?story_fbid=2734908746832404&id=2007343609588925,,5.0,,2020-09-09 10:01:27,,
6,9.0,,5.0,,692519624677533,Mr. Christopher Walls - College Advisor - WCHS,,,3.0,Mr. Christopher Walls - College Advisor - WCHS,2020-09-09 08:11:32,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_219492482870957_7227228525112165455_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=Ua1X4TNhVe0AX80eBxK&_nc_ht=scontent-atl3-1.xx&oh=446dc3703354b0e9bcf8a84bb13ac4f1&oe=5F85CFB9,
7,0.0,,1.0,https://www.goldendoorscholars.org/,2734027406920538,,https://facebook.com/story.php?story_fbid=2734027406920538&id=2007343609588925,,0.0,,2020-09-08 11:07:41,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118998334_2733057780350834_2420639173670674156_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=NcW7fevcJogAX_dqMdZ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cdd5246e75036c66fcc013ebff535f8a&oe=5F85C116,10.0,,2733057850350827,,https://facebook.com/story.php?story_fbid=2733057850350827&id=2007343609588925,,0.0,,2020-09-07 11:17:01,,
9,0.0,,4.0,,2730058370650775,"ANNOUNCEMENT - This is Superintendent Linda Jewell Carr calling to report there is an area outage for internet. Please use video recordings when the internet is restored in your area. Wishing you a safe Labor Day weekend. Thank you for all you are doing to make this a successful year.

ANUNCIO - Soy la Superintendente Linda Jewell Carr llamando para informar que hay un corte de Internet en el área. Utilice grabaciones de video cuando se restablezca Internet en su área. Te deseo un fin de semana seguro del Día del Trabajo. Gracias por todo lo que está haciendo para que este sea un año exitoso.",https://facebook.com/story.php?story_fbid=2730058370650775&id=2007343609588925,,0.0,"ANNOUNCEMENT - This is Superintendent Linda Jewell Carr calling to report there is an area outage for internet. Please use video recordings when the internet is restored in your area. Wishing you a safe Labor Day weekend. Thank you for all you are doing to make this a successful year.

ANUNCIO - Soy la Superintendente Linda Jewell Carr llamando para informar que hay un corte de Internet en el área. Utilice grabaciones de video cuando se restablezca Internet en su área. Te deseo un fin de semana seguro del Día del Trabajo. Gracias por todo lo que está haciendo para que este sea un año exitoso.",2020-09-04 08:21:30,,
