,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,https://smile.amazon.com/gp/f.html?C=14USPGWYDNANG&K=1TLR8FIN3XIHN&M=urn%3Artn%3Amsg%3A20180716140142ed109822467540dfb1bd82b8cfb0p0na&R=1PRZRZR6J3YPU&T=C&U=http%3A%2F%2Fsmile.amazon.com%2Fch%2F20-1589888&H=E5HX8W2USMACXY1E3QAJ8QTVRR8A,1863235440436343,https://smile.amazon.com/gp/f.html?C=14USPGWYDNANG&K=1TLR8FIN3XIHN&M=urn:rtn:msg:20180716140142ed109822467540dfb1bd82b8cfb0p0na&R=1PRZRZR6J3YPU&T=C&U=http%3A%2F%2Fsmile.amazon.com%2Fch%2F20-1589888&H=E5HX8W2USMACXY1E3QAJ8QTVRR8A,https://facebook.com/story.php?story_fbid=1863235440436343&id=128280317265206,"SMILE.AMAZON.COM
Support West Burlington Athletic Booster Club Inc by shopping at AmazonSmile.",3.0,"https://smile.amazon.com/gp/f.html?C=14USPGWYDNANG&K=1TLR8FIN3XIHN&M=urn:rtn:msg:20180716140142ed109822467540dfb1bd82b8cfb0p0na&R=1PRZRZR6J3YPU&T=C&U=http%3A%2F%2Fsmile.amazon.com%2Fch%2F20-1589888&H=E5HX8W2USMACXY1E3QAJ8QTVRR8A

SMILE.AMAZON.COM
Support West Burlington Athletic Booster Club Inc by shopping at AmazonSmile.",2018-07-16 11:24:40,,
1,1.0,,6.0,,3405327386227133,"At this time here are the attendance guidelines for home events at West Burlington this fall to help with social distancing. These may be subject to change with % positive rate and spectator behavior. Masks will be required when social distancing can't happen.
Spectators for JH events are asked to still sit/stand in these sections of up to 4 family members, however, reservations will not need to be made in advance because they don't go over capacity.
Admission is $5 for HS and $3 for JH events for everyone Kindergarten and older. Exact change or credit card must be used. Passes will also be accepted.
Concessions will be available with drinks $2, pizza $3, popcorn $1 and candy $1, so no outside food or drink is permitted. For indoor events we ask that concessions stay in the cafeteria. Exact change or credit card must be used.
All home events will be webcast linked on the district Facebook page and if away events are webcast that information will also be linked on our district Facebook. Rosters will not be printed and can be found here:
Thanks for your understanding and Go Falcons!",https://facebook.com/story.php?story_fbid=3405327386227133&id=128280317265206,,0.0,"At this time here are the attendance guidelines for home events at West Burlington this fall to help with social distancing. These may be subject to change with % positive rate and spectator behavior. Masks will be required when social distancing can't happen.
Spectators for JH events are asked to still sit/stand in these sections of up to 4 family members, however, reservations will not need to be made in advance because they don't go over capacity.
Admission is $5 for HS and $3 for JH events for everyone Kindergarten and older. Exact change or credit card must be used. Passes will also be accepted.
Concessions will be available with drinks $2, pizza $3, popcorn $1 and candy $1, so no outside food or drink is permitted. For indoor events we ask that concessions stay in the cafeteria. Exact change or credit card must be used.
All home events will be webcast linked on the district Facebook page and if away events are webcast that information will also be linked on our district Facebook. Rosters will not be printed and can be found here:
Thanks for your understanding and Go Falcons!",2020-09-10 10:42:33,,
2,0.0,,4.0,,3394019094024629,,https://facebook.com/story.php?story_fbid=3394019094024629&id=128280317265206,,0.0,,2020-09-06 18:21:18,,
3,0.0,,0.0,,,,https://facebook.com/story.php?story_fbid=3436539843078628&id=400976036635039,,0.0,,2020-09-12 10:00:25.384777,,
4,0.0,,6.0,,3387885454637993,,https://facebook.com/story.php?story_fbid=3387885454637993&id=128280317265206,"West Burlington Independent School District was live.
September 4 at 4:52 PM ·",0.0,"West Burlington Independent School District was live.
September 4 at 4:52 PM ·",2020-09-04 18:14:31,https://video-atl3-1.xx.fbcdn.net/v/t42.1790-29/10000000_757221075130839_5464139170369259484_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InNkIn0%3D&_nc_ohc=wWofU3GFBwIAX8HPCHW&_nc_ht=video-atl3-1.xx&oh=817de43ed8736f6cb6f23acc691b77fd&oe=5F5CF68B,
5,0.0,,0.0,,3384953304931208,,https://facebook.com/story.php?story_fbid=3384953304931208&id=128280317265206,"West Burlington Independent School District was live.
September 3 at 5:14 PM ·",0.0,"West Burlington Independent School District was live.
September 3 at 5:14 PM ·",2020-09-03 19:07:59,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_339722987158350_241993954875729430_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=a6sc7X9q4kgAX-S9nC_&_nc_ht=scontent-atl3-1.xx&oh=f460d61e9c20ae7f67032d25920274d3&oe=5F82E6D9,
6,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118428730_3371319019627970_3192997315705513326_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=t7963HaSzIYAX-V4f-h&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0751d763d87f44dfdea5a08fd10b3c07&oe=5F845D9F,20.0,,3371319599627912,,https://facebook.com/story.php?story_fbid=3371319599627912&id=128280317265206,,0.0,,2020-08-30 10:42:17,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117952243_3337776989648840_5429188482610966784_o.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=NmWEuHMar9QAX8TxDx1&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8e8ecce69d5b1898835d3793bcb64413&oe=5F82503F,13.0,,3337780526315153,Thank you to everyone that supported our “Marvin L. Crooks Golf Outing 2020”.,https://facebook.com/story.php?story_fbid=3337780526315153&id=128280317265206,,0.0,Thank you to everyone that supported our “Marvin L. Crooks Golf Outing 2020”.,2020-08-19 08:14:59,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116015469_3262323037194236_9501113308902332_o.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=z25YOU9iJwwAX9VoRwt&_nc_ht=scontent-atl3-1.xx&tp=14&oh=64620330e07ea2642539a43a235d22e1&oe=5F83C94B,26.0,,3262329873860219,Congrats to the 2020 Marvin L. Crooks West Burlington Athletic Booster Club Scholarship winners Samantha Dzawo and Dylan McElderry!,https://facebook.com/story.php?story_fbid=3262329873860219&id=128280317265206,,0.0,Congrats to the 2020 Marvin L. Crooks West Burlington Athletic Booster Club Scholarship winners Samantha Dzawo and Dylan McElderry!,2020-07-24 06:41:57,,
9,0.0,,3.0,,2731691597155160,,,,0.0,,2020-07-13 18:30:09,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_285735692777318_4045400551167394965_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=4EvvgCPAH38AX90Bym9&_nc_ht=video-atl3-1.xx&oh=09ef4f90a9c3d34081413c25cd69bb2f&oe=5F5CFC03,
