,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118845031_3473755196022154_8529201032465860081_n.jpg?_nc_cat=109&_nc_sid=2d5d41&_nc_ohc=slZttpHObnIAX_NOb5n&_nc_oc=AQmj1Os7uiI9NoLLzle3KOrbDeZfxGQY2Xe-c2nCSLvYRHAgQHiLIiX-YE9ySQMnUdA&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9f97f15ffb2b2b9f1bf7ba79a0016ff1&oe=5F832EB0,2.0,https://5il.co/jggt,3473755192688821,"District 8 families,

Due to recent occurrences in our county, the WCSD8 administration has decided to move into the Yellow Phase of our Restart Plan. Please review the Restart Plan for more information.
https://5il.co/jggt
If you have further questions, please contact your child’s school.

Beginning September 8th, we will no longer be checking student’s temperatures outdoors. If your child is riding the bus, they will still be taking temperatures upon entrance to the bus. Please make sure that your child’s temperature has been checked and they are moving toward their assigned seat before leaving the pickup location. Students who are dropped off by parents will have their temperature checked upon entrance to the school. If your child has a temperature of 100.4 Fahrenheit or higher, the school will contact you as soon as possible. Thank you for your continued support in keeping our schools safe.",,,0.0,"District 8 families,

Due to recent occurrences in our county, the WCSD8 administration has decided to move into the Yellow Phase of our Restart Plan. Please review the Restart Plan for more information.
https://5il.co/jggt
If you have further questions, please contact your child’s school.

Beginning September 8th, we will no longer be checking student’s temperatures outdoors. If your child is riding the bus, they will still be taking temperatures upon entrance to the bus. Please make sure that your child’s temperature has been checked and they are moving toward their assigned seat before leaving the pickup location. Students who are dropped off by parents will have their temperature checked upon entrance to the school. If your child has a temperature of 100.4 Fahrenheit or higher, the school will contact you as soon as possible. Thank you for your continued support in keeping our schools safe.",2020-09-04 13:00:18,,
1,0.0,,0.0,,700286950559408,08/10/2020 Noon Board Meeting with Ryan Geltel,,,0.0,08/10/2020 Noon Board Meeting with Ryan Geltel,2020-09-10 12:54:30,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_747617249417066_1770410983318114060_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=NZZgQxuXgv4AX9mPn5v&_nc_ht=scontent-atl3-1.xx&oh=4607b692e54d2607739d1f171ed81a37&oe=5F8490B2,
2,0.0,,6.0,,3487169924680681,"District 8 Families, today we were made aware of a close contact of COVID-19. We are taking all necessary precautions and the individuals are being quarantined for 14 days according to CDC recommendations. We will continue to monitor the situation closely. As per CDC and HIPAA Laws, we must be careful not to release any identifying information. We know that everyone, including the CDC, is learning as we move forward. If you have any questions, please contact your child’s school and we will work with Upper Missouri Health to get you the current answer. Thank you everyone for working with us.",https://facebook.com/story.php?story_fbid=3487169924680681&id=110755262322181,,0.0,"District 8 Families, today we were made aware of a close contact of COVID-19. We are taking all necessary precautions and the individuals are being quarantined for 14 days according to CDC recommendations. We will continue to monitor the situation closely. As per CDC and HIPAA Laws, we must be careful not to release any identifying information. We know that everyone, including the CDC, is learning as we move forward. If you have any questions, please contact your child’s school and we will work with Upper Missouri Health to get you the current answer. Thank you everyone for working with us.",2020-09-08 21:00:22,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119062376_3487046834692990_7437279113446776292_o.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=tVj8mKqGFkcAX-nGh-r&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b65d1b756e9a289071c9e653b6c18867&oe=5F83418F,2.0,,3487046831359657,FREE WEEKLY MEAL PICK-UP FOR DISTANCE LEARNING STUDENTS,,,0.0,FREE WEEKLY MEAL PICK-UP FOR DISTANCE LEARNING STUDENTS,2020-09-08 20:00:07,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118805112_3473898069341200_4885283307581829137_o.jpg?_nc_cat=107&_nc_sid=2d5d41&_nc_ohc=N1A-gZ2sziAAX9XQGCm&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5ce53c792b566626539f8091f7962bbc&oe=5F839D02,11.0,,3473898066007867,"Williams County School District #8 would like to give a big shout out and thank you to the following entities:
- America State Bank for sponsoring the Back to School Breakfast for our staff
- Subway for co-sponsoring a Back to School Lunch for our staff
- Kasmer & Aefdt Oil, Inc. for purchasing face shields and disposable mask for all of our staff and students.
And we want to thank all of our parents for working with us as we all navigate through these strange and difficult times. We sincerely appreciate all of your input and cooperation.",,,0.0,"Williams County School District #8 would like to give a big shout out and thank you to the following entities:
- America State Bank for sponsoring the Back to School Breakfast for our staff
- Subway for co-sponsoring a Back to School Lunch for our staff
- Kasmer & Aefdt Oil, Inc. for purchasing face shields and disposable mask for all of our staff and students.
And we want to thank all of our parents for working with us as we all navigate through these strange and difficult times. We sincerely appreciate all of your input and cooperation.",2020-09-04 14:00:15,,
5,1.0,,1.0,,230640115052119,12:15 Special Board meeting 09/04/2020,,,0.0,12:15 Special Board meeting 09/04/2020,2020-09-04 13:04:57,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/51003030_197898625077434_9070864873914685894_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=LRFP6pjCXUUAX8WFNu1&_nc_ht=scontent-atl3-1.xx&oh=334af89d66567b925cb24e44d0e466c5&oe=5F84D7F7,
6,0.0,,0.0,,1004224383334104,12:00 Special board meeting 09/04/2020,,,0.0,12:00 Special board meeting 09/04/2020,2020-09-04 12:52:02,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_364588681613804_6896360051871420188_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=x2UmbYetE6sAX9Cqopw&_nc_ht=scontent-atl3-1.xx&oh=3c601fd47b52fee60c8bcd9fc3781caf&oe=5F84F97D,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118798448_3471197192944621_5797875025658663963_n.jpg?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=Y-AKX3kDYg0AX-PYKlw&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7f0f3068dde1b0b4121cc3a640ec6ebc&oe=5F83354F,9.0,,3471197182944622,"District 8 Family... Just a reminder: Our students have a four day weekend. Friday is Professional Development for Teachers and Monday is Labor Day! We'll see you all back at school on Tuesday, September 8th.",,,0.0,"District 8 Family... Just a reminder: Our students have a four day weekend. Friday is Professional Development for Teachers and Monday is Labor Day! We'll see you all back at school on Tuesday, September 8th.",2020-09-03 17:30:07,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118775979_3468333373231003_2998252963070966004_o.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=cPMinccnR34AX-akKZW&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d9b7beb90a50794f35d9387a6ef9a353&oe=5F82FA64,17.0,,3468333366564337,"District 8 Family,
The USDA is allowing us to provide FREE BREAKFAST and LUNCH for all district students. Starting Thursday, September 3 through Friday, December 18 students will not be charged for breakfast or lunch. Distance Learning students will begin receiving breakfast and lunches at a later date. Funds currently on each students account will remain unused until after December 18th. Thank you for your continued support.",,,0.0,"District 8 Family,
The USDA is allowing us to provide FREE BREAKFAST and LUNCH for all district students. Starting Thursday, September 3 through Friday, December 18 students will not be charged for breakfast or lunch. Distance Learning students will begin receiving breakfast and lunches at a later date. Funds currently on each students account will remain unused until after December 18th. Thank you for your continued support.",2020-09-02 20:00:24,,
9,0.0,,5.0,,3467299303334410,"District 8 Families,
Today we were made aware of a close contact of COVID-19. We are taking all necessary precautions and the individuals are being quarantined for 14 days according to CDC recommendations. We will continue to monitor the situation closely. As per CDC and HIPAA Laws, we must be careful not to release any identifying information. We know that everyone, including the CDC, is learning as we move forward. If you have any questions, please contact your child’s school and we will work with Upper Missouri Health to get you the current answer. Thank you everyone for working with us.",https://facebook.com/story.php?story_fbid=3467299303334410&id=110755262322181,,0.0,"District 8 Families,
Today we were made aware of a close contact of COVID-19. We are taking all necessary precautions and the individuals are being quarantined for 14 days according to CDC recommendations. We will continue to monitor the situation closely. As per CDC and HIPAA Laws, we must be careful not to release any identifying information. We know that everyone, including the CDC, is learning as we move forward. If you have any questions, please contact your child’s school and we will work with Upper Missouri Health to get you the current answer. Thank you everyone for working with us.",2020-09-02 13:00:25,,
