,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119140437_954315245072979_1891571033151027184_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=EihrKbPJmnkAX-Fx7iG&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=77ea60ece3f1089dbdd3ea48249bf2b7&oe=5F8093B7,40.0,,954319868405850,It’s another Distance Learning Day today! If you have any questions please contact your student’s school.,https://facebook.com/story.php?story_fbid=954319868405850&id=177181362786375,,0.0,It’s another Distance Learning Day today! If you have any questions please contact your student’s school.,2020-09-11 10:01:48,,
1,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119036168_953820851789085_2634804778030870750_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=EhrwMcJr4NoAX9rmKsE&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=165a399d2310aa996a0bb798e90a7de9&oe=5F821840,37.0,,953820018455835,"Harvey Dean, CEO of PITSCO Education and PITSCO’s Vice-President of Education, Matt Frankenbery, visited the District to tour the Elementary STEM Laboratories and the Secondary Aviation Labs.",https://facebook.com/story.php?story_fbid=953820018455835&id=177181362786375,,0.0,"Harvey Dean, CEO of PITSCO Education and PITSCO’s Vice-President of Education, Matt Frankenbery, visited the District to tour the Elementary STEM Laboratories and the Secondary Aviation Labs.",2020-09-10 17:11:17,,
2,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119030967_953553355149168_2963173014061511131_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=vYaY0pJGC_YAX_wzk53&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=245430f5e0e30acbc589a83505d7ae4c&oe=5F843822,43.0,,953554978482339,"In 6th grade science this week, students experimented with their Egg Drop Project. Students learned about the importance of design to aid in scientific discoveries by creating their own egg carriers and testing their effectiveness.",https://facebook.com/story.php?story_fbid=953554978482339&id=177181362786375,,0.0,"In 6th grade science this week, students experimented with their Egg Drop Project. Students learned about the importance of design to aid in scientific discoveries by creating their own egg carriers and testing their effectiveness.",2020-09-10 09:16:47,,
3,6.0,,22.0,,953148061856364,"Announcement from AHS Athletics...

“Earlier today, we were informed by Oklahoma State Department of Health officials that members of the Ada High Football Team were exposed to a positive COVID case on the opposing team. For this reason, certain members of our football team have been quarantined. As a result, we have had to cancel Friday night’s football game at McAlester.”",https://facebook.com/story.php?story_fbid=953148061856364&id=177181362786375,,0.0,"Announcement from AHS Athletics...

“Earlier today, we were informed by Oklahoma State Department of Health officials that members of the Ada High Football Team were exposed to a positive COVID case on the opposing team. For this reason, certain members of our football team have been quarantined. As a result, we have had to cancel Friday night’s football game at McAlester.”",2020-09-09 20:10:33,,
4,5.0,,47.0,,952873655217138,"It’s a Hayes PE favorite today-Rock, Paper, Scissors Showdown, aerobic style 🎉",,,0.0,"It’s a Hayes PE favorite today-Rock, Paper, Scissors Showdown, aerobic style 🎉",2020-09-09 11:20:27,https://video.fbna1-2.fna.fbcdn.net/v/t42.9040-2/118937110_785807175578093_2977690913846841542_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=b-ZaadPFci8AX-06yrN&_nc_ht=video.fbna1-2.fna&oh=8f08bdeba644cfb225ee4979a37679ca&oe=5F5CDAAA,
5,1.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118616048_949355085568995_1814011915462439552_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=MYPR4KVT4zMAX-5e1SZ&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=590224017220703b8dd5e9cb0768d01b&oe=5F809590,70.0,,949355978902239,What a great day to be an ADA COUGAR!!! It’s the Battle of the Cats tonight in Ardmore! Go Cougars!!!!,https://facebook.com/story.php?story_fbid=949355978902239&id=177181362786375,,0.0,What a great day to be an ADA COUGAR!!! It’s the Battle of the Cats tonight in Ardmore! Go Cougars!!!!,2020-09-04 20:05:58,,
6,2.0,,40.0,,948975695606934,Today is our first Distance Learning day! Students won’t be on campus today but will be learning from home. Please contact your student’s school if you have any questions. Happy Friday!!,https://facebook.com/story.php?story_fbid=948975695606934&id=177181362786375,,0.0,Today is our first Distance Learning day! Students won’t be on campus today but will be learning from home. Please contact your student’s school if you have any questions. Happy Friday!!,2020-09-04 08:41:10,,
7,0.0,,73.0,,948605538977283,It’s a great night for AJHS Football! Go Cougars!!!,https://facebook.com/story.php?story_fbid=948605538977283&id=177181362786375,,0.0,It’s a great night for AJHS Football! Go Cougars!!!,2020-09-03 20:42:15,,
8,2.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118712369_948557405648763_5104099669646173768_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=HTezWLXB1zsAX-lGnjP&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=93d3d53dadf11924febb4a9722cbc8b9&oe=5F82C8C2,105.0,,948559575648546,"It was a great start to the 7th grade football season! Way to go, Cougars🎉🎉",https://facebook.com/story.php?story_fbid=948559575648546&id=177181362786375,,0.0,"It was a great start to the 7th grade football season! Way to go, Cougars🎉🎉",2020-09-03 19:07:13,,
9,3.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118533652_945943482576822_2204601622669899844_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=X3adyDn-iCgAX87V8Qj&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=97f980c0bbdb587be0651dba8b97bbfb&oe=5F80A39A,50.0,,945945122576658,"At Washington Elementary today, Mrs. Ruiz-Blanco’s class made boats because they want to “float together” this year. Habit #4: Think Win-Win!",https://facebook.com/story.php?story_fbid=945945122576658&id=177181362786375,,0.0,"At Washington Elementary today, Mrs. Ruiz-Blanco’s class made boats because they want to “float together” this year. Habit #4: Think Win-Win!",2020-08-31 14:49:13,,
