,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119125928_1372443349612236_7545841821017800082_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=pZArV0O-Aq8AX8V9z9Z&_nc_ht=scontent-atl3-1.xx&tp=14&oh=604b9b12cf8d4d78cac228a50eb105f0&oe=5F85E658,48.0,https://bit.ly/wcsdbts2020,1372452942944610,"We're back! Classes began today, virtually for most students, while some students attended class in person. http://bit.ly/wcsdbts2020",https://facebook.com/story.php?story_fbid=1372452942944610&id=375054349351146,,0.0,"We're back! Classes began today, virtually for most students, while some students attended class in person. http://bit.ly/wcsdbts2020",2020-09-10 11:01:00,,
1,0.0,,0.0,https://documentcloud.adobe.com/link/review?uri=urn%3Aaaid%3Ascds%3AUS%3Ac2c174c6-9085-4557-9773-5906d28e420a,1364696687053569,"Welcome Back!
https://documentcloud.adobe.com/link/review?uri=urn:aaid:scds:US:c2c174c6-9085-4557-9773-5906d28e420a",https://facebook.com/story.php?story_fbid=1364696687053569&id=375054349351146,"DOCUMENTCLOUD.ADOBE.COM
Adobe Acrobat",0.0,"Welcome Back!
https://documentcloud.adobe.com/link/review?uri=urn:aaid:scds:US:c2c174c6-9085-4557-9773-5906d28e420a

DOCUMENTCLOUD.ADOBE.COM
Adobe Acrobat",2020-09-01 11:45:20,,
2,0.0,,0.0,https://documentcloud.adobe.com/link/review?uri=urn%3Aaaid%3Ascds%3AUS%3Accb92810-4211-4869-9101-569d0f875588,1364690887054149,"Welcome Back!

https://documentcloud.adobe.com/link/review?uri=urn:aaid:scds:US:ccb92810-4211-4869-9101-569d0f875588",https://facebook.com/story.php?story_fbid=1364690887054149&id=375054349351146,"DOCUMENTCLOUD.ADOBE.COM
Adobe Acrobat",0.0,"Welcome Back!

https://documentcloud.adobe.com/link/review?uri=urn:aaid:scds:US:ccb92810-4211-4869-9101-569d0f875588

DOCUMENTCLOUD.ADOBE.COM
Adobe Acrobat",2020-09-01 11:37:34,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117779597_1354907548032483_8531074753165757537_n.png?_nc_cat=109&_nc_sid=da1649&_nc_ohc=30UPENAX-IwAX9px_DH&_nc_ht=scontent-atl3-1.xx&oh=c0519abe047f267ac2ae23fe0d5cba55&oe=5F85FE1B,9.0,,1354907544699150,CHANGE IN PLANS! We've updated our re-entry plan which now calls for 100% remote learning to start the year. Visit our website homepage for the latest information.,,,0.0,CHANGE IN PLANS! We've updated our re-entry plan which now calls for 100% remote learning to start the year. Visit our website homepage for the latest information.,2020-08-21 09:00:30,,
4,1.0,,0.0,https://forms.gle/NLPmFdAi4EgqidKh6,1349804991876072,"In order for WCSD to get a sense of how families are feeling about our Reentry Plan, please complete the following survey.

Thank you!

Reentry Plan Survey in English
https://forms.gle/NLPmFdAi4EgqidKh6

Reentry Plan Survey in Spanish
https://forms.gle/tpFGYZx7Xm4noDP37",https://facebook.com/story.php?story_fbid=1349804991876072&id=375054349351146,"DOCS.GOOGLE.COM
Webutuck Reentry Plan Parent Survey",12.0,"In order for WCSD to get a sense of how families are feeling about our Reentry Plan, please complete the following survey.

Thank you!

Reentry Plan Survey in English
https://forms.gle/NLPmFdAi4EgqidKh6

Reentry Plan Survey in Spanish
https://forms.gle/tpFGYZx7Xm4noDP37

DOCS.GOOGLE.COM
Webutuck Reentry Plan Parent Survey",2020-08-15 09:28:57,,
5,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117195313_1342785182578053_7711299958123398325_n.jpg?_nc_cat=105&_nc_sid=da1649&_nc_ohc=oZpmm1pmdZgAX9oBmzv&_nc_ht=scontent-atl3-1.xx&tp=14&oh=237cce83cbab35d77ab4d92c32bf59bd&oe=5F83DA3D,6.0,https://bit.ly/wcsdreopeningplan,1342785179244720,"We've released our reopening plan, which calls for a hybrid model of instruction. All students will receive in-person instruction twice a week, one day of remote face-to-face learning and two days of project-based distance learning. Details at https://bit.ly/wcsdreopeningplan",,,0.0,"We've released our reopening plan, which calls for a hybrid model of instruction. All students will receive in-person instruction twice a week, one day of remote face-to-face learning and two days of project-based distance learning. Details at https://bit.ly/wcsdreopeningplan",2020-08-06 17:00:11,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/116793868_1342757435914161_1298879318937815853_n.png?_nc_cat=100&_nc_sid=da1649&_nc_ohc=idzf6zai8MIAX_VZV37&_nc_ht=scontent-atl3-1.xx&oh=063cb4d97ce3d62a7892079224ef3f2c&oe=5F83FC12,0.0,,1342757432580828,Just because camps and attractions are closed doesn't mean summer has to be boring. Escape to a different reality with book as part of the EBIS Summer Reading Challenge!,,,0.0,Just because camps and attractions are closed doesn't mean summer has to be boring. Escape to a different reality with book as part of the EBIS Summer Reading Challenge!,2020-08-06 16:04:53,,
7,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116345489_1336588636531041_506711217982034534_o.jpg?_nc_cat=100&_nc_sid=da1649&_nc_ohc=2WhUilWVGnIAX8Yz5xX&_nc_ht=scontent-atl3-1.xx&tp=14&oh=07c0f4b9d9e15f8c9db927e59d5d8700&oe=5F85248E,2.0,https://bit.ly/wcsdreopenplanext,1336588629864375,New York State Education Department has granted us an extension on filing our reopening plan to give us more time to address key issues. Learn more at https://bit.ly/wcsdreopenplanext,,,0.0,New York State Education Department has granted us an extension on filing our reopening plan to give us more time to address key issues. Learn more at https://bit.ly/wcsdreopenplanext,2020-07-30 11:32:08,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116176768_1335723023284269_492435331347344517_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=LI5p0uNdoVYAX-qsLBz&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f84134c452cb070ed5b7efb93102b663&oe=5F83CBA5,0.0,https://my2020census.gov/,1335723339950904,"You can still fill out the census, without your census ID #, on line or respond by phone.
Website: https://my2020census.gov or call
• phone (7am to 2am):
English: 844-330-2020
Spanish: 844-468-2020
• please participate –
WE ALL NEED TO BE COUNTED",https://facebook.com/story.php?story_fbid=1335723339950904&id=375054349351146,,0.0,"You can still fill out the census, without your census ID #, on line or respond by phone.
Website: https://my2020census.gov or call
• phone (7am to 2am):
English: 844-330-2020
Spanish: 844-468-2020
• please participate –
WE ALL NEED TO BE COUNTED",2020-07-29 10:46:28,,
9,0.0,,1.0,,1328497190673519,"Board of Education Seat Open:

Anyone interested in serving on the Webutuck Board of Education is invited to apply by sending a letter of interest that includes a brief description of yourself and why you would like to serve to the District Clerk by email at tracy.trotter@webutuck.org, or by mail to Webutuck District Clerk, PO Box 405, Amenia, NY 12501. Applicants must be a citizen of the United States, over 18 years of age, and a continuous resident of the district for at least one year. The individual appointed will serve until May 18, 2021.",https://facebook.com/story.php?story_fbid=1328497190673519&id=375054349351146,,0.0,"Board of Education Seat Open:

Anyone interested in serving on the Webutuck Board of Education is invited to apply by sending a letter of interest that includes a brief description of yourself and why you would like to serve to the District Clerk by email at tracy.trotter@webutuck.org, or by mail to Webutuck District Clerk, PO Box 405, Amenia, NY 12501. Applicants must be a citizen of the United States, over 18 years of age, and a continuous resident of the district for at least one year. The individual appointed will serve until May 18, 2021.",2020-07-20 08:43:29,,
