,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,18.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118674976_3459107777443171_7534349141051197525_n.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=nfcLDYSZIjEAX92q_NX&_nc_ht=scontent-atl3-1.xx&oh=4e4092c06922b69e07a1f56970de3502&oe=5F83B9D4,142.0,https://www.wcasd.net/Page/13025,3459113850775897,"Good morning and welcome back! Just a reminder if you need any additional support today accessing Schoology, Seesaw, or have technical issues with devices, our tech support team is standing by, ready to help. Please visit the Technical Support for WCASD Families @Home for more information - https://www.wcasd.net/Page/13025. And remember, We Are Here!",https://facebook.com/story.php?story_fbid=3459113850775897&id=173158009371514,,0.0,"Good morning and welcome back! Just a reminder if you need any additional support today accessing Schoology, Seesaw, or have technical issues with devices, our tech support team is standing by, ready to help. Please visit the Technical Support for WCASD Families @Home for more information - https://www.wcasd.net/Page/13025. And remember, We Are Here!",2020-08-31 07:57:49,,
1,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119098077_3494775373876411_6031088562908567337_n.png?_nc_cat=102&_nc_sid=da1649&_nc_ohc=jPBQcMrSSxQAX9K5MFj&_nc_oc=AQlDigJtZAZfHmuDLz48PxWD5Ned8ELqKISDBKHfkZ4dEr0GOEouQxlxPan60IS6ANA&_nc_ht=scontent-atl3-1.xx&oh=7295e4a17cf9be89be978123e64615ff&oe=5F82F962,115.0,,3494775370543078,,,,0.0,,2020-09-11 08:46:03,,
2,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118921813_3491856607501621_5992984612077065721_n.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=Ie4vlRpIK7EAX8swjRV&_nc_ht=scontent-atl3-1.xx&oh=bcd14a7b1dd23c5d2d306ddeb3283bb8&oe=5F82CD35,30.0,,3491862317501050,"Please join us via Zoom on Tuesday, September 22 for 'How to Support Your Child Emotionally & Academically in a Virtual World'. Dr. Jeffrey Bernstein, Ph.D., author of 10 Days to a Less Defiant Child and The Anxiety, Depression, & Anger Toolbox for Teens share supportive advice on 7 keys points to help your family be successful during remote learning.",https://facebook.com/story.php?story_fbid=3491862317501050&id=173158009371514,,0.0,"Please join us via Zoom on Tuesday, September 22 for 'How to Support Your Child Emotionally & Academically in a Virtual World'. Dr. Jeffrey Bernstein, Ph.D., author of 10 Days to a Less Defiant Child and The Anxiety, Depression, & Anger Toolbox for Teens share supportive advice on 7 keys points to help your family be successful during remote learning.",2020-09-10 10:37:51,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119077353_3485692238118058_8237188710818990222_n.png?_nc_cat=111&_nc_sid=da1649&_nc_ohc=aPwB5LwwC_gAX81Ho3D&_nc_ht=scontent-atl3-1.xx&oh=8bd660a06d19422429885ad1e0f2da72&oe=5F80568E,5.0,https://www.wcasd.net/Domain/218,3485692234784725,,,,0.0,,2020-09-08 12:21:19,,
4,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118711319_3463402803680335_8556603820541566956_n.png?_nc_cat=107&_nc_sid=da1649&_nc_ohc=2TcZt3o61-IAX88-YdY&_nc_ht=scontent-atl3-1.xx&oh=961c0b83a9d332ca612e4d14ec201fb7&oe=5F805D91,83.0,,3463402797013669,Thank you to Girl Scout Troops 41257 & 4382 for dropping off yummy treats for all of our hardworking administrators! A sweet gesture that put a smile on our faces!,,,0.0,Thank you to Girl Scout Troops 41257 & 4382 for dropping off yummy treats for all of our hardworking administrators! A sweet gesture that put a smile on our faces!,2020-09-01 15:30:06,,
5,14.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118637477_3462294420457840_3082737913136951733_n.png?_nc_cat=107&_nc_sid=da1649&_nc_ohc=DE7toc0ozdgAX_PW0Ph&_nc_ht=scontent-atl3-1.xx&oh=c512b4b9a14c08126723a6ca832d594f&oe=5F8205CB,110.0,,3462294410457841,"Good morning! We know that there were some technology issues that resulted in a lot of frustration yesterday, and we thank you for your flexibility and patience. We had some success with a software update last night that should help resolve issues with Zoom. However, we still have many student devices that are running without the update.

When the computers come online this morning, for those that have been updated, we are going to force a restart. For computers that have not been updated, we will push the update this morning, which may cause a disruption that will last about 5 minute. The download and installation will take about 2 or 3 minutes in the background, and you will receive a message that your computer will restart.

Students do have the ability to go into our Software Center and download the update. It will auto-install. This will allow you to do the update on your terms before classes get underway.

We know how difficult this is for our families and students, and we want to remove this obstacle as quickly as possible.",,,0.0,"Good morning! We know that there were some technology issues that resulted in a lot of frustration yesterday, and we thank you for your flexibility and patience. We had some success with a software update last night that should help resolve issues with Zoom. However, we still have many student devices that are running without the update.

When the computers come online this morning, for those that have been updated, we are going to force a restart. For computers that have not been updated, we will push the update this morning, which may cause a disruption that will last about 5 minute. The download and installation will take about 2 or 3 minutes in the background, and you will receive a message that your computer will restart.

Students do have the ability to go into our Software Center and download the update. It will auto-install. This will allow you to do the update on your terms before classes get underway.

We know how difficult this is for our families and students, and we want to remove this obstacle as quickly as possible.",2020-09-01 08:02:23,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118693871_3459509090736373_1827776145095488867_n.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=MUfQMnCS_HIAX-PVZyM&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d67d54eb3b18b6d958a7e91e2bbe5d88&oe=5F83A072,62.0,,3459509204069695,The 2020-21 school year is underway and we want to make the best of it! Please email your first-day pictures to communicationsdept@wcasd.net. Please remember to be mindful of your photo's background and don't send pictures that display the names of students. We look forward to seeing your photos!,https://facebook.com/story.php?story_fbid=3459509204069695&id=173158009371514,,0.0,The 2020-21 school year is underway and we want to make the best of it! Please email your first-day pictures to communicationsdept@wcasd.net. Please remember to be mindful of your photo's background and don't send pictures that display the names of students. We look forward to seeing your photos!,2020-08-31 10:40:09,,
7,25.0,,205.0,https://www.youtube.com/watch?v=wbyhKNTf5mQ,3456688464351769,,https://facebook.com/story.php?story_fbid=3456688464351769&id=173158009371514,,5.0,,2020-08-30 12:28:36,,
8,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118222920_3453392321348050_874924087314933268_n.png?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=_B1kgglBFccAX8oZVhW&_nc_ht=scontent-atl3-1.xx&oh=ef1205be1e0124854c5b4c28b0d57c70&oe=5F82A8EC,42.0,,3453397431347539,,https://facebook.com/story.php?story_fbid=3453397431347539&id=173158009371514,,0.0,,2020-08-29 11:24:29,,
9,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118481825_3437823449571604_7262673778388295025_n.png?_nc_cat=111&_nc_sid=da1649&_nc_ohc=Pi9q9IjHWI4AX-XkL1O&_nc_ht=scontent-atl3-1.xx&oh=8ac03400f838cf70c69df19822306222&oe=5F83E425,30.0,,3437823446238271,,,,0.0,,2020-08-24 15:42:58,,
10,35.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117203027_3394271860593430_3158460761845028520_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=tBSAPrawccgAX8xFPNg&_nc_ht=scontent-atl3-1.xx&tp=14&oh=55f756357334b22f5aca0491874b0272&oe=5F833E2A,172.0,,3394309617256321,"Hail and farewell, Dr. Nora Wheeler. Thank you for all you have done to make our district standout and for making your students feel that they are all special gifts. Wishing you well on your next adventure. We will miss you!",https://facebook.com/story.php?story_fbid=3394309617256321&id=173158009371514,,0.0,"Hail and farewell, Dr. Nora Wheeler. Thank you for all you have done to make our district standout and for making your students feel that they are all special gifts. Wishing you well on your next adventure. We will miss you!",2020-08-10 15:27:15,,
11,1.0,,6.0,,3373294592691157,Update!,,,0.0,Update!,2020-08-03 14:42:33,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/116860620_614604566121507_8476549966099595890_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=ANztSf1NTnoAX_0M_Tt&_nc_ht=video-atl3-1.xx&oh=b50ed19321b369b2e9cd48191b38c077&oe=5F5C82F9,
