,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,5.0,https://bit.ly/Jobs_WI,3529373193780305,JOB OPENINGS: We are looking to fill two full-time security positions among other openings. Please click this link to find out more and apply! Join our team. http://bit.ly/Jobs_WI,https://facebook.com/story.php?story_fbid=3529373193780305&id=542674739116847,,0.0,JOB OPENINGS: We are looking to fill two full-time security positions among other openings. Please click this link to find out more and apply! Join our team. http://bit.ly/Jobs_WI,2020-09-12 11:00:03,,
1,14.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119138592_3532355870148704_5006602007488110673_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=Knzm3I_18hsAX8e1obT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=714b9c307420fed5bd686f8eb67e5b61&oe=5F8361C9,102.0,,3532356546815303,,https://facebook.com/story.php?story_fbid=3532356546815303&id=542674739116847,,0.0,,2020-09-11 16:00:02,,
2,1.0,,54.0,,3532298593487765,"SO GLAD TO HAVE STUDENTS BACK! The first two days of the 2020-21 school year may have looked & felt different in many ways, but ... we'll do whatever it takes. Remember, we're in this together, so stay smart & safe and we'll see you Monday (remember your health screen)!",,,0.0,"SO GLAD TO HAVE STUDENTS BACK! The first two days of the 2020-21 school year may have looked & felt different in many ways, but ... we'll do whatever it takes. Remember, we're in this together, so stay smart & safe and we'll see you Monday (remember your health screen)!",2020-09-11 14:54:37,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119173082_365870351246429_1919092012015665906_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=VXWvsgxErVAAX_xMd5g&_nc_ht=video-atl3-1.xx&oh=847be77e75eb8be101822503cb72605c&oe=5F5EA29C,
3,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119213653_3531860860198205_1318745169531926780_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=AlKtdZwyreIAX8GyYGt&_nc_ht=scontent-atl3-1.xx&tp=14&oh=88373a60e86ceecf97bf8ec5d012ae3d&oe=5F83179C,126.0,,3531866643530960,More pictures from Day 2 of the 2020-21 school year (which was Day 1 for the Gold group at IHS and Dake!),https://facebook.com/story.php?story_fbid=3531866643530960&id=542674739116847,,0.0,More pictures from Day 2 of the 2020-21 school year (which was Day 1 for the Gold group at IHS and Dake!),2020-09-11 12:01:50,,
4,0.0,,46.0,,3531519916898966,"💙We Remember
🇺🇸We Honor
💛We Will Never Forget

#September11 #911anniversary",,,0.0,"💙We Remember
🇺🇸We Honor
💛We Will Never Forget

#September11 #911anniversary",2020-09-11 09:52:21,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119281747_878864725978253_4271193384197844004_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=XNBGJ90bazkAX87jgli&_nc_ht=video-atl3-1.xx&oh=db5165bb60165229261ac99fe4255dd6&oe=5F5EAB34,
5,1.0,,16.0,https://www.rochesterfirst.com/back-to-school-coronavirus-facts-first/first-day-for-in-person-hybrid-models-at-victor-west-irondequoit-schools/,3531309553586669,"SPOTLIGHT FROM CHANNEL 8: WROC-TV visited Dake Jr. High School and Listwood on Thursday to talk about our reopening. Here’s their report mixed in with some details from Victor, where you may see a familiar face. Thanks for the coverage! https://www.rochesterfirst.com/back-to-school-coronavirus-facts-first/first-day-for-in-person-hybrid-models-at-victor-west-irondequoit-schools/",https://facebook.com/story.php?story_fbid=3531309553586669&id=542674739116847,,0.0,"SPOTLIGHT FROM CHANNEL 8: WROC-TV visited Dake Jr. High School and Listwood on Thursday to talk about our reopening. Here’s their report mixed in with some details from Victor, where you may see a familiar face. Thanks for the coverage! https://www.rochesterfirst.com/back-to-school-coronavirus-facts-first/first-day-for-in-person-hybrid-models-at-victor-west-irondequoit-schools/",2020-09-11 09:05:05,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119074564_3529410507109907_1333057830368134026_n.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=6zXQ8X7kqgQAX-VOzlo&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f3adc24f3645583e704cd8f250084cae&oe=5F847B98,3.0,https://bit.ly/Reopen_Resources,3529411083776516,"RESOURCES FOR YOU: Yes, we've reopend. But we still have lots of resources for you if you have questions. Please check out our Resources Page, in particular Response Flowcharts and Daily Health Screening. https://bit.ly/Reopen_Resources",https://facebook.com/story.php?story_fbid=3529411083776516&id=542674739116847,,0.0,"RESOURCES FOR YOU: Yes, we've reopend. But we still have lots of resources for you if you have questions. Please check out our Resources Page, in particular Response Flowcharts and Daily Health Screening. https://bit.ly/Reopen_Resources",2020-09-11 08:30:00,,
7,0.0,,3.0,,3529400660444225,DAY 2: Still good reminders for your children if they're riding the bus in West Irondequoit! Thank you for your cooperation!,,,0.0,DAY 2: Still good reminders for your children if they're riding the bus in West Irondequoit! Thank you for your cooperation!,2020-09-11 07:30:00,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119297272_305205077444663_1970159257643790383_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=6aUremLje1YAX89sQO2&_nc_ht=video-atl3-1.xx&oh=ca70b490c39518b48901a2790d14eadf&oe=5F5EA782,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119221122_3529404373777187_8998186066490640239_n.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=4vUa0BjJFRkAX8xYOZO&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4ec6a0d34c41d623c344a3443ba25efa&oe=5F851797,2.0,https://bit.ly/Response_Flowcharts,3529405140443777,"FEELING SICK? We have four Response Protocol Flowcharts for you, follow them step by step. Below is an example of one. Click the link to review all: http://bit.ly/Response_Flowcharts",https://facebook.com/story.php?story_fbid=3529405140443777&id=542674739116847,,0.0,"FEELING SICK? We have four Response Protocol Flowcharts for you, follow them step by step. Below is an example of one. Click the link to review all: http://bit.ly/Response_Flowcharts",2020-09-11 07:01:00,,
9,0.0,,3.0,https://bit.ly/FAQ_Screening,3529312650453026,"HEALTH SCREEN DAILY, PLEASE: Please remember that if your student is coming to school today they'll need to do our pre-screen at home. The link below takes you to helpful FAQs on this.

LINK: http://bit.ly/FAQ_Screening",https://facebook.com/story.php?story_fbid=3529312650453026&id=542674739116847,"WICSD.TECH
COVID-19 Screening System FAQ",0.0,"HEALTH SCREEN DAILY, PLEASE: Please remember that if your student is coming to school today they'll need to do our pre-screen at home. The link below takes you to helpful FAQs on this.

LINK: http://bit.ly/FAQ_Screening

WICSD.TECH
COVID-19 Screening System FAQ",2020-09-11 06:15:19,,
