,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,,2226041200831824,"Today, the President declared a National Emergency and the Governor closed all public schools in Pennsylvania for ten (10) business days. All Whitehall-Coplay School District schools will be closed from Monday, March 16, 2020, until and including, Friday, March 27, 2020. Updates will be provided as we work through this issue.
At this time, students are not required to complete any assignments.
Buildings will be accessible on Monday, March 16, 2020, from 9am -12pm for parents that need to pick up medications or other items.
All District events are canceled effective immediately.
Thank you for your cooperation and support.",https://facebook.com/story.php?story_fbid=2226041200831824&id=225537900882174,,0.0,"Today, the President declared a National Emergency and the Governor closed all public schools in Pennsylvania for ten (10) business days. All Whitehall-Coplay School District schools will be closed from Monday, March 16, 2020, until and including, Friday, March 27, 2020. Updates will be provided as we work through this issue.
At this time, students are not required to complete any assignments.
Buildings will be accessible on Monday, March 16, 2020, from 9am -12pm for parents that need to pick up medications or other items.
All District events are canceled effective immediately.
Thank you for your cooperation and support.",2020-03-13 19:29:05,,
1,0.0,,1.0,,2225406054228672,"Out of an abundance of caution, the Whitehall-Coplay School District will be canceling all athletic, after school and weekend activities. The Basket Bingo that was scheduled for tomorrow will be rescheduled at a later time. The district will continue to communicate with state and local officials and will update you as new information is received. Thank you for your patience and understanding.",https://facebook.com/story.php?story_fbid=2225406054228672&id=225537900882174,,0.0,"Out of an abundance of caution, the Whitehall-Coplay School District will be canceling all athletic, after school and weekend activities. The Basket Bingo that was scheduled for tomorrow will be rescheduled at a later time. The district will continue to communicate with state and local officials and will update you as new information is received. Thank you for your patience and understanding.",2020-03-13 11:28:47,,
2,0.0,,0.0,,2223334407769170,"The Whitehall Coplay School District was informed that a student in the district was tested for Covid-19 as a precautionary measure. It is important to note that to our knowledge, the student has not traveled or been in contact either directly or indirectly with anyone exposed to Covid-19. We have been in communication with Local and State Health Department officials. For the safety and wellness of our students and staff, the district will be closed for cleaning today, Thursday, March 12th. Friday, March 13th schools will remain closed as this was a regularly scheduled professional development day. Regular classes will resume on Monday, March16th. It is important to reiterate that there are no known or reported cases of Covid-19 in the Whitehall Coplay School District.
We apologize for any inconveniences the late school closure may have caused. Our decisions were made in the best interest of students and staff.",https://facebook.com/story.php?story_fbid=2223334407769170&id=225537900882174,,0.0,"The Whitehall Coplay School District was informed that a student in the district was tested for Covid-19 as a precautionary measure. It is important to note that to our knowledge, the student has not traveled or been in contact either directly or indirectly with anyone exposed to Covid-19. We have been in communication with Local and State Health Department officials. For the safety and wellness of our students and staff, the district will be closed for cleaning today, Thursday, March 12th. Friday, March 13th schools will remain closed as this was a regularly scheduled professional development day. Regular classes will resume on Monday, March16th. It is important to reiterate that there are no known or reported cases of Covid-19 in the Whitehall Coplay School District.
We apologize for any inconveniences the late school closure may have caused. Our decisions were made in the best interest of students and staff.",2020-03-12 09:27:00,,
3,1.0,,0.0,,2223167081119236,WCSD will be closed today for precautionary measures for disinfecting and deep cleaning. More information will follow at a later point. All non-public transportation will run as scheduled.,https://facebook.com/story.php?story_fbid=2223167081119236&id=225537900882174,,0.0,WCSD will be closed today for precautionary measures for disinfecting and deep cleaning. More information will follow at a later point. All non-public transportation will run as scheduled.,2020-03-12 07:27:57,,
4,0.0,,0.0,,2103853193050626,"Whitehall-Coplay School District will be operating on a 2-hour delay today, Wednesday, January 8, 2020. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.",https://facebook.com/story.php?story_fbid=2103853193050626&id=225537900882174,,0.0,"Whitehall-Coplay School District will be operating on a 2-hour delay today, Wednesday, January 8, 2020. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.",2020-01-08 05:02:14,,
5,0.0,,0.0,,2065418523560760,"The Whitehall-Coplay School District will be operating on a 2-hour delay today, Thursday, December 19, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.",https://facebook.com/story.php?story_fbid=2065418523560760&id=225537900882174,,0.0,"The Whitehall-Coplay School District will be operating on a 2-hour delay today, Thursday, December 19, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.",2019-12-19 05:02:47,,
6,0.0,,0.0,,2050107681758511,"The Whitehall-Coplay School District will be operating on a 2-hour delay today, Wednesday, December 11, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.",https://facebook.com/story.php?story_fbid=2050107681758511&id=225537900882174,,0.0,"The Whitehall-Coplay School District will be operating on a 2-hour delay today, Wednesday, December 11, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.",2019-12-11 05:14:06,,
7,0.0,,0.0,https://pa50000018.schoolwires.net/Page/3324,1787339444702004,"Whitehall High School is accepting applications for the following professional teaching positions; Chemistry, FCS, and Special Education. Use the following link for additional details.
https://pa50000018.schoolwires.net/Page/3324",https://facebook.com/story.php?story_fbid=1787339444702004&id=225537900882174,,0.0,"Whitehall High School is accepting applications for the following professional teaching positions; Chemistry, FCS, and Special Education. Use the following link for additional details.
https://pa50000018.schoolwires.net/Page/3324",2019-07-19 08:39:08,,
8,0.0,,1.0,,1588316867937597,"The Whitehall-Coplay School District will be closed today, Monday, March 4, 2019. There will be no non-public transportation. All after-school activities are canceled.",https://facebook.com/story.php?story_fbid=1588316867937597&id=225537900882174,,0.0,"The Whitehall-Coplay School District will be closed today, Monday, March 4, 2019. There will be no non-public transportation. All after-school activities are canceled.",2019-03-04 05:06:46,,
9,0.0,,0.0,,1584307908338493,"The Whitehall-Coplay School District will be operating on a 2-hour delay with modified kindergarten schedule Friday, March 1, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.",https://facebook.com/story.php?story_fbid=1584307908338493&id=225537900882174,,0.0,"The Whitehall-Coplay School District will be operating on a 2-hour delay with modified kindergarten schedule Friday, March 1, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.",2019-03-01 05:09:09,,
10,0.0,,3.0,,1573059656129985,"The Whitehall-Coplay School District will be operating on a 2-hour delay with modified kindergarten schedule Thursday, February 21, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.",https://facebook.com/story.php?story_fbid=1573059656129985&id=225537900882174,,0.0,"The Whitehall-Coplay School District will be operating on a 2-hour delay with modified kindergarten schedule Thursday, February 21, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.",2019-02-20 19:32:12,,
11,0.0,,0.0,,1572207869548497,"The Whitehall-Coplay School District will be closed today, Wednesday, February 20, 2019. There will be no non-public transportation. All after-school activities are canceled.

Due to expected weather and school closure, the decision has been made to CANCEL tonight’s Bands in the Round concert. Unfortunately, due to the lack of available alternate options at this point, we will not re-schedule the event. All prepared music will be added onto each building's respective Spring Concerts.",https://facebook.com/story.php?story_fbid=1572207869548497&id=225537900882174,,0.0,"The Whitehall-Coplay School District will be closed today, Wednesday, February 20, 2019. There will be no non-public transportation. All after-school activities are canceled.

Due to expected weather and school closure, the decision has been made to CANCEL tonight’s Bands in the Round concert. Unfortunately, due to the lack of available alternate options at this point, we will not re-schedule the event. All prepared music will be added onto each building's respective Spring Concerts.",2019-02-20 04:57:28,,
12,0.0,,1.0,,1562111197224831,"The Whitehall-Coplay School District will be closed today, Wednesday, February 13, 2019. There will be no non-public transportation. All after-school activities are canceled.",https://facebook.com/story.php?story_fbid=1562111197224831&id=225537900882174,,0.0,"The Whitehall-Coplay School District will be closed today, Wednesday, February 13, 2019. There will be no non-public transportation. All after-school activities are canceled.",2019-02-13 07:02:12,,
13,0.0,,0.0,,1561465217289429,"The Whitehall-Coplay School District will be operating on a 2-hour delay with modified kindergarten schedule Wednesday, February 13, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.
In the event of a status change for the district, you will receive an updated notification in the morning. Otherwise, adhere to the 2-hour delay schedule.",https://facebook.com/story.php?story_fbid=1561465217289429&id=225537900882174,,0.0,"The Whitehall-Coplay School District will be operating on a 2-hour delay with modified kindergarten schedule Wednesday, February 13, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.
In the event of a status change for the district, you will receive an updated notification in the morning. Otherwise, adhere to the 2-hour delay schedule.",2019-02-12 19:37:06,,
14,0.0,,1.0,,1559975287438422,"The Whitehall-Coplay School District will be closed tomorrow, Tuesday, February 12, 2019 due to the upcoming weather forecast. There will be no non-public transportation. All after-school activities are canceled.
Please be advised that school will remain closed as scheduled on Friday, February 15. As noted on the district calendar, Thursday, April 18 is a snow make-up day and school will now be in session.",https://facebook.com/story.php?story_fbid=1559975287438422&id=225537900882174,,0.0,"The Whitehall-Coplay School District will be closed tomorrow, Tuesday, February 12, 2019 due to the upcoming weather forecast. There will be no non-public transportation. All after-school activities are canceled.
Please be advised that school will remain closed as scheduled on Friday, February 15. As noted on the district calendar, Thursday, April 18 is a snow make-up day and school will now be in session.",2019-02-11 18:45:01,,
15,0.0,,2.0,,1559226554179962,WCSD will be operating on a 2-hour delay with modified kindergarten schedule today. No breakfast. Non-public transportation 2-hour delay,https://facebook.com/story.php?story_fbid=1559226554179962&id=225537900882174,,0.0,WCSD will be operating on a 2-hour delay with modified kindergarten schedule today. No breakfast. Non-public transportation 2-hour delay,2019-02-11 05:07:05,,
16,0.0,,5.0,,1544150049020946,"The Whitehall-Coplay School District will be operating on a 2-hour delay with modified kindergarten schedule tomorrow, Thursday, January 31, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.
In the event of a status change for the district, you will receive an updated notification in the morning. Otherwise, adhere to the 2-hour delay schedule.",https://facebook.com/story.php?story_fbid=1544150049020946&id=225537900882174,,0.0,"The Whitehall-Coplay School District will be operating on a 2-hour delay with modified kindergarten schedule tomorrow, Thursday, January 31, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.
In the event of a status change for the district, you will receive an updated notification in the morning. Otherwise, adhere to the 2-hour delay schedule.",2019-01-30 19:01:35,,
17,0.0,,1.0,,1543470449088906,"The Whitehall-Coplay School District will now be closed today, Wednesday, January 30, 2019. There will be no non-public transportation. All after-school activities are canceled.",https://facebook.com/story.php?story_fbid=1543470449088906&id=225537900882174,,0.0,"The Whitehall-Coplay School District will now be closed today, Wednesday, January 30, 2019. There will be no non-public transportation. All after-school activities are canceled.",2019-01-30 07:35:31,,
18,0.0,,0.0,,1543340492435235,"The Whitehall-Coplay School District will be operating on a 2-hour delay with modified kindergarten schedule today, Wednesday, January 30, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.",https://facebook.com/story.php?story_fbid=1543340492435235&id=225537900882174,,0.0,"The Whitehall-Coplay School District will be operating on a 2-hour delay with modified kindergarten schedule today, Wednesday, January 30, 2019. No breakfast will be served. All non-public transportation will also be on a 2-hour delay.",2019-01-30 05:11:45,,
19,0.0,,2.0,,1542046135898004,"The Whitehall-Coplay School District will be closed today, Tuesday, January 29, 2019. There will be no non-public transportation. All after-school activities are canceled.",https://facebook.com/story.php?story_fbid=1542046135898004&id=225537900882174,,0.0,"The Whitehall-Coplay School District will be closed today, Tuesday, January 29, 2019. There will be no non-public transportation. All after-school activities are canceled.",2019-01-29 05:06:49,,
