,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118158167_3354401251306527_1766463164353582916_o.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=gZ6R835j99kAX-Y4vHI&_nc_ht=scontent-atl3-1.xx&oh=5b9d386e7094ba0f2a8a1a005561fa97&oe=5F8259CC,6.0,,3354403974639588,"We’ve been busy in Springfield, MA! Wild Apple has been solving client problems for 20 years and these past few months have been no exception . . .you know . . .no more words needed. We’ve been busy, nonetheless working with some excellent local organizations that hold our community together and remind us how great it is to live, work and play here. Here are just a few projects we’ve been privileged to build. See comments below 🎉",https://facebook.com/story.php?story_fbid=3354403974639588&id=192442397502444,,0.0,"We’ve been busy in Springfield, MA! Wild Apple has been solving client problems for 20 years and these past few months have been no exception . . .you know . . .no more words needed. We’ve been busy, nonetheless working with some excellent local organizations that hold our community together and remind us how great it is to live, work and play here. Here are just a few projects we’ve been privileged to build. See comments below 🎉",2020-08-24 15:32:45,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/105593143_3184892328257421_3647010527249670227_o.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=4i5m4G8NEt8AX9o4gQG&_nc_ht=scontent-atl3-1.xx&oh=c5094223fa646b5f6588bdc0dca702da&oe=5F848369,4.0,http://www.alexfilms.org/,3184894418257212,"Check out our latest project Macmillan Group of Springfield.

We started by refreshing their brand with a new contemporary logo paired with stationary and a pocket folder sales deck.

Next for the website, the goal was to allow site visitors to see every facet of each property inside and out by incorporating video backgrounds with stunning aerial footage (special thanks to Alex Bolivar www.alexfilms.org for the amazing videos), large format slideshows, virtual tours, and custom landing pages to feature real estate listings with a strong CTA and simple lead capture forms.

www.macmillang.com",https://facebook.com/story.php?story_fbid=3184894418257212&id=192442397502444,,0.0,"Check out our latest project Macmillan Group of Springfield.

We started by refreshing their brand with a new contemporary logo paired with stationary and a pocket folder sales deck.

Next for the website, the goal was to allow site visitors to see every facet of each property inside and out by incorporating video backgrounds with stunning aerial footage (special thanks to Alex Bolivar www.alexfilms.org for the amazing videos), large format slideshows, virtual tours, and custom landing pages to feature real estate listings with a strong CTA and simple lead capture forms.

www.macmillang.com",2020-06-25 13:22:47,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/105950189_3066104803469146_3902200587766322330_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=Xf25-s5mt_4AX_515yl&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e80831f29a1e49c2a5af4e377a79601f&oe=5F84FEEF,3.0,https://www.healingracismpv.org/,3182618405151480,"Congratulations to our client Healing Racism Institute of the Pioneer Valley (HRIPV), www.healingracismpv.org was Featured as the Cover Story in BusinessWest.

Important work happening right here in Springfield, HRIPV is making great strides in changing the conversation about race and racism.

Read the full story https://bit.ly/31cxdiT",https://facebook.com/story.php?story_fbid=3182618405151480&id=192442397502444,"BusinessWest
June 24 at 8:37 AM ·

Your BusinessWest June 22 Digital Edition is here!
https://businesswest.com/issues/june-22-2020/#p=1",0.0,"Congratulations to our client Healing Racism Institute of the Pioneer Valley (HRIPV), www.healingracismpv.org was Featured as the Cover Story in BusinessWest.

Important work happening right here in Springfield, HRIPV is making great strides in changing the conversation about race and racism.

Read the full story https://bit.ly/31cxdiT

BusinessWest
June 24 at 8:37 AM ·

Your BusinessWest June 22 Digital Edition is here!
https://businesswest.com/issues/june-22-2020/#p=1",2020-06-24 19:39:38,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104031448_3175338975879423_3410682011300564414_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=IhrKGf8ppZ0AX9Iliul&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2a929082968368ffbaa237530700fe23&oe=5F827E99,3.0,https://www.readby4thgrade.com/,3175354625877858,"We're excited to share the newly redesigned website for Reading Success by 4th Grade, a community initiative that advocates for early literacy to help children acquire the fundamental reading and language skills to read proficiently by the end of 3rd grade.

We completely revamped the site in collaboration with Paul Robbins Associates, and Chrissy Howard of the Springfield City Library.

www.readby4thgrade.com",https://facebook.com/story.php?story_fbid=3175354625877858&id=192442397502444,,0.0,"We're excited to share the newly redesigned website for Reading Success by 4th Grade, a community initiative that advocates for early literacy to help children acquire the fundamental reading and language skills to read proficiently by the end of 3rd grade.

We completely revamped the site in collaboration with Paul Robbins Associates, and Chrissy Howard of the Springfield City Library.

www.readby4thgrade.com",2020-06-22 16:30:03,,
4,0.0,,1.0,http://ow.ly/AnEf50yUyfk,2907712359308754,Behavioral Health Network (BHN) Introduces TeleCare Services Virtually Connecting Individuals with Therapists,https://facebook.com/story.php?story_fbid=2907712359308754&id=192442397502444,"BHNINC.ORG
BHN Introduces TeleCare Services Virtually Connecting Individuals with Therapists

Behavioral Health Network, Inc.
March 24 at 2:04 PM ·

We are proud to introduce BHNTeleCare, an innovative new program that will allow individuals to continue counseling sessions remotely with their therapists from the comfort and safety of their own homes. Learn more: http://ow.ly/AnEf50yUyfk",0.0,"Behavioral Health Network (BHN) Introduces TeleCare Services Virtually Connecting Individuals with Therapists

BHNINC.ORG
BHN Introduces TeleCare Services Virtually Connecting Individuals with Therapists

Behavioral Health Network, Inc.
March 24 at 2:04 PM ·

We are proud to introduce BHNTeleCare, an innovative new program that will allow individuals to continue counseling sessions remotely with their therapists from the comfort and safety of their own homes. Learn more: http://ow.ly/AnEf50yUyfk",2020-03-27 12:48:37,,
5,0.0,,0.0,http://ow.ly/AnEf50yUyfk,,,https://facebook.com/story.php?story_fbid=1523977567761541&id=276119139214063,"Behavioral Health Network, Inc.
March 24 at 2:04 PM ·

We are proud to introduce BHNTeleCare, an innovative new program that will allow individuals to continue counseling sessions remotely with their therapists from the comfort and safety of their own homes. Learn more: http://ow.ly/AnEf50yUyfk",0.0,"Behavioral Health Network, Inc.
March 24 at 2:04 PM ·

We are proud to introduce BHNTeleCare, an innovative new program that will allow individuals to continue counseling sessions remotely with their therapists from the comfort and safety of their own homes. Learn more: http://ow.ly/AnEf50yUyfk",2020-09-13 02:17:27.811866,,
6,0.0,,2.0,,2907682385978418,Great way to support your local restaurant!,https://facebook.com/story.php?story_fbid=2907682385978418&id=192442397502444,"Center Square Grill was live.
March 27 at 9:38 AM ·",0.0,"Great way to support your local restaurant!

Center Square Grill was live.
March 27 at 9:38 AM ·",2020-03-27 12:34:35,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_268253294514651_2874374854314625746_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=7uNaqmZ_apsAX-rNFQ0&_nc_ht=video-atl3-1.xx&oh=c3afcab0eea65101d4ae9c7426695f82&oe=5F5DDFF1,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91077641_505457063462055_6169935887544090624_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=NbElDKMLLGoAX8JN8mQ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b6397b33faeb6281a5132dd6b74e45aa&oe=5F820BDC,2.0,,2904201499659840,Congratulations to Chef Andrew Brow! We are so proud of you and your team!,https://facebook.com/story.php?story_fbid=2904201499659840&id=192442397502444,"HighBrow Wood Fired Kitchen + Bar
March 26 at 8:00 AM ·

The past six months have been a wild ride: from simply establishing ourselves as a new member of the community, to developing our identity, organizing wine dinners, opening for breakfast and lunch, and being the first business in town to show off the possibilities of a Cordial Permit, our friends and neighbors have been with us every step of the way. We could not have grown and succeeded without our dedicated staff and loyal customers. We look forward to a future filled with even more surprises and challenges for us. Thank you!",0.0,"Congratulations to Chef Andrew Brow! We are so proud of you and your team!

HighBrow Wood Fired Kitchen + Bar
March 26 at 8:00 AM ·

The past six months have been a wild ride: from simply establishing ourselves as a new member of the community, to developing our identity, organizing wine dinners, opening for breakfast and lunch, and being the first business in town to show off the possibilities of a Cordial Permit, our friends and neighbors have been with us every step of the way. We could not have grown and succeeded without our dedicated staff and loyal customers. We look forward to a future filled with even more surprises and challenges for us. Thank you!",2020-03-26 08:51:29,,
8,0.0,,0.0,,2901830329896957,Check this out from our friend Alfonso Santaniello!,https://facebook.com/story.php?story_fbid=2901830329896957&id=192442397502444,"THU, MAR 26
Marketing Your Business During The Pandemic Facebook LIVE",0.0,"Check this out from our friend Alfonso Santaniello!

THU, MAR 26
Marketing Your Business During The Pandemic Facebook LIVE",2020-03-25 12:54:50,,
9,0.0,,1.0,https://bit.ly/2Ub9EBZ,2887040368042620,"Master Your Marketing Webinar
Tuesday, March 24, 5:30PM EDT

Join Wild Apple Design Group March 24th to learn about the important best practices and effective tools for small-to-medium sized business websites in 2020. We will share the basics that you NEED to know, plus a few high-octane tricks to help you bring in the sales dollars and get found. In addition to talking websites, we will also be covering digital marketing, including the foundations of search engine optimization, managing your digital reputation & reviews and efficiently managing your social media.

You can sign up here... https://bit.ly/2Ub9EBZ",https://facebook.com/story.php?story_fbid=2887040368042620&id=192442397502444,,0.0,"Master Your Marketing Webinar
Tuesday, March 24, 5:30PM EDT

Join Wild Apple Design Group March 24th to learn about the important best practices and effective tools for small-to-medium sized business websites in 2020. We will share the basics that you NEED to know, plus a few high-octane tricks to help you bring in the sales dollars and get found. In addition to talking websites, we will also be covering digital marketing, including the foundations of search engine optimization, managing your digital reputation & reviews and efficiently managing your social media.

You can sign up here... https://bit.ly/2Ub9EBZ",2020-03-20 11:52:46,,
