,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119613570_3388733611182116_8769069593932067287_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=VHM07YoU6QsAX85No7j&_nc_ht=scontent-atl3-1.xx&tp=14&oh=01eb7f011bb9c9c784f47d22183ade4d&oe=5F87B8AE,3.0,http://wcschools.com/Domain/77,3388737421181735,"A Pre-K registration will be available tomorrow (9/17) at Watertown Elementary from 3:30-5:30 p.m. Info can be found in the flyer below and at this link: wcschools.com/Domain/77
If you have any questions, please reach out to the appropriate staff that’s listed on the flyer.",https://facebook.com/story.php?story_fbid=3388737421181735&id=535225103199662,,0.0,"A Pre-K registration will be available tomorrow (9/17) at Watertown Elementary from 3:30-5:30 p.m. Info can be found in the flyer below and at this link: wcschools.com/Domain/77
If you have any questions, please reach out to the appropriate staff that’s listed on the flyer.",2020-09-16 16:47:32,,
1,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119510018_3385524154836395_6929525487352507888_n.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=ADvv1mNp3i4AX9vU6LB&_nc_ht=scontent-atl3-1.xx&tp=14&oh=df95ce63ecb93bfc0106180d442123c4&oe=5F86DD6C,22.0,,3385525008169643,"This message is for all high school students and families.

Next Tuesday, September 22nd will be a designated state ACT testing day for our district. Only Juniors and Seniors will report to their respective schools that day. Juniors will be taking a practice ACT while Seniors will be taking an official ACT.

This particular ACT testing day for Seniors is a make-up day from this past Spring when we were unable provide the previously scheduled state testing day for the Class of 2021. As a friendly reminder, taking the ACT is a requirement to receive a regular high school diploma.

Freshmen and Sophomores will be distance learning September 22nd and will not report to schools. Normal Modified Hybrid schedules will resume on Wednesday, September 23rd for all high school students. If you need additional information, please contact your school.",https://facebook.com/story.php?story_fbid=3385525008169643&id=535225103199662,,0.0,"This message is for all high school students and families.

Next Tuesday, September 22nd will be a designated state ACT testing day for our district. Only Juniors and Seniors will report to their respective schools that day. Juniors will be taking a practice ACT while Seniors will be taking an official ACT.

This particular ACT testing day for Seniors is a make-up day from this past Spring when we were unable provide the previously scheduled state testing day for the Class of 2021. As a friendly reminder, taking the ACT is a requirement to receive a regular high school diploma.

Freshmen and Sophomores will be distance learning September 22nd and will not report to schools. Normal Modified Hybrid schedules will resume on Wednesday, September 23rd for all high school students. If you need additional information, please contact your school.",2020-09-15 16:13:38,,
2,20.0,,89.0,,3382585255130285,"These challenging times have certainly produced many creative methods inside our schools! Let’s take a peek inside Gladeville Middle, where there’s more to take away than just a band practice. It’s a small sample of how dedicated our educators are across the district no matter what they’re teaching during this unprecedented era. #WilsonProud ❤️",,,0.0,"These challenging times have certainly produced many creative methods inside our schools! Let’s take a peek inside Gladeville Middle, where there’s more to take away than just a band practice. It’s a small sample of how dedicated our educators are across the district no matter what they’re teaching during this unprecedented era. #WilsonProud ❤️",2020-09-14 17:47:40,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119660726_268798070758295_8982367648404821857_n.mp4?_nc_cat=105&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=K6pEAgrRiqUAX82Ud_Z&_nc_ht=video-atl3-1.xx&oh=9695c66011a826df1d55f1f31e514891&oe=5F634E22,
3,7.0,,49.0,,3381612398560904,"Here’s a complete update on the fire call at Mt. Juliet Elementary this morning. No injuries with this fire and it was contained to one classroom. We’ve had several calls and emails about this.

Thank you to the quick work from MJE staff in helping extinguish this fire along with Mt. Juliet Fire Deparment. Thank you to MJFD Chief Jamie Luffman for his time and update as well!

With today being a Remote Learning day, impact was minimal, and no disruptions to tomorrow’s Hybrid schedule are expected.",,,0.0,"Here’s a complete update on the fire call at Mt. Juliet Elementary this morning. No injuries with this fire and it was contained to one classroom. We’ve had several calls and emails about this.

Thank you to the quick work from MJE staff in helping extinguish this fire along with Mt. Juliet Fire Deparment. Thank you to MJFD Chief Jamie Luffman for his time and update as well!

With today being a Remote Learning day, impact was minimal, and no disruptions to tomorrow’s Hybrid schedule are expected.",2020-09-14 10:40:08,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_2620007294996661_4291708267563248205_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=NVnj5AWcaB4AX8e4px9&_nc_ht=video-atl3-1.xx&oh=bb101b6b3f7b1409bdc81c20eee447f9&oe=5F63501A,
4,35.0,,50.0,,3373783726010438,,,,0.0,,2020-09-11 22:08:27,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119216002_705118956748901_4326330891771631061_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=4uGW55SAE2kAX9X4OCw&_nc_ht=video-atl3-1.xx&oh=ec9e634a90b53180b07d430793b20ebd&oe=5F6349BE,
5,6.0,,27.0,,3373130306075780,"Today we pause and reflect on 9/11. A tragic day 19 years ago that took the lives of so many, but we honor them all. We also say thank you to the brave first responders for all that you do!

Here are some staff stories as we look back on that day and ask the question, “Where were you?”

Thank you to Lebanon Fire/Rescue for their assistance today. 🚒❤️",,,0.0,"Today we pause and reflect on 9/11. A tragic day 19 years ago that took the lives of so many, but we honor them all. We also say thank you to the brave first responders for all that you do!

Here are some staff stories as we look back on that day and ask the question, “Where were you?”

Thank you to Lebanon Fire/Rescue for their assistance today. 🚒❤️",2020-09-11 16:48:41,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_2601213066762007_2234645944298485507_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=sfszi48KP5UAX99-3qY&_nc_ht=video-atl3-1.xx&oh=f72f9c21bd2ff5e7ddad7c6d26ce8a13&oe=5F635041,
6,16.0,,177.0,https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/2021_merit_sf_press_release__web_.pdf?gid=2&pgid=61,3372298319492312,"Very proud moment at Mt. Juliet High School this morning as two students were honored as National Merit Scholarship Semifinalists! This prestigious recognition, announced earlier this week, highlights some of the very best students across the country! Congratulations to MJHS Seniors Addison Reiter and Zachary Smith! #WilsonProud ❤️

More information about the National Merit Scholarship Program:🎓⬇️
https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/2021_merit_sf_press_release__web_.pdf?gid=2&pgid=61",,,0.0,"Very proud moment at Mt. Juliet High School this morning as two students were honored as National Merit Scholarship Semifinalists! This prestigious recognition, announced earlier this week, highlights some of the very best students across the country! Congratulations to MJHS Seniors Addison Reiter and Zachary Smith! #WilsonProud ❤️

More information about the National Merit Scholarship Program:🎓⬇️
https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/2021_merit_sf_press_release__web_.pdf?gid=2&pgid=61",2020-09-11 10:52:37,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119346919_656679514957120_2699138162391541716_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=uxCiV6b5GW0AX_KfeHv&_nc_ht=video-atl3-1.xx&oh=5737c5087ed20582522a88eafd540621&oe=5F635060,
7,61.0,,109.0,https://drive.google.com/file/d/1M_LZZAwp9jX5I9L0_R3BFGKwT40EIIuc/view?usp=sharing,3364989240223220,"It was a busy September BOE meeting! Most notably, Pre-K through 3rd grade will return to full time Traditional on Monday, September 21st.

Here’s a quick recap of tonight’s meeting. Below is a copy of the slides that were presented. They give updates across multiple departments from the start of our school year to where we are today: https://drive.google.com/file/d/1M_LZZAwp9jX5I9L0_R3BFGKwT40EIIuc/view?usp=sharing

Here’s the link to tonight’s vote that will be sending Pre-K through 3rd grade back to full time Traditional beginning 9/21:
http://go.boarddocs.com/tn/wcschools/Board.nsf/goto?open&id=BSTULU70DB85",,,0.0,"It was a busy September BOE meeting! Most notably, Pre-K through 3rd grade will return to full time Traditional on Monday, September 21st.

Here’s a quick recap of tonight’s meeting. Below is a copy of the slides that were presented. They give updates across multiple departments from the start of our school year to where we are today: https://drive.google.com/file/d/1M_LZZAwp9jX5I9L0_R3BFGKwT40EIIuc/view?usp=sharing

Here’s the link to tonight’s vote that will be sending Pre-K through 3rd grade back to full time Traditional beginning 9/21:
http://go.boarddocs.com/tn/wcschools/Board.nsf/goto?open&id=BSTULU70DB85",2020-09-09 03:05:58,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119033819_1295859927472868_2040745339918092744_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=b9lwOo1p3eoAX9ctC07&_nc_ht=video-atl3-1.xx&oh=a1619bb68a6b42060e8366a7716e20ae&oe=5F63468F,
8,0.0,,56.0,,3354361727952638,"Have a safe and enjoyable Labor Day Weekend! And as a friendly reminder, let’s all try to do our part in maintaining safe health for ourselves and those around us! ❤️🇺🇸

American Flag Video - Watertown High School",,,0.0,"Have a safe and enjoyable Labor Day Weekend! And as a friendly reminder, let’s all try to do our part in maintaining safe health for ourselves and those around us! ❤️🇺🇸

American Flag Video - Watertown High School",2020-09-05 16:08:02,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118866009_373423846990481_7775112923043665251_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=5bxH6sc4TwwAX-ViBp-&_nc_ht=video-atl3-1.xx&oh=b2094ecd80188e3b00dfad2bbeae318b&oe=5F635157,
9,14.0,,77.0,https://www.wcschools.com/Page/1435,3341767855878692,,https://facebook.com/story.php?story_fbid=3341767855878692&id=535225103199662,,19.0,,2020-09-01 15:47:18,,
