,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,http://wsesu.co/RgqHQv,1755767107924275,"WS Newsletter - 09/18/20: Enjoy our latest newsletter for September 18th, 2020! http://wsesu.co/RgqHQv #WSnews",https://facebook.com/story.php?story_fbid=1755767107924275&id=337444136423253,,0.0,"WS Newsletter - 09/18/20: Enjoy our latest newsletter for September 18th, 2020! http://wsesu.co/RgqHQv #WSnews",2020-09-17 15:04:03,,
1,0.0,,0.0,http://wsesu.co/RgqGLM,1755763144591338,Parent Discussion: Please join us to brainstorm ideas! http://wsesu.co/RgqGLM #ABSnews,https://facebook.com/story.php?story_fbid=1755763144591338&id=337444136423253,,0.0,Parent Discussion: Please join us to brainstorm ideas! http://wsesu.co/RgqGLM #ABSnews,2020-09-17 14:57:32,,
2,0.0,,0.0,http://wsesu.co/RgpF0t,1755522654615387,Principal's Report: Check out our Principal's Report for September 2020. http://wsesu.co/RgpF0t #WindsorSchoolnews,https://facebook.com/story.php?story_fbid=1755522654615387&id=337444136423253,,0.0,Principal's Report: Check out our Principal's Report for September 2020. http://wsesu.co/RgpF0t #WindsorSchoolnews,2020-09-17 09:40:31,,
3,0.0,,0.0,http://wsesu.co/RgpClh,1755517561282563,Principal's Report: Check out our Principal's Report for September 2020. http://wsesu.co/RgpClh #ABSnews,https://facebook.com/story.php?story_fbid=1755517561282563&id=337444136423253,,0.0,Principal's Report: Check out our Principal's Report for September 2020. http://wsesu.co/RgpClh #ABSnews,2020-09-17 09:33:32,,
4,0.0,,0.0,http://wsesu.co/RgZGsV,1752097348291251,Odds and Ends: Updates from Principal Oakman. http://wsesu.co/RgZGsV #WSnews,https://facebook.com/story.php?story_fbid=1752097348291251&id=337444136423253,,0.0,Odds and Ends: Updates from Principal Oakman. http://wsesu.co/RgZGsV #WSnews,2020-09-14 07:57:03,,
5,0.0,,0.0,http://wsesu.co/RgR699,1749421821892137,Board vacancy: The Mount Ascutney School Board is looking to fill a board vacancy until March 2021. http://wsesu.co/RgR699 #WindsorSchoolnews,https://facebook.com/story.php?story_fbid=1749421821892137&id=337444136423253,,0.0,Board vacancy: The Mount Ascutney School Board is looking to fill a board vacancy until March 2021. http://wsesu.co/RgR699 #WindsorSchoolnews,2020-09-11 15:56:34,,
6,0.0,,0.0,http://wsesu.co/RgR65J,1749421771892142,Board vacancy: The Mount Ascutney School Board is looking to fill a board vacancy until March 2021. http://wsesu.co/RgR65J #ABSnews,https://facebook.com/story.php?story_fbid=1749421771892142&id=337444136423253,,0.0,Board vacancy: The Mount Ascutney School Board is looking to fill a board vacancy until March 2021. http://wsesu.co/RgR65J #ABSnews,2020-09-11 15:56:31,,
7,0.0,,0.0,http://wsesu.co/RgQnsx,1749342821900037,Principal's Search Committee: Please read this important letter from Dr. Baker. http://wsesu.co/RgQnsx #WSnews,https://facebook.com/story.php?story_fbid=1749342821900037&id=337444136423253,,0.0,Principal's Search Committee: Please read this important letter from Dr. Baker. http://wsesu.co/RgQnsx #WSnews,2020-09-11 13:50:06,,
8,0.0,,0.0,http://wsesu.co/RgHBL4,1747132965454356,PTA News: The latest from our PTA President. http://wsesu.co/RgHBL4 #WSnews,https://facebook.com/story.php?story_fbid=1747132965454356&id=337444136423253,,0.0,PTA News: The latest from our PTA President. http://wsesu.co/RgHBL4 #WSnews,2020-09-09 12:02:32,,
9,0.0,,0.0,http://wsesu.co/RgCVxB,1746230225544630,ABS Reopening 2020: We're looking forward to setting sail on our 2020-2021 adventure. http://wsesu.co/RgCVxB #ABSnews,https://facebook.com/story.php?story_fbid=1746230225544630&id=337444136423253,,0.0,ABS Reopening 2020: We're looking forward to setting sail on our 2020-2021 adventure. http://wsesu.co/RgCVxB #ABSnews,2020-09-08 12:01:33,,
10,0.0,,0.0,http://wsesu.co/Rg9G9w,1745638085603844,2020-21 School Year Update: The latest from Dr. Baker. http://wsesu.co/Rg9G9w #WSESUnews,https://facebook.com/story.php?story_fbid=1745638085603844&id=337444136423253,,0.0,2020-21 School Year Update: The latest from Dr. Baker. http://wsesu.co/Rg9G9w #WSESUnews,2020-09-07 21:58:02,,
11,0.0,,0.0,http://wsesu.co/Rg0WY6,1742638575903795,Parent Update - Sept. 4th: The latest info from our Administrators. http://wsesu.co/Rg0WY6 #WindsorSchoolnews,https://facebook.com/story.php?story_fbid=1742638575903795&id=337444136423253,,0.0,Parent Update - Sept. 4th: The latest info from our Administrators. http://wsesu.co/Rg0WY6 #WindsorSchoolnews,2020-09-04 17:42:03,,
12,0.0,,0.0,http://wsesu.co/Rfz2TL,1742265059274480,"Thank you MAPP, Donors and Volunteers: Thank you to all who donated and made this possible for children! http://wsesu.co/Rfz2TL #WSnews",https://facebook.com/story.php?story_fbid=1742265059274480&id=337444136423253,,0.0,"Thank you MAPP, Donors and Volunteers: Thank you to all who donated and made this possible for children! http://wsesu.co/Rfz2TL #WSnews",2020-09-04 08:49:31,,
13,0.0,,1.0,http://wsesu.co/RfvVTp,1741371556030497,Special Requests for Parents and Guardians: A message from Principal Oakman. http://wsesu.co/RfvVTp #WSnews,https://facebook.com/story.php?story_fbid=1741371556030497&id=337444136423253,,0.0,Special Requests for Parents and Guardians: A message from Principal Oakman. http://wsesu.co/RfvVTp #WSnews,2020-09-03 09:24:02,,
14,0.0,,0.0,http://wsesu.co/Rfjstl,1738730836294569,WS Covid 19 Newsletter: This WS Covid Newsletter is specific to Weathersfield School. http://wsesu.co/Rfjstl #WSnews,https://facebook.com/story.php?story_fbid=1738730836294569&id=337444136423253,,0.0,WS Covid 19 Newsletter: This WS Covid Newsletter is specific to Weathersfield School. http://wsesu.co/Rfjstl #WSnews,2020-08-31 17:23:05,,
15,0.0,,0.0,http://wsesu.co/Rfjssc,1738730816294571,"Parent Compact: Parents, please read and sign. http://wsesu.co/Rfjssc #WSnews",https://facebook.com/story.php?story_fbid=1738730816294571&id=337444136423253,,0.0,"Parent Compact: Parents, please read and sign. http://wsesu.co/Rfjssc #WSnews",2020-08-31 17:23:03,,
16,0.0,,0.0,http://wsesu.co/Rfjsr5,1738730796294573,COVID-19 Handbook for FY21: We hope you will find this handbook useful and reassuring. http://wsesu.co/Rfjsr5 #WSnews,https://facebook.com/story.php?story_fbid=1738730796294573&id=337444136423253,,0.0,COVID-19 Handbook for FY21: We hope you will find this handbook useful and reassuring. http://wsesu.co/Rfjsr5 #WSnews,2020-08-31 17:23:02,,
17,0.0,,1.0,http://wsesu.co/RfjrXd,1738724452961874,COVID-19 Parent Compact: Please electronically sign this form to indicate that you will do your part. http://wsesu.co/RfjrXd #HESnews,https://facebook.com/story.php?story_fbid=1738724452961874&id=337444136423253,,0.0,COVID-19 Parent Compact: Please electronically sign this form to indicate that you will do your part. http://wsesu.co/RfjrXd #HESnews,2020-08-31 17:10:33,,
18,0.0,,0.0,http://wsesu.co/RfjrTR,1738724442961875,Welcome back!: The start of the new school year is just around the corner. http://wsesu.co/RfjrTR #HESnews,https://facebook.com/story.php?story_fbid=1738724442961875&id=337444136423253,,0.0,Welcome back!: The start of the new school year is just around the corner. http://wsesu.co/RfjrTR #HESnews,2020-08-31 17:10:32,,
19,0.0,,0.0,http://wsesu.co/RfYfxq,1735951203239199,Band: Band Lessons at WS for In Person and Remote Learners in 5-8. http://wsesu.co/RfYfxq #WSnews,https://facebook.com/story.php?story_fbid=1735951203239199&id=337444136423253,,0.0,Band: Band Lessons at WS for In Person and Remote Learners in 5-8. http://wsesu.co/RfYfxq #WSnews,2020-08-28 20:50:33,,
20,0.0,,0.0,http://wsesu.co/RfYfwF,1735951179905868,Athletics Survey: We ask that you please participate in a quick 5 question survey. http://wsesu.co/RfYfwF #WSnews,https://facebook.com/story.php?story_fbid=1735951179905868&id=337444136423253,,0.0,Athletics Survey: We ask that you please participate in a quick 5 question survey. http://wsesu.co/RfYfwF #WSnews,2020-08-28 20:50:32,,
21,0.0,,0.0,http://wsesu.co/RfV594,1734978443336475,Chromebooks/Remote Learning & Instruments: Updates from Principal Oakman. http://wsesu.co/RfV594 #WSnews,https://facebook.com/story.php?story_fbid=1734978443336475&id=337444136423253,,0.0,Chromebooks/Remote Learning & Instruments: Updates from Principal Oakman. http://wsesu.co/RfV594 #WSnews,2020-08-27 20:48:32,,
22,0.0,,0.0,http://wsesu.co/RfSKyk,1734510253383294,Back to School Update - August 26th: The latest from Dr. Baker. http://wsesu.co/RfSKyk #WSESUnews,https://facebook.com/story.php?story_fbid=1734510253383294&id=337444136423253,,0.0,Back to School Update - August 26th: The latest from Dr. Baker. http://wsesu.co/RfSKyk #WSESUnews,2020-08-27 09:44:04,,
23,0.0,,0.0,http://wsesu.co/RfSKvZ,1734510236716629,School Update: Windsor School Information Update. http://wsesu.co/RfSKvZ #WindsorSchoolnews,https://facebook.com/story.php?story_fbid=1734510236716629&id=337444136423253,,0.0,School Update: Windsor School Information Update. http://wsesu.co/RfSKvZ #WindsorSchoolnews,2020-08-27 09:44:02,,
24,0.0,,0.0,http://wsesu.co/RfSHgQ,1734499976717655,Parent's night: An update from Principal Oakman. http://wsesu.co/RfSHgQ #WSnews,https://facebook.com/story.php?story_fbid=1734499976717655&id=337444136423253,,0.0,Parent's night: An update from Principal Oakman. http://wsesu.co/RfSHgQ #WSnews,2020-08-27 09:30:34,,
25,0.0,,0.0,http://wsesu.co/RfSHbv,1734499936717659,Principal Search: A message from Dr. Baker. http://wsesu.co/RfSHbv #WSnews,https://facebook.com/story.php?story_fbid=1734499936717659&id=337444136423253,,0.0,Principal Search: A message from Dr. Baker. http://wsesu.co/RfSHbv #WSnews,2020-08-27 09:30:32,,
26,0.0,,0.0,http://wsesu.co/RfNnt6,1733540170146969,Windsor Back to School Q&A Forum 2020: Watch a recording of the forum here! http://wsesu.co/RfNnt6 #WindsorSchoolnews,https://facebook.com/story.php?story_fbid=1733540170146969&id=337444136423253,,0.0,Windsor Back to School Q&A Forum 2020: Watch a recording of the forum here! http://wsesu.co/RfNnt6 #WindsorSchoolnews,2020-08-26 10:15:05,,
27,0.0,,0.0,http://wsesu.co/RfKXf8,1732699746897678,Two announcements: News from Principal Oakman. http://wsesu.co/RfKXf8 #WSnews,https://facebook.com/story.php?story_fbid=1732699746897678&id=337444136423253,,0.0,Two announcements: News from Principal Oakman. http://wsesu.co/RfKXf8 #WSnews,2020-08-25 12:32:03,,
28,0.0,,0.0,http://wsesu.co/RfKWZW,1732693456898307,Parent Forum: A reminder to join us tonight. http://wsesu.co/RfKWZW #WindsorSchoolnews,https://facebook.com/story.php?story_fbid=1732693456898307&id=337444136423253,,0.0,Parent Forum: A reminder to join us tonight. http://wsesu.co/RfKWZW #WindsorSchoolnews,2020-08-25 12:24:32,,
29,0.0,,0.0,http://wsesu.co/RfFn65,1731615807006072,New Information: An update from Principal Oakman. http://wsesu.co/RfFn65 #WSnews,https://facebook.com/story.php?story_fbid=1731615807006072&id=337444136423253,,0.0,New Information: An update from Principal Oakman. http://wsesu.co/RfFn65 #WSnews,2020-08-24 12:01:32,,
30,0.0,,0.0,http://wsesu.co/Rdxszg,1726849954149324,Windsor Administrative Update: Information from our Administrative team. http://wsesu.co/Rdxszg #WindsorSchoolnews,https://facebook.com/story.php?story_fbid=1726849954149324&id=337444136423253,,0.0,Windsor Administrative Update: Information from our Administrative team. http://wsesu.co/Rdxszg #WindsorSchoolnews,2020-08-19 10:55:34,,
31,0.0,,0.0,http://wsesu.co/RdxstG,1726849937482659,Funding Announcement: News from the Mt. Ascutney Prevention Partnership. http://wsesu.co/RdxstG #WSnews,https://facebook.com/story.php?story_fbid=1726849937482659&id=337444136423253,,0.0,Funding Announcement: News from the Mt. Ascutney Prevention Partnership. http://wsesu.co/RdxstG #WSnews,2020-08-19 10:55:32,,
32,0.0,,0.0,http://wsesu.co/RdgS0F,1722206434613676,Odds and Ends: More Important Information from Principal Oakman. http://wsesu.co/RdgS0F #WSnews,https://facebook.com/story.php?story_fbid=1722206434613676&id=337444136423253,,0.0,Odds and Ends: More Important Information from Principal Oakman. http://wsesu.co/RdgS0F #WSnews,2020-08-14 18:12:05,,
33,0.0,,0.0,http://wsesu.co/RdgQrz,1722202644614055,"Remote-Only Option Parent Information: All registrations are due by Wednesday, August 19th. http://wsesu.co/RdgQrz #WSESUnews",https://facebook.com/story.php?story_fbid=1722202644614055&id=337444136423253,,0.0,"Remote-Only Option Parent Information: All registrations are due by Wednesday, August 19th. http://wsesu.co/RdgQrz #WSESUnews",2020-08-14 18:04:34,,
34,0.0,,0.0,http://wsesu.co/Rdg7WY,1722126877954965,School Reopening - August 14th Update: The latest from Dr. Baker. http://wsesu.co/Rdg7WY #WSESUnews,https://facebook.com/story.php?story_fbid=1722126877954965&id=337444136423253,,0.0,School Reopening - August 14th Update: The latest from Dr. Baker. http://wsesu.co/Rdg7WY #WSESUnews,2020-08-14 15:53:05,,
