,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,,1.0,http://WinthropCOVID19.com/,3638476009537256,"Town of Winthrop Public Health Update 9/11/2020
377 total cases: 24 deceased, 16 isolated and 337 recovered

The Massachusetts Department of Public Health has notified the town of Winthrop of three additional residents affected by COVID-19.
Visit WinthropCOVID19.com for regular updates of COVID-19 in our community.
Anyone with questions about the COVID-19 situation in town are encouraged to call the COVID-19 information line at 617-539-5848 between 8 a.m. and 4 p.m. Monday through Friday, or email COVID19info@town.winthrop.ma.us.
""Stop the Spread"" COVID testing is available six days a week behind the E.B. Newton School at 45 Pauline St. Testing is free and will continue through at least Sept. 30th.
Monday, Wednesday, Friday and Saturday from 2-7 p.m. (drive-through)
Tuesday and Thursday from 2-7 p.m. (walk-up)
Testing providers are able to provide information in English and Spanish.",https://facebook.com/story.php?story_fbid=3638476009537256&id=925860790798805,,0.0,"Town of Winthrop Public Health Update 9/11/2020
377 total cases: 24 deceased, 16 isolated and 337 recovered

The Massachusetts Department of Public Health has notified the town of Winthrop of three additional residents affected by COVID-19.
Visit WinthropCOVID19.com for regular updates of COVID-19 in our community.
Anyone with questions about the COVID-19 situation in town are encouraged to call the COVID-19 information line at 617-539-5848 between 8 a.m. and 4 p.m. Monday through Friday, or email COVID19info@town.winthrop.ma.us.
""Stop the Spread"" COVID testing is available six days a week behind the E.B. Newton School at 45 Pauline St. Testing is free and will continue through at least Sept. 30th.
Monday, Wednesday, Friday and Saturday from 2-7 p.m. (drive-through)
Tuesday and Thursday from 2-7 p.m. (walk-up)
Testing providers are able to provide information in English and Spanish.",2020-09-11 17:16:18,,
1,0.0,,5.0,https://www.town.winthrop.ma.us/,3632372126814311,,https://facebook.com/story.php?story_fbid=3632372126814311&id=925860790798805,,3.0,,2020-09-09 18:35:26,,
2,6.0,,3.0,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/div-cloth,3632315760153281,,https://facebook.com/story.php?story_fbid=3632315760153281&id=925860790798805,,5.0,,2020-09-09 18:11:11,,
3,3.0,,0.0,https://www.town.winthrop.ma.us/home/news/town-winthrop-public-health-update-982020,3628997023818488,"Town of Winthrop Public Health Update 9/8/2020
Town of Winthrop Reports Progress in Fight Against COVID-19, Reminds Residents to Take Advantage of Free Testing

The Massachusetts Department of Public Health has notified the town of Winthrop of nine additional residents affected by COVID-19 since Friday September 4th. Winthrop’s total case breakdown is as follows 372 total cases: 24 deceased, 20 isolated and 328 recovered
Winthrop's COVID-19 incident rate per 100,000, which the state uses to determine overall risk level, has decreased over the last two weeks.

Read full announcement here: https://www.town.winthrop.ma.us/home/news/town-winthrop-public-health-update-982020",https://facebook.com/story.php?story_fbid=3628997023818488&id=925860790798805,"TOWN.WINTHROP.MA.US
Town of Winthrop Public Health Update 9/8/2020 | Winthrop MA",0.0,"Town of Winthrop Public Health Update 9/8/2020
Town of Winthrop Reports Progress in Fight Against COVID-19, Reminds Residents to Take Advantage of Free Testing

The Massachusetts Department of Public Health has notified the town of Winthrop of nine additional residents affected by COVID-19 since Friday September 4th. Winthrop’s total case breakdown is as follows 372 total cases: 24 deceased, 20 isolated and 328 recovered
Winthrop's COVID-19 incident rate per 100,000, which the state uses to determine overall risk level, has decreased over the last two weeks.

Read full announcement here: https://www.town.winthrop.ma.us/home/news/town-winthrop-public-health-update-982020

TOWN.WINTHROP.MA.US
Town of Winthrop Public Health Update 9/8/2020 | Winthrop MA",2020-09-08 17:33:43,,
4,13.0,,10.0,https://www.town.winthrop.ma.us/home/news/public-notice-application-control-mosquitoes,3628512630533594,,https://facebook.com/story.php?story_fbid=3628512630533594&id=925860790798805,,8.0,,2020-09-08 13:43:27,,
5,0.0,,11.0,,3622732217778302,"Due to the Labor Day holiday tomorrow, we will be suspending ferry service and giving a well deserved day off to our Captains and crew. Service will resume on Tuesday. Thank you for your understanding.",https://facebook.com/story.php?story_fbid=3622732217778302&id=925860790798805,,0.0,"Due to the Labor Day holiday tomorrow, we will be suspending ferry service and giving a well deserved day off to our Captains and crew. Service will resume on Tuesday. Thank you for your understanding.",2020-09-06 15:52:56,,
6,7.0,,13.0,http://WinthropCOVID19.com/,3616838651700992,"Town of Winthrop Public Health Update 9/4/2020
363 total cases: 24 deceased, 14 isolated and 325 recovered

The Massachusetts Department of Public Health has notified the town of Winthrop of ZERO additional residents affected by COVID-19. The Winthrop COVID testing location tested 169 individuals on Thursday, September 3rd.
Visit WinthropCOVID19.com for regular updates of COVID-19 in our community.
Anyone with questions about the COVID-19 situation in town are encouraged to call the COVID-19 information line at 617-539-5848 between 8 a.m. and 4 p.m. Monday through Friday, or email COVID19info@town.winthrop.ma.us.
""Stop the Spread"" COVID testing is available six days a week behind the E.B. Newton School at 45 Pauline St. Testing is free and will continue through at least Sept. 12.
Monday, Wednesday, Friday and Saturday from 2-7 p.m. (drive-through)
Tuesday and Thursday from 2-7 p.m. (walk-up)
Testing providers are able to provide information in English and Spanish.",https://facebook.com/story.php?story_fbid=3616838651700992&id=925860790798805,,0.0,"Town of Winthrop Public Health Update 9/4/2020
363 total cases: 24 deceased, 14 isolated and 325 recovered

The Massachusetts Department of Public Health has notified the town of Winthrop of ZERO additional residents affected by COVID-19. The Winthrop COVID testing location tested 169 individuals on Thursday, September 3rd.
Visit WinthropCOVID19.com for regular updates of COVID-19 in our community.
Anyone with questions about the COVID-19 situation in town are encouraged to call the COVID-19 information line at 617-539-5848 between 8 a.m. and 4 p.m. Monday through Friday, or email COVID19info@town.winthrop.ma.us.
""Stop the Spread"" COVID testing is available six days a week behind the E.B. Newton School at 45 Pauline St. Testing is free and will continue through at least Sept. 12.
Monday, Wednesday, Friday and Saturday from 2-7 p.m. (drive-through)
Tuesday and Thursday from 2-7 p.m. (walk-up)
Testing providers are able to provide information in English and Spanish.",2020-09-04 18:28:33,,
7,3.0,,7.0,https://vimeo.com/450943140,3610579438993580,"Town of Winthrop Public Health Update 9/2/2020
361 confirmed cases: 24 deceased, 15 isolated and 322 recovered

The Massachusetts Department of Public Health has notified the town of Winthrop of one additional resident affected by COVID-19. The Winthrop COVID testing location tested 195 individuals on Tuesday, September 1st. 1,118 tests have been administered since the Stop the Spread Covid testing location began.

https://vimeo.com/450943140",https://facebook.com/story.php?story_fbid=3610579438993580&id=925860790798805,"VIMEO.COM
Winthrop Town Officials Urge Residents to Get Tested for COVID-19 After 'High-Risk' Designation",4.0,"Town of Winthrop Public Health Update 9/2/2020
361 confirmed cases: 24 deceased, 15 isolated and 322 recovered

The Massachusetts Department of Public Health has notified the town of Winthrop of one additional resident affected by COVID-19. The Winthrop COVID testing location tested 195 individuals on Tuesday, September 1st. 1,118 tests have been administered since the Stop the Spread Covid testing location began.

https://vimeo.com/450943140

VIMEO.COM
Winthrop Town Officials Urge Residents to Get Tested for COVID-19 After 'High-Risk' Designation",2020-09-02 18:04:20,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118630528_639328740056005_7596353116184354725_o.jpg?_nc_cat=107&_nc_sid=9e2e56&_nc_ohc=KI_GlMZBMqYAX-y4wlp&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ed4d709322403e53617317d1c71a4c1e&oe=5F847176,5.0,,3609964302388427,,https://facebook.com/story.php?story_fbid=3609964302388427&id=925860790798805,"Winthrop Public Health and Clinical Services
September 2 at 4:13 PM ·

If you recently went to one of the Winthrop #stopthespread testing sites and are wondering where your results are, look out for an email from careevolve@LKNotification.com. It may ask you to register to receive your results. This is a safe email address, and will have your results ready for you. If the email is not in your inbox, it may have been sent to your spam folder.

Results will generally return within 24-36 hours from the time of testing, but there may be some delays in getting your results to you. We apologize for any confusion this may have caused and thank you for your patience!

For any concerns about your results, please contact the Winthrop Department of Public Health at (617) 593-5848 or call the 24/7 Resulting Call line directly at 617-765-0176.",0.0,"Winthrop Public Health and Clinical Services
September 2 at 4:13 PM ·

If you recently went to one of the Winthrop #stopthespread testing sites and are wondering where your results are, look out for an email from careevolve@LKNotification.com. It may ask you to register to receive your results. This is a safe email address, and will have your results ready for you. If the email is not in your inbox, it may have been sent to your spam folder.

Results will generally return within 24-36 hours from the time of testing, but there may be some delays in getting your results to you. We apologize for any confusion this may have caused and thank you for your patience!

For any concerns about your results, please contact the Winthrop Department of Public Health at (617) 593-5848 or call the 24/7 Resulting Call line directly at 617-765-0176.",2020-09-02 13:27:19,,
9,2.0,,2.0,http://WinthropCOVID19.com/,3604008972983960,,https://facebook.com/story.php?story_fbid=3604008972983960&id=925860790798805,,0.0,,2020-08-31 16:46:41,,
